가게ID,가게명,업종,평점,날짜,리뷰내용
1756415986,강릉수산생선회,회,,,가을철이라 딱 맞춰서 새우구이랑 전어 시작하셔서 바로 새우구이 먹어봤는데 와 근데 진짜 뻥안치고 이번에 대하구이 먹은 새우들 중에 제일 커요 진짜
1756415986,강릉수산생선회,회,,,내장 똥 빼는 게 은근 좀 번거로워서 사실 손질해주는 곳의 양이나 가격을 좀 이해하게 되었어요....ㅎㅎ
1756415986,강릉수산생선회,회,,,너무 맛있어요!!!너무 맛있어요!!! 진짜 개쩔어요!!!!!
1756415986,강릉수산생선회,회,,,늦게 방문해서 모듬회가 좀 안될거 같다고 하셔서 부득이하게 광어우럭으로 변경
1756415986,강릉수산생선회,회,,,도다리 보리숭어 먹었는데 너무 맛있어요 기본 반찬으로 국물이 나오는게 진짜 최고
1756415986,강릉수산생선회,회,,,모듬 스페셜로 20만원을 시켰는데 세트에 포함된 낙지는 나오지도 않다가 저희가 말하니깐 뒤늦게야 재고 변명하면서 가져다 주네요. 저희는 제값 주고 사먹은건데 누가 보면 구걸한줄 알겠어요.
1756415986,강릉수산생선회,회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1756415986,강릉수산생선회,회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1756415986,강릉수산생선회,회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1756415986,강릉수산생선회,회,,,사이드로 짬뽕탕? 처럼 얼큰한 국물이 나와 좋았습니다! 직원분들도 친절해요
1756415986,강릉수산생선회,회,,,사장님 진짜최고예요 양도 많고 친절하시고 신촌에서 횟집은 여기로 오세요!!! 후회안하십니다!!!!! n번째 맛집에요!!!!!😍😍
1756415986,강릉수산생선회,회,,,새우철에 새우시키면 다 먹고나서 머리부분만 버터구이 해주시는데 진짜 머리구이만 팔아도 먹을 것 같은맛이에요ㅠㅠ 넘 맛있어요 추천드립니다!!
1756415986,강릉수산생선회,회,,,"소주 시키면 맛있는 짬뽕도 나오고 친절 , 맛 다 좋네요 사람많은덴 다 이유가 있음"
1756415986,강릉수산생선회,회,,,숭어도 자리에서 바로 잡아서 회떠주시구 기본으로 나오는 짬뽕탕 진짜 기가막힘 너무 마싯게 잘 머것습니당!!!!!!!🫶🫶
1756415986,강릉수산생선회,회,,,"신촌에서 회가 생각나면 들르는 식당. 막 가성비가 절대적으로 좋은 것은 아니나, 가격대가 낮게 형성되있고 그만큼 양도 거기에 맞는듯 하다. 그래서 더 자주 가게 되나보다."
1756415986,강릉수산생선회,회,,,신촌횟집은 여기만옵니다. 신촌 6년차 오늘도 강릉회수산.
1756415986,강릉수산생선회,회,,,"완전진짜대박!!!!!!!!산오징어회도 생겼어요 ~~!!!!!!!!! 아니근데 산오징어회 좋아하는사람으로써 다른데서 먹으면 한쌈 두쌈 싸먹다보면 없거등여,, 다른곳은 그만큼 양이 쬐끔이고 또 비싸긴비싼데 여.기.는 !! 양이 많아여 !!!!!! 글고 달고 아주 싱싱하고 맛납니다ㅠㅠㅠ 진짜 최고에요,, 글고 새로생긴 닭개장,,와나지짜 또 미춰버려 ~~~ 걍 닭개장전문점이라해두될만큼 넘 맛나여 ㅜ 여기눈 그냥 최고,,👍진짜최고👍 흠잡을게없습니다여ㅜㅜ 너무사랑해용❤️❤️❤️❤️❤️❤️"
1756415986,강릉수산생선회,회,,,"저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구, 지인・동료"
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상기타
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친구
1756415986,강릉수산생선회,회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자, 친구"
1756415986,강릉수산생선회,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1756415986,강릉수산생선회,회,,,저녁에 방문예약 후 이용대기 시간 바로 입장나들이친척・형제
