가게ID,가게명,평점,날짜,리뷰내용
1247490948,"기꾸스시초밥,롤",,,15000원에 이렇게 두툼한 초밥을 먹을 수 있다니..
1247490948,"기꾸스시초밥,롤",,,가성비좋음 회랑 냉우동조합 맛있네요 그리고 계란도 맛나요 ㅎㅎ전체적인 조합이 배가든든한 ㅋㅋ 추천추천
1247490948,"기꾸스시초밥,롤",,,기꾸스시의 모듬초밥은 언제 먹어도 신촌 최고네요.강추합니다
1247490948,"기꾸스시초밥,롤",,,기꾸초밥 10pc만 시켰는데 미니 우동과 연어 조림 같은 것도 서비스로 주셔서 너무 맛있었고 배부르게 잘 먹고 갑니당 ㅎㅎ
1247490948,"기꾸스시초밥,롤",,,"리뷰 1,428사진 1,368팔로워 41테마 1"
1247490948,"기꾸스시초밥,롤",,,"리뷰가 좋아서 기대했는데... 초밥이 밥맛이 반이거든요... 근데 샤리가 진짜 너무 기본이 안 되어 있어요... 갓 지은 밥을 김도 식히지 않고 따끈한 상태에서 샤리를 만들어서... 초밥이 따뜻해요......ㅎㅎㅎㅎㅎ 뜨거운 밥에 식초, 설탕을 버무린 ㅋㅋㅋ 심지어 밥도 물 양 조절 실패해서 떡진밥...... 에 생선이 올라가있는데 이걸 식탁에 올린다니 진짜 아무리 가성비 스시집이지만 황당하네요...... 횟감 품질은 보통이고요... 생선이 아닌 장어, 연어, 소고기 초밥은 불향을 입히거니 소스나 양념을 굉장히 달게 만들어서 자극적인 스타일로 내줍니다"
1247490948,"기꾸스시초밥,롤",,,사람마다 네타 길이도 엄청 다르고 샤리 양도 줄고 질감 많이 질더라구요 달라져서 많이 아쉽습니다.
1247490948,"기꾸스시초밥,롤",,,"샤리간이 좀 있는편이나 제 입에는 괜찮았고, 장어 네타는 웬만한집 초밥3개 만들 크기라 인상적이었습니다."
1247490948,"기꾸스시초밥,롤",,,어버이날에 부모님과 함께 저녁을 먹으러 방문했어요! 내부 좌석이 좁아서 4인이 앉을 수 있는 자리가 나올때까지 한참 기다렸어요ㅠ 그래도 항상 통통한 회로 덮힌 신선한 초밥을 먹을 수 있어서 좋아요!🍣
1247490948,"기꾸스시초밥,롤",,,이전에 여러 번 방문했던 기꾸스시. 처음으로 리뷰 남겨봐요.
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1247490948,"기꾸스시초밥,롤",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1247490948,"기꾸스시초밥,롤",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목
1247490948,"기꾸스시초밥,롤",,,저녁에 방문포장·배달 이용대기 시간 바로 입장
1247490948,"기꾸스시초밥,롤",,,저녁에 방문포장·배달 이용대기 시간 바로 입장
1247490948,"기꾸스시초밥,롤",,,저녁에 방문포장·배달 이용대기 시간 바로 입장
1247490948,"기꾸스시초밥,롤",,,저녁에 방문포장·배달 이용대기 시간 바로 입장데이트
1247490948,"기꾸스시초밥,롤",,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이친구"
1247490948,"기꾸스시초밥,롤",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1247490948,"기꾸스시초밥,롤",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1247490948,"기꾸스시초밥,롤",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1247490948,"기꾸스시초밥,롤",,,회가 두툼해서 한입에 넣었을때 입안가득 행복해요🧡 오늘도 아빠랑 엄마랑 맛있게 잘먹었습니다👍🏻
1596269947,김판석초밥,,,데이트로 왔습니다! 커플세트 가성비 좋고 맛있습니당ㅎㅎ 스시 구성도 알차고 하나하나 신선함이 느껴졌어요! 특히 연어랑 참치가 정말 부드럽고 입에서 살살 녹더라고요. 냉모밀도 맛있고 전체적으로 만족도가 높았어요😮
1596269947,김판석초밥,,,사장님도 넘 친절하시구 (두명이서 왔는데 4인석 앉을까말까 고민했더니 편한 곳 앉으시라고 해주셨어요!!)
1596269947,김판석초밥,,,"안녕하세요! 고객님 😊 저희 김판석초밥의 메뉴, 만족스럽게 드셔주셔서 정말 감사합니다! 사진만 봐도 그때의 감동이 다시 느껴지는 것 같아요! 🤭✨ 저희는 신선한 재료와 맛있는 소스의 조화, 그리고 무엇보다 고객님들께 최고의 맛을 선사해 드리고 싶은 마음으로 음식을 준비하고 있어요. 고객님의 '무조건 또 먹는다'는 한 줄 평! 잊지 않고 기억하겠습니다. 🥰 앞으로도 변함없는 맛과 서비스로 찾아뵐게요! 소중한 후기 정말 감사합니다! ❤️👍"
1596269947,김판석초밥,,,"안녕하세요! 😊 고객님, 저희 '김판석초밥'을 찾아주시고 소중한 리뷰까지 남겨주셔서 정말 감사합니다! 가성비 최고라는 칭찬에 너무 기쁘고, 저희 초밥의 신선함과 큼직한 크기, 맛에 만족하셨다니 뿌듯합니다. 👍 게다가 직원들의 친절함까지 좋게 봐주셔서 더욱 힘이 나요! 🙇‍♀️ 고객님께서 또 방문하고 싶다는 말씀을 들으니 정말 행복합니다! ❤️ 앞으로도 더욱 맛있는 초밥과 최고의 서비스로 보답하는 김판석초밥이 되겠습니다!"
1596269947,김판석초밥,,,자주 방문하는 나의 신촌 원픽 초밥집❤️ 초밥 녹구 냉모밀도 맛나요~ 늦은 시간까지 해서 정말 좋습니당!!
1596269947,김판석초밥,,,초밥을 먹다가 찍어서 모밀 사진만 올렸는데 올때마다 맛있게 먹고있어요 양도 많고 회도 신선해요
1603907308,스시도쿠 현대백화점 신촌점,,,"안녕하세요 0헤니0님, 스시도쿠 현대백화점 신촌점입니다. 초밥의 퀄리티와 스키야키의 간까지 세심하게 살펴봐 주시고, 본연의 맛을 잘 살렸다고 말씀해 주셔서 정말 감사드립니다🙇‍♀️ 저희는 완도 3kg 대광어, 마린하베스트 수페리어 연어 곤부지메, S급 혼마구로 1번 도로 등 국내외 최상의 재료만을 당일 손질·당일 소진하며, 주문 즉시 100% 라이브 조리로 최상의 신선함을 전해드리고 있습니다🍣 또한 제철 스시 한 판에 10가지 일품요리와 따끈한 스키야키까지 곁들여 한국인이 좋아하는 ‘푸짐한 한 상’을 완성했답니다. 서울에서 한 해 23만 명이 찾는 스시도쿠의 10년 노하우가 신촌점에도 그대로 스며들어, 가족모임·데이트·혼밥까지 어떤 자리에서도 만족스러운 경험을 드릴 수 있습니다✨ 말씀해주신 것처럼 어른들 모시고 와도, 특별한 날 찾아주셔도 늘 부족함 없는 공간과 맛으로 보답드리겠습니다🫶"
