가게ID,가게명,평점,날짜,리뷰내용
836030725,디퍼 루프탑,,,가게가 루프탑으로 되어있어서 경치도 좋고 가게 분위기도 너무 이쁘게 꾸며두셔서 친구나 연인이랑 가도 너무 좋을거같구 부모님과도 한잔하러 오기 너무 좋을 것 같더라구요!!😍 그리고 여기 피자가 진짜 너무너무 맛있습니다!! 진짜 피자도 너무 맛있고 같이 시킨 파스타도 너무 맛있더라구요🤤다들 분위기 좋은 술집 찾으신다면 디퍼 루프탑 한번씩 와보시는 거 추천합니다!!!
836030725,디퍼 루프탑,,,경의선숲길에 분위기좋은 루프탑이에요. 코젤다크도 맛있고 뿌링클 순살치킨이 특히 맛있어요!!!
836030725,디퍼 루프탑,,,굿굿👍👍👍 루프탑 매장들 다 씹어드시고 더더 번창하시길 바래요 ! 🤭🤭✨️💕 음식도 맛있고 루프탑 인테리어가 너무 취저에요🥹❣️ 그리구 찐알앤비+네오소울을 깔아주시니까 분위기에 더 취하는 곳이여서 너무 좋았던 거 같아요 재방문의사 천퍼센트 있어요🫠💘
836030725,디퍼 루프탑,,,데이트하러 방문했는데 피자가 미친맛이에요. 너무 맛있습니다. 맥주도 너무 시원하고 종류 다양하고 맛있고 신선해요♥️🍺 분위기도 너무 좋습니다 알바 분들도 친절해요^^ 번창하십쇼♥️
836030725,디퍼 루프탑,,,루프탑 분위기가 너무 좋아요! 요즘같은 날씨에 가기 최고예요 술이랑 안주도 가성비 있고 맛있어요 데이트 코스로 추천해요!!
836030725,디퍼 루프탑,,,루프탑 분위기가 너무 좋아요! 요즘같은 날씨에 가기 최고예요 술이랑 안주도 가성비 있고 맛있어요 데이트 코스로 추천해요!!
836030725,디퍼 루프탑,,,"루프탑 특유의 감성적인 분위기 덕분에 음식 맛이 한층 더 돋보였어요. 하프 피자는 두 가지 맛을 한 번에 즐길 수 있어 좋았는데, 마르게리타는 산뜻함이 돋보였고, 고르곤졸라는 치즈의 진한 풍미에 꿀을 곁들이니 고소하면서 달콤한 조화가 일품이었어요!"
836030725,디퍼 루프탑,,,밤에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
836030725,디퍼 루프탑,,,밤에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
836030725,디퍼 루프탑,,,밤에 방문예약 후 이용대기 시간 바로 입장나들이부모님
836030725,디퍼 루프탑,,,분위기가 너무 좋아요! 조명도 이쁘고 아늑해서 대화하기 좋았어요! 음식도 맛있구 다음에 또 올 것 같아요🔥🔥
836030725,디퍼 루프탑,,,분위기가 너무 좋아요! 조명도 이쁘고 아늑해서 대화하기 좋았어요! 음식도 맛있구 다음에 또 올 것 같아요🔥🔥
836030725,디퍼 루프탑,,,오랫만에 친구랑 홍대 놀러와서 루프탑 찾다가 발견한곳인데 인테리어가 대형카페 처럼 엄청 규모도 크고 자연분위기에 너무너무 이뻤어요!!❤️
836030725,디퍼 루프탑,,,음식이 너무 맛있고 인테리어가 너무 예뻤어요!👍 부모님이랑 오셔도 좋고 데이트 장소로도 좋은 거 같아욥!담에 또 올게요><
