가게ID,가게명,평점,날짜,리뷰내용
1650837858,대관령토종한우 압구정점,,,"24시 영업해서 이른아침이나 늦은저녁, 새벽에도 방문 가능해서 좋아요ㅎㅎ"
1650837858,대관령토종한우 압구정점,,,24시 오픈이라 딸과 이른아침이지만 혹시나하고 와봤는데 우와. 이곳은 돼지갈비도 맛있는데 식사메뉴가 탑이예요.
1650837858,대관령토종한우 압구정점,,,"가족 소개로 와봤는데 진짜 넘넘 맛있어서 단골 예약입니다 ㅠㅠ 압구정한우맛집 여기가 1티어에용,,💝💝 사장님도 직원분들도 전부 친절하시고 실내도 깔끔해서 너무 좋았어요! 꼭 번창하세용~!! 여기 오면 김치찌개 두개 시켜드시는 거 강추!!"
1650837858,대관령토종한우 압구정점,,,갈비살 넘 맛있능거 있죠 맨날 먹어도 안질리네요 .. ㅋㅋㅋ 하나도 안물렸어요 다음에 또 오고싶은 !!!!
1650837858,대관령토종한우 압구정점,,,고기 퀄리티가 정~말 좋고 직접 완전 샤샥 빠르게 구워주셔서 넘 좋아요!!!!💕
1650837858,대관령토종한우 압구정점,,,김치찌개 추가해서 먹었는데 김치찌개 좋아하시면 꼭 드셔보시길! 앞으로 돼지갈비는 대관령토종한우로 정착합니다👍
1650837858,대관령토종한우 압구정점,,,남자친구 생일때마다 오는 압구정 정육식당입니다 ㅋㅋ 오랜만에 갔는데 손님이 꽤 많았어요 역시 이동네 한우맛집 인정.. 오늘은 육회도 처음으로 시켜봤는데 너무맛있더라구요 확실히 정말 좋은 고기를 쓰신다는게 느껴졌어요 그치만 이집의 킥은 살치살입니다 ㅋㅋㅋ 다음엔 살치살+육회 조합으로 주문해봐야겠어요 오늘도 잘먹고갑니다아~~
1650837858,대관령토종한우 압구정점,,,다 만족스러운 압구정에서 갈비 먹기 좋은 식당이라고 생각합니다
1650837858,대관령토종한우 압구정점,,,돼지갈비 먹으러 자주오는데 냉면먹으러 오기도해요ㅋㅋ
1650837858,대관령토종한우 압구정점,,,룸도 잘되있어서 가족외식 장소로 최고인거 같아요 강추해요!!!
1650837858,대관령토종한우 압구정점,,,맛있다해서 오게 된 압구정 대관령토종한우 꼭 오세요 꼭꼭 👍👍
1650837858,대관령토종한우 압구정점,,,소고기 제대로 먹고싶을때 찾아오는 곳인데 금요일 주녁에 왔는데 웨이팅은 없었어요 원래 등심 살치만 좋아했는데 안심에 눈 띄게 됐네요
1650837858,대관령토종한우 압구정점,,,"숯도 너무 좋고, 고기 질이 너무 좋아서 가족 모두 대만족 했습니다~!! 찌개도 집에서 끓인 맛이라 사장님의 정성이 느껴지는 식사였습니다. 재방문 의사 100%입니다~!😉"
1650837858,대관령토종한우 압구정점,,,숯불도 좋고 화로도 고급지고 연기도 많이 안나고 담에 또 와서 다른 고기도 먹어봐야겠어요~~
1650837858,대관령토종한우 압구정점,,,아이랑 남편이랑 오랜만에 집근처 돼지갈비 먹으러 왔어요!! 아기가 안기도 편하고! 매장도 넓고 ㅎㅎ 쾌적했어요!!
1650837858,대관령토종한우 압구정점,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1650837858,대관령토종한우 압구정점,,,압구정에 밥먹으로 자주가는 단골집에 들렀는데 명절한우선물세트를 판매하고있어 멀리 사는 부모님 드리려고 구매했습니다. 구성도 좋고 가격도 적절하네요~~
1650837858,대관령토종한우 압구정점,,,"압구정에 이렇게 맛있는 한우 정육식당이 있는지 몰랐습니다,,,,,,"
1650837858,대관령토종한우 압구정점,,,압구정에서 쇼핑하고 고기 생각날 대 가기 좋은 맛집이에요!! 추천합니다 👍🏻👍🏻👍🏻
1650837858,대관령토종한우 압구정점,,,애가 방학인데 너무 더워서 밥을 매끼니 못 하겠어서 요즘 2틀이 한번 꼴러 가서
1650837858,대관령토종한우 압구정점,,,"양념돼지갈비~ 달짝지근한 양념에 숯불향 제대로 배여서 넘 맛나요. 흰쌀밥 그냥 먹어도 맛나고, 쌈싸먹어도 맛나고~"
1650837858,대관령토종한우 압구정점,,,여러가지 부위 시켜서 먹어봤는데 일단 고기의 질이 너무너무 좋습니다 마블링도 정말 잘 분포되어 있고 고기의 신선함이 그대로 느껴져요 주방 이모님분들이 만들어주신 반찬들도 정말 정갈하지만 임팩트는 강합니다 너무너무 맛있어서
1650837858,대관령토종한우 압구정점,,,오랜만에 방문한 24시 갈비맛집 대관령토종한우 입니다
1650837858,대관령토종한우 압구정점,,,저녁에 방문예약 후 이용대기 시간 바로 입장가족모임부모님
1650837858,대관령토종한우 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
1650837858,대관령토종한우 압구정점,,,점심에 방문예약 후 이용대기 시간 바로 입장일상친척・형제
1650837858,대관령토종한우 압구정점,,,"조용한 룸에서 편하게 먹을 수 있어서 불편함 없었고, 직원분들도 친절하게 응대해주셔서 편안하게 잘 먹고왔습니다ㅎㅎ"
1650837858,대관령토종한우 압구정점,,,진짜 옛날식김치찌개 대박이에요 ㅠㅠ 말 그대로 옛날 할머니가 해주시던 그 맛과 비슷합니다. 고기도 왕창 넣어주셔서 밥 한술에 고기 한점 가능하답니다!!
1224469606,신사 모소리 본점,,,"고기도 맛있고 신메뉴 된장술밥도 맛있어요.. 직원분들 모두 친절하시고, 콜키지 프리라 완전 좋아요 칠링까지 해주셔서 더 맛있게 즐기다 왔습니다! 다음에 친구들 모임에 또 오고싶어요 굿 !🙏🏽"
1224469606,신사 모소리 본점,,,고기도 맛있고 특별하지만 와인이 아닌 위스키가 콜키지 프리란 미친 장점이 있습니다. 나만 알고 싶은 곳이지만 리뷰를 슥...
1224469606,신사 모소리 본점,,,고기도 맛있고 특별하지만 와인이 아닌 위스키가 콜키지 프리란 미친 장점이 있습니다. 나만 알고 싶은 곳이지만 리뷰를 슥...
1224469606,신사 모소리 본점,,,"그리고 특히 🌊바다님🌊 덕분에 너무너무 맛있게 먹었습니다 저희가 구웠으면 이런 맛이 절~~대 안나올거 같아요 사장님 혹시 이 리뷰 보시면 바다님 뽀너스라도 꼭 챙겨주세요,, 저희의 추가주문 지분 10000%가 바다님이십니다ㅎㅎㅎ 또 올께요!!"
1224469606,신사 모소리 본점,,,"그리고 특히 🌊바다님🌊 덕분에 너무너무 맛있게 먹었습니다 저희가 구웠으면 이런 맛이 절~~대 안나올거 같아요 사장님 혹시 이 리뷰 보시면 바다님 뽀너스라도 꼭 챙겨주세요,, 저희의 추가주문 지분 10000%가 바다님이십니다ㅎㅎㅎ 또 올께요!!"
1224469606,신사 모소리 본점,,,금호동에서 엄청 맛있다고 소문이났는데 신사에도 매장이 있길래 먹으러왔어요! 특수부위 처음인데 넘 맛있습니다ㅠㅠㅠㅠ 곁들임 반찬도 너무 잘나와서 반찬킬러인 저한테는 너무 좋습니다! 평소랑 조금 다른 특별한 고기 먹고싶을때 오기좋을거같아여 특수부위 첨이신분들은 한판 추천드려요!!! 여기 신사동 고기맛집이네용ㅎ
