가게ID,가게명,평점,날짜,리뷰내용
1123489755,도산분식 도산공원점,,,가게에 델몬트병이 있는 게 너무 신기했어요 🙂 음식도 맛있었어요 다음에도 이 근처에 오면 또 들릴 것 같아요😋
1123489755,도산분식 도산공원점,,,그리고 주문을 하게 되면 진짜 다 맛있어보여서 이것저것 시키게됨 분식메뉴라 가격도 적당하고 압구정로데오에서 힙하게 가성비 있게 먹을 수 있는 곳이라고 생각함
1123489755,도산분식 도산공원점,,,근처에 볼 일이 있어서 한 번 와봤는데 기대 이상으로 너무너무 맛있었고 가게도 엄청 깔끔하고 예뻤어요 :) 특히 육회김밥이 신기하고 엄청 맛있었습니다! 다음에도 방문하겠습니다 ㅎㅎ
1123489755,도산분식 도산공원점,,,급하게 들어왔는데 오랜만에 육회김밥 맛있었습니다~!! 돈까쓰 샌드도 굿굿!! 근데 순대튀김이 오랜만에 젤 맛있었어요!
1123489755,도산분식 도산공원점,,,김볶밥 즌짜 맛있어요ㅋㅋ꼭시켜야댑니당 그리고 순대튀김도 칠리소스랑 잘어울려요! 다음에는 무침만두랑 비빔면 먹어보려구요
1123489755,도산분식 도산공원점,,,다 맛있었지만 순대튀김이랑 스위트 모닝이 제일 좋았습니다. 튀김맛집 인정이구요.. 스위트 모닝은 달달한 아침햇살 밀크티 느낌에 계피 톡톡 올라간 맛인데 중독성 있는 맛이었어요. 카페에서 판다면 단골 될 맛..
1123489755,도산분식 도산공원점,,,맛있어용 ㅎㅎ 떡볶이 약간 매콤하고 육회김밥이랑 순대튀김이랑 다 특색있고 맛있네용
1123489755,도산분식 도산공원점,,,미용실갔다가 근처 식당 알아보다가 분식이 땡겨서 왔는데 너무 맛있어요 ㅎㅎ
1123489755,도산분식 도산공원점,,,스파이시포크볼도 매운 향만 있고 맵진않아서 맵찔이인 저는 너무 좋았습니다
1123489755,도산분식 도산공원점,,,어묵튀김떡볶이는 꼭 드세요! 어묵이 아주구냥 쫀딕쫀딕하고 넘 맛있어요 적당히 매콤해서 맵찔이도 가능! 육회김밥이랑 돈까스샌드도 맛있습니당
1123489755,도산분식 도산공원점,,,"어묵튀김떡볶이에 치즈 추가, 계란 추가, 육회 김밥, 김치볶음밥, 새우 카츠 샌드 시켰는데 너무 맛있습니다!"
1123489755,도산분식 도산공원점,,,"엄청 더운 여름날 아이랑 페로탕 서울에서 전시 본 후, 도보3분 거리에 맵지 않은 키즈 프랜들리한곳 찾기 미션 성공! 도산이 안창호의 호이며 섬도+뫼산이고 섬처럼 우뚝 솟은 산과 같은 분이라는 이야기를 해주며 교육적 시간 보내기에도 딱이었어요. 안창호 기념관도 가고 싶었으나 너무 더워서 패스."
1123489755,도산분식 도산공원점,,,"예전부터 꼭 와보고싶던 도산분식인데 역시 소문대로 너무 맛있네요..💓 제가 딱 좋아하는 밀떡의 말랑함과 적당히 맵고 달달한 양념, 육회김밥도 너무 신선하고 맛있어요! 생각보다 양도 많아서 완전 배부르게 먹었어요!! 또 먹고 싶은 맛이예요😋"
1123489755,도산분식 도산공원점,,,오랜만에 떡볶이 먹고싶어서 먹은 도산분식 맛있어요오 ◜◡◝ ♡
1123489755,도산분식 도산공원점,,,유명하다고 말만 들어보고 처음 먹어봤는데 전메뉴가 다 맛있어요!!! 돈까스도 너무 촉촉하고 육회김밥+떡볶이 조합이 꿀맛이에요 🥰 다음에 또 먹으러 올게요!!
