가게ID,가게명,평점,날짜,리뷰내용
1417591954,샤블리 신사본점,,,15개월 아기가 그릇에 코 박고 먹었어요ㅋㅋ 외출해서 아기랑 밥먹을때 샤브샤브 만한게 없어요. 직원분들도 다 너무너무 친절하셔서 기분좋게 식사했어요 정말감사해요 밖에서는 아이랑 밥먹기 쉽지않은데 너무 친절히해주셔서 감동이에요😭😭
1417591954,샤블리 신사본점,,,감사드려용^^ 친한친구나 제가 좋아하는 사람들하고 오기가 딱 좋구용 야채도 신선 고긱도 신선 너무 맛나용☺️
1417591954,샤블리 신사본점,,,강남역 샤브샤브 맛집 검색하다가 후기가 좋아서 왔어요 ! 매장도 깨끗하고 직원분도 친절하시고
1417591954,샤블리 신사본점,,,강아지가 있어서 애견동반식당 찾아서 연락드렸는데 친절하게 받아주시고 메뉴구성도 너무 좋고 월남쌈까지 나와서 부모님 모시고 오기 좋아요 샤브도 옆에서 잘라서 준비해주시고 너무 친절하셔용 🌟🌟🌟🌟🌟
1417591954,샤블리 신사본점,,,고기 싱싱하고 야채푸짐한데 이 가격에 먹을수 있는 곳이 신사동에 있어서 너무 좋아요
1417591954,샤블리 신사본점,,,"근처 일이 있어 들렀다가 우연히 왔어요. 무한리필 메뉴, 세트메뉴 등 다양한 구성으로 선택할수 있어 좋아요. 구이랑 샤브를 한번에 시키면 냄비가 작아 한가지 맛만 선택할수 있어서 저는 샤브만 했어요. 육수는 기본, 마라, 토마토가 있는데 토마토 육수가 되게 특이해요. 흔히 다른데서 먹던 맛이랑은 좀 다르게 매콤한맛이 약간 가미되어있어 맛있어요. 월남쌈 야채 구성도 알차서 맛있게 먹었어요 다음에 또 오려구요🙂🙂"
1417591954,샤블리 신사본점,,,너무 맛있게 먹었던 기억이 있어서 몇년만에 한번 더 찾아왔는데 역시 너무 맛있고 재료들도 신선하고 직원분도 친절하세요!! 너무오래전이라 처음왔다고말씀드렸는데 너무 잘 설명해주시고 챙겨주셔서 맛있게먹을수있었어요💕 또 올게요👍
1417591954,샤블리 신사본점,,,두번째 방문인데 육수 반반 선택도 되고 월남쌈 야채 무제한으로 먹을 수 있어서 좋아요~!! 맛집입니다!
1417591954,샤블리 신사본점,,,매장이 깨끗하고 고기 육수랑 야채들이 아주 신선해서 맛있게 잘 먹고 갑니다. 2인이지만 아주 배부르게 먹었어요. 순환률도 빨라서 전반적으로 재료들의 상태가 아주 싱싱한 것 같습니다. 신사 지나면 방문해 보시길 추천드려요
1417591954,샤블리 신사본점,,,매장이용법도 먹는법도 너무 친절하게 잘 설명해주시고 음식도 너무 맛있게 잘 먹었습니다:)
