가게ID,가게명,평점,날짜,리뷰내용
32269733,노아베이커리 압구정점,,,"“압구정 빵집 추천’, ‘수제 바게트 맛집’, ‘천연 발효빵’ 검색하면 뜨는 곳! 아침 일찍 가면 갓 구운 빵 냄새가 가게를 가득 채워서, 문 열자마자 들어가고 싶어져요."
32269733,노아베이커리 압구정점,,,걷다가 우연히 발견한 카페인데 케이크도 넘 맛있구 분위기도 좋아요 :)
32269733,노아베이커리 압구정점,,,근처 볼일이 있어서 왔다가 맛있는 빵집이라고 해서 블루베리베이글 하나 먹었습니다.
32269733,노아베이커리 압구정점,,,근처 볼일이 있어서 왔다가 맛있는 빵집이라고 해서 블루베리베이글 하나 먹었습니다.
32269733,노아베이커리 압구정점,,,노아베이커리 유명하다고 많이 들어서 가장 인기 많은 블루베리번 테이크아웃으로 구매했습니당!! 역시 소문대로 맛있네요 ㅎㅎㅎㅎ 다른 빵들도 먹어보고싶어요!
32269733,노아베이커리 압구정점,,,노아베이커리 유명하다고 많이 들어서 가장 인기 많은 블루베리번 테이크아웃으로 구매했습니당!! 역시 소문대로 맛있네요 ㅎㅎㅎㅎ 다른 빵들도 먹어보고싶어요!
32269733,노아베이커리 압구정점,,,노아베이커리의 케익은 맛있어서 비싸지만 생일 축하할 때마다 구입해요. 초코무스케이크가 너무 달지 않고 부드러워 맛있었습니다.
32269733,노아베이커리 압구정점,,,"들어가자마자 홀린듯이 쟁반에 미친듯이 담아버렸는데😋😭 차에서 참지못하고 콩빵을 베어물었어요. 의외로 굉장히 단순하면서도 투박하지만, 조화로운맛...!!"
32269733,노아베이커리 압구정점,,,맛도리 노아케이크 먹으러왔어요❤️ 압구정점이 역시 최고!
32269733,노아베이커리 압구정점,,,맛도리 노아케이크 먹으러왔어요❤️ 압구정점이 역시 최고!
32269733,노아베이커리 압구정점,,,모양새가 바게트 치고 너무 가느다란 느낌이라 먹고픈 식욕이 안생긴다. 좀 두껍고 묵직한 맛이 있어야 바게트지. 판단을 잘못한듯. 크기좀 늘려야 할듯
32269733,노아베이커리 압구정점,,,모양새가 바게트 치고 너무 가느다란 느낌이라 먹고픈 식욕이 안생긴다. 좀 두껍고 묵직한 맛이 있어야 바게트지. 판단을 잘못한듯. 크기좀 늘려야 할듯
32269733,노아베이커리 압구정점,,,미숫가루 라떼 달달하고 고소하니 맛있어요! 크렌베리 깜빠뉴는 담백해서 계속 들어가는 맛이에요. 키리쉬는 촉촉한 케이크 시트에 달달한 초코맛이라 맛없없 조합이었어요. 👍
32269733,노아베이커리 압구정점,,,미숫가루 라떼 달달하고 고소하니 맛있어요! 크렌베리 깜빠뉴는 담백해서 계속 들어가는 맛이에요. 키리쉬는 촉촉한 케이크 시트에 달달한 초코맛이라 맛없없 조합이었어요. 👍
32269733,노아베이커리 압구정점,,,분위기도 좋고 빵도 다양하게 많아서 좋아요. 맛도 있고 아이도 노아주스 좋아하네요^^
32269733,노아베이커리 압구정점,,,분위기도 좋고 빵도 다양하게 많아서 좋아요. 맛도 있고 아이도 노아주스 좋아하네요^^
32269733,노아베이커리 압구정점,,,"블루베리번이 유명해서 방문했습니다. 점심 1시쯤 갔을때 재고 있었고....약간 예상가능한 크림치즈맛 빵인데, 빵피가 정말 맛있었습니다. 개인적으로 쫀득한 빵피를 아주 좋아해서 식감이 정말 좋았고, 새콤달콤해서 느끼하거나 물리지 않고 먹을수 있었습니다. 가격이 사악하지만... 그래도 빵피때문레 재방문의사 있습니다."
32269733,노아베이커리 압구정점,,,"블루베리번이 유명해서 방문했습니다. 점심 1시쯤 갔을때 재고 있었고....약간 예상가능한 크림치즈맛 빵인데, 빵피가 정말 맛있었습니다. 개인적으로 쫀득한 빵피를 아주 좋아해서 식감이 정말 좋았고, 새콤달콤해서 느끼하거나 물리지 않고 먹을수 있었습니다. 가격이 사악하지만... 그래도 빵피때문레 재방문의사 있습니다."
32269733,노아베이커리 압구정점,,,빵 맛은 쏘쏘 ~~~ 카운터 남자분 알바생이 아니신거같은데 커피 주문하시는 어르신분들께 좀 친절하셨으면 좋겠어요 ~
32269733,노아베이커리 압구정점,,,빵 맛은 쏘쏘 ~~~ 카운터 남자분 알바생이 아니신거같은데 커피 주문하시는 어르신분들께 좀 친절하셨으면 좋겠어요 ~
32269733,노아베이커리 압구정점,,,빵이 너무 맛있어요 커피도 너무 맛있네요 ㅎㅎ
32269733,노아베이커리 압구정점,,,빵이 너무 맛있어요 커피도 너무 맛있네요 ㅎㅎ
32269733,노아베이커리 압구정점,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
32269733,노아베이커리 압구정점,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
32269733,노아베이커리 압구정점,,,"알콩, 달콩은 이름처럼 잘 어울려요. 알콩빵에는 콩,완두콩이 들어가 고소하고 건강식이라 할 수 있어요. 속에 단팥도 덜 달아서 좋아요."
32269733,노아베이커리 압구정점,,,"엄청 맛있어보이는 빵들이 많았고, 케이크거 크기별로 있어서 좋았고, 빵 종류도 정말 다양했어요."
32269733,노아베이커리 압구정점,,,여자 직원분 응대가 항상 의아해여ㅠ 처음 방문했을때 케이크 두개를 예약했고 혼자 가져가기 힘들어서 손잡이봉투를 요청했는데 봉투가 다 떨어졌다 하시다가 봉투 가져오겠다하고 10분 기다려서 받아갔었어요. 두번째 방문때는 포스기에 문제가 생겼는데 그냥 죄송하다는 말도 없이 기다리라는 말만 한참ㅠㅠ친절한 것도 아니었지만 딱히 불친절한 것도 아니여서 바쁘니 그럴 수 있지 넘어갔었는데요. 오늘도 홀케이크 픽업하면서 조각케이크 포장했는데 가져갈때 손잡이봉투는 없다는 사실을 알려주심.. 포장하고 계산까지했는데 우짜겠어요 한손으로 묘기부리면서 버스탐ㅋ 손잡이 봉투 없으신데 혼자 가져가기 괜찮으시겟냐 한번만 물어만 봐주셨음 좋았을텐데ㅠㅠ 여기가 가까워서 자주 왔는데 이젠 다른 지점 이용할 것 같습니당..
32269733,노아베이커리 압구정점,,,여자 직원분 응대가 항상 의아해여ㅠ 처음 방문했을때 케이크 두개를 예약했고 혼자 가져가기 힘들어서 손잡이봉투를 요청했는데 봉투가 다 떨어졌다 하시다가 봉투 가져오겠다하고 10분 기다려서 받아갔었어요. 두번째 방문때는 포스기에 문제가 생겼는데 그냥 죄송하다는 말도 없이 기다리라는 말만 한참ㅠㅠ친절한 것도 아니었지만 딱히 불친절한 것도 아니여서 바쁘니 그럴 수 있지 넘어갔었는데요. 오늘도 홀케이크 픽업하면서 조각케이크 포장했는데 가져갈때 손잡이봉투는 없다는 사실을 알려주심.. 포장하고 계산까지했는데 우짜겠어요 한손으로 묘기부리면서 버스탐ㅋ 손잡이 봉투 없으신데 혼자 가져가기 괜찮으시겟냐 한번만 물어만 봐주셨음 좋았을텐데ㅠㅠ 여기가 가까워서 자주 왔는데 이젠 다른 지점 이용할 것 같습니당..
32269733,노아베이커리 압구정점,,,"역 앞이라 접근성 좋았구 픽업 가능할지 확실하지 않아서 예약 안하고 갔는데 마침 0호, 1호 둘 다 있어서 크기 비교해 보고 0호면 충분할 것 같아서 잘 구매했습니당"
32269733,노아베이커리 압구정점,,,"역 앞이라 접근성 좋았구 픽업 가능할지 확실하지 않아서 예약 안하고 갔는데 마침 0호, 1호 둘 다 있어서 크기 비교해 보고 0호면 충분할 것 같아서 잘 구매했습니당"
32269733,노아베이커리 압구정점,,,와우✨️ 여기 카페 배경이 뷔님이여서 사람들이 지나가면서 계속 사진찍어요😆
32269733,노아베이커리 압구정점,,,와우✨️ 여기 카페 배경이 뷔님이여서 사람들이 지나가면서 계속 사진찍어요😆
32269733,노아베이커리 압구정점,,,원래 치아바타로 유명한데 깜뻐뉴 좋아해서 파리의연인먹어봤어요
32269733,노아베이커리 압구정점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32269733,노아베이커리 압구정점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
32269733,노아베이커리 압구정점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이
32269733,노아베이커리 압구정점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이
32269733,노아베이커리 압구정점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
32269733,노아베이커리 압구정점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목, 가족모임부모님"
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친척・형제
32269733,노아베이커리 압구정점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친척・형제
32269733,노아베이커리 압구정점,,,집가서 먹어봤는데 크림치즈는 빵이 말랑 떡 같고 안에 치즈 짱 많아서 맛있어요 초코 모닝빵은 초코가 진짜 콕콕콕 박혀있어서 진하고 맛있습니다 아침에 먹으면 딱 머리 돌아갈 것 같아여 최곹 다음에 다른 빵도 먹어봐야지
32269733,노아베이커리 압구정점,,,집가서 먹어봤는데 크림치즈는 빵이 말랑 떡 같고 안에 치즈 짱 많아서 맛있어요 초코 모닝빵은 초코가 진짜 콕콕콕 박혀있어서 진하고 맛있습니다 아침에 먹으면 딱 머리 돌아갈 것 같아여 최곹 다음에 다른 빵도 먹어봐야지
32269733,노아베이커리 압구정점,,,커피도 라떼를 우유랑커피랑 에초부터 혼합해서 주는 커피가 어디있나요? 할머니스탈일로 주시는겁니까? 한산 한데 카운터쪽은 4명이나 있으면서 커피 제조는 느려요~
32269733,노아베이커리 압구정점,,,커피도 라떼를 우유랑커피랑 에초부터 혼합해서 주는 커피가 어디있나요? 할머니스탈일로 주시는겁니까? 한산 한데 카운터쪽은 4명이나 있으면서 커피 제조는 느려요~
32269733,노아베이커리 압구정점,,,"커피와 마들렌, 휘낭시에가 모두 맛있었습니다. 공간이 넓은데 테이블 수가 적어 좀 아쉬워요. 비싸지만 맛있어서 만족합니다."
32269733,노아베이커리 압구정점,,,"특히 ""파리의 연인” “모카빵"" 강추~"
32269733,노아베이커리 압구정점,,,"특히 ""파리의 연인” “모카빵"" 강추~"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,bakery and coffee by kundal
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"근처에서 밥 먹고 카페 찾는데 생각보다 다들 일찍 닫고 유일하게 열한시까지 영업하길래 처음 와본 카페인데 음료도 빨리 나오고 아메리카노 만족스럽게 마셨습니다! 디카페인 있어서 좋고, 직원분들도 친절하셔서 좋았어요 :) 다만 밤 시간에 가니 지하에 클럽이 있는 건지 밑에서 진동 울리는 느낌이랑 음악 소리가 의자를 타고 몸까지 전달되는 점은 살짝 아쉬웠습니다 ㅜㅜ"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"내가 주문한 건 플랫화이트와 먹물 소보로 애플 크로플, 그리고 스페셜 아이스커피인 인디핑크 크림이었어. 플랫화이트는 부드럽고 깊은 커피의 풍미가 일품이었고, 인디핑크 크림은 이름처럼 색감도 예쁘고, 시원하면서 달콤한 맛이 매력적이었어. 마치 커피 한 잔으로 기분까지 힐링되는 느낌이랄까?"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,다신 안가고 싶음. 쿤달 제품 원래 종종 구매했었는데 앞으로 다른 것 써야하나 싶을 정도 최악의 경험이었음
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,다양한 맛있는 드립커피와 예쁜잔 좋은 사람들과 조용한 시간 보내기 좋아요. 너무 힐링됩니다. 좋아요~~
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,빵도 맛있고 일반 커피도 원두 선택해서 마실수 있어서 좋고 무엇보다도 드립커피가 참 맛있습니다. 고급와인을 마시는 듯한 향과 바디감이 아주 좋습니다. 다른 곳에서 드립커피 주문해보지만 확실히 비교가 되네요. 원두도 따로 사와서 먹고있습니다. 또한 늘 친절한 응대에 감사드립니다.
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"시끌시끌 하긴 하지만, 역도 가깝고 커피맛도 나쁘지 않아요."
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,예뻐서 압구정 놀러갈 때 종종 들르는 곳인데 빵도 음료도 맛있어요🥐🥤 가격대는 사악한 편이지만 그만큼 예쁘고 맛있어서 값어치있어요✨️ 시즌별로 메뉴가 조금씩 바뀌는데 이번에 도전한 핑크 크림 라떼가 너무 맛있네요☕️ 내부도 널찍한데 평일은 한가한 편이지만 주말엔 사람 엄청많아요
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,올때마다 츄로플에 아이스크림은 꼭 올려서 먹어용
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,이 근처에서 9시 이후까지 영업하는 카페가 몇 없어서 왔는데 수다떨기 좋고 커피도 맛있어요
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,인테리어도 예쁘고 티젠망고구아바 에이드도 맛있어요 ~~
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,잠시 머무르고 갔지만 그동안에 창밖으로 지나가는 사람 구경도 하고 여유를 즐긴게 꽤 힐링되었네요
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,저 빵 이름 기억 안나는데 넘 맛있어여;;;;; 부드럽고 촉촉하구 쫀득함...🧡🧡🧡🧡 하나밖에 안남은 이유가 있었어!
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 가족모임연인・배우자, 부모님"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자, 친구"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"친구들이랑 밥먹고 대화하러 왔는데 커피도 베이커리도 의외로 너무 맛있어서 대만족했어요🍰❤️ 야생화허니라떼, 라떼, 부시드노엘 케이크, 빅토리아케이크 전부 추천해요 특히 빅토리아케이크 맛있게 먹었어요"
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,"커피는 산미가 느껴지는 스타일이었는데, 안에 들어간 크림이랑 조화롭게 어우러져서 저는 꽤 만족함^^b 하지만 남자친구는 산미가 있는 커피를 선호하지 않아서 호불호가 갈릴 수도 있을 것 같음! 디저트로 시킨 케이크는 맛 자체는 좋았지만, 냉장고에서 바로 나온 느낌이라 살짝 차갑고 부드럽지 못한 점이 아쉬웠음.."
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,쿤달에서 운영하는 플래그십 베이커리 겸 카페예요.
1201043555,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,,,쿤달제품 이용하는 소비자로 신기한 까페였어요 ㅎㅎㅎ 베이커리까페답게 디저트도 맛나고 다양한 원두커피로 고르는 재미가 가득했어요!
1020170491,카페 공명 신사 가로수길점카페,,,건물 전체가 카페라서 공간이 여유럽고 방마다 느낌도 다르고 공부나 작업할 때도 좋을거 같아요.
