가게ID,가게명,평점,날짜,리뷰내용
1432373629,꽁티드툴레아브런치,,,#압구정레스토랑 #꽁티드툴레아 #브런치맛집 #레몬엔초비파스타 #베이컨와플 #부라타샐러드 #감성레스토랑 #데이트코스맛집 #서울핫플#압구정브런치카페#압구정 데이트 맛집#압구정 디저트 카페#압구정 파스타 맛집
1432373629,꽁티드툴레아브런치,,,너무 맛있게 잘 먹었어요. 외국인들이 많이 와서 사진 많이 찍으시던데 저희는 이야기하고 먹기만 ㅎㅎㅎㅎ사진도 몇장 찍었는데 야외에서 초록 나뭇잎 배경으로 찍으니 다 너무 잘 나오더라구요. 양은 살짝 적은감이 있지만 다 맛있게 잘 먹었어요^^
1432373629,꽁티드툴레아브런치,,,"리뷰 1,176사진 5,647팔로워 605테마 28"
1432373629,꽁티드툴레아브런치,,,"리뷰 369사진 1,142팔로워 49"
1432373629,꽁티드툴레아브런치,,,"맥주한잔 하기 좋았어요..치즈플레이트, 레몬 엔쵸비파스타와 페일라거..먹는동안 행복한 시간을 만들어주는 예쁜장소😍"
1432373629,꽁티드툴레아브런치,,,반려동반 되는 점 너무 좋아요 센스있게 물도 챙겨주시고 세심한 배려에 감동🥺🤍
1432373629,꽁티드툴레아브런치,,,분위기 갑입니다. 더운 날씨이지만 비만 오지 않았다면 밖에 앉았을것 같네요^^ 치즈케잌 신메뉴라는데 맛있습니다
1432373629,꽁티드툴레아브런치,,,분위기는 정말 좋아요 다만 제로콜라245ml 5000원 이라는 사악한 가격 ㅠㅠ 웨이팅 따로 쓰는거 없고 걸어놓을 수도 없고 직접 줄 서야합니다 이것도 좀 불편한듯 ㅠ
1432373629,꽁티드툴레아브런치,,,솔직히 비싸요! 분위기 좋아요. 외국인들이 진짜 많네요. 가게가 꽤 커서 오픈런까진 안하고 그냥 오픈할때 들어가면 젤 베스트!!! 음식값은 비싸고 양 적은데 맛은 있어요! 실내 실외 둘다 앉아봤는데 요즘 날이 좋아서 밖에서 놀아도 좋아요. 직원 친절하고 선결제 입니다 ^^
1432373629,꽁티드툴레아브런치,,,식사시간피해서오면 웨이팅 없이 입장가능 (평일 2시방문)
1432373629,꽁티드툴레아브런치,,,"압구정에서의 브런치, 햇살 좋은 날 테라스에서 즐길 수 있어서 좋았어요"
1432373629,꽁티드툴레아브런치,,,야외 공간이 넓게 있고 실내에도 좌석이 적지 않게 있습니다. 공간대비 사람이 많은 편이라 전반적으로 혼잡스럽지만 인테리어가 예쁘게 되어있어서 분위기가 좋어 한번쯤 가볼만은 하다고 생각합니다. 물론 줄을 오래 서면서까지 방문할 가치가 있는지는 잘 모르겠습니다.
1432373629,꽁티드툴레아브런치,,,"어마어마한 예약과 대기가 있는곳이었요! 친구가 다행히 캐치테이블로 예약해서 바로입장하고, 좋은 자리에 들어갔어요~! 엔쵸비파스타 맛있고 초코 디저트도 좋았어요~! 외국 손님들이 많이 찾아오셨어요~! 골고루 시켜서 먹기를 추천합니다~!"
1432373629,꽁티드툴레아브런치,,,엔초비파스타가 넘넘 맛있는 곳이에요 ♥‿♥ 오일파스타 잘 안먹는 남자친구도 인정한 맛 ㅎㅎㅎㅎㅎ 초코무스는 넘 달아서 많이 못먹었어요..! 또 갈게요 :)
1432373629,꽁티드툴레아브런치,,,여기 따라오는 데는 없는거같아요 왜냐하면 다른 브런치 파는곳은 메뉴가 다 거기서 거기인데 여기는 여기만의 메뉴가있고 또 압구정에 비하면 가격도 그리 부담스럽지 않고 분위기도 좋고 플레이팅이 정말 다 너무 예뻐요!! 사람들이 꾸준히 많은데는 이유가 있습니다 꼭 가보세요! 예전보다는 웨이팅이 좀 덜합니다~
1432373629,꽁티드툴레아브런치,,,오랜만에 왔는데 여전히 핫하고 사람들이 많아서 30분 정도 대기 했다가 들어갔어요. 주문하고 음식이 금방 나와서 좋았어요~ 예전보다 맛이 조금 더 마일드해진 느낌이 있어서 조금 아쉬웠지만 잘 먹고갑니다:-) 야외 분위기가 너무좋아서 사진찍기 최고네요ㅎㅎ
1432373629,꽁티드툴레아브런치,,,오픈런시간에 예약하고 왔는데도 만석이네요! 외국인들 사이에 핫플이된거 같아요 우리빼고 다 외국인이였어요 맛있었습니다~
1432373629,꽁티드툴레아브런치,,,오픈런해서 다행히 웨이팅없이 바로 들어왔어요 드디어 와본 꽁티드 툴레아 분위기 진짜 좋네요 특히 야외공간 유럽감성 나고 너무 예쁘고 여전히 엄청 핫하네요 사람들 바글바글 외국손님도 많아서 외국감성 뿜뿜 분위기도 좋고 맛있게 잘먹고 친구들과 힐링하고 왔어요
1432373629,꽁티드툴레아브런치,,,와인이 다양하고 맛을 세세하게 잘 적어주셔서 고르기 좋았습니다!!
1432373629,꽁티드툴레아브런치,,,유명한 브런치 맛집. 항상 대기있는 편이라 예약 후 이용하는게 좋아요. 음식도 괜찮고 분위기 예뻐요.
1432373629,꽁티드툴레아브런치,,,"저녁에 방문예약 후 이용대기 시간 10분 이내 친목, 일상친구, 지인・동료"
1432373629,꽁티드툴레아브런치,,,"점심 저녁 언제와도 좋은곳인데 또 단순히 커피만, 와인한잔만 하러 들러도 좋은 곳 입니다 🥂"
1432373629,꽁티드툴레아브런치,,,"점심에 방문예약 없이 이용대기 시간 10분 이내 가족모임, 일상, 데이트, 친목연인・배우자, 지인・동료, 친구, 반려동물, 친척・형제"
1432373629,꽁티드툴레아브런치,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료, 친구"
1432373629,꽁티드툴레아브런치,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1432373629,꽁티드툴레아브런치,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트친구, 친척・형제"
1432373629,꽁티드툴레아브런치,,,"제가 요 근래에 먹었던 브런치 중에서 제일 맛있었고, 직원분들의 친절함도 정말 좋았어요! 인테리어 또한 멋있었던 공간이라 힐링됐던 기억이 나네요! 💖 만약 그 쪽으로 갈 일이 생긴다면 또 다시 갈 것 같아요. 고소한 커피맛을 좋아하신다면 무조건 아메리카노를 드세요! 정말 맛있어요 💌💌"
1432373629,꽁티드툴레아브런치,,,첫방문이였는데 전화로 애매한 상황 설명할때 너무 잘 들어주시고 해결책도 잘 제시해주셔서 너무 감사했어요 저희는 좀 일찍와서 늦게온 친구 기다리는데 인테리어 감성도 맘에 들고 직원분들도 친절하게 해주셔서 기분이 좋았어요
1432373629,꽁티드툴레아브런치,,,"파스타는 엔초비 맛 많이 안나고 살짝 매콤해서 맛있었고 김치볶음밥은 가격이 비싸다 생각했는데 막상 먹다보니 양도 많고 맛있어서 만족했어요!! 브런치 즐기러도, 카페 이용으로 방문하기에도 모두 좋은 곳이었습니다"
1432373629,꽁티드툴레아브런치,,,🍫초코무스_ 말해뭐해 이건 꼭 시키세요 완전 초코 그자체 위에 생크림.??이랑 먹으면 단맛이 그렇게 강하지 않아요 식사하고 나중에 달라고 하면 그때 주기도 하니..꼬옥 드셔주세요 ㅠ
1421920981,르봉구떼,,,갈레트는 처음 먹어보는데 오픈 샌드위치처럼 크레페를 오픈형으로 먹는 느낌이에요ㅎㅎ
1421920981,르봉구떼,,,남편이 연어별로안좋아하는데 제가 너무먹고싶어 시켰는데 생각보다 맛있다며 잘먹더라구용 ㅎㅎㅎ
