가게ID,가게명,평점,날짜,리뷰내용
83612604,어썸로즈 가로수길점,,,가족 모임으로 들렀는데 조금 일찍 왔더니 대기도 없고 너무 분위기도 좋아요~ 음식 맛도 좋고 짠 걸 안좋아하는데 간도 잘 되어있어서 잘 먹었어요 부모님이랑 함께 한 시간이라 행복했어요~!
83612604,어썸로즈 가로수길점,,,데이트 코스로 넘 좋은 어썸로즈에요. 로맨틱한 분위기와 세트 메뉴 구성과 맛도 넘 좋았어요! 끝나고 나면 로즈도 주시는 최고의 레스토랑. 직원분들 서비스도 좋아서 행복한 식사되었습니다^_^ 또 올게요!!
83612604,어썸로즈 가로수길점,,,로즈에 진심인 곳! 입구부터 장미넝쿨이 있고 파스타와 계산 후 꽃까지 받았어요 식사도 빨리 나오는데 그 시간조차 지루하지 않도록 군데군데 포토존도 있고 사진기도 있어서 재미있게 찍다보니 식사가 금방 나오더라고요 매번 중식이나 일식 위주로 가다가 간만에 멋진 곳에서 교양있게 식사해보자며 찾아간 곳인데 재방문의사 있습니다! 모든 직원분들도 친절하시고 자리가 편안해서 너무 좋았어요 맛있게 잘 먹었습니다!
83612604,어썸로즈 가로수길점,,,맛있게 잘 먹었습니다:) 첫 방문인데 너무 만족스러웠어요~~!
83612604,어썸로즈 가로수길점,,,매장에 꽃 천국이라 분위기도 좋은데 음식 나오기전에 장미꽃 주시고 갈 때도 꽃 주시는 거 너무 낭만😚🌹음식도 전부 맛있어서 바닥까지 긁어 먹었음다...ㅎ 사진 찍을 곳도 많고 잘 나와서 굿!
83612604,어썸로즈 가로수길점,,,"배부르게 잘 먹었습니다. 내부가 넓고 테이블이 많았어요. 음식이 생각보다 빨리 나와서 좋았어요. 파스타는 살짝 간이 쎈 느낌이라 식사보다는 술과 어울리는 느낌이었고, 스테이크덮밥은 간이 딱 좋았어요."
83612604,어썸로즈 가로수길점,,,세로수길 지나다보면 앤틱한 티비에 비친 내 모습에 끌려 방문한 집. 지하이지만 깔끔하고 인테리어도 멋져요. 음식도 굳입니다.
83612604,어썸로즈 가로수길점,,,"세트메뉴도 잘되있구 포토존도 있어서 연인,친구끼리 방문하기 너무 좋은거같아요💕"
83612604,어썸로즈 가로수길점,,,"스프부터 파스타, 덮밥, 샐러드까지 다 너무 맛있습니당! 식당 분위기도 깔끔하고 좋아요 :) 지인들과 방문했는데, 분위기가 차분해서 대화를 나누기 정말 좋았어요!"
83612604,어썸로즈 가로수길점,,,"식용 장미를 데코로 올려주셨는데, 파스타와 함께 먹었을때 장미향이 은은히 퍼져서 신기했어요! (식용장미 처음 먹어봄🤭)"
83612604,어썸로즈 가로수길점,,,"신사동 어썸로즈에서의 경험은 정말 완벽했어요. 우선 매장 분위기부터 감각적이고 세련돼서 들어서는 순간 기분이 좋아졌습니다. 음식은 플레이팅부터 훌륭했고, 특히 시그니처 메뉴는 재료의 신선함과 맛의 밸런스가 탁월했어요. 하나하나 정성스럽게 만든 느낌이 강하게 전해졌습니다. 직원분들의 응대도 친절하고 자연스러워서 편안하게 식사할 수 있었어요. 신사동에서 분위기 좋고 맛까지 확실한 곳을 찾는다면 어썸로즈는 꼭 추천드리고 싶습니다. 다음엔 친구들과 함께 재방문할 예정이에요."
83612604,어썸로즈 가로수길점,,,"알리오올레오 파스타, 해물 토파토 파스타, 스테이크, 스테이크덮밥 먹었는데 다 맛있네용ㅎㅎ 지하인데도 분위기 좋고 쾌적해요. 스테이크 굽기 적절하구 알리오올리오 추천해요!"
83612604,어썸로즈 가로수길점,,,압구정 왔다가 파스타 먹고 싶어서 근처에 있길래 들렀는데 파스타도 맛있고 스테이크도 괜찮았어요!
83612604,어썸로즈 가로수길점,,,"어썸로즈 몇년전에 와봤었던 곳이였는데, 아직 그자리에 위치해 있어서 너무 반가웠어요~!!☺️👍🏻 역시 음식도 맛있고 친절하셔서 너무 좋았습니다~!!😆 다음번에도 다시 한번 방문하고 싶을정도로 음식도 맛있고 좋았습니다~!!🍀"
83612604,어썸로즈 가로수길점,,,어썸로즈 엄마랑 데이트왔는데 너무 분위기도 좋고 맛도 있어서 성공적이었어요>< 스테이크 진짜 바로 구워주셔서 넘 부드럽고 파스타도 고소했어요 ㅎㅎ 친절하시고 아늑한 분위기가 너무 좋았습니다 가로수길에 소개팅이나 모임으로 와도 넘 추천이에요 ㅎㅎ
83612604,어썸로즈 가로수길점,,,예약하고 오면 장미한송이 주시는데 너무 기분 좋아요! 파스타랑 스테이크도 너무 맛있고 분위기도 좋아서 데이트 하러 오기 좋습니다!
83612604,어썸로즈 가로수길점,,,예전에 검색 해놓고 인제서야 와보내요~ 맛도 좋고~~ 분위기도 좋고 영상보는 재미도 있구요~~ 알리오 올리오는 맛있구요~ 토마토파스타는 좀 밍밍했어요~
83612604,어썸로즈 가로수길점,,,완전 역대급이에요. 너무 맛있고 분위기도 데이트하기 좋을거 같아요. 너무 추천드리고 예약하고 오시는거 추천드려요
83612604,어썸로즈 가로수길점,,,우연히 들어왔는데 너무 맛있어요! 특히 스테이크가 정말..👍🏻👍🏻 가성비도 좋고 친절해서 기분 좋게 식사하고 가네요 스테이크 강추입니다~!
83612604,어썸로즈 가로수길점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
83612604,어썸로즈 가로수길점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
83612604,어썸로즈 가로수길점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
83612604,어썸로즈 가로수길점,,,전 토마토 스파게티를 좋아해서 주문했는데 토마토 소스 맛은 안나고 다른맛이 나서 조금 아쉬웠어요.
83612604,어썸로즈 가로수길점,,,"전반적으로 만족도가 높았습니다. 입구부터 꽃 포토존과 샹들리에가 있어서 분위기가 특별했어요. 2인 로즈 세트를 주문했는데, 양송이 스프는 부드럽고 고소해서 시작하기 좋았고, 어썸로즈 파스타는 장미꽃이 올라간 비주얼이 예쁘면서 크림과 토마토 소스가 조화를 이뤄 느끼하지 않고 끝까지 맛있게 먹을 수 있었습니다. 새우도 탱글탱글해서 만족스러웠어요. 메인인 한우 로즈 스테이크는 미디움 레어로 주문했는데 겉은 바삭하고 속은 촉촉해 육즙이 가득했고, 구운 채소와 곁들여 먹으니 균형감이 좋았습니다. 직원분들도 친절하게 응대해 주셔서 편안하게 식사할 수 있었고, ""강남 소개팅""이나 ""압구정 맛집""을 찾는 분 추천"
