가게ID,가게명,평점,날짜,리뷰내용
32383071,두사라 신사점,,,간만에 분위기 다른 곳에 방문해서 기분전환 하구 왔네요♡ 맛잇게 잘먹었습니다^^
32383071,두사라 신사점,,,두사라 신사점 메뉴가 빠짐없이 다 맛있어요 사시미 겉바속촉 고구마 사바 보우스시 한치 다리튀김까지! 아구간 요리도 먹고 싶었는데 재료 소진으로 못 먹어서 아쉬워요! 친구랑 분위기도 좋고 맛도 좋아서 즐거운 토요일 저녁 보냈어요🧡
32383071,두사라 신사점,,,두사라 코스로 예약후 방문하였음. 음식 전체적으로 맛있었고 분위기도 괜찮았음.
32383071,두사라 신사점,,,룸이 없다는걸 깜빡하고 예약변경을 할까 고민하다가 바테이블에서 즐거운 시간 보냈습니다 콜키즈프리 와인한병을 맛있게 다 비울만큼 요리가 좋았습니다
32383071,두사라 신사점,,,"사시미랑 고등어 초밥, 메로구이 먹었는데 세 가지 음식 모두 신선하고 맛있었습니다."
32383071,두사라 신사점,,,"사시미부터 한치 다리 튀김, 꿀고구마 튀김까지…하나같이 다 맛있었던 두사라❤️🤭"
32383071,두사라 신사점,,,싱싱해서맛있던사시미와 신라호텔출신셰프님의 다양한기술을엿볼수잇었어요
32383071,두사라 신사점,,,여자분 서버 너무 친절하시고 좋았어요. 음식도 맛있었습니다. BUT the other male staff could have been more welcoming and they could have said goodbye.
32383071,두사라 신사점,,,음식 맛은 좋았지만 술마시는 두 그룹이 너무 시끄러워서 다시 가기는 어려울 것 같아요.
32383071,두사라 신사점,,,음식 맛있어요. 한치 튀김 대박 !!! 친절하고 서빙을 일본분이 해주셔서 더 느낌이 있어요 ㅎㅎ
32383071,두사라 신사점,,,음식이깔끔하고맛있네요. 스텝분들도친절하시고.만족스런식사였어요~
32383071,두사라 신사점,,,재료가 신선하고 친절하며 음식이 맛있어 앉은 자리에서 술을 많이 먹게 되는 마성을 가진 집!
32383071,두사라 신사점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 일상연인・배우자"
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
32383071,두사라 신사점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
32383071,두사라 신사점,,,전체적으로 가격은 좀 비싼 편이었는데 다음엔 고기류를 먹어보고 리뷰해볼께요
32383071,두사라 신사점,,,주기적으로 방문하는 곳이에요 새로생긴 현점도 좋지만 신사점이 더 좋아서 약속날짜를 바꿔 방문하였습니다~ (신사점은 월요일 휴무)
32383071,두사라 신사점,,,지난번에 왔을 때 코스요리 맛있게 먹어서 찾았는데 이번에는 임신으로 회를 못먹어서 단품 메뉴들로 주문하였는데 역시나 맛있었습니다~
32383071,두사라 신사점,,,진짜…가격에 비해…너무 별로이게 나옴;;; 특히 튀김……..;;;; 너무 조금 나와요….
32383071,두사라 신사점,,,초회 메로구이 물회도 다 맛있어요. 친구들이랑 대화하기 너무 좋은분위기입니다.
32383071,두사라 신사점,,,콜키지는 2만원에 가능하기 때문에 근처 와인앤모어에 들렸다 가는 것도 추천!!
32383071,두사라 신사점,,,퀄리티 좋은 사시미와 요리가 맛있는 이자카야에요
32383071,두사라 신사점,,,테이블이 넓어서 모임하기에 딱 좋은 이자카야
31202538,미카 압구정점,,,"1층, 2층으로 구성되어 있고 2층에 테이블 좌석이 많아요."
31202538,미카 압구정점,,,갈때마다 알밥정식 잘 먹구 있습니다 ㅎㅎㅎ 돈까스랑 알밥이랑 김치우동 다 맛있어요!!!
31202538,미카 압구정점,,,광어 생선회 고노와다 강추 ~! 녹진하고 향이 굿입니다. 연어도 맛있어요. 왕새우튀김 네이밍대로 정말 크네요. 튀김옷이 바삭바삭 너무 맛있어요. 어묵탕도 어묵 종류도 많고 국물도 깔끔해서 좋아요. 예쁘신 여자 직원분 친절하시고 센스도 만점이십니다~! 다음번에는 안 먹어본 메뉴를 또 도전해 보아야겠어요☺️
31202538,미카 압구정점,,,냉모밀 싱겁다는 리뷰있던데 별로 안싱겁고 면발정말 부드럽고 쫄깃해요. 재방문할게요
31202538,미카 압구정점,,,"냉모밀이 너무 싱거워요; 진짜 그냥 맹물이라 넣을 거 없냐고 물어봤는데 알바인지 직원인지 퉁명스럽게 없다고 하고 심지어 간장도 없다고 하네요,, 주방에 물어보고라도 오시지 ㅎㅎ.. 그럼 저 냉모밀은 뭘로 만드신건지ㅠ 그리고 나갈 때 계산하려고 하니까 뭐 먹었냐고 물어보더라구요 포스기도 안찍으시나봐요"
31202538,미카 압구정점,,,"너무 불친절 했어요. 윗층은 서빙이 힘든지 그냥 밑에 1층 앉으라고 하고, 뭐 주문해도 대답도 없고... 음식은 그냥 던지다 싶이 하네요.다시는 안가라것 같은데, 기분나쁘게 한것 만큼 더러운 리뷰 남깁이다. 제발 친절히 대해 주세요."
