가게ID,가게명,평점,날짜,리뷰내용
1527657577,골드참치,,,(VIP스페셜) 압구정 참치 맛집 찾다가 발견했는데 참치가 입에서 살살 녹고 너무 맛있었어요 ! 직원분도 너무 친절하셔서 더 맛있게 잘 먹었습니다. 귀여운 이벤트도 있어서 기념일에 방문하시면 더 좋을 듯 해요 :)
1527657577,골드참치,,,"VIP스페셜코스 먹었어요~ 부위별로 설명도 해주시고 일단 참치집은 참치가 맛있어야된다 생각하는 사람인데 참치가 신선도가 너무 좋아요 그렇다고 스키가 맛이없냐? 그것도 아니고 안키모부터 새우튀김, 생선조림 맛이 없는 메뉴가 없네요~ 직장동료에게 감사의 의미로 데리고간 자리였는데 그만큼 값어치 있는 자리였던거 같아요! 아 그리고 자리를 케어해주는 매니저님(?)이 계신데 입담부터 서비스까지 너무 훌륭했어요! 다음에도 계시길 바랄게요😄😁😄"
1527657577,골드참치,,,가로수길 근처에서 ‘소중한 사람과 함께 오기 좋은 곳’이라 말씀해주시니 저희가 꿈꾸던 방향이 딱 그거였습니다.
1527657577,골드참치,,,"골드참치집은 주차가 가능해서 방문하기 편리하고, 내부도 깔끔하고 넓어서 모임이나 회식 장소로 아주 잘 어울립니다. 신선한 참치가 푸짐하게 나와서 만족도가 높고, 다양한 부위가 준비되어 있어 입맛에 따라 골라 먹는 재미도 있습니다. 특히 셰프님이 직접 정성껏 준비해 주시는 스시와 사시미가 고급스럽고 맛이 뛰어나 기억에 남습니다. 좌석도 바 테이블부터 단체석, 좌식 공간까지 다양해 인원과 분위기에 맞게 선택할 수 있어 좋습니다. 음식의 퀄리티와 양, 그리고 분위기까지 모두 갖춘 곳이라 가족 모임은 물론 직장 회식에도 강력 추천합니다."
1527657577,골드참치,,,"귀한 손님 모시고 저녁에 방문했는데, 영양 보충하셨다며 너무 맛있게 드셨다고 합니다. 얘기 나누느라 사진을 나중에 찍었지만, 참치는 부위 별로 다양한 맛을 즐길 수 있다고 신기해 하며 마지막 디저트까지 맛있게 먹었습니다 맛은 두말할 필요 없이 인정이며, 너무 친절하시고 룸도 조용하고 친목하기 좋은 장소입니다^^"
1527657577,골드참치,,,"그 마음이 고객님께 전해져 이렇게 다시 찾아주시는 걸 보면, 저희가 지켜야 할 길이 틀리지 않았음을 느낍니다."
1527657577,골드참치,,,"그런 노력을 알아봐주시고, 많은 분들이 찾아와 주셔서 이 곳 작은 가게를 방문해 주시네요."
1527657577,골드참치,,,"남자친구 진급 축하기념으로 다녀왔는데, 오랜만에 먹는 참치인데 너무 맛있었어요!! 한 점 크기도 너무 도톰하고, 신선하고 고소했어요. 특히 매니저님이 너무 센스있고 기분 좋게 대해주셔서 특별한 날에 오길 정말 잘했다는 생각이 들었습니다ㅎㅎ🥰"
1527657577,골드참치,,,"남편이 제 생일을 맞아 골든참치를 예약해줬는데, 정말 최고의 선택이었어요! 🥰 먼저, 참치 질이 엄청 좋아서 입에서 살살 녹더라고요. 각 부위별로 상세히 설명해 주셔서 더 맛있게 즐길 수 있었어요. 매장도 넓고 쾌적해서 분위기가 너무 좋았고, 특히 둘만의 시간을 보내기 좋은 룸으로 안내해주셔서 프라이빗하게 즐길 수 있었답니다. 😊 마지막으로 디저트로 나온 아이스크림에 제 생일 축하 멘트까지 적어주셔서 감동받았어요! 🎂 세심한 배려와 서비스 덕분에 잊지 못할 생일 추억이 됐습니다. 특별한 날, 소중한 사람과 함께라면 골든참치 강력 추천합니다! 💖"
1527657577,골드참치,,,너무 맛있고.. 처음에는 비싼줄알았는데 가격 이상의 감동을 느낄수있어요 진짜.. 사장님도 너무친절하시고.. 하나하나 다맛있어요 코스의 모든것.. 그냥 무조건 오마카세 스페셜로 드세요 강추.
1527657577,골드참치,,,넘 맛있고 서빙해주시는 이모님이 넘 친절하게 잘 해주셔서 식사 내내 즐겁게 웃다가 갑니다 감사하구요 잘먹었습니다! 참치 퀄리티도 굿굿
