가게ID,가게명,평점,날짜,리뷰내용
1194390788,게판 압구정본점요리주점,,,※ 본 리뷰는 **'게판 압구정'**으로부터 음식과 주류를제공받아 작성하였습니다.
1194390788,게판 압구정본점요리주점,,,가게 내부가 깔끔하도 좌석도 많아서 식사하고 술먹기 좋은 장소였습니다.
1194390788,게판 압구정본점요리주점,,,"강남의 화려함과는 또 다른 분위기를 느끼고 싶을 때, 조용히 ‘게판’을 찾았습니다. 이미 식사를 마친 뒤였지만, 뭔가 특별한 안주에 한 잔 하고 싶은 날이었거든요. 문어삼합은 기대 이상으로 정갈했고, 부드럽게 삶아진 문어에 묵은지의 알싸한 맛, 그리고 고소한 돼지고기가 입 안에서 완벽하게 어우러졌어요. 소주 한 잔을 따라 입에 머금으면 그 조화가 더 또렷하게 느껴져, 술이 참 부드럽게 넘어가더라고요. 조명이 어둑한 실내에서 흘러나오는 음악도 분위기를 더해주어, 하루의 끝에 조용히 머물고 싶은 공간이었습니다."
1194390788,게판 압구정본점요리주점,,,고추장찌개 맛있습니다~ 간단하게 찌개만 먹어봤는데 다음엔 다른것도 먹어보고싶네요 ㅎㅎ
1194390788,게판 압구정본점요리주점,,,골뱅이무침 시켰는데 분위기도 너무 좋고 압구정로데오로 온다면 데이트코스로 완전 추천!!!! 소면이 엄청 잘게 잘라져있어서 먹기 편했고 골뱅이무침도 완전 새콤달콤 술안주로 제격이었어요!! 양도 많고 맛도 최고!🙌
1194390788,게판 압구정본점요리주점,,,"글구 고기 한덩이 엄청 크게 있는데 와,,, 이 가격에 고기가 이렇게 많다고?? 싶었습니다!!"
1194390788,게판 압구정본점요리주점,,,꽃게탕 ㄹㅔ전드 .. 국물 칼칼하고 꽃게랑 새우 가득 ㅠㅠ 짜계치도 꼭 시켜드세용 파김치 넘넘 맛있늠 자리도 넓고 대형스크린도 있어서 단체모임으로도 좋을듯뇨! 야장이라 시원하고 좋아요
1194390788,게판 압구정본점요리주점,,,로데오에서 유명한 술집이라 한번쯤 방문해보고 싶었는데 다음에도 재방문 하려구요 ㅎㅎ
1194390788,게판 압구정본점요리주점,,,맛있게 잘막었습니다 저는 김치찌개에 사리넣어서 먹는거 추천합니다!!!
1194390788,게판 압구정본점요리주점,,,"매장이 넓고 쾌적해서 처음 들어섰을 때부터 기분이 좋았어요~ 위생도 깔끔하게 관리되고 있어서 믿고 먹을 수 있었답니다! 😊 메뉴랑 술 종류도 다양해서 1차든 2차든 부담 없이 즐기기 딱 좋아요🍻 특히 차돌나가사끼짬뽕탕은 국물이 진하고 재료도 푸짐해서 정말 맛있었어요~ 좌석도 많아서 단체 모임 장소로도 추천하고 싶어요! 맛, 분위기, 구성까지 모두 만족스러웠답니다~ 재방문의사 100%예요! 💯"
1194390788,게판 압구정본점요리주점,,,바닷가에 온것처럼 바다가시원하게. 보이는 큰스크린이 넘 맘에들었는데 분위기도 좋고 잘삶아진 수육에 무말랭이 넘맛있었고 시원한 해물라면도 엄지척..술이술술 넘어갔다^^
1194390788,게판 압구정본점요리주점,,,밤에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1194390788,게판 압구정본점요리주점,,,부추랑 오리 조합은 말해 뭐해요 진짜ㅋㅋ 훈제오리는 촉촉하고 훈연향이 살아있어서 한입 먹자마자 “오 이 집 잘하네~” 했습니다. 머스타드 소스랑 같이 먹으면 느끼함 없이 쏙쏙 들어가요. 양도 넉넉하게 주셔서 안주로도 만족도 높았고요.
1194390788,게판 압구정본점요리주점,,,분위기는 레드 네온 조명에 살짝 레트로 감성 딱 사진 찍기 좋아요ㅎㅎㅎㅎ 🍳 치즈 계란말이는 부드럽고 촉촉한 계란 사이사이에 고소한 치즈가 가득🧀 위에 뿌려진 케찹이랑 파슬리 토핑까지 완벽하게 귀여워요💛
1194390788,게판 압구정본점요리주점,,,분위기도 완전 야장분위기라 요즘같은날씨엔 운치있고 좋았어요 ㅎㅎ 데이트기분 났습니당 👍 진짜 닭한마리 칼국수 꼭 드세용!!! 진짜 너무 맛있네요! 짜계치도 파김치까지 올려주신 센스🫡😘 진짜 쵝오~ 남자친구강 하이볼 홀짝홀짝먹다가 한잔마실꺼 계속 마셔 둘이 네잔이나 마셨네요~ 담엔 다른메뉴 먹으러도 와보려구오
1194390788,게판 압구정본점요리주점,,,안주들 무난하고 포차느낌 인테리어도 분위기 있어요. 맥주가 시원하고 맛있어요.
1194390788,게판 압구정본점요리주점,,,안주들도 너무 맛있었어요 보쌈집이라고 해도 될 말큼 마늘수육보쌈 너무 맛있었구요! 꽃게탕도 전문식당에서 먹는거 같았어요 . 짜게치는 말안해도 아시죠? 이건 맛이없을수없어요! 그리고 완전 맛있었던 콘치즈계란말이!! 요것도 꼭 드시길❤❤ 너무 만족스러웠어요!!
1194390788,게판 압구정본점요리주점,,,안주들이 다 술안주라서 술이랑 같이 먹기 좋아요. 또 테이블 스도 많아서 여러명이서 모임하기 좋을 것 같아요.
1194390788,게판 압구정본점요리주점,,,"압구정에서 이런 분위기 내기 쉽지 않은데, 가격대도 괜찮은 편이라 만족스러웠어요."
1194390788,게판 압구정본점요리주점,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1194390788,게판 압구정본점요리주점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1194390788,게판 압구정본점요리주점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1194390788,게판 압구정본점요리주점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1194390788,게판 압구정본점요리주점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1194390788,게판 압구정본점요리주점,,,저희는 대표 메뉴인 고추장찌개를 시켰는데… 너무 칼칼하고 걸쭉하게 맛있어서 술을 안 시킬 수가 없었습니다. 저는 특히 안에 들어있는 버섯이 국물과 어우러져 진짜 쫄깃하고 맛있더라구요. 밥 한 공기도 다 먹고 나서 아쉬워 참치마요 주먹밥까지 먹어치웠습니다.
1194390788,게판 압구정본점요리주점,,,지금 야장처럼 오픈형으로 되어있어서 술마시기 넘 좋았어요! 음식도 진짜 맛있었는데 특히 계란말이가👍 콘치즈랑 같이 있어서 더 부드러웠어요ㅠㅠ 추천
1194390788,게판 압구정본점요리주점,,,지난번에 먹으려고 왔을때 웨이팅 너무 많아서 그냥 돌아갔는데 이번에 운좋게 대기없이 바로 먹었어요. 직원분들 다 친절하고 음식 다 맛있는데 특히 김치볶음밥이랑 짐빔 존맛 분위기 좋아서 재방문의사 있어요
1194390788,게판 압구정본점요리주점,,,"직원분들도 너무 친절하고 잘생기셔서 기분 좋게 술 마실 수 있었고, 손님들도 다 선남선녀 느낌이라 눈호강했네요🤭"
1194390788,게판 압구정본점요리주점,,,통돼지 김치찌개에 고기랑 김치 양이 사기적임. 푹 익은 김치랑 고기 식감이 진짜 찰떡ㅜㅜ 국물도 진~하게 우러나서 해장 느낌 제대로였고요. 콘치느 계란말이는 달달 꼬소한게 너무 맛있더라구요 시그니처를 콘치즈 계란말이로 밀어야됨 진짜. 가게 분위기도 너무 좋음 왕추천
1194390788,게판 압구정본점요리주점,,,퇴근하고 뜨끈한국물에 시원한 맥주한잔 하고 싶었는데 이곳 차돌나가사키짬뽕 국물이 아주 담백하니 좋더라고요!
11802366,교촌치킨 압구정신사점,,,교촌치킨이 매장마다 맛이 조금씩 다른데 이곳은 맛이 있어요. 매장도 넓고 다음에 또 올께요.
