가게ID,가게명,평점,날짜,리뷰내용
1204924395,도슬박,,,Sns에서 왜 흥 했는지 알 것 같네요ㅎㅎ 금액이 비싼 것도 아닌데 코스 하나하나 다 정갈하고 맛있었습니다🍓친절하고 분위기도 차분 하니 다음에도 또 오고 싶은 식당입니다
1204924395,도슬박,,,강정도 딱 너무 헤비하지 않은데 적당한 한입 큐브사이즈가 기가막혀서 기분좋게 자칫 느끼할 수 있는 항정살을 양념이 잘 막아줘서 아주 맛도리임
1204924395,도슬박,,,"닭고기의 단백함, 밥에 간이 배어있는 디테일, 그리고 향긋한 얼그레이 바바루아까지 감동이네요"
1204924395,도슬박,,,"닭고기의 단백함, 밥에 간이 배어있는 디테일, 그리고 향긋한 얼그레이 바바루아까지 감동이네요"
1204924395,도슬박,,,닭곰탕이 깔끔하고 묵은지를 넣어 만들어 새로우며 재미있는 맛입니다! 항정강정도 부드럽고 소스도 굉장히 맛있으며 한우에 올라간 소스(?)가 뭔지 모르지만 맛있네요! 페어링 잔술도 너무 잘 어울려서 맛있게 먹었습니다.
1204924395,도슬박,,,디너 코스요리가 너무 알차요!! 오픈 키친이라서 셰프님께서 음식 하나하나 정성스럽게 만들어주시는걸 보며 또 설명도 너무 잘해주셔서 눈과 입이 너무 즐거웠습니다~! 음식도 간이 너무 세지도 약하지도 않고 딱 적당해서 너무 좋았어요!!
1204924395,도슬박,,,디너 코스요리가 너무 알차요!! 오픈 키친이라서 셰프님께서 음식 하나하나 정성스럽게 만들어주시는걸 보며 또 설명도 너무 잘해주셔서 눈과 입이 너무 즐거웠습니다~! 음식도 간이 너무 세지도 약하지도 않고 딱 적당해서 너무 좋았어요!!
1204924395,도슬박,,,몇번이나 와도 질리지 않네요! 수비드 닭의 정갈함과 탕의 깔끔한 맛에 반합니다!
1204924395,도슬박,,,몇번이나 와도 질리지 않네요! 수비드 닭의 정갈함과 탕의 깔끔한 맛에 반합니다!
1204924395,도슬박,,,비도오고 기분 좋지 않은일이 있어 맛있는 음식을 먹으며 기분을 풀고싶은 날 이였는데 맛있는 음식으로 기분 좋아지는 한 상이였습니다.
1204924395,도슬박,,,식전음료로 주는 바질음료는 식욕을 확 돋구어주면서 나오는 음식구성은 처음에는 양이 적은게아닐까? 했는데 먹을수록 진짜 배부르고 술이 생각나는 구성이 완전좋은음식이었어요.
1204924395,도슬박,,,예약 후 이용했어요! 청양고추 기름이 올라가서 더 특별했고 마늘양념 넣어서 먹으니 맛이 깊어지고 고수를 첨가했더니 맛이 다채로워졌어요! 😆 항정강정도 식감이 독특해서 좋았어요ㅎㅎㅎㅎ다음에 또 방문하고싶네요
1204924395,도슬박,,,예약 후 이용했어요! 청양고추 기름이 올라가서 더 특별했고 마늘양념 넣어서 먹으니 맛이 깊어지고 고수를 첨가했더니 맛이 다채로워졌어요! 😆 항정강정도 식감이 독특해서 좋았어요ㅎㅎㅎㅎ다음에 또 방문하고싶네요
1204924395,도슬박,,,오늘도 넘 맛있게 잘 먹구 갑니당 좌석도 다찌랑 테이블 1개 있어서 혼밥이나 단체로 와도 좋을 것 같아요
1204924395,도슬박,,,외국 손님들 모시고 갔는데 이곳은 세계 어느 무대에서나 각광받을 수밖에 없을 정도로 수준 높은 푸드센스와 정성으로 무장한 맛집입니다. 덕분에 이곳에서 좋은 추억을 기록했습니다. 오랜 시간이 흘러 다시 찾았을 때도 오늘과 같은 신선한 감동을 느낄 수 있으면 좋겠습니다~^^
1204924395,도슬박,,,우니 퀄리티도 좋았고 메뉴별 정성스럽게 플레이팅 하는 모습까지 만족스러운 저녁이였습니다.
1204924395,도슬박,,,우니 퀄리티도 좋았고 메뉴별 정성스럽게 플레이팅 하는 모습까지 만족스러운 저녁이였습니다.
1204924395,도슬박,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 친목연인・배우자, 아이"
1204924395,도슬박,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 친목연인・배우자, 아이"
1204924395,도슬박,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1204924395,도슬박,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1204924395,도슬박,,,"저는 혼자 왔어요. 플레이브 노아 추천으로 알게 된 곳인데, 1인 예약도 가능하고 직원분들도 정말 친절해요. 영어, 일본어, 중국어, 한국어 네 가지 언어로 된 메뉴도 준비돼 있어요."
1204924395,도슬박,,,"저는 혼자 왔어요. 플레이브 노아 추천으로 알게 된 곳인데, 1인 예약도 가능하고 직원분들도 정말 친절해요. 영어, 일본어, 중국어, 한국어 네 가지 언어로 된 메뉴도 준비돼 있어요."
1204924395,도슬박,,,저장해놓았던거 찾아서 예약해서 먹었는데 너무너무 맛있고 정갈합니다 !! 대 추 천 합니다!!! 항정강정 쏘굿
1204924395,도슬박,,,"점심에 방문예약 후 이용대기 시간 바로 입장친목, 일상친구"
1204924395,도슬박,,,"점심에 방문예약 후 이용대기 시간 바로 입장친목, 일상친구"
1204924395,도슬박,,,칼칼한 국에 부드러운 고기가 한 입 가득 맛있게 먹었습니다ㅎㅎ 친절해서 더 좋았어요!
1204924395,도슬박,,,칼칼한 국에 부드러운 고기가 한 입 가득 맛있게 먹었습니다ㅎㅎ 친절해서 더 좋았어요!
1204924395,도슬박,,,"한눈에 보이니까 그것도 신기하고, 남자친구와 식사의 재료나 요리방식에 대해 함께 얘기 나눌 수 있어서 좋았어요🤎"
1204924395,도슬박,,,한우 육회 위에 계란 아니고 망고소스래요! 참나물에 육회 상큼 짭잘하니 자꾸 먹게 되는 맛이에요. 본메뉴 한판이 있다면 시켜서 와구와구 먹고 싶어요ㅎㅎㅎ 열심히 연구하신 메뉴들이 돋보여요.
1681547627,들밥차반 신사점,,,"​주문 후 얼마 지나지 않아 따끈한 돌솥밥과 함께 정갈한 밑반찬이 나왔습니다. 갓 지은 밥은 윤기가 흐르고 쫀득했으며, 시래기 된장국은 구수한 맛이 일품이었습니다. 특히, 간장게장과 젓갈 등 밥도둑들이 한가득이라 생선구이가 나오기도 전에 밥 한 공기를 비울 뻔했습니다."
1681547627,들밥차반 신사점,,,"고소하게 구워진 생선부터 다양하고 정갈한 반찬들까지, 한 상 가득 정성스러운 메뉴들이 눈과 입을 모두 사로잡았어요. 특히 채소 위주로 구성된 반찬 하나하나가 간도 딱 맞고 재료 본연의 맛을 잘 살려서, 부담 없이 계속 손이 가더라고요. 직원분들도 친절해서 전반적인 분위기가 매우 만족스러웠습니다."
1681547627,들밥차반 신사점,,,반찬 종류가 다양한데 하나같이 다 입맛에 딱 맞아요!! 암마가 너무 좋아하셨어요
1681547627,들밥차반 신사점,,,"새로 생긴 신상맛집이라 호기심을 갖고 식사를 했는데 음식 종류도 다양하고, 간도 적절해서 다 맛있고, 분위기까지 좋아 신사 한정식 맛집으로 인정할 수밖에 없었습니다. 넓은 홀도 있어 단체로 방문하기 좋겠다 싶었구요."
1681547627,들밥차반 신사점,,,"새로 생긴 신상맛집이라 호기심을 갖고 식사를 했는데 음식 종류도 다양하고, 간도 적절해서 다 맛있고, 분위기까지 좋아 신사 한정식 맛집으로 인정할 수밖에 없었습니다. 넓은 홀도 있어 단체로 방문하기 좋겠다 싶었구요."
1681547627,들밥차반 신사점,,,아이랑 신랑이랑 왔는데 발렛이라 주차도 편하고 음식도 바로 나오고 맛있네요~ 돌솥밥이라 아이가 누릉지 까지 싹싹 먹고 이이정식이 따로 있어서 온가족이 맛있는 식사를 하고 갑니다^^
1681547627,들밥차반 신사점,,,아이랑 신랑이랑 왔는데 발렛이라 주차도 편하고 음식도 바로 나오고 맛있네요~ 돌솥밥이라 아이가 누릉지 까지 싹싹 먹고 이이정식이 따로 있어서 온가족이 맛있는 식사를 하고 갑니다^^
1681547627,들밥차반 신사점,,,양가 부모님들 모시고 식사하러 왔습니다ㅎㅎ 룸으로 잡아주셔서 조용하게 식사 잘 했습니다!! ㅎㅎ 한상차림으로 깔끔하고 생선도 너무 맛나요ㅠㅠ 어른들도 다 만족하셨습니다!! 룸도 많아서 가족모임하기 너무 좋아요ㅎㅎ홀도 깔끔했습니다!!
1681547627,들밥차반 신사점,,,엄마와 함께 왔는데 만족스럽게 잘 먹었습니다. 반찬 정갈하고 깔끔해요. 어른들과 함께 오세요!
