가게ID,가게명,평점,날짜,리뷰내용
37003691,"구르메 본점해물,생선요리",,,가로수길에 이런 횟집 있는지 처음 알았는데 깔끔하고 잘 먹었어요!
37003691,"구르메 본점해물,생선요리",,,겨울에 갔다가 넘 맛있어서 반해버렸어요. 날씨가 더워지기시작하니 그때만큼의 맛은 아니였지만 회도 맛있고 튀김도 최고예요! 시원해지면 또 갈께요!
37003691,"구르메 본점해물,생선요리",,,리뷰가 좋아 방문했으나 사실 그냥 저냥 .. 방어였습니다. 다른 리뷰 사진들은 엄청 신선해보였는데 먹으면서 신선하다는 맛은 못느꼈어요 그냥 흔한 방어맛! 오히려 기본찬으로 나온 조림이 더 맛있었네요 ㅎㅋㅋ
37003691,"구르메 본점해물,생선요리",,,"방어철 되면 꼭 방문하는 구르메. 방어는 느끼해서 많이 못 먹을 수 있어 남는 경우 아까운데 적절한 양과 곁들여 먹기 좋은 초밥,김, 묵은지 짱짱. 라면도 맛있긴 한데특허........????음....."
37003691,"구르메 본점해물,생선요리",,,"아보카도와 회 조합이 무척 맛있었고, 조림무 미친놈이에요. 술이 진짜 술술 들어가서 과음 필수이니 각오하세요 진짜. 둘이 갔는데 소자도 적당했으나, 회 좋아하시면 중자도 거뜬하실 거예요. 마지막 해물짬뽕라면으로 해장술 또 한병 가는 거죠. 주말 저녁이라 웨이팅 1시간 안되게 있었고, 어차피 포장도 1시간 걸린대서ㅠ 매장에서 먹었어요. 대방어+아보카도 아직도 생각나네요."
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
37003691,"구르메 본점해물,생선요리",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상, 기념일친구"
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37003691,"구르메 본점해물,생선요리",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자, 친구"
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 없이 이용대기 시간 바로 입장회식친구
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 후 이용대기 시간 10분 이내 데이트연인・배우자
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 후 이용대기 시간 바로 입장회식지인・동료
37003691,"구르메 본점해물,생선요리",,,저녁에 방문예약 후 이용대기 시간 바로 입장회식지인・동료
37003691,"구르메 본점해물,생선요리",,,전화드렸을 때 웨이팅 없다고 해서 방문했는데 한 시간정도 기다렸다 사람이 3명인데 2인석에 앉으라고 하고 다른 자리 앉으려면 30분 더 기다리라고 하시는데 너무 융통성이 없고 응대 방식에 기분이 상했다
37003691,"구르메 본점해물,생선요리",,,친구들과 함께 2차로 방문한곳ㅋㅋ해물전골라면이 유명한것같았지만 우리는 모듬특수회와 서더리탕ㅋㅋ도쿠리도 한잔하며 맛나게 수다떨 수 있는 좋은 장소였네요ㅋㅋ비가 엄청나게 내렸는데도 맛있게 먹고 왔습니다ㅋㅋ국물이 끝내주네요ㅋㅋ
37003691,"구르메 본점해물,생선요리",,,퇴근길에 회와 소주가 생각나서 들렸네요~~
1169856969,사랑호 수산포차,,,가격은 좀 비싼가 싶었는데 맛이랑 청결 그리고 분위기로 완전 합격입니다🐟
1169856969,사랑호 수산포차,,,광어소금김밥 너무 맛있고 광어한마리 물회도 회가 많고 시원하고 맛있어서 여름에 먹기 너무 좋은 메뉴였어요. 특히 광어소금김밥이 궁금해서 방문해 본 거였는데 단순한 김밥과 광어회 조합인데도 간도 딱 좋고 사이드도 푸짐해서 술 한 잔 하기 좋은 곳이에요👏
1169856969,사랑호 수산포차,,,광어소금김밥 추천드려요! 다양하게 먹어볼수 있고 세트 구성이 좋아요 😊😊
1169856969,사랑호 수산포차,,,광어소금김밥은 너무 궁금했던 메뉴였는데 조합이 이렇게 좋을 줄이야! ! 계속 생각나는 맛이라 조만간 또 먹으러 가려구요 😍😍
1169856969,사랑호 수산포차,,,너무 맛있어여…. ㅠㅠㅠ 그리고 노래조아여 흐흐 또 올것같아요
1169856969,사랑호 수산포차,,,"대하구이도 맛있고, 광어김밥도 묵은지랑 같이 먹으니 정말 좋네요."
1169856969,사랑호 수산포차,,,"동생이랑 회먹으러 찾아간 사랑호 수산포차🐠🐟 모듬회 중으로 시켰는데 소주 두병 순삭했습니다.. 회 비리면 잘 못먹는데 하나도 안비리고 두툼하니 존맛⭐️ 새우튀김, 고등어구이, 육개장까지 다양한 사이드와 매운탕까지 포함됭 모듬회 한상 강추!! 일단 비리지 않고 너무 맛있어용 때깔 보이시쥬 ㅎㅎ 동생이랑 너무 만족했던 곳 직원분들도 친절하셔서 또 갈 집이에요 🐷"
1169856969,사랑호 수산포차,,,둘이서 광어소금김밥이랑 물회 주문했는데 진짜 메뉴 구성도 좋은데다가 너무 맛있어서 깜짝 놀랐어요!! 분위기도 좋아서 데이트는 물론이고 여럿이서 다같이 모임하기에도 회식하기에도 좋겠다 싶었어요 👍🏻👍🏻👍🏻
1169856969,사랑호 수산포차,,,메뉴규성도 넘 좋고 맛있어요~~! 완전 잘먹었습니다 다음에 또 올게용~~!❤️
1169856969,사랑호 수산포차,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,"상호명 보고 숙성회만 맛있을 줄 알고 갔다가 통닭 맛까지 반하고 왔네요!! 회는 쫄깃쫀득 신선해서 좋았고 통닭도 담백한 맛도리였어요. 그리고 하이볼도 찐맛집이라 갬동, 분위기도 좋고 직원분들도 친절해 즐겁게 한잔하고 왔습니다. 강남야장맛집 찾고 있다면 추천합니당.~~~^^"
1169856969,사랑호 수산포차,,,숙성회가 정말 쫀득쫀득하고 감칠맛이 깊어서 신선회랑은 또 다른 매력이 있었어요!
1169856969,사랑호 수산포차,,,압구정로데오역 근처에 위치한 술집이에요! 술 먹기 분위기도 좋고 숙성회를 판매하는 곳이니 회 좋아하시는 분들은 방문해서 드셔보셔도 괜춘할듯 ㅎㅎ! 매장 인테리어도 독특하니 좋아요!
1169856969,사랑호 수산포차,,,"압구정에 이런 숨은 보석같은 곳이 있었다니,,🥰🧡 회 엄청 싱싱하고 쫀득하고 밋있고 다 해요 ㅠㅠ 구성도 알차고 가성비 최고입니다👍🏻"
1169856969,사랑호 수산포차,,,여기 진짜 마싯어요 ㅠㅠㅠ 가성비 zi리고 리뷰이벤트로 파스타가 나오는데 퀄리티말안돼. 웨않가.
1169856969,사랑호 수산포차,,,오징어회랑 연어 주뭄했는데 회가 신선하고 맛있었어요 ㅎㅎ문도 다 열어둬서 개방감이 좋아서 바람 쐬면서 신선하게 잘 먹었습니다 ㅎㅎ
1169856969,사랑호 수산포차,,,이게 말이됩니까 ㅋㅋㅋㅋ 정말 다양한 한상으로 입이 심심할 틈이 없어요!!
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1169856969,사랑호 수산포차,,,회먹고 싶으면 오는 곳이에요🖤 직원분들 모두 다 친절하구 회도 신선해서 로데오에서 요기가 회먹으면서 술마시기에 최고에요🫶🏻 어디갈지 모르시겠다묜 요기 들러보세요👯‍♀️
2085083344,속초오징어어시장 신사점,,,"가게가 생긴 지 얼마 안 돼서 깔끔하고 청결했는데 넓고 야장까지 갖추고 있어 혼술, 데이트, 모임 등등에 다 추천해요~"
2085083344,속초오징어어시장 신사점,,,가을바람 맞으며 시원하고 맛잇게 먹고 갑니다👍 리필 도 넉넉해서 좋아요
2085083344,속초오징어어시장 신사점,,,가을에는 달달한 새우가 최고! 야장에서 먹어서 더 맛있고 새우 진짜 탱글하고 맛있어요 신사 가로수길 횟집 찾으시묜 무조건 추천
2085083344,속초오징어어시장 신사점,,,"광어 생새우 다 넘 맛있었고, 야장 분위기도 정말 좋았어용!"
2085083344,속초오징어어시장 신사점,,,광어 진짜 양 많고 가성비넘쳐요~~~ 회도 두툼하고 신선해요!! 해물칼국수도 안에 해물도 크고 전복이 미쳤어요!!! 오징어튀김은 바삭하고 튀김옷도 얇아서 안 느끼하고 너무 맛있어요ㅎㅎㅎ
2085083344,속초오징어어시장 신사점,,,산오징어회 2마리랑 해물칼국수 시켰는데 존맛입니다... 양도 꽤 많아서 2-3명이 배불리 먹어요
2085083344,속초오징어어시장 신사점,,,산오징어회 2마리랑 해물칼국수 시켰는데 존맛입니다... 양도 꽤 많아서 2-3명이 배불리 먹어요
2085083344,속초오징어어시장 신사점,,,"선릉점에서 자주 먹었었는데, 가로수길에도 생겨서 반가운 마음에 낙지연포탕 시켜 먹었어요! 선릉점보다는 반찬 가지수가 조금 적었지만, 직원분들 친절하고 매장도 새로 인테리어 해서 그런지 깨끗하고 쾌적했어요."
2085083344,속초오징어어시장 신사점,,,"선릉점에서 자주 먹었었는데, 가로수길에도 생겨서 반가운 마음에 낙지연포탕 시켜 먹었어요! 선릉점보다는 반찬 가지수가 조금 적었지만, 직원분들 친절하고 매장도 새로 인테리어 해서 그런지 깨끗하고 쾌적했어요."
