가게ID,가게명,평점,날짜,리뷰내용
37174865,갓포 쿠마카세,,2025.05.02,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37174865,갓포 쿠마카세,,2025.05.02,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37174865,갓포 쿠마카세,,,64000원의 기적이에요 이렇게 알차게 잘 나오는게 신기해요 근데 가격을 떠나서 일단 맛있어요
37174865,갓포 쿠마카세,,,64000원의 기적이에요 이렇게 알차게 잘 나오는게 신기해요 근데 가격을 떠나서 일단 맛있어요
37174865,갓포 쿠마카세,,,"가본 오마카세 중에서 완전 갓성비예요! 메뉴도 회나 초밥만 나오는 게 아니라 다양하게 나와서 물리지 않고 너무 맛있게 먹었어요! 분위기도 좋고 이야기 나누면서 먹기 좋아요! 64,000원이라는 가격이 너무 싸네요! 평이랑 후기가 좋아서 방문했는데, 또 방문할 것 같아요! 맥주나 하이볼도 맛있어요! 특히 생맥 관리 잘 해서 맛있었어요!"
37174865,갓포 쿠마카세,,,기념일이나 데이트에 오기도 너무 좋고 단순히 맛있는것 보다 메뉴 하나하나 제가 알던 맛보다 배가되는 맛ㅜ 또 오고싶어요!
37174865,갓포 쿠마카세,,,기본으로 나오는게 상해서 말했는데 받아드리질 않네요... 수란은 괜찮았어요~ 나머지는 모르겠구요
37174865,갓포 쿠마카세,,,깔끔하고 맛있었습니다. 넓진 않지만 대화하기 편한 분위기였습니다.
37174865,갓포 쿠마카세,,,너무 친절하고 서비스도 너무 좋았어요 단품 식사였는데 다음엔 코스갈거에요
37174865,갓포 쿠마카세,,,리뷰대로 깨끗하고 음식도 마싯고 데코도 너무 이뻐요~~~
37174865,갓포 쿠마카세,,,리뷰대로 깨끗하고 음식도 마싯고 데코도 너무 이뻐요~~~
37174865,갓포 쿠마카세,,,매장 분위기도 좋고 음식 퀄리티도 다른 매장에 비해 너무 잘 나오는것같아요! 분위기도 조용하고 대화하기 좋아용 직원분도 너무 친절하게 대해주셔서 맛있게 먹고 갑니다!! 재 방문의사 100%❤️ 다음에 또 올게용 ㅎㅎ
37174865,갓포 쿠마카세,,,매장 분위기도 좋고 음식 퀄리티도 다른 매장에 비해 너무 잘 나오는것같아요! 분위기도 조용하고 대화하기 좋아용 직원분도 너무 친절하게 대해주셔서 맛있게 먹고 갑니다!! 재 방문의사 100%❤️ 다음에 또 올게용 ㅎㅎ
37174865,갓포 쿠마카세,,,메뉴구성도 정말 알차고~ 먹기 아깝게 이쁜 음식들이 나와서 기분 좋은 한끼 즐기고 왔습니다^^
37174865,갓포 쿠마카세,,,"목동 오마카세는 무조건 여기‼️ 모둠 사시미부터 솥밥, 붕장어 후토마끼까지 한입 한입 감탄 나오는 퀄!! 제주 흑돼지 안심구이랑 샤토브리앙 가츠도 진짜 미쳤습니다, 분위기 아늑하고 서비스도 좋아서 데이트·모임 어디에도 찰떡핑"
37174865,갓포 쿠마카세,,,"상큼하게 입맛 돋아주는 문어샐러드에 다진참치뱃살과 우니, 캐비어가 올라가 풍미 폭발이였던 스시와 64,000원 구성에"
37174865,갓포 쿠마카세,,,서빙하시는 분이 시간을 적절하게 분배해줘서 부담없이 맛있게 잘 먹었습니다. 음식도 맛있었구요.
37174865,갓포 쿠마카세,,,서빙하시는 분이 시간을 적절하게 분배해줘서 부담없이 맛있게 잘 먹었습니다. 음식도 맛있었구요.
37174865,갓포 쿠마카세,,,아침에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37174865,갓포 쿠마카세,,,"역시 목동의 자랑, 자부심 갓포 쿠마카세에요 멀리서도 찾아갈만한 맛집입니다 코스만 먹다가 단품은 처음인데 단품도 넘 좋아요"
37174865,갓포 쿠마카세,,,"오늘도 콸콸콸. 먹다보니 입터져서 튼실한 도화새우, 살밥 엄청나고 폭신폭신까지한 붕장어 튀김, 튀긴 파의 향이 미친 감자 샐러드, 마지막으론 칼칼함을 입힌 달작지근한 간장 소스에 조린 참돔 머리조림까지!"
37174865,갓포 쿠마카세,,,오늘은 가지사이에 얇게 고기넣고 구워 새콤한 소스와 가다랑어 포가 잔뜩 올라간 가지구이와 귀한 잿방어가 가득 올려진 카르파치오 까지....
37174865,갓포 쿠마카세,,,오목교에 있는 분위기가 좋은 오마카세입니다. 신선한 재료로 만든 맛좋은 음식을 분위기 좋은 곳에서 먹을 수 있어요. 가격도 맛도 분위기도 갓벽한 갓포 쿠마카세👍👍
37174865,갓포 쿠마카세,,,음식 신선하고 깔끔했습니다. 앞으로 종종 갈 것 같아요.
37174865,갓포 쿠마카세,,,이가격이 말이 안될정도로 고급스럽게 맛있게 먹었네요 ㅎㅎ잘먹었습니다!
37174865,갓포 쿠마카세,,,이가격이 말이 안될정도로 고급스럽게 맛있게 먹었네요 ㅎㅎ잘먹었습니다!
37174865,갓포 쿠마카세,,,입안을 상큼하게 만들어 주는 방울토마토 샐러드는 또 입안을 상큼하게 만들어 주고 사시미로 나가야 하는 전갱이로 저렇게 튀겨주시니 맛이 보이지 않나요? 함께나온 타르타르 소스 듬뿍 찍어먹으면? 콸콸콸... 서비스로 내어주신 닭가슴살은 드레싱이 일 다했고 마무리 홍차아이스크림으로 정리의 시간.
37174865,갓포 쿠마카세,,,자주 찾는 찐 단골 맛집이에요 친구들끼리 모임하기도 좋아요 맥주 한잔만 시켜도 콜키지 프리라 항상 술 지참해서 모여요
37174865,갓포 쿠마카세,,,저녁에 방문예약 없이 이용대기 시간 바로 입장비즈니스지인・동료
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 10분 이내 나들이친구
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 10분 이내 나들이친구
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 10분 이내 친목연인・배우자
37174865,갓포 쿠마카세,,,"저녁에 방문예약 후 이용대기 시간 바로 입장데이트, 기념일연인・배우자"
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장회식친구
37174865,갓포 쿠마카세,,,저녁에 방문예약 후 이용대기 시간 바로 입장회식친구
37174865,갓포 쿠마카세,,,"저녁에 방문예약 후 이용데이트, 기념일연인・배우자"
37174865,갓포 쿠마카세,,,전복내장소바는 이 내장소스가 어찌나 맛있던지 진짜 자꾸 먹게되는 중독성이 있어요 ㅜㅜ 진짜 존맛탱 ㅜ 참돔머리구이도 주문했는데 이것도 은근 부드러운 살들이 많아서 너무 맛있었네여 서비스로 참돔 간도 주셨는데 이거 왜이렇게 맛난거죠 와 진짜 아귀간같이 부드럽구 소스랑 정말 잘어울렸어요 다양한 주류도 있어서 술한잔과 페어링하기에 너무좋았고 아늑한 분위기가 정말 좋았던곳이에요
37174865,갓포 쿠마카세,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임부모님, 아이"
37174865,갓포 쿠마카세,,,"점심에 방문예약 후 이용대기 시간 바로 입장가족모임부모님, 아이"
37174865,갓포 쿠마카세,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37174865,갓포 쿠마카세,,,추가로 시킨 전갱이튀김과 타르타르소스 정말 맛있어요!
37174865,갓포 쿠마카세,,,캇포쿠마카세 명성대로 맛있네요. 곶감치즈말이랑 베이컨 타르트랑 청포도랑 빵 완전 맛있었어요 .
37174865,갓포 쿠마카세,,,흑돼지안심은 전체는 아니지만 일부 고기에서 잡내가 나기도..
1459888807,금화왕돈까스 신월점,,,금화왕돈가스 배달로만 시켜 먹다가 매장에서 처음 먹는데 역시 맛있고 양도 푸짐하네요! 👍🏻
1459888807,금화왕돈까스 신월점,,,금화왕돈까스 양많고 매장이넓고친절해서 자주와요~~!! 오늘도 역시나맛있어요!!!
1459888807,금화왕돈까스 신월점,,,기본적인 돈까스 냉모밀 맛있었어요!! 스프 셀프로 먹을수있어서 좋았습니다. 그리고 매장이 쾌적하고 사장님 친잘하세요ㅎㅎ
1459888807,금화왕돈까스 신월점,,,돈까스나오기전 스프 너무 맛있구요. 산고추가 느끼함 잡아주는 신의 한수이구요. 돈까스 외에 사이드 메뉴들도 다 맛있어요..굳이 찾아올만큼 맛있어요
1459888807,금화왕돈까스 신월점,,,들기름막국수가 진짜 너무 맛있더라고요.. 이거 하나 먹으러 다시 올수도 있을거같아요
1459888807,금화왕돈까스 신월점,,,떡볶이 먹고 싶었는데 못 먹어서 아쉽지만 그래도 맛있게 먹었어요
1459888807,금화왕돈까스 신월점,,,매장 오픈한지 꽤 됬는데 가끔 방문할때마다 양도 많고 청결하게 유지 되는 듯 합니다! 가성비 좋아요! 맛있어서 근처 갈일 있으면 간간히 들립니다
1459888807,금화왕돈까스 신월점,,,매장넓고 맛있어요.돈가스 소스따로주문도 가능해서 찍먹으로 먹엉ᆢ
1459888807,금화왕돈까스 신월점,,,맨날 돈가스만먹다가 생선까스랑 새로나온 새우 시켜먹엇어여 새우는 속이 진짜로 새우로만 되어잇네여 ㄷㄷㄷ존맛탱 원래 생선까스귀신인데 새우에 반햇음♡♡
1459888807,금화왕돈까스 신월점,,,믿고 가는 금화왕돈까스 신월점입니다! 늦은 시간까지 영업하셔서 언제든 갈 수 있고 갈 때마다 푸짐한 양과 최고의 퀄리티로 음식을 내어주시니 잊지 않고 찾게 되는 것 같습니다. 신월동 1등 맛집으로 추천합니다!
1459888807,금화왕돈까스 신월점,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1459888807,금화왕돈까스 신월점,,,생선살은 부드럽고 야들하고 돈가스의 고기는 담백하고 고소했어요
1459888807,금화왕돈까스 신월점,,,"세숫대야쫄면은 이름답게 양이 정말 많아요. 면발이 쫄깃하고 야채도 푸짐하게 들어가 있어 아삭아삭 씹는 맛이 좋았고, 매콤새콤한 양념이 입맛을 제대로 살려줍니다. 돈까스랑 같이 먹으니 궁합이 딱이네요."
1459888807,금화왕돈까스 신월점,,,셀프바도있구요 스프도 맛있구요 여기 떡볶이가 맛있어요. 아이들이 먹기 딱좋아요. 모닝빵도 맛있구요 매장도 시원하고 좋아요 주차가 좀 안좋긴한데 막 바쁜시간 아니면 인도위에 댈데가 있긴하네요. 번창하세요
1459888807,금화왕돈까스 신월점,,,식권 스프가 있어서 굳이 차를 타고와야하지만 종종오는 것 같아요.
1459888807,금화왕돈까스 신월점,,,"아이랑 함께 방문하여서 대왕돈까스에 국물 떡볶이, 빠삭이 만두 시켰는데 돈까스 양이 어마어마하네요ㅎ엄청 바삭하니 맛있고, 떡볶이도 매콤달콤하니 너무 맛있어요~~셀프바에 스프, 단무지, 김치, 산고추가 비치되어 있어 자유롭게 드시면 되요~~입구쪽엔 음료수와 커피도 있어 후식으로도 딱이예요ㅎㅎ성인 2명에 아이 1명이서 너무 배부르고 맛있게 먹었습니다ㅎㅎ가성비 갑이예요~~"
1459888807,금화왕돈까스 신월점,,,앞으로도 저희 금화 신월점 많은 이용 부탁드립니다 !!
