가게ID,가게명,평점,날짜,리뷰내용
1513320756,28청춘어시장 목동점,,,너무 맛있구 회가 진짜 꼬들꼬들하니 너무 맛있어요! 최고입니다! 돈까스도 맛있으니 꼭 드셔보세요
1513320756,28청춘어시장 목동점,,,너무 맛있구 회가 진짜 꼬들꼬들하니 너무 맛있어요! 최고입니다! 돈까스도 맛있으니 꼭 드셔보세요
1513320756,28청춘어시장 목동점,,,너무 맛있어서 리뷰쓰려고 정신 차리니 이미 거의 다 먹었네요 ㅋㅋㅋ 최고에요!
1513320756,28청춘어시장 목동점,,,너무너무 신선하고 정말 맛있게 잘 먹었습니다!! 항상 술 땡길때 오는 곳이예요~~
1513320756,28청춘어시장 목동점,,,너무너무 신선하고 정말 맛있게 잘 먹었습니다!! 항상 술 땡길때 오는 곳이예요~~
1513320756,28청춘어시장 목동점,,,매장 시원하구 사장님도 친절하셔서 가족들이랑 또 올거에요~~
1513320756,28청춘어시장 목동점,,,"밤에 방문예약 없이 이용대기 시간 바로 입장가족모임친척・형제, 부모님, 연인・배우자"
1513320756,28청춘어시장 목동점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1513320756,28청춘어시장 목동점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1513320756,28청춘어시장 목동점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1513320756,28청춘어시장 목동점,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친척・형제
1513320756,28청춘어시장 목동점,,,"벌써 몇 번째 방문인지 모를 정도로 자주 오는 단골 횟집이에요. 올 때마다 느끼지만, 반찬 하나하나에 정성이 가득 담겨 있어서 식사 전부터 기분이 좋아집니다. 회는 항상 신선하고 잡내 없이 깔끔한 맛이라 믿고 먹을 수 있어요. 이번엔 전어회를 먹었는데, 고소하고 쫄깃한 식감에 초장을 살짝 찍어 먹으니 감칠맛이 정말 최고였어요. 사장님도 친절하셔서 가족이나 친구랑 함께 오기 딱 좋은 곳입니다! 😊"
1513320756,28청춘어시장 목동점,,,사장님들 너오무 친절하시고 음식도 맛나고 넘 조아요 체고체고 또와야지
1513320756,28청춘어시장 목동점,,,스끼다시도 너무 잘나오고 오징어회도 너무 달달하니 맛있어용! 목동 올때마다 회 먹으러오는곳인데 정말정말 추천하는 곳 입니당🥹 너무 맛있어용🥹
1513320756,28청춘어시장 목동점,,,스끼다시도 너무 잘나오고 오징어회도 너무 달달하니 맛있어용! 목동 올때마다 회 먹으러오는곳인데 정말정말 추천하는 곳 입니당🥹 너무 맛있어용🥹
