가게ID,가게명,평점,날짜,리뷰내용
1239175402,노티드 여의도IFC몰,,,Ifc몰 가면 아이가 집에 가기 전 마치 의례처럼 들르는 마지막 코스 ㅋㅋㅋ 작년에 비해 올해는 대기 줄도 없고 매장에 자리도 있고 (인기가 전과 달리 떨어진 거지만) 이용하기엔 좋습니다!
1239175402,노티드 여의도IFC몰,,,너무 만족스러운 도넛이었어요~ 크림이 정말 풍부해서 한 입 베어 물었을 때 느껴지는 달콤함이 환상적이었어요 특히 노티드 글레이즈가 부드럽고 맛있었답니다
1239175402,노티드 여의도IFC몰,,,너무 맛있는 도넛이에요 얼그레이 도넛 처음 먹어봤는데 넘 부드럽고 맛있어요 직원분들도 너무 친절하게 응대해주셔서 좋았어요
1239175402,노티드 여의도IFC몰,,,너무 맛있는 도넛이에요 클래식 바닐라 도넛은 달지 않고 부드러워서 좋아요 자리도 여유롭게 있어서 직장인들 쉬어가기 좋은 곳이에요
1239175402,노티드 여의도IFC몰,,,노티드 도넛 맛있네요 친절한 직원분들 덕분에 기분 좋게 먹었어요 초코푸딩 도넛이 부드럽고 달콤해서 좋았어요
1239175402,노티드 여의도IFC몰,,,도넛 맛집인 줄만 알았는데 생각보다 음료가 더 맛있었네요 친구랑 같이 얼그레이 도넛이랑 음료 시켜서 먹었는데 조합이 좋았어요
1239175402,노티드 여의도IFC몰,,,도넛 비주얼이 넘 예쁜 카페예요! 클래식 바닐라 도넛도 달달하니 입에서 사르르 녹는 식감이 정말 맛있더라고요~ 공간도 깔끔해서 좋네요
1239175402,노티드 여의도IFC몰,,,도넛 크림이 진짜 꾸덕해요. 노티드 글레이즈 도넛 좋아하는데 달콤한 맛이 딱 좋네요. 크림 양도 넉넉하고 맛도 좋았어요.
1239175402,노티드 여의도IFC몰,,,도넛에 들어간 크림이 정말 풍부하게 들어있었어요. 얼그레이 도넛의 향도 은은하고 달달한 맛이 너무 좋았더라고요 ㅎㅎ 전체적으로 너무 달지 않아서 부담 없이 먹을 수 있었어요
1239175402,노티드 여의도IFC몰,,,도넛은 폭신한 식감이라 한입 베어물 때마다 너무 좋네요. 얼그레이 도넛 너무 맛있어요.
1239175402,노티드 여의도IFC몰,,,도넛의 식감이 정말 폭신폭신하고 좋아요 몽글몽글 입안에서 사르르 녹는 느낌이에요 클래식 바닐라 도넛이 담백하면서도 은은한 향이 나서 취향저격이었어요
1239175402,노티드 여의도IFC몰,,,맛있는 도넛이 너무 많아서 선택하기 힘들었던 곳이었어요 얼그레이 도넛을 골랐는데 향이 은은하게 퍼져 정말 좋았어요 직장인들 여유롭게 간식 즐기기 딱 좋은 분위기였습니다
1239175402,노티드 여의도IFC몰,,,맛있는 도넛이 눈에 띄게 진열되어 있어요. 클래식 바닐라 도넛이 정말 부드럽고 달콤해서 남자친구랑 데이트할 때 자주 들러요 ㅎㅎ 데이트 코스로 찾는 분들께 강력 추천하고 싶네요
1239175402,노티드 여의도IFC몰,,,맛있는 도넛이 있어 데이트 코스로 추천해요 크기가 적당해서 부담 없이 먹기 좋고 남자친구랑 같이 먹었는데 노티드 글레이즈 도넛이 단짠의 조화가 좋네요
1239175402,노티드 여의도IFC몰,,,빵 선택 잘한것 같고 커피는 디카페인이 콜드브루밖에 없어서 이거먹었는데 콜드브루 맛이네요
1239175402,노티드 여의도IFC몰,,,아 진짜 글레이즈 도넛 환상적이네요 한입 베어 물자마자 폭발하는 달콤함에 행복해졌어요 데이트 코스로 들리기 딱 좋은 곳이라 친구들한테도 많이 알려줬어요 ㅎㅎ
1239175402,노티드 여의도IFC몰,,,"안녕하세요 고객님! 데이트 장소로 딱인 노티드 여의도점입니다^^ 케이크와 도넛을 좋아하시는 고객님, 노티드 여의도점을 이용해주셔서 감사드리며, 맛있게 드셔주셨다니 다행입니다."
1239175402,노티드 여의도IFC몰,,,앞으로 꼼꼼히 확인하여 더욱 만족하실 수 있는 제품을 위해 항상 최선을 다하겠습니다.
1239175402,노티드 여의도IFC몰,,,여유롭게 간식 먹기 좋은 곳이네요. 초코푸딩 도넛이 달콤하고 맛있어요. 도넛 크기도 적당하고 맛도 좋아서 직장 생활 중간에 잠깐 들러 먹기 딱 좋은 곳이에요 ㅎㅎ
1239175402,노티드 여의도IFC몰,,,여유롭게 즐기기 좋은 도넛 맛집이네요 노티드 글레이즈 도넛은 정말 부드럽고 달콤해서 좋았어요 커피와도 잘 어울려서 간식으로 딱이에요
1239175402,노티드 여의도IFC몰,,,"오늘도 노티드 유혹을 못이기고,,ㅎㅎ 전 라즈베리랑 말차 라뗀 도넛이 맛나더라구요..! 키오스크 주문 가능해요~~유니클로랑 같을층에 있어요~~"
1239175402,노티드 여의도IFC몰,,,완전 부드럽고 달콤한 클래식 바닐라 도넛이 너무 맛있네요 ㅎㅎ 다양한 종류의 도넛들도 다 먹어보고 싶어 다음에는 초코푸딩 도넛도 꼭 먹어봐야겠어요
1239175402,노티드 여의도IFC몰,,,인기있는 도넛집이라고 해서 기대하고 갔는데 음료도 너무 맛있어요 생크림 도넛 주문했는데 음료에 더 눈이 갔어요 도넛 맛집인 줄만 알았는데 음료도 정말 최고네요
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,저희 노티드는 다양하고 맛있는 도넛들로 꾸준히 고객님께 사랑받기 위해 노력하고 있습니다. 언제나 변함없이 예쁜 제품들을 제공하도록 하겠습니다.
1239175402,노티드 여의도IFC몰,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1239175402,노티드 여의도IFC몰,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1239175402,노티드 여의도IFC몰,,,정말 만족스러운 곳이에요! 직장인들에게 딱인 여유로운 분위기가 좋아요. 클래식 바닐라 도넛은 달콤함이 적당해서 너무 좋네요~~ ㅎㅎ 커피랑 같이 먹으니 완벽한 조합이었어요!
1239175402,노티드 여의도IFC몰,,,정말 만족스러운 디저트 타임이었네요 도넛마다 특징이 살아있어서 하나씩 고르는 재미가 있어요 여의도 데이트 코스로 추천하고 싶은 곳이에요
1239175402,노티드 여의도IFC몰,,,정말 만족스러운 카페예요. 도넛이 부드럽고 달콤함이 적절해서 좋네요. 라즈베리 도넛 먹었는데 진한 과일 맛이 살아있어 더 맛있게 즐길 수 있었어요
1239175402,노티드 여의도IFC몰,,,정말 만족했네요. 도넛 크림이 정말 풍부하고 맛있어서 여러 번 생각날 정도랍니다. 라즈베리 도넛 크림 식감이 부드럽고 달콤한게 입에서 사르르 녹아요
1239175402,노티드 여의도IFC몰,,,정말 맛있는 도넛이네요 음료랑 함께 먹으니 환상적인 조합이었어요 카야버터 도넛이 생각보다 달지 않고 은은한 풍미가 좋았고 음료와 같이 먹으니 더 맛있게 느껴졌어요
1239175402,노티드 여의도IFC몰,,,진짜 폭신한 식감이 일품이네요 클래식 바닐라 도넛은 달콤함이 진하지 않아서 좋았고 도넛이 정말 부드러워요
1239175402,노티드 여의도IFC몰,,,카페 인테리어가 정말 이쁘고 노티드 글레이즈 도넛이 부드러워요. 도넛과 함께 마실 수 있는 음료도 다양하고 카페 전체적인 분위기가 좋아요.
1239175402,노티드 여의도IFC몰,,,"클래식 바닐라 도넛은 겉은 살짝 바삭하고 안은 촉촉한데, 부드러운 바닐라 크림이 듬뿍 들어 있어서 한 입 먹자마자 기분 좋아졌어요. 달콤하지만 부담스럽지 않아 커피랑 찰떡 조합! 여의도 들르면 또 사 먹고 싶은 맛이에요."
1239175402,노티드 여의도IFC몰,,,클래식 바닐라 도넛이 인기 있는 이유를 알겠어요. 도넛 비주얼도 예쁘고 맛도 좋았어요. 이쁜 카페에서 즐기는 달콤한 맛이 기분까지 좋게 만들었어요.
1239175402,노티드 여의도IFC몰,,,통통 단팥 말차 컵빙수 먹었는데 팥이랑 인절미 가루랑 잘 어울려요! 근데 팥이 달달한 편이어서 위에 토핑 먹다가 중간 부분에서 말차 맛이 약하게 느껴져요... 중간층에도 인절미 가루랑 팥이 더 있으면 좋을 것 같다는 생각이네요! 궁금하면 한 번쯤은 먹기 좋은 것 같아요
1239175402,노티드 여의도IFC몰,,,폭신한 식감이 정말 일품이었어요 노티드 글레이즈 도넛은 부드럽고 달콤한 맛이 입안에서 느껴졌어요 한입 베어물면 푹신함이 그대로 전해지는 게 좋았어요
2061106444,다운타우너 여의도,,,2시넘어서 오니까 한적하고 좋았어요 광화문점도 맛있게 먹었는데 여의도점도 맛있어요 셀프바도 좋네용
2061106444,다운타우너 여의도,,,2시넘어서 오니까 한적하고 좋았어요 광화문점도 맛있게 먹었는데 여의도점도 맛있어요 셀프바도 좋네용
2061106444,다운타우너 여의도,,,감자튀김 두툼하고 맛있어요. 매장도 깔끔하고 주차도 되서 좋아요. 추천합니다!
2061106444,다운타우너 여의도,,,근본인 아보카도버거와 특별한 맛인 더블트러플치즈버거 먹었어요. 과거에 비해 버거맛집이 많아졌지만 아보카도버거는 다운타우너보다 잘하는 곳이 없는거같아요. 최애입니당💕 더블트러플치즈버거는 스모키한 치즈덕분인지 완전 새로운 맛이라 요리처럼 느껴졌어요! 트러플맛보단 다른 재료의 맛이 더 강하게 느껴졌는데 아는 맛도 좋지만 새로운 경험을 좋아해서 저는 완전 호였습니다☺️ 감튀는 갈릭버터는 달달하고 치즈는 짭짤해서 단짠으로 둘다 먹는걸 추천드려요ㅋㅋ
2061106444,다운타우너 여의도,,,"다운타우너 버거는 한 입 베어 물자마자 패티에서 육즙이 팡팡 터져서 정말 맛있었고, 소스랑도 잘 어울려서 계속 먹고 싶어졌다.🍔"
2061106444,다운타우너 여의도,,,다운타우너 여의도에 생겨서 넘 조아여 더현대 사람 많아서 식사할곳이 없는데 여기는 대기 없이 입장할수 있어서 너무 좋았습니다~ㅎㅎ🩵
2061106444,다운타우너 여의도,,,다운타우너 여의도에 생겨서 넘 조아여 더현대 사람 많아서 식사할곳이 없는데 여기는 대기 없이 입장할수 있어서 너무 좋았습니다~ㅎㅎ🩵
2061106444,다운타우너 여의도,,,다운타우너 여의도점 처음 방문해보는데 버거가 신선하고 맛있어요💓 혼자와서 먹어도 부담없어요 인테리어도 깔끔해요!! 잘먹었습니다>< 여의도 맛집좋아요🥰❤️🤍
2061106444,다운타우너 여의도,,,다운타우너가 여의도에 상륙했다는 소식 듣고 방문했습니다! 비오는 저녁 시간에도 빈자리 찾기 어려울정도로 사람이 많더라고요! 신선한 패티와 푸짐한 속 재료가 역시나 한끼로 든든한 다운타우너였습니다. 가까운 곳에 생겼으니 종종 방문해야겠어요 👍☺️
2061106444,다운타우너 여의도,,,달리기 하고 받은 고구마 튀김과 햄버거의 조합은 정말 꿀이었.. 다시 가고 싶은 다운타우너 최고최고😀😍
2061106444,다운타우너 여의도,,,더블이라 든든하게 먹을 수 있어요. 매장이 깔끔하고 넓어서 좋아요. 셀프바 이용도 편리하네요.
