가게ID,가게명,평점,날짜,리뷰내용
1068354679,구선 동여의도점,,,4명이서 방문했는데 미리 예약해서 룸으로 안내받았구요 프라이빗해서 좋았습니다. 스시정식도 너무 맛있고 양이 충분했어요!
1068354679,구선 동여의도점,,,4명이서 방문했는데 미리 예약해서 룸으로 안내받았구요 프라이빗해서 좋았습니다. 스시정식도 너무 맛있고 양이 충분했어요!
1068354679,구선 동여의도점,,,"n번째 재방문 중인 여의도 이자카야 구선 🍶 사시미가 숙성회로 구성돼서 정말 부드럽고 신선해요! 타 이자카야와는 차원이 다른..! 🥹 문어구이는 꽤 양도 많고 야들야들하구, 카다이프 새우튀김은 엄청 바삭하고 따뜻하니 두 번 주문해서 드세요! 🍤 특히 디저트로 나온 티라미수는 셰프님이 직접 만드시는데 투썸 아박처럼 사박사박 크림이 시원하게 씹혀서 아이스크림 먹는 것 같았어요🤍 그리고 추천 받은 사케....진짜 깔끔의 정석. 비싸지만 비싼 값 해요 🍶 같이 온 친구한테 칭찬 엄청 들었어요 ㅎㅎㅎ 회사 근처라 자주 오지만 앞으로도 자주 올게요😉🫶 잘 먹고 갑니당~~"
1068354679,구선 동여의도점,,,"n번째 재방문 중인 여의도 이자카야 구선 🍶 사시미가 숙성회로 구성돼서 정말 부드럽고 신선해요! 타 이자카야와는 차원이 다른..! 🥹 문어구이는 꽤 양도 많고 야들야들하구, 카다이프 새우튀김은 엄청 바삭하고 따뜻하니 두 번 주문해서 드세요! 🍤 특히 디저트로 나온 티라미수는 셰프님이 직접 만드시는데 투썸 아박처럼 사박사박 크림이 시원하게 씹혀서 아이스크림 먹는 것 같았어요🤍 그리고 추천 받은 사케....진짜 깔끔의 정석. 비싸지만 비싼 값 해요 🍶 같이 온 친구한테 칭찬 엄청 들었어요 ㅎㅎㅎ 회사 근처라 자주 오지만 앞으로도 자주 올게요😉🫶 잘 먹고 갑니당~~"
1068354679,구선 동여의도점,,,"기름 터지는 사바, 달달한 양념의 은대구, 신선한 사시미 모두 훌륭하네요. 술이 술술 들어가요"
1068354679,구선 동여의도점,,,"기름 터지는 사바, 달달한 양념의 은대구, 신선한 사시미 모두 훌륭하네요. 술이 술술 들어가요"
1068354679,구선 동여의도점,,,메뉴 하나하나 다 맛있고 내부 테이블 간격도 적당해서 일행과 얘기나누며 시간 보내기 좋아요 안키모마끼 품절이여서 안키모 단독으로 시켯는데 후회없는 선택이였습니당
1068354679,구선 동여의도점,,,메뉴 하나하나 다 맛있고 내부 테이블 간격도 적당해서 일행과 얘기나누며 시간 보내기 좋아요 안키모마끼 품절이여서 안키모 단독으로 시켯는데 후회없는 선택이였습니당
1068354679,구선 동여의도점,,,메뉴가 다 맛있어요! 룸도 있고 조용하고 서비스도 좋아서 비싼만큼 값어치 합니다! 모임 장소로 추천드려요!
1068354679,구선 동여의도점,,,메뉴가 다 맛있어요! 룸도 있고 조용하고 서비스도 좋아서 비싼만큼 값어치 합니다! 모임 장소로 추천드려요!
1068354679,구선 동여의도점,,,"무엇보다 가게 분위기가 너무 좋았어요. 아늑하면서도 깔끔하고, 조명이 은은해서 식사 내내 편안하게 즐길 수 있었어요. 직원분들도 친절하고 세심하게 응대해주셔서 기분 좋게 다녀왔습니다. 다음엔 다른 메뉴도 꼭 먹어보고 싶어요. 재방문 의사 100%입니다!"
1068354679,구선 동여의도점,,,"무엇보다 가게 분위기가 너무 좋았어요. 아늑하면서도 깔끔하고, 조명이 은은해서 식사 내내 편안하게 즐길 수 있었어요. 직원분들도 친절하고 세심하게 응대해주셔서 기분 좋게 다녀왔습니다. 다음엔 다른 메뉴도 꼭 먹어보고 싶어요. 재방문 의사 100%입니다!"
1068354679,구선 동여의도점,,,밤에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
1068354679,구선 동여의도점,,,밤에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
1068354679,구선 동여의도점,,,밤에 방문예약 후 이용대기 시간 바로 입장친목친구
1068354679,구선 동여의도점,,,밤에 방문예약 후 이용대기 시간 바로 입장친목친구
1068354679,구선 동여의도점,,,부모님 모시고 룸 예약 해서 왔어요 분위기도 좋고 륨 예약 해서 여러 메뉴 다양하게 주문 해서 맛있게 먹고 가요 너무 친절하시고 좋았어용!
1068354679,구선 동여의도점,,,부모님 모시고 룸 예약 해서 왔어요 분위기도 좋고 륨 예약 해서 여러 메뉴 다양하게 주문 해서 맛있게 먹고 가요 너무 친절하시고 좋았어용!
