가게ID,가게명,업종,평점,날짜,리뷰내용
1721181197,8번대물집한식,회,,,광어 소금김밥은 처음 먹어 봤는데 너무 맛있어요! 기본적으로 간이 잘 되어 있어서 따로 양념장 찍지 않아도 맛있게 먹을 수 있었습니다 새우튀김도 완전 바삭하고 굿굿 👍👍 회도 신선하고 맛있었습니당
1721181197,8번대물집한식,회,,,광어 소자 시켰는데 먹어보니 너무 신선하고 맛있어서 추가도 했답니다! 광어 징짜 맛있어요👍
1721181197,8번대물집한식,회,,,광어가 숙성회라 감칠맛이 너무 좋고 입에서 녹아서 아깝네요😭
1721181197,8번대물집한식,회,,,광어가 정말 맛있고 도미 튀김이 진짜 맛있어요 소스만 따로 퍼먹고싶을정도로 맛있네요 약간 기다리면 그래도 자리 나는거 같아요!!!🥺🥺🥺❤️❤️
1721181197,8번대물집한식,회,,,너무너무 기대했는데 기대이상이에요! 무엇보다 신선하고 주문하고서 바로바로 빠르게 나오니 흐름도 안끊기고 좋았어요~자주 방문하려구요!♥
1721181197,8번대물집한식,회,,,다음번에는 다른 메뉴들도 도전해보려 합니다^^
1721181197,8번대물집한식,회,,,대광어 소금김밥 새우튀김 매운탕까지 너무너무 맛있게 잘 먹었습니다😋 여의도 맛집으로 저의 맛집 지도에 저장했어요 담엔 참돔도 먹으러 올게요!!!!!
1721181197,8번대물집한식,회,,,두번 헛걸음후 세번만에 성공했어요!!! 광어는 클수록 맛있다더니 우와~ 입에 넣고 바로없어지는 매직 !! 너무 맛있어요
1721181197,8번대물집한식,회,,,매장이 쾌적하규 사장님 직원분들 다 친절해소 기분좋았어요. 무엇보다 맛은 보장이넹요 ㅎㅎ 시키는것마다 다 맛있었어요.꼼장어구이는 꼼장어가 좀 짰지만 말씀 드리니 양 더 많이해수 다시해주셨어요 감동 ㅎㅎㅎ 광어회 소금김밥 전어회 꼼장어구이 다 추천이요!
1721181197,8번대물집한식,회,,,소금김밥 무조건 시키시구여 통오징어찜은 알도 찼고 내장 녹진하니 찜친자들은 무적권 사랑하실겁니다.
1721181197,8번대물집한식,회,,,여의도 근처 횟집 검색해서 왔는데 진짜 인생 광어 횟집인것 같아요! 그리고 소금김밥이랑 묵은지 같이 해서 먹고 싶었는데 정말 너무 너무 맛있었습니당 재방문 의사100%에요!!!
1721181197,8번대물집한식,회,,,올 때마다 너무 행복하게 먹고가용>_< 재료도 다 너무 신선하고 먹는 메뉴마다 다 너무 맛나용!!♥️♥️ 분위기도 좋아서 모임하기에도 너무 좋을 것 같아용~~
1721181197,8번대물집한식,회,,,와... 원래 여기 좋아하던 곳인데 리뷰 안쓰려했는데 감동해서 적습니다... 저번에 방문하고 반했는데 평일에 오니까 웨이팅때문에 실패해서 주말에왔는데 예약안했으면 기다릴뻔햇어요 ㅠㅠㅠ 캬... 회는 여기 진짜 최고입니다 소금김밥에 백김치랑 싸먹으먄 진짜 최고 삼합..! 오징어도 양 짱많아요!!! 캬 또올게요
1721181197,8번대물집한식,회,,,요즘 유행하는 대광어 소금김밥에 묵은지 먹고 싶었는데 집 근처 찾아보다가 방문했습니다 일찍 퇴근해서 그런지 별로 기다리진 않았는데 예약하는거 추천합니다! 대광어가 아주 쫄깃하고 소금김밥이랑 먹으니까 고소함이 두배👍 너무 맛있어서 재방문할 예정입니다💕
1721181197,8번대물집한식,회,,,음식도 너무 맛있고 술 마시는 분위기도 좋아서 같이 데려간 친구들이 흡족했습니다. 다음에도 방문할 예정입니다!
1721181197,8번대물집한식,회,,,저녁에 방문대기 시간 1시간 이상데이트연인・배우자
1721181197,8번대물집한식,회,,,저녁에 방문예약 없이 이용대기 시간 30분 이내데이트친구
1721181197,8번대물집한식,회,,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구
1721181197,8번대물집한식,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1721181197,8번대물집한식,회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1721181197,8번대물집한식,회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구, 지인・동료, 부모님"
