가게ID,가게명,평점,날짜,리뷰내용
1680524361,BHC치킨 여의도역점,,,구라 안치고 우리 동네 bhc 크기 한 60퍼? 잘 쳐줘야 70퍼? 정도 크기인듯. 진짜 호수 본사지침보다 작은거 쓰는거 같음(내돈내산 뇌피셜). 크기가 말이 안됨ㅋㅋ화가 아니라 웃음이 나오는 수준ㅎㅎ적당히 해야지ㅋㅋ당연히 재방안함~참고들 하시길
1680524361,BHC치킨 여의도역점,,,그래도 외국인 직원분들이 정말 친절해서 기분 좋게 머물다 나왔어요!
1680524361,BHC치킨 여의도역점,,,다른 치킨집보다 닭이 크고 양도 많아요
1680524361,BHC치킨 여의도역점,,,"리뷰 2,650사진 477팔로워 93"
1680524361,BHC치킨 여의도역점,,,마카로니과자 담아주시는 그릇에 칠리소스가 굳어 있는 채로 나와서 조금 찝찝했어요.
1680524361,BHC치킨 여의도역점,,,맛있어서 자주 방문하는 매장인데 항상 사이드랑 메인음식 나오는 속도 차이가 나서 배가 차서 아쉬워요ㅠ
1680524361,BHC치킨 여의도역점,,,매장이 넓어 회식하기에도 좋고 주말엔 사람도 적어 편하게 먹고 왔습니다. 맛있어요!
1680524361,BHC치킨 여의도역점,,,밤에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
1680524361,BHC치킨 여의도역점,,,신제품 콰삭킹 먹어봤는데 바삭바삭하고 담백하니 맛있어요
1680524361,BHC치킨 여의도역점,,,아이.생일인데 오랜만에 쁘링클 먹고싶다고해서 픽업했어요. 가족모임이라 여러가지 먹었는데 치킨이 인기가 제일 많았네요. 다양한 음식들 중에 제일 먼저 사라졌어요^^ 어른들은 후라이드 콤보 좋아했구요. 아이들은 뿌링클 순살 좋아했어요. 맛있게 잘 먹었네요
1680524361,BHC치킨 여의도역점,,,여의도 한강공원 놀러갔다가 시간이 치맥할수있는곳이 여기뿐이 없어서 들렸는데 휴일 5시경이여서그런지 2테이블 뿐이 없었음. 장소는 엄청커서 회식하기 좋을듯한데 일단 맥주 너무 맛없고 닭도 튀김옷만 두껍고 퍽퍽해서 다 먹지 못하고 나옴. 음식에 좀더 신경썼으면 합니다.
1680524361,BHC치킨 여의도역점,,,인테리어 넓어서 회식하기도 좋고 치킨도 맛있쒀요
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친구
1680524361,BHC치킨 여의도역점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 비즈니스지인・동료"
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1680524361,BHC치킨 여의도역점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1680524361,BHC치킨 여의도역점,,,"저녁에 방문포장·배달 이용대기 시간 10분 이내 데이트, 나들이, 일상연인・배우자"
1680524361,BHC치킨 여의도역점,,,"저녁에 방문포장·배달 이용대기 시간 바로 입장친목, 나들이친구"
1680524361,BHC치킨 여의도역점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1680524361,BHC치킨 여의도역점,,,점심에 방문포장·배달 이용대기 시간 바로 입장친목지인・동료
1680524361,BHC치킨 여의도역점,,,"집회 참여했다가 탄핵 가결 후 친구들과 방문했어요! 맥주가 진짜 어찌나 맛있던지, 치킨도 너무너무 맛있게 먹었습니다."
1680524361,BHC치킨 여의도역점,,,포장했어요 ㅎㅎ 매장이 넓어서 먹고가도 좋을거 같아요! 핫뿌링클 처음 먹어봤는데 생각보다 조금 매워요
1746536039,DRAFT 128,,,"✔ 메뉴: 런치 2인 한정 세트를 주문했어요. 리코타 치즈 샐러드, 해장 파스타, 상하이 로제 파스타, 그리고 음료까지 포함되어 있어서 가성비가 괜찮았어요."
1746536039,DRAFT 128,,,다음에도 꼭 방문해주세요~ 늘 맛있는 음식과 편안한 분위기로 맞이하겠습니다.
1746536039,DRAFT 128,,,동료분들이랑 방문했는데 음식도 맛있고 매장이 넓어서 단체모임하기 좋을 것 같아요
1746536039,DRAFT 128,,,맛있는 음식과 분위기를 즐기셨다니 매우 기쁩니다. 자주 이용하실 수 있도록 다양한 메뉴와 이벤트를 제공하는 매장이 되도록 노력하겠습니다.
1746536039,DRAFT 128,,,"매장 및 음식과 주류 모두 좋게 평가해 주셔서 감사한 마음 전합니다. 친목, 회식, 단체 예약 등 다양하게 이용 가능하오니 예약 주시면 친절하게 도움 드리겠습니다."
1746536039,DRAFT 128,,,"매장 이용 뿐만 아니라, 포장 메뉴도 다양하게 준비되어 있어 날씨 좋은 날 한강에서 피크닉 메뉴로 이용하시기 좋습니다. 앞으로도 많은 이용 부탁 드립니다."
1746536039,DRAFT 128,,,매장에 대해 좋은 글 남겨주셔서 매우 뿌듯합니다. 앞으로도 다양한 음식과 친절한 서비스 제공할 수 있도록 노력하겠습니다.
1746536039,DRAFT 128,,,스트레스 해소와 기분 좋은 하루 보내실 수 있도록 매장에서 친절한 서비스 제공하도록 하겠습니다.
1746536039,DRAFT 128,,,엘지 1등 화이팅! 엘지 야구 응원하면서 보기에 너무 좋은 가게! ㅋㅋㅋㅋ
1746536039,DRAFT 128,,,"여의도 식당들이 대부분 오래 기다려야하고 사실 맛도 별로인데, 여기는 아직 알려지지 않아서 #숨은맛집 들이 많습니다. 오는은 그 고메스트릿 중에서 #드래프트128 #Draft128 이라는 #스포츠펍 에 가봤어요. #LG트원스 팬은 이미 아는 성지라는데 점심 먹기도 좋네요. #단체회식 하기도 좋을 것 같아요. #6억 짜리 #초고화질 #대형스크린 도 있습니다. #더현대맛집 #IFC몰맛집"
1746536039,DRAFT 128,,,여의도 트윈스 빌딩 지하에 엘지 트윈스 인테리어 매장. 여의도 간 김에 엘지팬이니 일부러 방문해 봄. 맥주 2+1 행사중이여서 두번 주문에 적당히 마시고 나왔는데 기본안주 달달 팝콘이고 주문한 나초 나름 신경써서 나왔지만 가격대비 부실해서 여의도 물가일까??? 게다가 대형화면 앞쪽에 누가 앉음 절반이나 가려서 보이지도 않음::: 엘지 경기가 없던 날이라 흥이 덜하기도 했지만 엘지 직원 지인왈.. 법카로 회식이나 가야할 곳이라고... 화덕에 굽는 피자를 못먹어서 그런지 몰라도 자비로 간 입장에서 화면 가림과 나초에 다시 갈지는 음.....그래도 온통 엘지로 꾸민건 칭찬해~~~^^
1746536039,DRAFT 128,,,오 완전 양도 많고 맛있어요!!! 스포츠 경기 보려고 방문했는데 환경 조성이 잘 돼있어서 자주 올 것 같아요ㅎㅎ
1746536039,DRAFT 128,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1746536039,DRAFT 128,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1746536039,DRAFT 128,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
1746536039,DRAFT 128,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목연인・배우자
1746536039,DRAFT 128,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1746536039,DRAFT 128,,,"저희 매장을 또 한 번 이용해 주셔서 기쁘며, 시원한 음/주류와 맛있는 음식을 제공할 수 있도록 항상 노력하겠습니다."
1746536039,DRAFT 128,,,"저희 매장을 이용해 주시고 높게 평가해 주신 만큼, 더욱 노력하는 매장이 되도록 최선을 다하겠습니다."
1746536039,DRAFT 128,,,"저희 매장을 이용해 주시고 높게 평가해 주신 만큼, 더욱 노력하는 매장이 되도록 최선을 다하겠습니다."
1746536039,DRAFT 128,,,저희 매장을 이용해 주시고 맛있게 드셨다고 하니 매우 뿌듯합니다. 앞으로도 다양한 메뉴 제공할 수 있도록 노력하겠습니다.
1746536039,DRAFT 128,,,"저희 매장의 시그니처 메뉴인 '화덕 피자'는 직접 반죽한 도우에 라이브로 화덕에서 구워 고객님께 제공됩니다. 추후, 다양한 피자 메뉴 선 보일 예정이니 또 한 번 방문해 주시기 바랍니다."
1746536039,DRAFT 128,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1746536039,DRAFT 128,,,점심에 방문예약 없이 이용대기 시간 바로 입장회식지인・동료
1746536039,DRAFT 128,,,지하 공간에서 마치 '아지트'와 같이 편안하고 기분 좋은 하루를 보내실 수 있도록 매장에서는 다양한 노력하겠습니다. 메뉴 뿐만 아니라 직원들에게 좋은 글 남겨주셔서 매우 기쁩니다.
1746536039,DRAFT 128,,,진짜 맛있어요ㅠㅠ 그냥 맥주가 땡겨서 방문했는데 야구도 볼 수 있고 정말 재방문 의사 100%입니다. 야구 좋아하시면 꼭 방문하세요. 식당이 깨끗하고 너무 좋습니다
1746536039,DRAFT 128,,,"집에서 보기 뭔가 아쉬워서 찾다가 왔는데 티비도 많아서 어느 자리에 앉아도 잘 보여서 좋고, 음식도 맛있고 좋았어요!"
1746536039,DRAFT 128,,,"칠리소스도 있고, 트러플마요 소스도 강추하니 꼭 같이 드셔보세요."
40048672,고릴라쉐프,,,고기 요리들이 질리지 않고 맛있네요. 매콤 새우 로제파스타는 크림함과 매콤함이 어우러져 참 괜찮았어요.
40048672,고릴라쉐프,,,고기 요리들이 질리지 않고 맛있네요. 매콤 새우 로제파스타는 크림함과 매콤함이 어우러져 참 괜찮았어요.
