가게ID,가게명,평점,날짜,리뷰내용
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,고디바 쪼꼬 맛난거야 다 알지만 베이커리도 맛집 인정입니다!
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,고디바 쪼꼬 맛난거야 다 알지만 베이커리도 맛집 인정입니다!
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,드디어 먹어본 고디바베이커리. 역시나 맛있는데 계산까지 오래 걸럈아요
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,드디어 먹어본 고디바베이커리. 역시나 맛있는데 계산까지 오래 걸럈아요
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,드디어 유명한 고디바 베이커리에 와봤어요!! 맛있습니다☺️
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,드디어 유명한 고디바 베이커리에 와봤어요!! 맛있습니다☺️
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"빵은 익히 맛있는거 알지만, 냉장말고 그냥 진열된 빵에 초파리 3 마리나 날아다님... 쇼케이스 뚜껑 있었으면 좋겠어요!"
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"빵은 익히 맛있는거 알지만, 냉장말고 그냥 진열된 빵에 초파리 3 마리나 날아다님... 쇼케이스 뚜껑 있었으면 좋겠어요!"
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,빵을 하나밖에 안 산게 아쉬울정도..다 먹어보고 싶어요!
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,아이스크림 소라빵 아이스크림은 맛있는데 소라빵은 그냥 그저 그랬어요. 초코크림이 빵이랑 따로 노는 느낌이었고 빵도 약간 메마른 느낌이었어요
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,여전히 인기많은 고디바베이커리. 케잌남은거 산걸로 만족
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,와웅~ 달지 않고 진한 초콜렛 맛이 좋아요~ 음료는 부숴 마실 수 있는 크랙으로 드세요! 소라빵 어나더레벨입니다 ^^
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"요즘 베이커리는 잼이 속에서 겉으로 나오는 추세인데요. 노티드나 랜디스, 말똥 도넛 같은 속이 꽉찬 크림 도넛이 한풀 꺾이면서 타르트나 페스트리처럼 빵 자체로 승부하거나 빵 표면에 소스를 바르는 쪽으로 옮겨가고 있습니다."
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,점심에 방문예약 없이 이용대기 시간 10분 이내 친목친구
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,점심에 방문예약 없이 이용대기 시간 30분 이내친목친구
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,점심에 방문예약 없이 이용대기 시간 30분 이내친목친구
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,점심에 방문포장·배달 이용대기 시간 10분 이내 데이트연인・배우자
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"점심에 방문포장·배달 이용대기 시간 30분 이내데이트, 일상연인・배우자"
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"점심에 방문포장·배달 이용대기 시간 30분 이내데이트, 일상연인・배우자"
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,"진짜 몇번이고 둘, 하나, 하나 포장 따로 해달라고 정중하게 부탁했는데… 제가 선물하는 거라 스티커를 떼고 다시 확인 할 수도 없었고 믿고 부탁드렸는데 ㅠㅠ 포장이 원하는 품목으로 안되어서 선물 망했습니다,,, 진짜 환불하고싶은 거 꾹 참았어요….. 포장 똑바로 해주세요…."
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,카운터 보시는 분 손이 조금만 더 빠르면 좋겠어요. 빵은 굿굿
1987157240,고디바베이커리 더현대서울점초콜릿전문점,,,카운터 보시는 분 손이 조금만 더 빠르면 좋겠어요. 빵은 굿굿
1998484910,런던베이글뮤지엄 여의도베이커리,,2025.07.13,"감자치즈베이글은 쫄깃하고 고소하고, 블루베리는 상큼함 가득! 치즈허니는 달콤하고 담백해서 입맛 저격했어요. 인테리어도 완전 런던 느낌 가득해서 눈도 즐거웠던 방문이었어요☺"
1998484910,런던베이글뮤지엄 여의도베이커리,,,(서울_더현대서울) “런던베이글” 왔으니 트러플머쉬룸스프를 먹어주는 것으로 첫끼!! 배고플때 먹었더니 짜니 안고 괜춘!! 베이글은 바질로.. 웨이팅을 계속 걸어 놓아서.. 후딱 후르륵 하고 이동!!
1998484910,런던베이글뮤지엄 여의도베이커리,,,2. 인테리어는 전점공통이지만 자세히보면 디테일이 달라요. 료대표님 👍
1998484910,런던베이글뮤지엄 여의도베이커리,,,가장 좋아하는 베이글 맛집!!!!🤎🤎 생각보다 웨이팅도 생각보다 빨리 줄어서 더현대 구경하다보면 금방 입장할 수 있어요 :) 감자치즈베이글 최애 원픽🥔🧀
1998484910,런던베이글뮤지엄 여의도베이커리,,,거의 포장하는 경우가 많아 샌드위치나 크림치즈든거보단 기본베이글 선호해서
1998484910,런던베이글뮤지엄 여의도베이커리,,,"금요일 다섯시쯤 방문해서 매장 취식 1시간 정도 웨이팅했습니다. 쪽파프레첼, 프레첼버터, 트러플버터베이글은 매장에서 먹고 소금빵베이글은 포장했어요. 세 가지 중에 프레첼버터 베이글이 가장 맛있었어요. 짭짤한 프레첼 베이글에 큼직한 버터가 아주 잘 어울렸습니다. 쪽파프레첼베이글을 가장 기대했는데 쪽파의 알싸한 맛이 전혀 없더라고요. 부추가 아닌가 싶은 생각이 듭니다. 트러플버터베이글은 트러플 러버가 아니라서 조금 어려운 맛이었습니다. 먹다 남은 거 포장도 가능해서 좋았어요. 베이글을 많이 먹어보진 않아서 모르겠지만 큼직하고 촉촉하고 쫀쫀해서 든든한 한끼로도 손색없을 것 같습니다."
1998484910,런던베이글뮤지엄 여의도베이커리,,,대기등록하고 1시간 40분정도 걸려서 입장한거 같아요. 기다리는동안 아이들과 점심 먹고 차한잔 마시니까 입장시간이 딱 맞았어요. 베이글 좋아하는 아이가 있어 이거 저거 담았는데 못 담아온 베이글이 생각 나네요~^^ 저희는 만장일치로 올리브베이글 진짜 맛있게 먹었어요.
1998484910,런던베이글뮤지엄 여의도베이커리,,,더 현대 평일 폐점 시간 8시 무렵 포장만 가능 조건으로 웨이팅 없이 입장!!
1998484910,런던베이글뮤지엄 여의도베이커리,,,런베뮤 런베뮤하도 유명해서 더현대 온 김에 방문 포장웨이팅만해도 1시간반이 걸림🤣 이것 저것 담다보니 5만원이 훌쩍 넘음😅 토마토 허브 베이글이랑 베이컨 포테이토 샌드위치 먼저 먹었는데 너무 맛있다❤️ 트러플크림치즈도 트러플향 엄청 나서 좋고 웨이팅하길 잘한듯ㅎㅎ 포장웨이팅도 기니 웨이팅 걸어놓고 구경다니는거 추천~
1998484910,런던베이글뮤지엄 여의도베이커리,,,맛있네요 쪽파 베이클도 맛있고 햄들어 있는 것도 맛있고 4개 사왔는데 다음에 가도 꼭 들러 사올 것 같아요. 종류별로 다 먹어보고 싶네요~~
1998484910,런던베이글뮤지엄 여의도베이커리,,,맨날 가보고 싶다고 생각만 했다가 드디어 방문했어요!! 일요일애 갔는데 예약 걸고 더현대 두시간 정도 돌아다니다가 들어갔습니당ㅎㅎㅎ
