가게ID,가게명,평점,날짜,리뷰내용
1494468662,달리181 여의도점,,,"그리고, 예약 서비스로 주신 리코타샐러드도 잘 먹었습니다. 분위기 좋고 맛 좋은 여의도맛집 입니다"
1494468662,달리181 여의도점,,,"그리고, 예약 서비스로 주신 리코타샐러드도 잘 먹었습니다. 분위기 좋고 맛 좋은 여의도맛집 입니다"
1494468662,달리181 여의도점,,,남자친구랑 일 끝나고 왔는데 너무 맛있고 가성비 좋게 먹었어요! 특히 큐브 찹스테이크 너무너무 강추드립니당
1494468662,달리181 여의도점,,,남자친구랑 일 끝나고 왔는데 너무 맛있고 가성비 좋게 먹었어요! 특히 큐브 찹스테이크 너무너무 강추드립니당
1494468662,달리181 여의도점,,,네이버 예약과 영수증 리뷰까지 하면 샐러드와 에이드 서비스까지 받을 수 있으니까 무조건 하시는거 추천👍
1494468662,달리181 여의도점,,,네이버 예약과 영수증 리뷰까지 하면 샐러드와 에이드 서비스까지 받을 수 있으니까 무조건 하시는거 추천👍
1494468662,달리181 여의도점,,,달리 181을 가면 여의도 소개팅장소나 센스있는 음식밖에 생각이 안난다. 하지만 갈때마다 느끼는건 직원분들의 친절함과 더해지는 쫀득한 치즈가 함께하는 빠네파스타....
1494468662,달리181 여의도점,,,달리 181을 가면 여의도 소개팅장소나 센스있는 음식밖에 생각이 안난다. 하지만 갈때마다 느끼는건 직원분들의 친절함과 더해지는 쫀득한 치즈가 함께하는 빠네파스타....
1494468662,달리181 여의도점,,,"더운 날 오아시스를 발견한 기쁨! 아이가 오일 파스타 먹고 싶어해서 찾은 곳인데 대만족하고 갑니다.♡ 룸으로 안내 받았는데 분위기도 정말 좋고 음식도 맛있게 먹었어요. 집에 오래된 프랑스 가구가 있는데 여기에도 익숙한 느낌의 가구들, 소품들이 있어 반갑고 좋았어요. 직원분들도 참 친절했어요. ^^"
1494468662,달리181 여의도점,,,"더운 날 오아시스를 발견한 기쁨! 아이가 오일 파스타 먹고 싶어해서 찾은 곳인데 대만족하고 갑니다.♡ 룸으로 안내 받았는데 분위기도 정말 좋고 음식도 맛있게 먹었어요. 집에 오래된 프랑스 가구가 있는데 여기에도 익숙한 느낌의 가구들, 소품들이 있어 반갑고 좋았어요. 직원분들도 참 친절했어요. ^^"
1494468662,달리181 여의도점,,,룸 사용은 미리 예약하기 필수! 맛있는 파스타가 많아서 취향저격입니다 😆 와인모임이나 청첩장 모임하기 딱 좋겠더라고요!! 빠네 꼭 드셔보세요~~ 치즈 철철 파스타 맛도리입니다 😆
1494468662,달리181 여의도점,,,룸 사용은 미리 예약하기 필수! 맛있는 파스타가 많아서 취향저격입니다 😆 와인모임이나 청첩장 모임하기 딱 좋겠더라고요!! 빠네 꼭 드셔보세요~~ 치즈 철철 파스타 맛도리입니다 😆
1494468662,달리181 여의도점,,,"메뉴는 역시나 퀄리티가 다르더라구요 👍 음식 하나하나 정성이 느껴지고, 맛도 깔끔하면서도 풍부해서 기대 이상이었어요. 특히 플레이팅도 예쁘게 나와서 보는 재미까지 있었습니다. 음료도 향이 깊고 균형이 잘 맞아 만족도가 높았어요."
1494468662,달리181 여의도점,,,"메뉴는 역시나 퀄리티가 다르더라구요 👍 음식 하나하나 정성이 느껴지고, 맛도 깔끔하면서도 풍부해서 기대 이상이었어요. 특히 플레이팅도 예쁘게 나와서 보는 재미까지 있었습니다. 음료도 향이 깊고 균형이 잘 맞아 만족도가 높았어요."
1494468662,달리181 여의도점,,,바로 자리로 안내받았고 즐거운 분위기에 식사할수 있었네요. 무엇조다 음식이 맛있었어요^^
1494468662,달리181 여의도점,,,바로 자리로 안내받았고 즐거운 분위기에 식사할수 있었네요. 무엇조다 음식이 맛있었어요^^
1494468662,달리181 여의도점,,,분위기 맛 가격 게다가 친절함 여의도 한강데이트 장소 찾으면 무조건 달리181 !!! 데이트하기 진심 좋아요
1494468662,달리181 여의도점,,,분위기 맛 가격 게다가 친절함 여의도 한강데이트 장소 찾으면 무조건 달리181 !!! 데이트하기 진심 좋아요
1494468662,달리181 여의도점,,,샐러드 재료 변함없이 신선하고 양도 많고 고기는 부드러워요. 담에 메뉴 도장깨기하러 또 올게요 😆
1494468662,달리181 여의도점,,,샐러드 재료 변함없이 신선하고 양도 많고 고기는 부드러워요. 담에 메뉴 도장깨기하러 또 올게요 😆
1494468662,달리181 여의도점,,,엄마랑 데이트였는데 엄마께서 맛도 친절함도 분위기도 모두 만족해하셨어요!!! ㅎㅎㅎ 대화하기도 부담스럽지 않으면서 고급스러워서 소개팅으로 와도 분위기 좋을것 같아요!! 빠네파스타 치즈폭포로 고소하고 찹스테이크도 부드러워요♡
1494468662,달리181 여의도점,,,엄마랑 데이트였는데 엄마께서 맛도 친절함도 분위기도 모두 만족해하셨어요!!! ㅎㅎㅎ 대화하기도 부담스럽지 않으면서 고급스러워서 소개팅으로 와도 분위기 좋을것 같아요!! 빠네파스타 치즈폭포로 고소하고 찹스테이크도 부드러워요♡
1494468662,달리181 여의도점,,,여의도에 이런데가 있는줄 몰랐어요! 가게 분위기도 너무 예쁘고 음식들도 다 맛있어서 기념일이나 데이트 할때 오기 딱 좋을거 같아요!💓
1494468662,달리181 여의도점,,,여의도에 이런데가 있는줄 몰랐어요! 가게 분위기도 너무 예쁘고 음식들도 다 맛있어서 기념일이나 데이트 할때 오기 딱 좋을거 같아요!💓
1494468662,달리181 여의도점,,,"예약관리 및 고객 한분 한분께 가는 서비스에 더욱 신경써서 추후엔 이런일이 없도록 하겠습니다, 만약 다시 방문하시게된다면 더 나은 경험과 즐거운 시간이 될 수 있도록 노력하는 달리181이 되겠습니다! 감사합니다!"
