가게ID,가게명,평점,날짜,리뷰내용
1443064599,부추긴돼지,,,가족분들과 즐거운 식사와 대화가 오갈 수 있도록 더 최선을 다하겠습니다
1443064599,부추긴돼지,,,"고기랑 부추 조합이 정말 예술입니다! 쭈꾸미도 매콤달콤하고 꾸덕한 양념이 참 좋았고, 질기지 않아서 더 맛있게 먹을 수 있었어요!⭐"
1443064599,부추긴돼지,,,"고기부터 반찬, 사이드 메뉴까지 전부 만족스럽고 직원분이 고기를 직접 구워줘서 편하게 즐길 수 있었어요."
1443064599,부추긴돼지,,,"고기부터 반찬, 사이드 메뉴까지 전부 만족스럽고 직원분이 고기를 직접 구워줘서 편하게 즐길 수 있었어요."
1443064599,부추긴돼지,,,"금요일 저녁 마감 1시간 남겨두고 늦게 방문했는데, 음식 굉장히 빨리 나왔고 맛도 다 좋았어요 ! 고기 직접 구워주셔서 편하게 먹기 좋았습니당:) 무엇보다도 고기집인데 인테리어 깔끔하고 창가쪽에 앉으니 뷰 너무 좋은데 환기도 잘 돼요 !! 홍대 고기집으로 강추합니당👍"
1443064599,부추긴돼지,,,"금요일 저녁 마감 1시간 남겨두고 늦게 방문했는데, 음식 굉장히 빨리 나왔고 맛도 다 좋았어요 ! 고기 직접 구워주셔서 편하게 먹기 좋았습니당:) 무엇보다도 고기집인데 인테리어 깔끔하고 창가쪽에 앉으니 뷰 너무 좋은데 환기도 잘 돼요 !! 홍대 고기집으로 강추합니당👍"
1443064599,부추긴돼지,,,"깔끔한 인테리어와 시원한 매장 분위기, 직원분들이 직접 구워주셔서 편하게 즐길 수 있는 점 그리고 삼겹살과 쭈꾸미, 부추 조합의 중독적인 맛까지!"
1443064599,부추긴돼지,,,"깔끔한 인테리어와 시원한 매장 분위기, 직원분들이 직접 구워주셔서 편하게 즐길 수 있는 점 그리고 삼겹살과 쭈꾸미, 부추 조합의 중독적인 맛까지!"
1443064599,부추긴돼지,,,동료분이랑 쏘주에 삼겹살 먹고 싶어서 예약하고 방문했습니다! 토요일 오후이긴 한데 이른 시간이라 사람 없고 조용하게 먹을수 있었어요! 직원분들도 친절하시고! 부추무침이 너무 맛있었어요!!! 고기도 맛있고 볶음밥도 맛있게 먹었습니다!! 고기도 다 구워주셔서 편하게 먹을수 있어었어욥!
1443064599,부추긴돼지,,,방문해 주셔서 감사합니다😊 우연히 들르셨다가 만족하셨다니 정말 기쁘네요! 앞으로도 친절한 서비스와 맛있는 음식으로 찾아주신 보람 드릴게요💗 다음에도 꼭 부추긴돼지에서 맛있게 즐기세요!
1443064599,부추긴돼지,,,방문해 주셔서 감사합니다😊 우연히 들르셨다가 만족하셨다니 정말 기쁘네요! 앞으로도 친절한 서비스와 맛있는 음식으로 찾아주신 보람 드릴게요💗 다음에도 꼭 부추긴돼지에서 맛있게 즐기세요!
1443064599,부추긴돼지,,,부추 양념 뭐쓰신건지 개맛있어요... 무조건 재방문 합니다 또 올게요 !
1443064599,부추긴돼지,,,"삼겹살양이 은근 많았어요! 쭈꾸미랑 부추랑 삼겹살이랑 같이 먹는 건 처음이었는데 이게 왤케 맛있어요,,,🥹👏 조합 최고입니다,,, 게다가 쭈꾸미 살짝 매콤해서 삼겹살이랑 완전 잘 어울림! 실내도 쾌적하니 식사하기 좋았고 직원분들도 모두 친절하셨어요 ㅎㅎ 다음에 또 올게요!"
1443064599,부추긴돼지,,,"삼겹살양이 은근 많았어요! 쭈꾸미랑 부추랑 삼겹살이랑 같이 먹는 건 처음이었는데 이게 왤케 맛있어요,,,🥹👏 조합 최고입니다,,, 게다가 쭈꾸미 살짝 매콤해서 삼겹살이랑 완전 잘 어울림! 실내도 쾌적하니 식사하기 좋았고 직원분들도 모두 친절하셨어요 ㅎㅎ 다음에 또 올게요!"
1443064599,부추긴돼지,,,아무 정보없이 지나가다가 냄새에 이끌려서 웨이팅하고 들어간 고기 집인데 부추 퀄리티가 너무 좋고 고기도 맛있게 먹었어요! 볶음밥도 강력 추천합니다!!
1443064599,부추긴돼지,,,원래 다른 가게 웨이팅 때문에 1시간넘게 앞에있는 벤치에 앉아있었는데 고기 냄새가 너무 맛있게 나서 취소하고 들어왔더니 웨이팅도 없이 바로 들어올 수 있어서 좋았어요 그리고 직접 구워주시기까지 해서 편했습니다 갑작스럽게 들어온 가게인데도 같이 먹으면 좋은 조합도 추천해 주시고 메뉴도 여쭤보니 친절하게 대응해주셔서 좋았어요 다음에 또 오고싶네용ㅎㅎ
1443064599,부추긴돼지,,,원래 다른 가게 웨이팅 때문에 1시간넘게 앞에있는 벤치에 앉아있었는데 고기 냄새가 너무 맛있게 나서 취소하고 들어왔더니 웨이팅도 없이 바로 들어올 수 있어서 좋았어요 그리고 직접 구워주시기까지 해서 편했습니다 갑작스럽게 들어온 가게인데도 같이 먹으면 좋은 조합도 추천해 주시고 메뉴도 여쭤보니 친절하게 대응해주셔서 좋았어요 다음에 또 오고싶네용ㅎㅎ
1443064599,부추긴돼지,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1443064599,부추긴돼지,,,저희 부추 삼겹살을 제대로 즐겨주신 것 같아 매우 기뻐요! 다음에 또 뵙겠습니다 :)
1443064599,부추긴돼지,,,직접 구어주셔서 먹기도 편하고 셀프바도 있어서 더먹고싶은 반찬만 편하게 더 먹을수 있어서 좋았어요!!!
1443064599,부추긴돼지,,,"집 근처에서 찾아주실 때마다 만족하셨다니 정말 기쁩니다😊 부추와 삼겹살, 김치말이국수까지 완벽한 조합으로 준비해 두었으니 앞으로도 연남 삼겹살은 부추긴돼지에서 즐겨주세요!"
