가게ID,가게명,평점,날짜,리뷰내용
1358493636,고스트블랙 연남,,,3. 한가지 아쉬웠다면 포크밸리 비빔면을 사이드로 시켰는데 여기 들어있는 고기가 너무 차갑고 퍽퍽해서 친구랑 둘다 입도 안댔어요.. 어차피 스테이크 먹으러 가서 사이드로 먹는거라면 고기를 빼고 가격을 조금 낮추시는게 더 좋지 않을까 생각들더라고요. 비빔면 자체는 넘 맛있었구요
1358493636,고스트블랙 연남,,,가게도 3층까지 있어서 자리도 넉넉하구 무엇보다 콜키지 프리인점도 훌륭하네요!!!
1358493636,고스트블랙 연남,,,"가격이 조금 비싸다고 생각이 들었지만, 빵에 싸먹었을때 고기가 너무 부드럽고 소스 간이 너무 절묘해서 너무 맛있게 잘먹었어요!!! 하이볼 또한 맛집입니다!"
1358493636,고스트블랙 연남,,,고기 질이 너무 좋아요 부드럽고 익힘정도도 만족입니당 . 고기양도 푸짐해요 다음에 또 올꺼같아요
1358493636,고스트블랙 연남,,,고기도 부드럽고 특히 립은 뼈랑 살이 분리가 잘되서 립이지만 쉽게 먹을수있어서 너무 좋았습니다 ~ 그리규 사이드도 잘 나와서 여러가지 버전으로 먹을수있어서 물리지 않게 먹을수있는점이 아주 좋았습니다 ~
1358493636,고스트블랙 연남,,,고기랑 빵이랑 샐러드랑 같이 먹으면 맛있어요 샐러드도 호불호 없을 거 같고 소스에 찍어먹으면 좀 더 풍미가 나요!! 고기도 부드럽고 맛잇어용
1358493636,고스트블랙 연남,,,공간이 넓어서 예약을 안해도 바로 들어올 수 있었어요. 미국적인 인테리어가 너무 멋있어요. 친구들이랑 모임 할 때 꼭 다시 한번
1358493636,고스트블랙 연남,,,"근데 정말 양도 많고, 맛있네요 ! 같이 나오는 코울슬로랑 토마토도 고기와 잘 어울려서 조합이 좋은 것 같아요 ! 다음에는 다른 메뉴도 먹어보러 방문할게요 :)"
1358493636,고스트블랙 연남,,,남자친구랑 인스타에서 보고 바로 예약하고 왔는데 너무너무 만족했어요…! ❤️ 양도 많고 주문하면 스테이크도 바로 구워서 나오는데 부드럽게 잘 썰리고 소금간만 해서 먹어도 너무너무 맛있어요 😍 폴드포크나 브리스킷도 같이 나온 사이드랑 빵이랑 먹어도 너무 맛있고 소스도 다양해서 골라먹는 재미가 있어요. 거기다가 이 파스타… 정말정말 제 취향이에요 🤍 스테이크집에서 파는 게 아니라 파스타 메인인 레스토랑에서 팔 법한 맛입니다!!
1358493636,고스트블랙 연남,,,너무 맛있고 푸짐해요~! 첨에 또띠아에 싸서 맛있게 먹어서 또띠아 더 시킬까하다가 모닝빵처럼 생긴거에도 싸먹어봤는데 이것도 너무 맛있어요 보기와는 다르게 일반 모닝빵이랑은 다르더라구요. 고기도 부드럽고 진짜 맛있게 잘 먹었습니다 😍 양이 푸짐해서 담엔 친구들이랑 와봐야겠어요~ 콜키지 프리도 너무 좋고 펫 프랜들리도 넘 좋아요! 👍
1358493636,고스트블랙 연남,,,다른 바베큐집도 가봤는데 먹다보면 퍽퍽해서 맥주나 다른 음료를 많이 마셨는데 훈제로 만들어서 그런지 육즙이 가득 들어가있어서 너무 맛있어용!
1358493636,고스트블랙 연남,,,"맛있게 드셔주셔서 정말 감사드립니다!! 멈추지 않고, 지속적으로 맛있는 음식을 만들어낼 수 있는 고스트블랙이 되겠습니다. 다음에 또오세요!!"
1358493636,고스트블랙 연남,,,맞아요~~~14시간은 텍사스방식의 훈연은 좋은고기를 더더더 맛있게 만드는 마법의 시간이에요 ㅎㅎ
1358493636,고스트블랙 연남,,,매장이 정말 깔끔하고 메뉴 구성도 알차서 좋습니다. 한 건물을 다 써서 층이 많아 조용히 이용할 수 있을 것 같습니다. 플래터 먹었는데 이것저것 다양하게 먹을 수 있어서 좋았습니다.
1358493636,고스트블랙 연남,,,먹음직스럽게 나온 다양한 고기들을 기호에 맞게 먹으면 꾸르맛이다! 부드러운 살코기들이 입안에서 사르르~ 생일인 경우에는 직접 끓인 미역국을 포함한 정갈한 한상까지🤤 배터지는줄.. 이렇게 고봉밥을 주시다니 황송할 따름이다 그리고 어디가서 이런미역국을 볼서 있을까 미역국인지 고기국인지 모를정도로 고기가 정말 많다 잘먹고 갑니다 사장님 덕분에 해피버스데이 즐겼습니다
1358493636,고스트블랙 연남,,,미트 2개짜리 플레이트를 즐겼어요. 특히 부채살은 정말 부드럽고 육즙 가득해서 감탄했어요ㅠㅜ 따뜻하게 나온 빵에 고기와 함께 햄버거처럼 먹으니 조합이 완벽했습니다. 비빔면도 꼭 같이 드셔보시길 추천드려요!!
1358493636,고스트블랙 연남,,,"바베큐 먹으러 가면 비프립을 주로 먹는데 여기 맛있네요! 고기가 많이 기름지지 않고 담백한 편인데 뻣뻣하지 않고 부드럽게 잘 썰리고, 껍질 쪽에 시즈닝도 잘 돼있어서 풍미가 좋아요~ 같이 나온 소금에 제일 잘 어울리고요. 다만 다른 플래터처럼 양파절임이나 빵 같은 사이드가 아예 없는 게 아쉬워서, 다음에 세명이상 같이 올때는 플래터 하나 비프립하나 시켜야 될 것 같아요!"
