가게ID,가게명,평점,날짜,리뷰내용
1402516922,음무아 연남점,,,3번째 방문인데 올 때마다 너무 맛있어서 항상 지인들 데려와요 직원 분도 너무 친절하시고 웨이팅도 없어서 넘 좋아요..🤍 분위기도 좋아서 연인이든 친구든 가족이든 상관 없이 누구랑 와도 어울리는 곳입니당
1402516922,음무아 연남점,,,감바스에 오징어 들어가는데 그게 되게 특이하고 맛있어요!!!!
1402516922,음무아 연남점,,,감바스에 오징어 들어가는데 그게 되게 특이하고 맛있어요!!!!
1402516922,음무아 연남점,,,감바스에 오징어 들어가는데 그게 되게 특이하고 맛있어요!!!!
1402516922,음무아 연남점,,,감바스에 오징어 들어가는데 그게 되게 특이하고 맛있어요!!!!
1402516922,음무아 연남점,,,강아지 데리고 연남동왔다가 반려동물 동반 가능 식당을 찾다가 들어왔는데 너무 맛있게 잘 먹었어요. 특히 치즈랑 바게트 최고
1402516922,음무아 연남점,,,강아지 데리고 연남동왔다가 반려동물 동반 가능 식당을 찾다가 들어왔는데 너무 맛있게 잘 먹었어요. 특히 치즈랑 바게트 최고
1402516922,음무아 연남점,,,강아지 데리고 연남동왔다가 반려동물 동반 가능 식당을 찾다가 들어왔는데 너무 맛있게 잘 먹었어요. 특히 치즈랑 바게트 최고
1402516922,음무아 연남점,,,강아지 데리고 연남동왔다가 반려동물 동반 가능 식당을 찾다가 들어왔는데 너무 맛있게 잘 먹었어요. 특히 치즈랑 바게트 최고
1402516922,음무아 연남점,,,근처에 왔다가 친구랑 먹으러 왔는데 가격도 착하고 너무 맛있습니당ㅎㅎ 직원분도 친절하시고 뷰도 예뻐서 잘 즐기다가 가요☺️
1402516922,음무아 연남점,,,근처에 왔다가 친구랑 먹으러 왔는데 가격도 착하고 너무 맛있습니당ㅎㅎ 직원분도 친절하시고 뷰도 예뻐서 잘 즐기다가 가요☺️
1402516922,음무아 연남점,,,근처에 왔다가 친구랑 먹으러 왔는데 가격도 착하고 너무 맛있습니당ㅎㅎ 직원분도 친절하시고 뷰도 예뻐서 잘 즐기다가 가요☺️
1402516922,음무아 연남점,,,근처에 왔다가 친구랑 먹으러 왔는데 가격도 착하고 너무 맛있습니당ㅎㅎ 직원분도 친절하시고 뷰도 예뻐서 잘 즐기다가 가요☺️
