가게ID,가게명,평점,날짜,리뷰내용
1690354455,갓잇 연남점,,,광복절 연휴에 가족 나들이와 함께 저희 가게의 멕시칸 음식을 즐기셨다니 매우 기쁩니다. 아드님께서 좋아해 주신 점 또한 큰 힘이 됩니다. 코로나 맥주 1+1 이벤트와 함께 더운 여름 기분 좋게 보내셨다니 보람을 느낍니다. 앞으로도 변함없는 가성비와 맛으로 보답하는 갓잇 연남점이 되겠습니다.
1690354455,갓잇 연남점,,,광복절 연휴에 가족 나들이와 함께 저희 가게의 멕시칸 음식을 즐기셨다니 매우 기쁩니다. 아드님께서 좋아해 주신 점 또한 큰 힘이 됩니다. 코로나 맥주 1+1 이벤트와 함께 더운 여름 기분 좋게 보내셨다니 보람을 느낍니다. 앞으로도 변함없는 가성비와 맛으로 보답하는 갓잇 연남점이 되겠습니다.
1690354455,갓잇 연남점,,,멕시칸 음식을 너무 좋아해서 찾아보다가 연남동 맛집이라고 해서 찾아왔는데 매장도 쾌적하고 무엇보다 음식이 맛있어요!! 끊임없이 계속 들어갑니다ㅋㅋㅋ 플레이팅도 예뻐서 눈으로도 한 번 더 먹는 기분이에요 😆👍 재방문각에 주변에 추천 하고 싶은 맛집이에요!!
1690354455,갓잇 연남점,,,배달로 시켜먹고 반해서 😎지인들이랑 직접 방문했어요ㅎㅎㅎ🥰동네맛집이어서 지인들 소개하기 넘 좋은듯요👍👍
1690354455,갓잇 연남점,,,배달로 시켜먹고 반해서 😎지인들이랑 직접 방문했어요ㅎㅎㅎ🥰동네맛집이어서 지인들 소개하기 넘 좋은듯요👍👍
1690354455,갓잇 연남점,,,사실 연남동 맛집 너어무 많지만 저는 친구들이랑 약속잡을때 후보에 꼭 갓잇 얘기해요 ㅎㅎㅎ 그리고 이렇게 N번째 방문><!!! 여전히 재료푸짐하고 맛있어요…메뉴 다양하긴한데 제 픽은 파히타세트!!! 타코 최고 맛집입니다💜
1690354455,갓잇 연남점,,,사실 연남동 맛집 너어무 많지만 저는 친구들이랑 약속잡을때 후보에 꼭 갓잇 얘기해요 ㅎㅎㅎ 그리고 이렇게 N번째 방문><!!! 여전히 재료푸짐하고 맛있어요…메뉴 다양하긴한데 제 픽은 파히타세트!!! 타코 최고 맛집입니다💜
1690354455,갓잇 연남점,,,"쉬림프타코는 새우가 탱글하고 양념이 적당해 한입마다 감칠맛이 있었고, 치킨보울은 부드러운 닭고기와 신선한 채소 조합이 깔끔했어요. 포크보울은 고기가 촉촉하고 간이 잘 배 있어요. 전체적으로 재료 신선하고 양도 충분해 든든하게 먹었어요. 매장 분위기도 깔끔하고 캐주얼해서 단체모임, 데이트로 추천!!"
1690354455,갓잇 연남점,,,"안녕하세요, 갓잇 연남점이에요! 😊 여우고양이88님, 맛있는 화이타 엔칠라다 타코 세트 리뷰 너무 감사해요🌮💕 부드러운 소스를 좋아해 주시니 저희도 기쁘답니다! 항상 행복한 식사 되세요🎉🍴"
1690354455,갓잇 연남점,,,"안녕하세요, 갓잇 연남점이에요! 😊 여우고양이88님, 맛있는 화이타 엔칠라다 타코 세트 리뷰 너무 감사해요🌮💕 부드러운 소스를 좋아해 주시니 저희도 기쁘답니다! 항상 행복한 식사 되세요🎉🍴"
