가게ID,가게명,평점,날짜,리뷰내용
36523247,느루 연남점,,,"간만에 온 서울애서 맛난 파스타, 샐러드, 와인 한 잔 하며 즐거운 시간 보냈어요"
36523247,느루 연남점,,,기념일로 연남동 느루 방문했습니다 !식전빵부터 뇨끼와 파스타까지 모두 너무 맛있었어요..!(^-^)/💓 저는 맬젓가브리살 파스타가 짭잘하니 맛있엇고 남자친구는 뇨끼가 쫄깃쫄깃해서 넘 마싯다구 하네요! 담에 또올께요!!💓
36523247,느루 연남점,,,남편과 연남동 데이트 와서 색다른 메뉴 보고 방문했는데 음식 맛 분위기 모두 만족했습니다! 다음엔 와인 마시러 올게요~ 잘먹고갑니다😄😄
36523247,느루 연남점,,,너무 맛있게 잘먹었습니다. 비오는날 갑자기 예약해서 와서 먹었는데 분위기도 너무 좋았어요. 사장님도 너무 친절하시고 음식 추천도 잘 받았습니다.
36523247,느루 연남점,,,뇨끼 너무 맛있어요! 남자친구 처음으로 뇨끼 입문 시켰는데 맛있다구 싹 싹 긁어먹더라구요 😅 살치살도 너무 맛있었습니다 데이트 장소로 완전 강추 !!!
36523247,느루 연남점,,,뇨끼가 진짜 최고였어요. 소스까지 싹싹 다 먹었습니다 🥰 뇨끼 꼭 시켜드세요!!!
36523247,느루 연남점,,,뇨끼는 은은한 트러플향과 쫄깃하고 새우까지 있어서 더 맛있었오요! 시금치 맛은 아예 안나니 호불호도 없을 거 같습니다 ㅎㅎ
36523247,느루 연남점,,,느루 연남점 처음 왔는데 진짜 맛있게 먹었어요! 둘이서 메뉴 세 개 남김 없이 다 먹었습니다..ෆ
36523247,느루 연남점,,,다른곳에서 먹어보지 못한 특별한 맛이 나고 양도 많아서 배부르게 잘먹었어요! 매장도 분위기가 좋아서 친구랑 얘기하면서 먹기 너무 좋았어요~~!
36523247,느루 연남점,,,레모네이드 만드실때 가니쉬를 맨손으로 넣으셔서 조금 당황 했지만? 맛은 좋았어요!
36523247,느루 연남점,,,맛있고 분위기도 너무 좋아요~!☺️ 여러번 꾸준히 방문했는데 올때마다 맛있고 비주얼도 완전 예뻐서 감탄하면서 먹었어요💕 스테이크도 가니시가 특히 조화롭고💚 시금치 크림 뇨끼는 겉바속촉 소스는 완전 꾸덕꾸덕🥹💛
36523247,느루 연남점,,,멜젓을 평소에 고기에 찍어먹을 땐 안 먹는데 이렇게 파스타와 함께 먹어보니 비린 향도 거의 없고 잘 어울리네요!! 특색있는 파스타 였던 것 같아요 ㅎㅎ
36523247,느루 연남점,,,생면 파스타는 꼭 드셔보시길 면이 얇지만 식감이 좋아요 잘먹었습니당
36523247,느루 연남점,,,생면파스타의 면이 쫄깃하니 맛있었구 뇨끼는 소스가 완죠니 취향이었습니다. 저의 마음속 순위로 사진 올려요 ㅋㅋㅋㅋ 뭔가 익숙하면서 약간의 포인트가 있는 느낌이에요.
36523247,느루 연남점,,,세트메뉴가 잘되어있어서 다음에 또 와서 다른거 먹어봐야게ㅛ어요
36523247,느루 연남점,,,셋트매뉴도 있어서 좋고 사장님도 친절하시고 맥주와 궁합도 쵝오😀😍
36523247,느루 연남점,,,"아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자, 친구"
36523247,느루 연남점,,,양도 넉넉하고 맛있어요~! 뇨끼 기대했는데 식감도 좋고 소스도 넉넉해서 좋았어요
36523247,느루 연남점,,,어디갈까 고민하다가 왔는데 너무 잘 온 거 같아요!!!!! 샐러드 그냥 시켰는데 정말 맛있어요..!!! 뇨끼랑 파스타도 매우 맛있습니다 ㅠㅠ 분위기도 좋아요! 다음에 또 올게요~~😊
36523247,느루 연남점,,,"연남동 분위기 좋은 공간을 찾다가 방문한 느루 연남점. 내부는 따뜻한 조명과 차분한 음악 덕분에 편안했어요. 음식은 재료 본연의 맛이 잘 살아있고, 간도 과하지 않아 담백했습니다. 특히 계절 재료를 활용한 메뉴 구성이 마음에 들었고, 와인과의 페어링도 잘 맞았습니다. 직원분들도 친절해서 전반적으로 만족스러운 식사 경험이었어요"
36523247,느루 연남점,,,연남동에서 자주 오는 양식집이에요! 요 뇨끼가 진짜 별미입니다~~ 그리고 감바스 먹고 면추가해서 먹는 파스타가 너무 맛있어요!
36523247,느루 연남점,,,자극적이지않게 맛있게하는거 어려운데 식당을 잘 고른거같아요 전 파스타류 맛없으면 진짜 화나거든요 너무너무 민족했습니다 잘먹고갑니다
36523247,느루 연남점,,,저녁에 방문예약 후 이용대기 시간 10분 이내 데이트연인・배우자
36523247,느루 연남점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
36523247,느루 연남점,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트, 친목친구, 지인・동료"
36523247,느루 연남점,,,친구들 모임으로 왔는데 음식 하나하나 다 맛있네요:)
36523247,느루 연남점,,,친구들과 왔는데 대화하기도 너무 좋았고 식사 중에 천장 열어주셔서 뷰 좋게 먹다 갑니다 🩷
36523247,느루 연남점,,,친구랑 둘이 방문해서 세트 1번으로 먹었는데 양도 많고 맛있게 잘 먹었습니당 !!! 간도 적당하고 시금치 뇨끼가 완전 맛도리였어요 😖😖💖 식전빵에 나오는 발사믹 소스도 귀엽게 만들어주셔서 더 좋았습니당 ㅎ ㅎ
36523247,느루 연남점,,,친구랑 와서 너무 맛있게 먹었어요!! 하루종일 공복상태였어서 세개 시켰는데 완뚝했습니다 그만큼 맛있고 질리지않고 물리지 않아요 !
36523247,느루 연남점,,,퀄리티도 좋고 맛있어요 다임원이서 오면 좋을 것 같아요!! 다음에 또 오겠습니다 !!
1629339009,리차드하우스 연남,,,2번째 방문했어요!! 옥수수크림뇨끼가 생각나서 다시 들렸고 음식들이 다양해서 사실 뭐 먹을지 고민 많이 했어요😅 맛있어서 다음번에도 와서 또 다른 음식으로 주문할것 같아요!
1629339009,리차드하우스 연남,,,2번째 방문했어요!! 옥수수크림뇨끼가 생각나서 다시 들렸고 음식들이 다양해서 사실 뭐 먹을지 고민 많이 했어요😅 맛있어서 다음번에도 와서 또 다른 음식으로 주문할것 같아요!
1629339009,리차드하우스 연남,,,2번째 방문했어요!! 옥수수크림뇨끼가 생각나서 다시 들렸고 음식들이 다양해서 사실 뭐 먹을지 고민 많이 했어요😅 맛있어서 다음번에도 와서 또 다른 음식으로 주문할것 같아요!
1629339009,리차드하우스 연남,,,고객님의 따듯한 리뷰를 보고 저희의 하루가 기분 좋게 시작됩니다. 🙏 찾아주시는 고객님들께 항상 최고의 시간을 드릴 수 있도록 노력하고 있습니다. 그 마음 알아주신 것 같아 감사하며...
1629339009,리차드하우스 연남,,,기념일에 오기에도 좋고 식사하러 오기에도 좋아요 ㅎㅎㅎ 저는 옥수수뇨끼가 취향저격이었는데 동생은 봉골레가 매콤하니 감칠맛도 낭낭하고 마늘이 많아서 최애라고 하더라고요!! 스테이크까지 먹어주고 아주 기분 좋은 점심이었습니다😆
1629339009,리차드하우스 연남,,,기념일에 오기에도 좋고 식사하러 오기에도 좋아요 ㅎㅎㅎ 저는 옥수수뇨끼가 취향저격이었는데 동생은 봉골레가 매콤하니 감칠맛도 낭낭하고 마늘이 많아서 최애라고 하더라고요!! 스테이크까지 먹어주고 아주 기분 좋은 점심이었습니다😆
1629339009,리차드하우스 연남,,,기념일에 오기에도 좋고 식사하러 오기에도 좋아요 ㅎㅎㅎ 저는 옥수수뇨끼가 취향저격이었는데 동생은 봉골레가 매콤하니 감칠맛도 낭낭하고 마늘이 많아서 최애라고 하더라고요!! 스테이크까지 먹어주고 아주 기분 좋은 점심이었습니다😆
1629339009,리차드하우스 연남,,,"남자친구랑 한 번 더 오는 파스타집은 처음입니다 그 정도로 맛있어요 봉골레, 크림스테이크, 크림뇨끼 이 3개 조합이 정말 대박입니다 또 올거예요"
1629339009,리차드하우스 연남,,,데이트하러 오기에도 좋고 친구들이랑 파스타먹으러 오기에도 넘 좋을 거 같아요
1629339009,리차드하우스 연남,,,데이트하러 오기에도 좋고 친구들이랑 파스타먹으러 오기에도 넘 좋을 거 같아요
1629339009,리차드하우스 연남,,,데이트하러 오기에도 좋고 친구들이랑 파스타먹으러 오기에도 넘 좋을 거 같아요
1629339009,리차드하우스 연남,,,두개 메뉴 모두 꾸덕한 크림 파스타고 면에 간도 잘 베어있고 맛있어요 ㅎㅎ 내부 인테리어도 느좋이네요
1629339009,리차드하우스 연남,,,두번째 오는 곳인데 정말 맛있어서 친구들 데리고 온 거거든요 ㅎㅎ 역시나 실망시키지 않네요🩷👍
1629339009,리차드하우스 연남,,,두번째 오는 곳인데 정말 맛있어서 친구들 데리고 온 거거든요 ㅎㅎ 역시나 실망시키지 않네요🩷👍
1629339009,리차드하우스 연남,,,두번째 오는 곳인데 정말 맛있어서 친구들 데리고 온 거거든요 ㅎㅎ 역시나 실망시키지 않네요🩷👍
1629339009,리차드하우스 연남,,,"라구 파스타와 치즈크림 뇨끼도 함께 주문했는데, 넓은 면발에 진한 소스가 잘 어우러져 한 입 먹는 순간 행복감이 느껴졌어요"
1629339009,리차드하우스 연남,,,라자냐가 너무 맛있네요.. 다음에 방문했을 때는 다른 파스타랑 라자냐 먹어보고싶어요!
1629339009,리차드하우스 연남,,,"라자냐가 정말 맛있고 제 취향이었어요💖 분위기도 깔끔하고 예뻐서 남친하고 또 가고싶어요. 메뉴도 다양하고, 스테이크 리조또도 정말 꾸덕하고 부드러워서 맛집인 이유가 납득됐어요!"
1629339009,리차드하우스 연남,,,"라자냐가 정말 맛있고 제 취향이었어요💖 분위기도 깔끔하고 예뻐서 남친하고 또 가고싶어요. 메뉴도 다양하고, 스테이크 리조또도 정말 꾸덕하고 부드러워서 맛집인 이유가 납득됐어요!"
1629339009,리차드하우스 연남,,,"라자냐가 정말 맛있고 제 취향이었어요💖 분위기도 깔끔하고 예뻐서 남친하고 또 가고싶어요. 메뉴도 다양하고, 스테이크 리조또도 정말 꾸덕하고 부드러워서 맛집인 이유가 납득됐어요!"
1629339009,리차드하우스 연남,,,리차드 하우스 연남에서 스테이크 파스타랑 투움바 파스타 주문했어요 ✨ 스테이크는 부드럽고 소스가 진해서 한 끼 든든했고 투움바는 꾸덕+매콤 조합이 중독적이었어요
1629339009,리차드하우스 연남,,,"맛과 분위기를 둘 다 잡은 양식 맛집입니다,,🤍투움바파스타, 트러플 리조또, 옥수수크림뇨끼 먹었는데 다 진짜 맛났어요!! 옥수수뇨끼는 처음인데 아주 독특하게 달달했구요 데이트 장소로 추천합니다😻"
1629339009,리차드하우스 연남,,,"맛과 분위기를 둘 다 잡은 양식 맛집입니다,,🤍투움바파스타, 트러플 리조또, 옥수수크림뇨끼 먹었는데 다 진짜 맛났어요!! 옥수수뇨끼는 처음인데 아주 독특하게 달달했구요 데이트 장소로 추천합니다😻"
