가게ID,가게명,평점,날짜,리뷰내용
37236664,대관원중식당,,,7년만에 재방문 찐이다 찐맛이다 여전히 인기가 높네요 예약하고 룸에서 식사 음식 맛조아요 간짜장마무리네요 재방문의사있음
37236664,대관원중식당,,,간짜장 : 짜장 다 넣으면 짤거라 하셨는데 그래도 좀 짠 편이고 짜장이 굉장히 꾸덕한 편입니다.
37236664,대관원중식당,,,간짜장다먹구 짬뽕면을 넣어서 먹어도 너무맛있더라구요 짜장의 면과는 또 다른느낌
37236664,대관원중식당,,,간짜장은 꾸덕해요. 처음 주실 때 짜기 때문에 한 번에 다 넣지 말고 맛을 보면서 넣어야 된다고 하는데 일단 간짜장 소스가 짜요. 취향에 맞게 넣으면 되는데 잘 비벼지지 않아요. 전통 간짜장이라 그런 가 싶었어요. 먹다보면 면과 섞여 간이 잡혀요. 탕수육은 잡내가 약간 있고 바삭한 스타일은 아니에요.
37236664,대관원중식당,,,"대관원은 영등포구청 손에 꼽는 맛집 아닐까요! 홀이 넓어 매장에서 중식 먹기엔 이곳만 한 데가 없습니다~ 특히 탕수육은 바삭 담백 적당히 달큰하고, 여러번 방문에 처음 먹어보는 고추잡채는 리뷰가 없어 고민했는데 고추향이 좋고 밥과 조합도 좋았습니다!"
37236664,대관원중식당,,,"리뷰 3,254사진 1,496팔로워 1,498"
37236664,대관원중식당,,,배가 너무 불러서 짬뽕이나 다른 음식을 못 먹은게 너무 아쉽네요
37236664,대관원중식당,,,보통 탕수육 시키면 단맛 짠맛 신맛중에 어느하나가 너무 강하거나 다 강한편인데 여기는 소스 벨런스가 좋았습니다 그리고 탕수육을 시키면 소스가 부어서 나오거나 따로 나오는데 여기는 소스를 부어서 한번 볶아나오더라구요 이게 너무 맛났어요 식사가 나와서 먹는데 사장님이 오시더니 간짜장 간은 맞는지 왜 저 그릇에 나오는지 설명을 해주시는것도 너무 좋았어요
37236664,대관원중식당,,,부먹 찍먹 고민없이 부먹으로나온 탕슉!! 역시 옛날 추억소환 시키는 맛이였답니다. 주변 직장인들이 왜 찾는지~ 인정입니다~
37236664,대관원중식당,,,"삼선간짜장 맛은 진했으나 해물이 새우말곤 별로 없었음! 게살삼슬, 깐풍기는 평타! 양장피와 탕수육은 평타이하! 콜키지 되는 점은 좋았음! 맛집이라고 인식되지는 않고 평범한 중식당수준!"
37236664,대관원중식당,,,삼선간짜장 탕슉 마파두부밥 넘나 맛있어요~~~👏👏
37236664,대관원중식당,,,새송이덮밥? 잡채밥 짜장면을 시켰는데 아주 맛깔나 보이고 보이는 것만큼 맛났어요.
37236664,대관원중식당,,,"소식좌 여자 둘 와서 간짜장1, 탕수육 소 1 시켜 배부르게 먹었어요. 진짜 맛있어요. 이곳은 진짜 간짜장! 꾸덕한 소스는 충분히 주셔서 비비는데 문제 없고 맛있게 짭짤~"
37236664,대관원중식당,,,"아쉬운 점: 화장실 빼고는,,, 서비스 맛,,, 가격,,, 모두 좋읍니다,,, 점심시간은,,, 아조시들로 몰리니,,, 살짝 피해서 가십시오,,, 단체는,,, 예약 필요하다고 하니,,, 확인해보십시오,,, 내부에 좌식,,, 단체공간이 따로 있읍니다,,, 화장실은,,, 반층 위에,, 공용으로 있고,,, 노포스타일 입니다,,,"
37236664,대관원중식당,,,영등포구청 최고 간짜장맛집 대관원. 중식냉면도 맛있고 탕수육도 맛있지만 간짜장이 최고. 점심 웨이팅은 필수😋😋😋
37236664,대관원중식당,,,오픈런해서 웨이팅 없이 바로 들어갔어요 게살삼슬 특이하고 탕수육이 맛있어요 일반 물이 아닌 자스민차를 줘서 좋아요 음식이 대체적으로 맛있어요 👍
37236664,대관원중식당,,,유튜브보고 방문했습니다. 11시30분 오픈인데 역시 맛집답게 웨이팅이 있었습니다. 주문한 메뉴는 삼선간짜장이랑 탕슈육소짜 주문했습니다.
37236664,대관원중식당,,,이곳은 꾸덕한 간짜장 소스가 큰 매력인 곳인데 언젠가부터는 일반 간짜장처럼 물기도 있고 너무 평범해 져서 아쉽게 됐습니다 오늘도 혹시나 하고 주문 해봤지만 역시나 예전의 그 꾸덕함은 없더군요.
37236664,대관원중식당,,,잘 비벼지지 않을 정도로 물기가 없어서 비비는 내내 기대가 되었고 먹어보니 진짜 기대하고 기대하던 간짜장의 맛이라 최고 만족한곳
37236664,대관원중식당,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상친구
37236664,대관원중식당,,,"저녁에 방문예약 없이 이용대기 시간 30분 이내나들이연인・배우자, 아이"
37236664,대관원중식당,,,"저녁에 방문예약 없이 이용대기 시간 30분 이내친목친구, 지인・동료"
37236664,대관원중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
37236664,대관원중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37236664,대관원중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37236664,대관원중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37236664,대관원중식당,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
37236664,대관원중식당,,,점심에 방문대기 시간 바로 입장친목친구
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 10분 이내 비즈니스지인・동료
37236664,대관원중식당,,,"점심에 방문예약 없이 이용대기 시간 30분 이내데이트, 일상연인・배우자"
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37236664,대관원중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37236664,대관원중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
37236664,대관원중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장혼자
37236664,대관원중식당,,,점심에 방문예약 후 이용대기 시간 바로 입장일상지인・동료
37236664,대관원중식당,,,"지난달에 처음 가보고 맛있어서 부모님 모시고 또 다녀왔어요! 저녁에도 웨이팅 있었는데 오픈할 때도 사람이 많네요 ㅎㅎ 오픈 시간 전에 가셔야 기다리지않고 먹을 수 있을 것 같아요. 간짜장은 유명하니 설명 필요없이 맛있고 탕수육, 칠리새우는 튀김옷이 바삭해서 더 맛있어요! 짬뽕도 간이 세지 않아서 좋습니당👍👍 또 갈게요~~"
37236664,대관원중식당,,,지인과함께 갔는데 둘이 요리 두개를 시켜서 간짜장을 못먹었다 너무 아깝..양장피도 신선하게 맛있고 팔보채도 맛있다..
37236664,대관원중식당,,,짬뽕과 고민하다 시킨 잡채밥 살짝 기분좋은 매콤한 향이 넋놓고 후루루룩 먹게 만들던 ㅋㅋ
37236664,대관원중식당,,,짬뽕도 다른곳 짬뽕먹을때는 본적없던 생선살부터 해산물과 야채들이 가득해서 엄지척!!!
37236664,대관원중식당,,,짬뽕에는 메기 살을 넣어 깊은 맛과 감칠맛을 더했는데 그 맛이 저한테는 호였습니다.
37236664,대관원중식당,,,탕수육이랑 짬뽕 볶음밥 시켜서 어린이가 있는 3인가족 배부르게 먹을 수 있어요.
37236664,대관원중식당,,,탕슉 삼선짬뽕 간짜장 맛있어요😆 비 와서 혹시 줄 안 서나 했는데~ 사람이 많네요 ㅎㅎ
37236664,대관원중식당,,,평일 8시경 2차로 방문을 했구요. 15분 정도 웨이팅을 했네요.
37236664,대관원중식당,,,🥩 여기 탕수육이 찐입니다. 찹쌀 반죽이 고기에 쫙 달라붙어서 쫀득한 식감을 냅니다. 바로 튀겨 따뜻하고 소스랑도 찰떡이라 추천드립니다. 부어져나와서 더 좋아요.
18554943,동순각중식당,,,"1975년 노포 중국집. 영등포에서 꼭 가봐야 할 로컬 중국집 동순각입니다 :) 이번엔 처음 시도해본 고추덮밥 그리고 언제나 시키는 탕수육 小를 시켜봤어요. 고추덮밥은 역시나 요리를 잘하는 중식당이면 이런 밥 류에서 스킬이 나온다고, 간이랑 너무 잘 맞고 맛있는 그 자체였기에 꼭 드셔보세요!! 탕수육은 어린 시절 부모님이 사주신 그런 근본과 기본이 되는 케챱소스라고 해야하나? 동순각의 오랜 전통과 추억이 느껴지는 탕수육이에요. 오늘은 솔직히 좀 튀긴 탕수육 자체는 식감과 더불어 아쉬웠어요 양도 줄어든 느낌이고 ㅠㅠ 첫 방문때 탕수육은 진짜 맛있게 먹었는데 ㅎㅎ 테이블이 4인석 6개 내외라 바쁜 피크 타임에는 혼밥하기는 어려운 분위기지만 저녁에는 혼자와도 4인석에 앉을 수 있도록 사장님이 배려해주세요 :)"
