가게ID,가게명,평점,날짜,리뷰내용
1258220796,건대우동집 왕십리점김밥,,,"- 주방에 외국인만 있을 때랑 한국인이 있을 때 우동 데코레이션 양?이 확실히 다름. 10번 넘게 먹어본 사람으로써 한국인이 있을때는 고명파, 튀김 부스러기?, 고명 김등 풍부하게 올라가고 특히 깨를 뿌려줌. 외국인만 있을 때는 고명의 양이 적고, 깨가 뿌려진 우동을 받아본적이 없음. 근데 맛에는 큰 차이가 없음."
1258220796,건대우동집 왕십리점김밥,,,"김밥 자르는 기계인지, 칼로 자르는건지도 문제고, 제대로 말지도 못 하네요. 외국인 직원들 밖에 없어서그런듯."
1258220796,건대우동집 왕십리점김밥,,,김밥이 엄청 푸짐하고 기깔나요 ㅠ 요즘 김밥 다비싼데 여긴 비싼이유가 있음
1258220796,건대우동집 왕십리점김밥,,,"다만, 앞에 분이 같은 참치 김밥을 주문하시고 먼저 나온 것 같았는데 김밥이 다 터져서 다시 만들어 달라고 하셨는데 그대로 제 김밥이 됐네요. 먹는데 지장은 없지만 못 들었으면 좋았을 뻔했네요."
1258220796,건대우동집 왕십리점김밥,,,다음에는 더욱 맛있게 해드리겠습니다~^^♥︎♥︎♥︎♥︎♥︎
1258220796,건대우동집 왕십리점김밥,,,"리뷰 1,066사진 1,023팔로워 2"
1258220796,건대우동집 왕십리점김밥,,,"보통 김밥 한 줄에 배가 부르지 않는데, 여기 참치김밥 먹고 배가 터지는 줄 알았어요 ㅋ 이렇게 크고 양 많은 김밥은 처음이에요. 맛도 있어요!"
1258220796,건대우동집 왕십리점김밥,,,비빔국수는 열무 들어가는 형태니까 열무김치 싫은 분들은 다른 브랜드 비빔국수 추천합니다
1258220796,건대우동집 왕십리점김밥,,,아침에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
1258220796,건대우동집 왕십리점김밥,,,여긴 언제나 맛있어요. 혼밥으로도 좋고 음식도 맛있어요. 그리고 친절하십니다!
1258220796,건대우동집 왕십리점김밥,,,왕십리에도 생겼네요~김밥이 속이 많아 터질것 같아요 글구 맛있어요~
1258220796,건대우동집 왕십리점김밥,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1258220796,건대우동집 왕십리점김밥,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상, 비즈니스친구, 지인・동료"
1258220796,건대우동집 왕십리점김밥,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 비즈니스친구, 지인・동료"
1258220796,건대우동집 왕십리점김밥,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 회식, 비즈니스지인・동료"
1258220796,건대우동집 왕십리점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님
1258220796,건대우동집 왕십리점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1258220796,건대우동집 왕십리점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1258220796,건대우동집 왕십리점김밥,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
