가게ID,가게명,평점,날짜,리뷰내용
1720225160,멘푸라,,,그리고 학교 근처인거 감안해도 정말 저렴하고 계좌이체 시에 할인도 있습니다!
1720225160,멘푸라,,,기호에 맞게 넣을 수 있는 소스도 많아서 고추기름이랑 다시마 식초 넣어서 더욱 맛있게 먹었습니당
1720225160,멘푸라,,,마라 비빔 탄탄멘 너무 맛있어요 혼자 또 와서 먹어야겠어요
1720225160,멘푸라,,,맛있도 양도 푸짐해서 맛있는 거 먹고 싶은 날은 멘푸라로 오게 되더라구요! 밥도 셀프라 카레소스에 비벼먹으면 정말 맛있고 사이드인 튀김류도 최고에요!
1720225160,멘푸라,,,멘푸라는 역시 믿고 먹습니다. 주기적으로 먹어줘야해서 또 왔습니다 ㅎㅎ 맛있네요
1720225160,멘푸라,,,면이랑 튀김 하나씩 주문해서 나눠먹었는데 맛있게 잘먹었습니다! 튀김이 엄청 바삭해요!
1720225160,멘푸라,,,안심카레와 치킨카레 시켰는데 둘 다 튀김 너무 맛있고 카레도 달짝지근해서 너무 맛있어요!! 한양대 근처에 맛집이 있어 넘 좋네용 잘먹고갑니다~~😺😺
1720225160,멘푸라,,,"예전에 들렀을 때 시켰던 마제소바에 따라나온 가지튀김을 먹고 이 집의 튀김 맛에 감동받은 바 있어 이번엔 치킨 푸라이동(9900)을 주문. 치킨 3조각, 사사미 2조각, 닭껍질 1조각이 올라간 구성인데, 튀김옷이 과하지 않게 얇고 깔끔하게 튀겨져 식감이 역시나 만족스러움. 타레소스와도 밸런스가 좋고, 밥은 고슬고슬해서 푸라이동으로 딱 어울리는 타입."
1720225160,멘푸라,,,"오랜만에 방문했는데 여전히 맛있네요~ 배가 불러서 다 먹지는 못했지만, 위장이 컸다면 3그릇은 뚝딱할 것 같아요! 카레 먹고 싶을 때 또 방문하겠습니다:)"
1720225160,멘푸라,,,일본카레 좋아해서 왔다가 오늘은 마제멘 먹었는데 이것도 너무 맛있어요! 메뉴 다양하게 먹어봤는데 다 맛있어요~
1720225160,멘푸라,,,자주 오는데 올때마다 너무 맛있고 가성비있게 먹고 갑니다!!
1720225160,멘푸라,,,자주 오는데 항상 든든하고 맛있어요! 카레멘에 튀김추가 강추에요
1720225160,멘푸라,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1720225160,멘푸라,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1720225160,멘푸라,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1720225160,멘푸라,,,점심을 맛있고 배부르게 먹고 싶을 때 한번씩 오는 곳이에요!
1720225160,멘푸라,,,치킨은 바삭해보여서 한 입 먹어봤는데 진짜 바삭 촉촉 부드러워서 먹는내내 맛있다 이야기가 나올 정도였어요☺️ 마제소바 소스도 살짝 매콤하고 맛있어서 왕십리 마제소바 맛집을 찾는다면 멘푸라에 방문해보세요!😉
1720225160,멘푸라,,,탄탄멘 <- 제일 무난함! 아마 여기 여러번 오는 분 중에 이거 안 먹어본 사람은 없을 듯 근데이제 면이랑 소스가 야악간 따로 노는 느낌이라 좀 아쉬웠음 그.치.만 갓성비가 내려서 종종 먹어요
1720225160,멘푸라,,,"탄탄멘 먹고 싶을때 방문해요☺️ 학교랑 가까워서 점심, 저녁으로 먹기두 좋고 혼밥하기도 좋아요ㅎㅎ!! 너무 맛있어서 또또또또간집입니다😚"
1720225160,멘푸라,,,텐동은 처음 먹어봤는데 너무너무 맛있었어요!!! 치킨텐동 너무 맛있네요 다음엔 가지튀김도 먹어보고 싶어요 ㅎㅎ 또 오겠습니다 잘 먹구 가요😺
1720225160,멘푸라,,,한양대 유일 텐동맛집! 탄탄멘은 처음 먹어보는데 되게 진하고 맛있네요 ㅎㅎ
1720225160,멘푸라,,,"한양대에 올 일이 생기면 자주 오는 집입니다. 라멘 먹고 싶을 때 꼭 생각나네요. 약간 매콤한 맛의 마제소바, 고소하면서 시원한 탄탄멘 두 가지 라멘을 주로 먹는데, 다른 메뉴를 먹는 사람들도 많이 보입니다. 근처에 올 일 있거나, 면 좋아하시는 분이라면 강추합니다."
1720225160,멘푸라,,,항상 똑같은 라스트 후라이동 먹어요 리뷰이벤트랑 계좌이체 이벤트 있어서 좋아요 가지튀김이랑 안심튀김이랑 닭껍질튀김 다 맛있어요 최고에요❤️
37755933,스시신조,,,3번째 방문 연어회가 두툼하게 썰어 나왔는데 신선하고 식감도 좋았다.
37755933,스시신조,,,"리뷰 861사진 6,005팔로워 18"
37755933,스시신조,,,맛있는 스시를 가성비있는 가격에 즐길 수 있는 신당 초밥 맛집입니다!
37755933,스시신조,,,소개받아서 갔는데 정말 너무 맛있어요! 메밀의 육수가 뭔지 모르겠지만 (장어육수일까요?) 정말 한입먹고 깜짝놀랐어요. 그리고 다른것들도 많이 신경쓰신게 느껴졌어요 샐러드도 소스가 너무 맛있었고 제일 중요한 스시도 신선도랑 쫄깃함이 체고ㅠ 재방문의사 200% 에요!!!😊😊
37755933,스시신조,,,"소바+초밥 런치세트 11,000원! 새싹 회덮밥 10,000원! 맛있고 양도 푸짐하고 음식도 빨리 나와요~ 손님 많고 웨이팅도 있는듯~ 다행히 오늘은 웨이팅 없이 빠르게 먹음👍🏻"
37755933,스시신조,,,스시가 신선하고 쫄깃해서 너무 맛있고 우동 까지 나오고 메뉴 구성이 좋아서 든든히 배불리 먹었습니다!!!
37755933,스시신조,,,신당 맛집 스시신조 ! 배민상 받았다고 해서 궁금했는데 메뉴 구성도 좋고 스시 퀄리티가 넘 좋았어요 ! 샤리 양도 적당하고 회도 신선 !!! 새우튀김도 맛있어서 단품보단 커플세트 추천해요
37755933,스시신조,,,신당역 근처에서 젤 가성비있게 맛있는 스시집! 회도 신선하고 맛있어요
37755933,스시신조,,,연어양이 많아서 좋아요~ 모찌리도후는 꼭 시킵니다 담백고소 맛있어요 😋
37755933,스시신조,,,오늘의 스시 주문해서 식사했어요. 밥 양 적게 해 달라고 요청한대로 해 주셔서 감사드려요. 재료도 신선하고 맛있어요. 강추합니다
37755933,스시신조,,,"오늘의스시 A 주문했어요. 밥양 적게 해 달라고 요청 했는데, 제 스타일대로 제공해 주셔서 감사드려요. 가성비 좋고 맛있어요"
37755933,스시신조,,,오랜만에 정말 제대로 된 초밥을 먹었습니디. 초밥의 식감이 이렇게 좋은집은 오랜만이네요!! 강략추첨
37755933,스시신조,,,이곳의 강점은 바로 밥!!!! 초밥의 밥 식감이 예술이다..
37755933,스시신조,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 일상, 가족모임연인・배우자, 친구, 지인・동료, 혼자, 아이, 부모님, 친척・형제"
37755933,스시신조,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37755933,스시신조,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37755933,스시신조,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37755933,스시신조,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 일상, 회식지인・동료"
37755933,스시신조,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
37755933,스시신조,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37755933,스시신조,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37755933,스시신조,,,저는 냉모밀 좋아해서 점심특선 먹어보았는데 모밀도 상큼하고 맛있었어요ㅎㅎ
37755933,스시신조,,,점심에 방문예약 없이 이용대기 시간 바로 입장
37755933,스시신조,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 부모님"
37755933,스시신조,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
37755933,스시신조,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37755933,스시신조,,,"초밥이 맛있다는 친구의 추천을 받고 갔어요ㅡ 정말 오랜만에 진짜 잘 만들어진 맛있는 초밥을 먹고 왔습니다!!! 특히 황새치아부리와 참치, 간장새우가 대박입니다 👍🏻👍🏻👍🏻자꾸 생각이 나서 또 가려고요!!!"
37755933,스시신조,,,초밥집에서는 돈까츠 종류가 맛없을때가 종종 있어서 아쉬웠는데
37755933,스시신조,,,한참 자주 가다가 오랜만에 갔는데 여전히 퀄리티 👍 👍 👍
1870191154,이찌방라멘&마제소바 왕십리점일본식라면,,,근처에 새로 생겨서 와봤는데 맛있고 양많고 빨리나와서 좋아요~!!매장도 쾌적하고 맘에들어용👍
