가게ID,가게명,평점,날짜,리뷰내용
1156990445,마라무쌍 왕십리점중식당,,,그 손으로 테이블 치울때 행주도 만지고 손님이 버린 휴지도 수거하고
1156990445,마라무쌍 왕십리점중식당,,,"그렇다면 컵 문제라는 것인데, 어떻게 하면 컵에서 그런 역한 맛이나나요... 제 비위가 약하고 위생에 민감해서 그 컵 상태를 보니 도저히 마라탕도 못 먹겠어서 다 남겼습니다. 리뷰를 이렇게 안 좋게 남겨보긴 처음이네요. 작년에 갔을 땐 이렇지 않았던 거 같은데 정말 실망스럽네요."
1156990445,마라무쌍 왕십리점중식당,,,마라샹궈 이가격 실화냐 싶게 바닥에 깔린 저 양에 29400원이고요 마라샹궈는 동네 향리원이 훨 맛있어요
1156990445,마라무쌍 왕십리점중식당,,,맛은 둘째치고 사장님인지 모르겠으나 카운터에 계시는 남자분 너무 불친절합니다~ 과잉친절을 할 필요는 없으나 최소한 손님들에게 불쾌감은 안줘야할텐데 먹는내내 불편했습니다~ 카운터 담당이 그러니 서빙하시는 여자 알바분도 불친절하네요~ 빠진게 있어서 갖다달라고 하니 아무 대꾸도 없고~ 재방의사는 1도 없습니다
1156990445,마라무쌍 왕십리점중식당,,,사장님 생각할수록 기가막혀서 남겨요. 누군지도 아실테니 있는 그대로 적내요 기본적으로 꼬치없는거야 계산도 깜빡하셨다니 그렇다쳐요 근데 다먹고 애들치즈떡 넣은것도 없고 그거는 어떻게 설명하실꺼냐니 바빠서 체가 깊어서 알바생들이 못넣은거 같다고 하는거면 기본적으로 그가격이 확실한지가 묻고싶네요 제가 뭘믿고 먹었나 싶네요 그리고 기본적으로 사장님왕십리역에서 마라탕먹을라면 여기로 많이들 가겠지만 한번더 장사를 하신다면 위생한번더 생각하시고 이런소소한거도 한번더 집고가시면 좋겠네요
1156990445,마라무쌍 왕십리점중식당,,,사장님 장갑끼고 손님이 가져온 접시 뒤지면서 꼬치 찾아요 그 손으로 장갑교체없이 카드받아서 결제하네요ㅋㅋㅋㅋ
1156990445,마라무쌍 왕십리점중식당,,,소스도 물같은 느낌이 금방 스며들어서 촉촉하고 쫀득한 맛이 좋았는데 소스가 걸쭉해져서 찍먹인가 싶은 느낌
1156990445,마라무쌍 왕십리점중식당,,,아이가 마라탕 먹고 싶다고 해서 첫방문 해 봤어요. 내가 원하는 재료들로 만들어 먹는 마라탕 괜찮네요!
1156990445,마라무쌍 왕십리점중식당,,,아이가 마라탕 좋아하고 여기가 제일 맛있다고 해서 온건데 저야 다신 안가면 되지만 대부분 손님들 젊은층 중 고딩 애들일텐데 그냥 지나칠수 없어 리뷰 남겨요
1156990445,마라무쌍 왕십리점중식당,,,아이랑 정기적으로 오는 마라탕집~ 휴일이라 사람들이 꾀나 많네요~ 늘상 주문하던걸로 시켜서 맛있게 먹고 감니다~!!
1156990445,마라무쌍 왕십리점중식당,,,우선 위생상태가 좋지 않습니다. 식재료를 고르는 양푼부터 깨끗하지 못하고 정수기 컵들도 한번씩 씻어먹어야 할 정도로 위생상태에 의문이 들었습니다. 마라샹궈를 먹었는데 무난했지만 아주 맛있는 느낌은 아니었습니다. 위생에 좀 더 신경을 많이 써주셔야 할 것 같습니다.
1156990445,마라무쌍 왕십리점중식당,,,재료가 많지는 않아서 사실 조금은 실망했었는데.. 마라샹궈가 일단 너뮤 맛있고 여러 소스도 제조해서 먹을 수 있어서 짱 좋습니다 미니 꿔바로우도 있고 치즈도 주고 아주 만족해요!! 1단계로 먹었는데 적당히 매콤하고 좋았습니다 또 갈 것 같아여 진짜로!
1156990445,마라무쌍 왕십리점중식당,,,"재료를,, 빼시는 것 같아요,,, 습관적으로 늘 치즈떡을 4개씩 넣어 먹는 편인데 2개만 들어있어요 ㅠ 다른 재료는 개수를 안 세서 모르겠지만,, 치즈떡 같이 셀 수 있는 걸 빼신 거면 다른 것도 조금씩 빼시지 않았을까 싶네요ㅠ 재방문 의사 없습니다ㅠ"
1156990445,마라무쌍 왕십리점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1156990445,마라무쌍 왕십리점중식당,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1156990445,마라무쌍 왕십리점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1156990445,마라무쌍 왕십리점중식당,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1156990445,마라무쌍 왕십리점중식당,,,저희가 담고 결재한 마라샹궈가 아닌 다른 사람의 마라샹궈가 나왔습니다....
1156990445,마라무쌍 왕십리점중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자, 아이"
1156990445,마라무쌍 왕십리점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이지인・동료
1156990445,마라무쌍 왕십리점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1156990445,마라무쌍 왕십리점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상
1156990445,마라무쌍 왕십리점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
1156990445,마라무쌍 왕십리점중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1156990445,마라무쌍 왕십리점중식당,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1156990445,마라무쌍 왕십리점중식당,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1156990445,마라무쌍 왕십리점중식당,,,친구랑 둘이 하나 먹고 왔습니다. 가격대가 조금 있고 꼬치 가격 등이 계산대 바로 앞에 있어 담을때는 못 보기 쉬운 것에 위치해있었습니다. 위생상태가 그리 좋은것같지도 않아 아쉬웠습니다.
1156990445,마라무쌍 왕십리점중식당,,,트렌드를 알고 계셔서 너무 마싯고 값어치가 다른브랜드보다좋아요 짱 사장님 번창하세유!
1880802151,마라민족 마라탕 마라샹궈,,,늘 청결하고 맛도 있고 사장님도 친절하십니다❤️ 신당역 최고 마라탕집이에요
