가게ID,가게명,평점,날짜,리뷰내용
1259477356,"렉 커피카페,디저트",,,"다른 곳 소금빵 먹어봐도 렉커피 소금빵이 최고에요,,,👍🏻👍🏻 라떼랑 넘 잘 어울리고 언제나 친절해서 좋아용!!"
1259477356,"렉 커피카페,디저트",,,디저트 완전 맛난거 많구 집중하기도 딱 좋아요! 내가 사랑하는 울집 근처 카페입니당❤️
1259477356,"렉 커피카페,디저트",,,렉커피 벌써 다섯 번은 방문 중인 거 같은 빵 맛집이에요 ... 소금빵도 너무 맛있고 식빵도 넘 맛있어요 올 때마다 빵은 무조건 사가는 곳 🫶🏻
1259477356,"렉 커피카페,디저트",,,"소금빵 맛집인만큼 일반, 고구마, 초코, 올리브, 팥 앙금 등 정말 다양한 메뉴의 소금빵이 있는데 팥 앙금은 정말 부드럽고 진해서 맛있고 소금빵 자체도 식빵처럼 부드럽고 버터향 가득해서 맛있어요"
1259477356,"렉 커피카페,디저트",,,소금빵이랑 쿠키가 맛있는 집 =v= 오늘도 감사합니다!
1259477356,"렉 커피카페,디저트",,,아인슈페너 크림이 넘 맛있고 매장 분위기가 깔끔하니 넓고 예뻐서 친구랑 대화하기에도 넘 좋아요~~!
1259477356,"렉 커피카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1259477356,"렉 커피카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,왕십리 최애 카페- 이제 이 쪽에 올 일이 없어서 평소에 좋아하던거 궁금했던거 싹 쓸어왔어요 ㅎㅎ 기회가 되면 또 올게요!! 좋은 가격에 맛있는 메뉴들 감사했습니다ㅏ
1259477356,"렉 커피카페,디저트",,,인테리어도 깔끔하고 좋아요. 추천합니다.
1259477356,"렉 커피카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1259477356,"렉 커피카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1259477356,"렉 커피카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1259477356,"렉 커피카페,디저트",,,집 근처라 종종 오는데 매장도 넓고 쾌적하고 분위기가 넘 좋은 거 같아요!! 이번엔 빵도 포장해왔는데 빵이 진짜 맛있어요!!!!!가성비 굿굿 👍🏻👍🏻
1259477356,"렉 커피카페,디저트",,,처음 방문했어요! 커피도 저렴하고 베이커리 메뉴도 다양해서 앞으로 종종 들를 것 같습니당
1259477356,"렉 커피카페,디저트",,,"처음 와본 곳인데 인테리어도 예쁘고, 커피도 빵도 맛있었어요! 근처 올 때 종종 올듯 합니다:-)"
1259477356,"렉 커피카페,디저트",,,치즈케이크 너무 맛있고 분위기 너무 좋아요요!! 데이트장소로 추천드려용😚😍
1259477356,"렉 커피카페,디저트",,,카페 분위기가 너무 좋고 디저트가 다양합니다. 모카 소금빵 꼭 먹어보고 싶었는데 소금빵 맛집으로 소문난 만큼 늦게 오니 품절이네요. ㅠㅠ 대신 먹은 바치케도 맛있었습니다. 부드럽게 흘러내리는 느낌보다는 살짝 단단하게 부드러운 질감입니다. 소중한 동네카페 찾았습니다. 🫶
