가게ID,가게명,업종,평점,날짜,리뷰내용
1528711335,감락,술집,,,그냥 다 맛있어요..오래오래 장사해주세요 제바아아알!!!!!!
1528711335,감락,술집,,,너무 맛있어요!!!!!!! 상왕십리의.. 최고맛집 최고에요 저 진짜 또 올거예요 최근 먹은 육사시미중 최고네요
1528711335,감락,술집,,,동네라서 남친이 예약해서 다녀왔는데 너무 맛있고 음식도 정갈하고 다양한 전통주가 많아서 너무 좋은시간 보내고 갑니다. 하이볼 별로 안좋아하는데 감락하이볼도 너무취저라 두잔넘게 먹고 갑니다. 그리고 금토만 드실 수 있는 육사시미도 꼭! 드셔보시길..🖤
1528711335,감락,술집,,,리뷰이벤트 아니면 리뷰 잘 안남기는데 음식이 넘 맛있고 친절하셔서 리뷰 남겨요!!!!!!!!!!!
1528711335,감락,술집,,,메뉴가 전부 맛있어서 금방 다시 방문했어요!! 먹어본 메뉴들이 모두 독특해서 여기서만 맛볼 수 있는 느낌인데 심지어 다 너무 맛있어요!! 전통주 추천도 잘해주셔서 즐겁게 즐기다가 가요!! 또 방문하겠습니다
1528711335,감락,술집,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1528711335,감락,술집,,,분위기가 좋고 안주가 다양하고 맛있어요👍🏻👍🏻👍🏻❤️
1528711335,감락,술집,,,비 오는날 친구집 근처라서 방문했는데 너무 맛있고 친절했어요 이제야 이런 곳을 발견한게 아쉬울 정도에요 이제 자주 방문할게요 사장님 대박나세요💗💗💗
1528711335,감락,술집,,,사장님도 친절하시고 너무 맛있습니다 또 방문하겠습니다
1528711335,감락,술집,,,"안주가 정말 다 맛있었어요! 사장님과 직원분도 너무 친절하셨고, 좋은 술이 들어왔다면서 한잔씩 맛보게 해주셨는데 그것도 너무 좋았습니다ㅎㅎ 다음에 또 맛있는 안주에 술 마시러 가겠습니다~~~"
1528711335,감락,술집,,,육사시미 진~짜!! 너무너무 맛있고 식감도 너무 만족스럽게 잘 먹었습니다.
