가게ID,가게명,평점,날짜,리뷰내용
1606771634,뉴타운 생양고기,,,n번째 이상 방문한 곳!! 리뷰는 처음 작성하지만 가족끼리도 방문하고 회식으로도 방문한 곳이에요~~
1606771634,뉴타운 생양고기,,,가족모임으로 너무 맛있게 먹었습니다😊 무한리필 메뉴말고 생양갈비로만 먹었는데 고기가 잡내도 없고 소고기 만큼 부드러웠어요! 꿔바로우도 너무 맛있었고~ 벌써 네번째 방문인데 앞으로도 꾸준히 방문할 맛집입니다👍
1606771634,뉴타운 생양고기,,,고기 질이나 맛은 나쁘지 않습니다. 리필한 고기도 상태나 양이 다 좋았습니다. 하지만 고기 두께에 비해서 화력이 너무 안 좋습니다. 더군다나 무한리필집이니 일부러 고기를 늦게 익게 하려는 거 아닐까 생각까지 들더라고요. 또한 무한리필이라고 되어 있는 거에 반해 너무 손님에게 관심이 없습니다. 사장님이 오가시며 좀 더 필요한 거 없는지 물어보는 등의 응대 서비스가 갖춰지면 더 좋겠다고 생각했습니다. 그럼에도 어쨌든 음식은 맛있게 잘 먹었습니다:)
1606771634,뉴타운 생양고기,,,"고소하고 부드러운 양꼬치를 원하는 만큼 먹을 수 있다는 것만으로도 이미 만족인데, 고기의 잡내가 전혀 없고 육즙 가득해서 정말 감동이었어요."
1606771634,뉴타운 생양고기,,,"리뷰 1,520사진 6,044팔로워 77테마 5"
1606771634,뉴타운 생양고기,,,무한리필로는 처음 먹어보는데 가성비 최고네요ㅎㅎ 이집은 일단 양갈비가 넘 부드럽고 신선해서 뭘 시켜도 맛 보장입니다~! 예전에는 왕십리 살면서 양고기 먹으러 강남신사까지 갔는데 여기 알고 나서는 안가요ㅎㅎ
1606771634,뉴타운 생양고기,,,무힐리필이라 크게 기대하지 않았는데 고기 퀄리티도 굿👍
1606771634,뉴타운 생양고기,,,사장님 너무친절하고 고기굽는법도알려주시고 고기도 처음에구워주시고 너무 맛있게 먹고가요 ~ ❤️
1606771634,뉴타운 생양고기,,,"사장님이 엄청 친절하시고, 고기의 퀄리티가 좋습니다 :D 양고기가 땡기면 꼭 다시 들리겠습니다~^^"
1606771634,뉴타운 생양고기,,,서울 최고의 양갈비집. 사장님도 너무 친절하시고 음식도 최고에요❤️❤️❤️❤️😻😻😻😻🔥🔥🔥
1606771634,뉴타운 생양고기,,,야곱 좋아하는데 볶음 말고 돼지곱창을 직화로 먹는 것도 처음이었는데 곱창을 워낙 좋아해서인지 정말 맛있게 먹었어요 ㅎㅎ
1606771634,뉴타운 생양고기,,,양갈비 진짜 맛있어요. 양고기 퀄리티도 좋고 부드럽고 냄새 아예 안나고 숯불도 좋아서 구워먹기 너무 좋아요.
1606771634,뉴타운 생양고기,,,양고기 먹고싶을 때마다 오는 곳이 바로 이 곳🥰 양고기 질도 좋은데다가 요리로 해주시는 것도 맛있는데 무한리필로 양고기를 즐길 수 있어서 좋아요 ❤️ 사장님도 너무 친절하시고 매번 소주 한 잔 하러 오는데 여기만한 곳이 없어요😋 소스랑 야채 곁들여서 양고기 배부르게 먹고 갑니다! 매번 가도 매번 맛있어요!! 저의 단골집입니다!! 😁
1606771634,뉴타운 생양고기,,,양도많고 가격도 좋고 사장님도 친절하고 너무 즐거운 곳입니다. 덕분에 좋은시간 보냈습니다. 감사합니다!
1606771634,뉴타운 생양고기,,,양뿐만아니라 곱창이랑 소세지도 같이 먹을 수 있어서 좋았어요 처음에 나오는 양도 많아서 리필 안해도 든든히 먹을 수 있었어요!
1606771634,뉴타운 생양고기,,,"여자 사장님이 엄청 친절하시고, 고기의 퀄리티가 좋아서 맛있게 잘 먹었어요~! 밑반찬도 맛있었어요."
1606771634,뉴타운 생양고기,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1606771634,뉴타운 생양고기,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이아이
