가게ID,가게명,평점,날짜,리뷰내용
1384583046,낭만포차 한식점심뷔페한식뷔페,,,7500 현금. 8500원 카드 으로 올랐어요 계좌이체도 되나봐요
1384583046,낭만포차 한식점심뷔페한식뷔페,,,고구마 감자 떡 양파 당근 넓적 당면이 들어가서 하나씩 골라먹고나면 금방 배가 부르네요 재료들이 다 맛있었어요
1384583046,낭만포차 한식점심뷔페한식뷔페,,,"낮에는 한식뷔페, 저녁엔 포차로 운영되는 왕십리맛집 낭만포차 한식점심뷔페👍 저녁에 맥주 땡겨서 들렸는데 닭볶음탕 양도 많고 맛도 대박이었어요. 진짜 역대급~~~ 가성비 좋은 왕십리맥주 호프집 포차 찾는다면 단골각입니다💯"
1384583046,낭만포차 한식점심뷔페한식뷔페,,,"리뷰 1,886사진 1,747팔로워 15"
1384583046,낭만포차 한식점심뷔페한식뷔페,,,맛있는 곳을 찾을때는 다른 곳을 알아보셔요
1384583046,낭만포차 한식점심뷔페한식뷔페,,,맛있어요!!! 가정식 느낌으로 혼밥도 편히 할 수 있는 최애 식당입니다
1384583046,낭만포차 한식점심뷔페한식뷔페,,,왕십리 뷔페! 한식 뷔페는 처음인데 메뉴도 많고 넘 맛있었어요! 직원분들도 정말 친절하시구 좋았어요!!!
1384583046,낭만포차 한식점심뷔페한식뷔페,,,왕십리에 오면 항상 들리는 곳입니다.
1384583046,낭만포차 한식점심뷔페한식뷔페,,,"왕십리역 11번출구 바로 앞에 있는 낭만포차에서 점심 한식 뷔페 먹고 왔어요. 가성비 좋은거 같고 ,접근성이 좋네요~ 양 많이 먹을 수 있어서 좋고, 라면과 과일도 있어서 좋았어요. 오늘은 제육 볶음이 제일 맛있었어요~"
1384583046,낭만포차 한식점심뷔페한식뷔페,,,원하는 만큼 알찬 반찬들을 먹을 수 있어서 집밥 먹고 싶을 때 자주가요! 라면 무한리필이라 너무 좋아요💓
1384583046,낭만포차 한식점심뷔페한식뷔페,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구, 지인・동료, 혼자"
