가게ID,가게명,평점,날짜,리뷰내용
18775943,"굴과찜사랑 본점해물,생선요리",,,"- 굴밥 & 굴전: 재료를 아낌없이 넣어주셔서 자극적이지 않고, 건강한 맛! 이였다는! (식사류만 먹고싶어도 긴 웨이팅때문에 포기해야할 듯….)"
18775943,"굴과찜사랑 본점해물,생선요리",,,굴을 너무 좋아하는데 마침 근처에 굴칼국수 잘하는 집있다고해서 먹으러 갔는데 저녁시간이 지난시간이라 술한잔하시는 분들이 많아 칼국수가 될까 싶어서 물어봤더니 편한자리에 앉으라해서 기다리는데 밑반찬보고 일단 살짝 놀랬네요 칼국수먹는데 콜라겐이 풍부하다는 명태껍질튀각을 밑반찬으로 주시다니... 완전 맘에 들었네요 그런데 칼국수보고 또한번 놀랬어요 양도 양이지만 완전 국수반 굴반이더라구요 무슨 굴을 그렇게나 많이 주시는지.. 굴을 사랑하는 사람으로 여긴 이제 단골해야겠다는 생각이 들었네요 다음에는 뭐 먹으러 올까하고 보다가 해물찜 주문해서 나온거보고 세번째 놀람.. 이건 중짜리가 여느가게 대짜리만하더라구요 다음에는 해물찜 먹어보기로하고 굴칼국수 완전 시원하고 맛있게 먹고 왔어요 해장하면 끝내주겠더라구요
18775943,"굴과찜사랑 본점해물,생선요리",,,굴이 제철이 아니라 판매하지 않아 산낙지 연포탕 먹었어요. 지인들과 맛있게 잘 먹고 갑니다.
18775943,"굴과찜사랑 본점해물,생선요리",,,그냥! 굴! 맛집 이네요!!!! 너무너무 맛있어!!👍🏻
18775943,"굴과찜사랑 본점해물,생선요리",,,기다리다 지쳐서 그냥 집에 갈까 했지만 테이블마다 쌓여가는 소주들을 보니까 맛집임에는 분명해서 한시간반을 기다리다 들어갔어요!!
18775943,"굴과찜사랑 본점해물,생선요리",,,넘 친절하시구 맛있어요 ♥ 사장님 엄청 친절하시구 좋아요 왕십리에서 새우먹으려고 왔는데 다음에는 찜먹을래요 ㅠ 둘이오시면 대짜 시키구 한 열마리정도 생새우 드시는거 추천드려요 ♥ 다음엔 찜먹으러올게요!! 새우먹으러갓는데 옆 뒷자리 찜 먹는거보고 반했어요!! 또 올게요 ㅎㅎ̆̈ 사장님 그때도 친절하게 해주세요 사장님 짱
18775943,"굴과찜사랑 본점해물,생선요리",,,대하구이!!😁 살도많고 쫄깃쫄깃~~대하철이라서 대하 머리가 느므 맛잇네요 ㅋㅋ
18775943,"굴과찜사랑 본점해물,생선요리",,,마라칼국수 신메뉴 맛보라며 서비스로 주셨는데 좀더 강한 마라맛이였으면 하는바램이 다른 지인들은 좋다는데 전
18775943,"굴과찜사랑 본점해물,생선요리",,,"먹을텐데와 쯔양님 덕에 대기가 장난 아닌 왕십리 굴찜 맛집이에요 😎 목요일 5시에 입장하니 대기 없이 바로 가능했는데, 금방 줄 생기더라고요! 퇴근 후에는 대기 무조건 인듯 하고, 회전이 느려요. 아무래도 찜이다 보니까요! 굴찜 처음 까보는데 넘 재밌어서 일행 굴 다 까줄뻔 ㅋㅋ 배추랑 무생채랑 같이 먹으니 넘 맛나고요. 굴전은 전 하나에 굴이 한주먹씩이라 하나씩만 먹고 포장 했어요. 익혀먹어서 걱정은 안했는데, 역시나 배 아픈 사람 없었답니다!"
18775943,"굴과찜사랑 본점해물,생선요리",,,먹텐보고 가야지 가야지 하다가 드디어 와봤네요! 굴찜 소짜 막보고 왔는데 진짜 대박이네요~ 오동통하고 신선한 돼지굴에 마무리로 계란까지 먹어주면 진짜 하루가 행복해집니다 ㅎㅎ 처음에 맛보기로 준비해 주시는 알배추랑 생굴도 별미였어요 굴철인데 꼭 한번 가보시길! 추천드립니다!
18775943,"굴과찜사랑 본점해물,생선요리",,,사진에 나온 굴 크기가 평균크기이고 거의 속이 커서 정말 만족스럽게 먹었어요 !!!!!!!ㅠㅠㅠㅠ
18775943,"굴과찜사랑 본점해물,생선요리",,,성동사랑상품권 사용가능한 매장이라고 문에 붙어있고 매장안에 제로페이 바코드도 있는데 서울페이로는 결제가 안되네요; 제로페이는 되고 서울페이는 안된다는데. 제로페이=서울페이 아닌가요? 암튼.
18775943,"굴과찜사랑 본점해물,생선요리",,,오늘 마침 비도오고그래서~(굴과찜사랑생각이났엉~~🎵)아구찜과 파전 먹고왔어용!!!
