가게ID,가게명,평점,날짜,리뷰내용
2063373063,고로고로 용산,,,"I visited this newly opened Japanese restaurant and was impressed. The food was fresh, flavorful, and beautifully presented, with a true balance of taste. The ambience was modern yet warm, making it a comfortable place to dine. Staff were polite and attentive, adding to the experience. A great spot for both casual meals and special evenings—highly recommended!"
2063373063,고로고로 용산,,,기본 반찬으로 나오는 궁채가 맛있었고 조개국도 좋았습니다 오차즈케는 차가 아니라 사골국물이 나와서 좀 아쉬웠지만 그래도 괜춘
2063373063,고로고로 용산,,,남자친구 생일이라 예약하구 방문했어요!!ㅎㅎ 메뉴 하나하나 신경쓰신게 다 느껴지구 너무너무 맛있었어용💕 새우튀김까지 먹었는데 새우 하나에두 살이 통통하구 거대해서 진짜 배불렀습니다!! 장어덮밥이랑 카이센동 둘다 너무 맛있었어용✨👍🏻 일본에 온 느낌! 그리고 한국식의 오차츠케도 최고였어요!!ㅎㅎ
2063373063,고로고로 용산,,,남자친구가 맛집이라고 찾아줘서 와봤는데 분위기 너무 적고 음식도 너무 맛있을 거 같에요. 추천드립니다.
2063373063,고로고로 용산,,,너무 맛있어서 주변인들에게 모두 소개하고 싶으면서도! 나만 알고 싶어서 숨기고 싶은 마음도 한 가득🥹
2063373063,고로고로 용산,,,너무 맛있었습니다! 재료들도 신선하고 한입 먹자마자 너무 맛있었어요 ჱ̒ ｰ̀֊ｰ́ ) ! 일요일 12시~13시에 방문했는데 예약손님들이 있어서 웨이팅 팀이 별로 없어도 조금 기다려야했어요! 미리 예약 하고 오시는게 좋을 것 같아요😆
2063373063,고로고로 용산,,,너무 신선하고 맛있어요. 주말 나들이 경 방문 했는데 사람도 많네요!! 덮밥 너무 맛있고 비린내가 전혀 안나요.! 다음에 또 재방문 의사 있습니다.
2063373063,고로고로 용산,,,넘 넘 맛있어용 장어덮밥에 들어있는 장어도 엄청 부드럽고 고기도 넘 맛있어요! 고로고로 + 우니도 넘 고소하고 맛있어용 ~~ 참치가 다져서 들어가 있어 엄청 특이해요 마지막에 오차즈케까지 꼭 해먹으세요 하이볼도 굿 💕💕
2063373063,고로고로 용산,,,다른데사 오차즈케 비렸는데 곰탕같이 맛있어서 한사발 다 드링킹 하고 갑니다!
2063373063,고로고로 용산,,,다만 밥 양이 많진 않아서 많이 드시는 분들은 부족할 수 있으니 사이드를 시키든지 후식을 드셔야 할듯해요.
2063373063,고로고로 용산,,,도쿄 갔을때 츠지한을 너무 맛있게 먹어서 생각나서 방문했어요!! 회 퀄리티가 너무 좋고 매장분위기도 정말 좋아요!! 성수점과 비교했을때 너무 압도적으로 맛도 매장도 훨씬 좋았어요!! 데이트로 오기 너무 좋습니다💗번창하세요
2063373063,고로고로 용산,,,만족스러운 식사였어요 그리고 반려동물 동반 가능한 식당이더라구요🐶 멈멈미 보면서 식사할 수 있어서도 너무 좋았어요 가게가 엄청 오픈형인데 덕분에 비 오는 날 운치와 그 감성.. 을 즐기다 갑니다
2063373063,고로고로 용산,,,맛있습니다ㅎㅎ 비리지않고 괜찮아요! 땅콩소스가 있으니 알러지있는사람은 말하면 빼주세요!
2063373063,고로고로 용산,,,"매장 인테리어가 너무 환하고 예뻐요. 직원분들도 다들 친절하시고 음식도 깔끔하게 잘 나오네요. 일본에서 먹었던 장어덮밥이 생각나서 방문한 건데, 현지에서 먹은 것처럼 맛있었어요! 다음에 또 방문하고 싶은 가게에요✨️"
2063373063,고로고로 용산,,,메뉴판에 있는 사진과는 좀 다르지만(내용물이 부실하지는 않음) 맛있네요. 가격도 합리적인 편이고 함께 내어오는 반찬들도 좋습니다! 재방문의사 있음~
2063373063,고로고로 용산,,,바좌석도 있어서 담에 혼밥하러 와도 좋을 것 같다는 생각이 들었어요 ㅎㅎ
2063373063,고로고로 용산,,,분위기 좋고 맛있어요!! 재료도 신선해서 더 맛있는거 같아요!! 다음에 또 먹으러 올거에요 ㅎㅎ
2063373063,고로고로 용산,,,분위기며 밑반찬들도 너무 좋고 처음에 주신 탕이라고 해야 하나요 그것도 얼큰하고 좋았습니다
2063373063,고로고로 용산,,,사진으로도 너무 맛있어보였는데 실제로도 너무 맛있습니다:)
2063373063,고로고로 용산,,,선선한날씨라 문열린 분위기도 좋고 고로고로+단새우랑 장어덮밥 둘다 맛있었어요!! 사골국물로 오차즈케까지 맛있게 먹을 수 있어요:)
2063373063,고로고로 용산,,,성수에서 한번 맛봤던 고로고로 용산점 방문했습니다. 장어덮밥특 그리고 고로고로 스페셜 주문해서 먹었어요. 오늘은 장어 컨디션이 횟감들보다 더 좋았던것 같습니다. 살도 통통하고 맛도 좋았어요.
2063373063,고로고로 용산,,,아니 진짜ㅋㅋㅋ 보자마자 너무 예쁜데 너무 배고파서 다 먹어버렸네요.. 영수증 리뷰 남긴다하고 이런 적은 처음이에요.. 일본 갔을 때 츠지한 생각났었어요 조금 다르지만 한국인 입맛에 맞게 신선하고 맛있었어요! 특히 밥 다먹고 오차즈케 말씀해주셨는데 너무 맛있어서 다 먹고 밥이랑 같이 부탁드렸는데 한 공기 주셔서 든든하게까지 잘 먹었네요. 처음보는 오차즈케였는데 맑은 육수 말고 도미 육수인지 되게 진한 사골 같았고 그거에 밥 말아먹으면서 깍두기 먹는데 반찬도 다 맛있어서 정말 만족했습니다 여자친구도 언니 데리고 와야겠다고 하고 좋은 경험했습니다ㅎㅎ
2063373063,고로고로 용산,,,야무지게 김과 싸먹고 적당히 남겨두고 오차즈케를 요청하시면 도미육수를 주시는데 거기에 남은 밥과 같이 말아먹는데 이것도 별미입니다!
2063373063,고로고로 용산,,,"예약 후 방문으로 대기 없이 바로 입장했고, 오픈형 주방이라서 요리하는 것을 지켜보는 재미도 있었습니다!"
2063373063,고로고로 용산,,,예약해서 대기없이 바로 입장했구 좌석은 좀 불편한데 음식이 맛있어서 용서됩니다. 일본에서 먹던 맛과 흡사해요~ 마지막 오차즈케가 별미더라구여 잘 먹고갑니당
2063373063,고로고로 용산,,,오늘 여행 마지막 일정이라 맘 편하게 하이볼도 마셨구 ㅎㅎㅎㅎ 왕!!!!!
2063373063,고로고로 용산,,,"오후반차여서 점심시간이 잠깐 붕 떠서 맛있는 점심을 먹기위해 급 검색으로 오게되었어요! 고로고로 기대이상이네요😊🫶 메뉴가 희소성있고, 눈으로 한번 입으로 한번 맛볼수있어서 즐거웠어요 ㅋㅋ 혼밥인데도 평일 점심시간을 살짝 비껴서 그런지 너무 편하게 밥먹고 갑니다~"
2063373063,고로고로 용산,,,"용산에서 장어덮밥을 가장 잘 하는 고로고로 용산에 다녀왔습니다. 제가 히츠마부시를 정말 좋아하긴 하는데 여긴 정말 찐이더라고요. 이꾸라와 우나기를 같이 먹을 수 있는 덮밥도 있고, 스테이크와 우나기를 같이 먹을 수 있는 메뉴도 있더라고요."
2063373063,고로고로 용산,,,우니도 싱싱해서 너무 고소하고 가게 분위기도 독특하고 재밌어요 큐브스테이크장어덮밥도 맛있게 양념이 베인 장어가 입에서 살살 녹더라구요 주말 데이트 코스로 강추합니다~~
