가게ID,가게명,평점,날짜,리뷰내용
1072787710,도토리 용산점,,,2층의 넉넉한 좌석과 다양한 빵 종류까지 만족스럽게 느껴주셔서 기쁩니다.
1072787710,도토리 용산점,,,가고는싶었던곳인데 항상대기가 있어서 못갔는데 애매한시간에 가니 대기가 없네요 6시좀안되갔어요 어둡긴하지만 이게어딘가요?ㅎ전까눌레가 젤맛났네요 창문쪽이 이쁜데 늘만석이구요 창문열리니 기대지마세요ㅎ
1072787710,도토리 용산점,,,감성 분위기가 있는 아기자기 예쁜 카페^^ 베이커리와 특별한 케이크가 있고 리얼블루베리 아이스크림이 맛있습니다... 라떼는 고소한 맛이라 좋아요~~♡
1072787710,도토리 용산점,,,"귀여운 인테리어와 다양한 빵 종류, 그리고 이른 오픈 시간까지 좋게 봐주셔서 감사합니다."
1072787710,도토리 용산점,,,"그럼에도 불구하고 예쁜 인테리어와 친절한 직원, 그리고 아사이베리의 신선한 맛까지 좋게 봐주셔서 정말 감사드려요!"
1072787710,도토리 용산점,,,"기분 좋은 분위기와 소중한 순간에 함께할 수 있어 진심으로 감사드리며, 앞으로도 정성과 감성을 담은 공간으로 기억될 수 있도록 더욱 노력하겠습니다."
1072787710,도토리 용산점,,,까눌레가 겉바속쫄하고 모양도 귀엽고 빵도 바삭해 맛있었다
1072787710,도토리 용산점,,,너무 와보고싶었던 도토리 카페! 역시 명성대로 너무 예쁘네요ㅠㅠ 캐치테이블로 대기 걸어 놓고 여기저기 구경하면 금방 들어가요ㅎㅎ 꼭 와보세요 넘 좋네요ㅠㅠ
1072787710,도토리 용산점,,,"다른 세계관에 들어온 듯한 느낌이라니, 정말 멋진 표현 감사합니다."
1072787710,도토리 용산점,,,다만 조금 불편한 점은 인기카페이다 보니 웨이팅은 기본이고 순서가 되면 자리를 잡고 다시 주문을 하러 가야합니다.
1072787710,도토리 용산점,,,다음에도 더 좋은 경험 드릴 수 있도록 정성껏 준비하겠습니다! 💛
1072787710,도토리 용산점,,,도토리 디저트의 귀여움과 직원들의 친절함까지 따뜻하게 담아주신 후기 덕분에 저희도 큰 힘을 얻었습니다 🌰✨
1072787710,도토리 용산점,,,도토리 정말 와보고 싶었던 곳입니다.... 지브리 스튜디오에 온거같네요... ㅋㅋㅋㅋ 컨셉도 특이하고 파는 것들도 특이하고.. 외국인들이 너무 많이 찾아오는 곳이네요... 재밌어요 !! 1층 좌석을 중국인분들이 다 점령하심.... 용산에 중국인이 진짜 많은거같아요 ㅎㅎㅎ 가격은 디저트 가성비가 좀 아쉽네요. 아사히 볼은 호주보다도 비싼편인데 양이 매우 적어요... 맛은 있습니다 ^^ 벌집꿀에 집만있고 꿀이ㅜ없는것도 있어서 속상했음 ㅠㅠ
1072787710,도토리 용산점,,,도토리 카페 웨이팅이 길어서 좀 많이 기다려야 해요 야외 테이블도 있는데 아쉽게도 실내가 좀더 좋은것 같아요 빵은 도토리 모양 귀여워용! 가격은 많이 높음 편이지만 한번 가볼만한곳 같아요
1072787710,도토리 용산점,,,도토리 카페 캐릭터 토리를 만나러 이렇게 방문했어요!! 인기 베이커리 카페인 만큼 디저트도 다양하고 컨셉이 너무 귀엽고 예뻐요. 나무 집에 있는 듯한 기분과 은은한 조명이 좋습니다. 직원분들도 친절하시고 다음에도 방문하고 싶네요!
1072787710,도토리 용산점,,,디저트들도 맛있고 요거트 아이스크림 먹었는데 위에 올라가는 벌꿀집이 ㄹㅈㄷ.. 인테리어가 숲속마을에 있는 카페 같아서 분위기 있어서 좋았어요
1072787710,도토리 용산점,,,"매장 분위기부터 디저트 하나하나까지 세심하게 느껴주신 점, 그리고 예쁘게 표현해주신 글 덕분에 저희도 큰 감동을 받았습니다."
1072787710,도토리 용산점,,,사람들이 요 앞에서 말도 하고 어린아이들은 호기심에 손으로 뻗는 아이도 있더라구요 다행히 보호자가 막았지만 위생적으로 안좋을 수도 있겠다 라는 생각이 드네요
1072787710,도토리 용산점,,,"숲 속 오두막에 있는 카페 같아요 ㅎㅎ 매장 내부가 어둡기는 한데, 앉아있을 공간도 충분하고 디저트도 커피도 맛있어요"
1072787710,도토리 용산점,,,아기자기한 분위기와 디저트까지 만족스럽게 즐겨주셔서 저희도 큰 힘이 됩니다.
1072787710,도토리 용산점,,,아침 9시부터 사람이 꽤나 들어오는 핫한 카페에요! 듣던대로 너무너무 귀엽고 인테리어도 예뻐요. 빵이랑 음료도 너무 맛있어요! 왜 꾸준히 인기가 많은지 알 것 같아요😍
1072787710,도토리 용산점,,,"앞으로도 감성 가득한 공간과 정성스러운 디저트로, 언제든지 다시 오고 싶은 곳이 되도록 노력하겠습니다."
1072787710,도토리 용산점,,,앞으로도 감성 가득한 공간과 정성스러운 메뉴로 따뜻한 순간을 선물해드릴 수 있도록 노력하겠습니다.
1072787710,도토리 용산점,,,앞으로도 감성 가득한 공간과 정성스러운 메뉴로 특별한 순간을 선물해드릴 수 있도록 노력하겠습니다!
1072787710,도토리 용산점,,,앞으로도 기분 좋은 하루의 마무리를 함께할 수 있도록 정성껏 준비하겠습니다 💛
1072787710,도토리 용산점,,,앞으로도 정성 가득한 메뉴와 따뜻한 서비스로 다시 찾아오고 싶은 공간이 되도록 노력하겠습니다 💓
1072787710,도토리 용산점,,,"애니메이션 속 공간 같다는 말씀에 저희도 감동했고, 귀여운 빵들과 커피, 아이스크림까지 즐겨주셔서 감사드립니다 🍦☕🍞"
1072787710,도토리 용산점,,,"오고 싶었던 곳이라 찾아서 방문했는데, 인테리어도 너무 멋지고 분위기도 좋아요! 사진 찍기 좋은 곳이에요!♥️"
1072787710,도토리 용산점,,,"왜기다리는지 알겠는곳🔥 30분정도 기다렸고, 실내 이용했어요. 저 애플민트 어쩌구티가 생각보다 맛있었고 요거트볼은 18000원정도합니다. 한번쯤 방문 추천! 담엔 실외도 가보고싶어요"
1072787710,도토리 용산점,,,"요거트 아이스크림을 주문하였는데, 조금 비싸다고 생각했습니다. 아무래도 요아정 가격과 비교할 수밖에 없기 때문이지요. 한입 먹자마자 가격이 이해되는 맛이라 괜찮았습니다."
1072787710,도토리 용산점,,,"요거트와 빵, 그리고 아이들과 함께한 즐거운 시간까지—저희에게도 큰 기쁨이에요."
1072787710,도토리 용산점,,,"요거트와 빵, 쿠키까지 맛있게 즐겨주셔서 저희도 기분이 몽글몽글해졌답니다 🌰💛"
1072787710,도토리 용산점,,,용리단길에서 빵맛집 분위기 맛집인 도토리에 방문했오요💚 웨이팅을 하고 들어갔는데 아기자기하고 도토리 컨셉에 진심인곳..✨ 용리단길 오시면 꼭 들려야해요~~~도토리빵 너무 귀엽고 맛있어요 👍🏻💖
1072787710,도토리 용산점,,,"웨이팅이 길어도 찾아주셔서 감사드리며, 포장 추천해주신 소중한 의견도 잘 새겨듣겠습니다."
1072787710,도토리 용산점,,,이름만큼 귀여운 빵구경하는 재미가 쏠쏠한 지브리 감성의 분위기 있는 카페
1072787710,도토리 용산점,,,"인테리어가 이뻐요. 포장 종이봉투까지 이쁩니다. 도토리 마들렌 맛있었고(하루 지나도 촉촉함), 크림시오는 안에도 크림이 있어서 맛있어요."
1072787710,도토리 용산점,,,저녁에 방문예약 없이 이용대기 시간 1시간 이상일상부모님
1072787710,도토리 용산점,,,저녁을 조금 일찍 먹고 웨이팅하니 금방 들어올 수 있었습니다👍🏻 매장 분위기가 굉장히 아늑하고 편안해요ㅎㅎ 담에 오면 그릭요거트를 먹어보고 싶습니다💖
1072787710,도토리 용산점,,,점심에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
1072787710,도토리 용산점,,,점심에 방문예약 없이 이용대기 시간 30분 이내친목친구
