가게ID,가게명,평점,날짜,리뷰내용
1027383007,까치네분식종합분식,,,10여년 전부터 가던 식당이에요~ 리모델링하구서 항상 손님이 많아서 못갔는데 평일 11시 오픈하자 마자 갔더니 바로 먹을 수 있어서 좋았어요!! 예전 그맛 그대로 양도 많고 맛있었어요
1027383007,까치네분식종합분식,,,가끔 오는곳인데 날이추워서 뜨끈한 쫄순두부 땡겨서 왔어요
1027383007,까치네분식종합분식,,,그리고 특별한 메뉴 쫄순! 이게 은은하게 매콤하면서~ 순두부국 양념을 잘 머금은 쫄면이 정말 맛있다. 간이딱인데 돈까스랑 궁합도 잘맞는다.
1027383007,까치네분식종합분식,,,"근데 순두부 안에 두부도 많고, 쫄면은물론 계란에 떡까지 들었어요! 그리고 꽤나 칼칼하고 매콤합니다!"
1027383007,까치네분식종합분식,,,돈가스와 세트로 시켜 다양하게 먹을 수 있어 좋았어요.
1027383007,까치네분식종합분식,,,돈순 쫄순 돈까스와순두부찌개 세트로 장사하는 식당이니 너무 좋습니다 사장님 너무 친잘하시기도하구요
1027383007,까치네분식종합분식,,,"리뷰 1,097사진 116팔로워 28"
1027383007,까치네분식종합분식,,,"맛있고 혼자갔는데도 친절하세요! 저처럼 많이 먹는 사람을 위해, 돈가스 + 순두부 + 알밥세트메뉴도 있었으면 좋겠습니다ㅎㅎ"
1027383007,까치네분식종합분식,,,베스트 메뉴인 돈까스 쫄순 먹었습니다
1027383007,까치네분식종합분식,,,세트메뉴 구성이 좋아서 든든하게 먹고 싶을 때 방문하면 좋을 것 같습니다.
1027383007,까치네분식종합분식,,,"숙대입구 초입에 위치한 오래된(?) 식당. #까치네분식 (☆☆☆), 순두부에 쫄면을 가미한 쫄순두부가 맛있다. 세트로 돈까스 혹은 치킨가스를 파는데 개인적으로는 치킨가스가 더 맛있었다. 돈까스 + 쫄순두부 12,000원 구성인데 여대 앞 식당이지만 나같은 성인이 먹어도 배부를 정도로 양이 넉넉하다. 이외 다양한 식사거리를 판매 중이고 맛을 언급하지 않은건 맛있기는한데 그 맛의 정도가 우리가 학창시절 맛도리라고 여겼던 그 맛! 그 맛 그대로다. 추억의 맛! 가보시라~ 무조건 고개를 끄덕이며 먹을테니 ㅎ"
1027383007,까치네분식종합분식,,,"아기자기 귀여운 가게네요.. 특이하게 돈가스와 쫄면이 들어간 순두부가 세트인데, 둘 다 좋아하는지라 한꺼번에 먹을 수 있어서 좋았어요.. 돈가스도 괜찮지만 치킨가스도 맛있었어요.. 순두부찌게는 매콤하면서도 쫄면이 들어가 식감이 재밌더라고요.. 맛있게 즐겁게 잘먹었습니당~"
1027383007,까치네분식종합분식,,,인테리어를 새로하신 건지 내부는 깔끔했고 1층에 식사 중이신 분들로 가득차 자리가 없어 2층으로 안내받았고 음식은 테이블마다 있는 키오스크로 주문하고 음식도 금방 받은.
1027383007,까치네분식종합분식,,,저녁에 방문대기 시간 바로 입장일상연인・배우자
1027383007,까치네분식종합분식,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
1027383007,까치네분식종합분식,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상연인・배우자
1027383007,까치네분식종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1027383007,까치네분식종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상
1027383007,까치네분식종합분식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
