가게ID,가게명,평점,날짜,리뷰내용
1220349631,그릴도하 한남점,,,"2명이서 마리네이드 양고기 250, 후무스 플레이트, 삭슈카, 피타브레드 2개 먹으니 딱 배부르고 좋아요"
1220349631,그릴도하 한남점,,,"My friend invited me to check out Grill Doha’s new location, and I’m so glad I was able to join! We arrived around 7 and the restaurant was busy but we were lucky to get a table for 4 without waiting. The space is nice, the food was really good, and the service was great too :) thanks for a lovely evening 🙏🏻"
1220349631,그릴도하 한남점,,,당연히 현지 음식과는 차이가 있지만 그래도 현지 음식에 매우 가까운 맛을 선사해주고 매장은 예전 매장보다 더 깔끔하고 데이트 하기 좋게 인테리어가 잘 되어 있습니다. 마리네이드 양갈비를 더 추천하시던데 개인적으로는 생 양갈비가 더 현지 음식과 유사한 맛을 보여주기에 다음 번 방문 시에는 생 양갈비에 집중 예정입니다. 맛있게 잘 먹었고 조만간 중동 분들 모시고 방문하는데 이후 다시 후기 올리도록 하겠습니다
1220349631,그릴도하 한남점,,,당연히 현지 음식과는 차이가 있지만 그래도 현지 음식에 매우 가까운 맛을 선사해주고 매장은 예전 매장보다 더 깔끔하고 데이트 하기 좋게 인테리어가 잘 되어 있습니다. 마리네이드 양갈비를 더 추천하시던데 개인적으로는 생 양갈비가 더 현지 음식과 유사한 맛을 보여주기에 다음 번 방문 시에는 생 양갈비에 집중 예정입니다. 맛있게 잘 먹었고 조만간 중동 분들 모시고 방문하는데 이후 다시 후기 올리도록 하겠습니다
1220349631,그릴도하 한남점,,,또 다른 시그니처 메뉴인 샥슈카는 매콤한 토마토 소스에 계란을 톡 터뜨려 빵과 먹으니 완전 이국적인 맛💛
1220349631,그릴도하 한남점,,,마리네이드 숙성이라 양갈비가 일부 탄 부분도 있었으나 육즙이 너무 맛있었습니다. 후무스도 다양한 맛이 있고 부드러워서 좋았습니다. 그리고 빵이 너무 간귀입니다.
1220349631,그릴도하 한남점,,,마침 친구 생일이라서 좋은 좌석 받으려고 한달 전부터 예약했는데 정말 너무 잘한 선택이었어요.
1220349631,그릴도하 한남점,,,"맛있습니다. 원래 저는 양고기는 냄세때문에 못먹는 사람인데도 여기 양갈비는 냄세가 거의 안나서 정말 맛있게 먹었어요! 그리고 이 집의 시그니처인 후무스도 정말 맛있었습니다. 다음에 블루스퀘어 올 때, 또 방문할 예정이에요!"
1220349631,그릴도하 한남점,,,"벌써 몇번이나 방문한 이태원/한강진 최애 맛집. 한국에서 맛있는 후무스와 양고기를 먹고 싶다? 그러면 무조건 그릴도하 가세요!! 후무스를 같이 나온 갈릭 소스+매운 소스+야채와 곁들여서 피타빵에 올려먹으면 진짜 마약 넣은 것처럼 계속 입에 들어가요..마리네이드 양고기는 잡내 하나도 없고 부드럽고 너무 맛있어요ㅠㅠ 샥슈카도 치즈 추가해서 먹으면 적당히 매콤하니 자꾸 손이 갑니다ㅎㅎ가게 내부 분위기가 좋아서 데이트 장소로도 완벽하고, 부모님 모시고 식사하기도 좋아요! 조만간 또 갈게요🥺"
1220349631,그릴도하 한남점,,,"식슈카 매콤하면서 맛있어요.갈릭피타.기본피타 주문하고, 스텔라 맥주 두잔 주문하고,마리네이드 양갈비 구이 500g 주문해서 3명이 충분히 먹었어요"
1220349631,그릴도하 한남점,,,양갈비랑 후무스 맛있어서 자주와요ㅎㅎ아란치니 처음 시켜봤는데 완전 맛도리네요 :) 또 올게요!!
1220349631,그릴도하 한남점,,,양갈비랑 후무스 맛있어서 자주와요ㅎㅎ아란치니 처음 시켜봤는데 완전 맛도리네요 :) 또 올게요!!
1220349631,그릴도하 한남점,,,"엄청 맛짐입니다. 허머스 꼭 드시고, 갈릭 버터 피타빵 드셔 보세요. 치킨도 예술입니다"
1220349631,그릴도하 한남점,,,"엄청 맛짐입니다. 허머스 꼭 드시고, 갈릭 버터 피타빵 드셔 보세요. 치킨도 예술입니다"
1220349631,그릴도하 한남점,,,여기는 양고기 찐 맛집입니다. 중고생 아들들이랑 4명이서 가서 엄청 잘 먹고왔어요. 후무스도 잘 먹었구요. 양고기 첨에 500만 시켰다가 한번 더 시켜서 순삭하고 나왔어요.
1220349631,그릴도하 한남점,,,여기는 양고기 찐 맛집입니다. 중고생 아들들이랑 4명이서 가서 엄청 잘 먹고왔어요. 후무스도 잘 먹었구요. 양고기 첨에 500만 시켰다가 한번 더 시켜서 순삭하고 나왔어요.
1220349631,그릴도하 한남점,,,여기는 후무스가 메인메뉴라고 생각했는데 생각외로 마리네이드 양갈비가 정말 맛있네요 뼈에 붙은것도 들고 뜯어먹었네요
1220349631,그릴도하 한남점,,,연애시절 왔던 추억의 식당이라 기념일에 재방문했어요~ 음식들 다 가성비도 좋고 맛있어요. 근데 글라스와인을 미리 따라서 가져다주시고 아무 언급도 없으셔서 그 부분은 좀 아쉬웠어요!
1220349631,그릴도하 한남점,,,예전에 대로변에 있을때 가봤는데 다시 가려고 찾았더니 없어진 줄.. ㅠ 위치를 옮겼군용
1220349631,그릴도하 한남점,,,우연히 지나가다 발견해서 들어갔는데 오픈한지 2일차라고 사장님이 서비스도 많이주시고 너무 기분좋게 식사했어요!
1220349631,그릴도하 한남점,,,음식이 맛있었어요. 양갈비도 잡내없고 향신료도 강하지 않은데 양고기의 맛이 깔끔하게 났습니다. 여자 넷이 500g이면 된다하셔서 500으로 했는데 적어서 추가 500g 더 먹었습니다. 저녁 피크타임엔 너무 바빠서 직원분들이 정신이 없으세요. 불친절하신게 아니라 바빠서 정신이 없으셔서 서비스가 좀 허술하다고 느낄 수 있습니다. 직원이나 알바를 더 뽑아주세요. 아뮤튼 맛있어서 또 갈 거 같아요
1220349631,그릴도하 한남점,,,이전하고 분위기도 위치도 더더 좋아진 그릴도하🥹❤️ 메뉴들은 더 맛있어진거 같구요!! 오랜만에 먹은 맛있는 샥슈카까지 늘 그렇듯 너무 만족스러운 식사였어요!! 누굴 데려가도 만족해해서 한남동으로 약속 잡으면 1순위로 늘 생각나는 대체 불가능한 곳이에요!!!!👍🏻
1220349631,그릴도하 한남점,,,"이태원상권회복상품권 사용가능해서, 가족 생일기념으로 맛있는거 양고기 잘먹었습니당ㅋㅋ분위기가 좋아서 외국온기분이예요"
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장
1220349631,그릴도하 한남점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장기념일연인・배우자, 친구, 친척・형제"
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장나들이부모님
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장일상연인・배우자
1220349631,그릴도하 한남점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장친목, 일상아이"
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1220349631,그릴도하 한남점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
1220349631,그릴도하 한남점,,,점심에 방문예약 후 이용대기 시간 바로 입장
1220349631,그릴도하 한남점,,,"점심에 방문예약 후 이용대기 시간 바로 입장일상, 회식지인・동료"
1220349631,그릴도하 한남점,,,점심에 방문예약 후 이용대기 시간 바로 입장회식친구
1220349631,그릴도하 한남점,,,정말정말 맛있어요. 다이어트 중이라서 조금 시켰는데 고기도 너무 맛있어서 다음엠 더 많이 시킬라고요.. 무스 하나하나 다 맛있어서 싹싹 긁어먹었습니다. 친절하시고 분위기도 좋았어요. 다음에 또 갈거에요.
1220349631,그릴도하 한남점,,,정말정말 맛있어요. 다이어트 중이라서 조금 시켰는데 고기도 너무 맛있어서 다음엠 더 많이 시킬라고요.. 무스 하나하나 다 맛있어서 싹싹 긁어먹었습니다. 친절하시고 분위기도 좋았어요. 다음에 또 갈거에요.
1220349631,그릴도하 한남점,,,제 개인적인 입맛으론 일반보단 마리네이드가 훨씬 맛있었어요
1220349631,그릴도하 한남점,,,첫 방문이면 플레인이나 버터갈릭 추천하셔서 하나씩 시켰고 둘 다 맛있었어요!
1220349631,그릴도하 한남점,,,첫 방문이면 플레인이나 버터갈릭 추천하셔서 하나씩 시켰고 둘 다 맛있었어요!
1220349631,그릴도하 한남점,,,친구랑 오랜만에 양갈비먹으러 그릴도하 방문했어요! 양갈비 맛집 찾으러 돌아돌아 결국 그릴도하로 돌아오게 됩니다 😂😂
1220349631,그릴도하 한남점,,,플레이트의 다양한 소스를 오리지널 빵에 찍어먹는 것도 진짜 맛있었어요.
1220349631,그릴도하 한남점,,,플레이트의 다양한 소스를 오리지널 빵에 찍어먹는 것도 진짜 맛있었어요.
1220349631,그릴도하 한남점,,,한남동을 왔다. 밥을 먹어야겠다. 그럼 무조건 그릴도하입니다.
1220349631,그릴도하 한남점,,,한남동을 왔다. 밥을 먹어야겠다. 그럼 무조건 그릴도하입니다.
1220349631,그릴도하 한남점,,,회사에서 같이 뮤지컬 볼 겸 회식장소로 정했는데 너무 만족스러웠어용 양은 좀 부족한 것 같았는데 넘 맛있어서 괜찮았어요 후무스랑 양고기 넘 굿!!
1220349631,그릴도하 한남점,,,후무스 처음 먹어보는데 건강한 맛! 양갈비랑 먹으니 조합이 쵝오💓 양갈비 처음에 250그람 시켰다가 결국 추가로 시켜서 결국 500그람 먹었어요 ㅠㅠ 조카랑 둘이 가서 폭식했네요!
1904857524,독립밀방 서울역,,,"3번째 이용인데 리뷰는 처음 써보네요. 음식 맛, 분위기, 청결도 모두 한결같이 만족합니다. 트러플 감자튀김은 오늘 처음 먹어보는데 트러플향이 너무 좋네요. 파스타 피자는 늘 맛있었어요. 새로나온 리조또도 유니크한 맛이였어요. 서울역 오면 식사하러 와보시길 추천합니다."
1904857524,독립밀방 서울역,,,"KTX타러 서울역에 점심시간에 도착 했어요, 양식을 먹고 싶어 양식집을 찾다가 서울역 3층에 독립밀방집을 발견하고 들어왔는데, 이 집 파스타 너무 맛있어요. 해산물 토마토 파스타랑 베이컨 도피누아즈 크림 파케리 시켰는데, 진짜 너무 맛있습니다!! 강력 추천 합니다!!"
1904857524,독립밀방 서울역,,,"white 컨셉으로 매장이 훤하고 밝아요. 직원분들 친절하시고. 끝무렵 시간이었는데, 넓은 테라스 자리 안주시고 제일 안쪽 다닥다닥 이인석이어서 좀 아쉬웠지만 함께온 내 사랑하고 더 가까워서 좋은 느낌 :)"
1904857524,독립밀방 서울역,,,가게 인테리어도 이쁘고 깔끔하고 음식도 이쁜데 너무 맛있어요!!!! 그리고 너무 친절하세요..🥹 다음에 서울역 오면 또 방문할 예정입니다!
1904857524,독립밀방 서울역,,,가격이 저렴한 편은 아니지만 그 가격 이상 맛있어서 돈아깝지 않네요
1904857524,독립밀방 서울역,,,각자 멀리 사는 친구와 중간지점인 서울역에서 만나는데 예전에 방문했던 독립밀방 맛있게 먹어서 재방문했어요! 혹시나 해서 예약하고 방문했는데 오픈하자마자 웨이팅 걸리더라구요:) 방문하시는 분들은 예약 꼭 하세요~~ 소프트크랩리조또 맛있었고 시즌 음료인 보니밤아인슈페너가 맛있었어요! 담에 또 재방문할게요!!!
1904857524,독립밀방 서울역,,,간만에 나온 서울역에서 간단하게 브런치 먹을려고 방문했는데~ 분위기 좋고 위치도 좋고 이쁜거 같아요 ㅎㅎㅎ 메뉴도 다양하고 후각도 자극해서 생각날 것 같아요 ㅎㅎ~^^ 스테이크&파스타 너무 맛있어요 ㅎㅎ
1904857524,독립밀방 서울역,,,"광어세비체, 부라타마르게리타 피자, 부챗살 스테이크, 전복리조또와 하우스 와인으로 구성했슴당"
1904857524,독립밀방 서울역,,,근처에 직장이 있어서 동료들이랑 방문했어요~ 금요일 점심에 웨이팅 2팀있었는데 나름 빨리 들어갔어요! 파스타 피자 다 너무 맛있고 양도 많아서 맛있게 먹었어요💜 부라타 복숭아 샐러드도 진짜 상큼해서 완전 입맛 싹돌아요 ㅎㅎㅎㅎ
1904857524,독립밀방 서울역,,,기념일에 서울역에 볼일이 있어서 온 김에 와봤어요! 진짜 뷰도 너무 좋고ㅠㅠ(통창) 여기에 이런 메뉴에 맛과 퀄리티까지.. 진짜 안올 이유가 없는 곳 ㅠㅠ 웨이팅이 조금 있었지만 기다릴만한 가치가 있는 곳이에요! 다음엔 다른 메뉴 먹어보러올게요! 오늘은 대표메뉴만 먹고 가는데도 넘나 맛있습니다!
1904857524,독립밀방 서울역,,,"남편이 예약해줘서 왔는데 너무 맛있고 분위기도 좋네요 ㅎㅎ 서울역에 들릴 일 있으면 여기서 먹을 것 같습니다. 크림 파스타도 느끼하지 않고 감자가 있어 담백했구요, 감자튀김도 시간이 지나더라도 여전히 바삭바삭했습니다 ㅎㅎ 나중에 다시 재방문 할거 같습니다!"
1904857524,독립밀방 서울역,,,넘 맛잇고 조아요💗 서울역에서 도란도란 얘기하기 좋은 공간인것 같아요! 다음에 또 방문하려고 해요~ 특히 피자가 쫄깃하고 위에 토핑이 신선했어요!
1904857524,독립밀방 서울역,,,다만 테이블과 의자가 살짝 불편하지만...음식맛이 불편함을 잊게 만들어 줍니다!!!!
1904857524,독립밀방 서울역,,,독립밀방 독립문점에이어서 서울역점 방문했어요. 계절메뉴로 광어세비체나와서 먹었는데 추천드려요! 상큼한 광어&배&오렌지 맛이 맛있어요. 소프트크랩리조또도 정말 맛있어요 역시리뷰믿고 주문하길잘했네요. 두 메뉴 조화도좋아요 리조또의 살짝의느끼함을 광어세비체가 잡아줍니다! 재방문할거에요
1904857524,독립밀방 서울역,,,독립밀방 서울역점에 방문했습니다! 웨이팅 해야하는 줄 알았는데 평일 저녁 럭키하게도 웨이팅 없이 방문했습니다:) 새우 비스크 전복 리조또는 녹진한 전복내장 소스에 잘 구워진 전복이 킥이었어요. 버터향이 진해서 풍미가 좋았어요! 해산물 로제 소스 스파게티는 신선한 해물도 많았고 소스가 짜지 않아서 부담없이 먹었습니다. 서울역에서 분위기 좋은 곳을 찾으신다면 독립밀방 꼭 방문해보세요 추천드려요😀😀
1904857524,독립밀방 서울역,,,말 그대로 손님이 많기 때문에 음식이 천천히 나올 수 있으니 여유있게 기다리면 좋을 거 같아요:)
1904857524,독립밀방 서울역,,,맛도 좋구 정신없는 서울역에서 여유있게 식사하길 원하시면 예약하고 방문하시면 좋을 것 같아요! 추천합니다🥺
1904857524,독립밀방 서울역,,,"본점에 첫 방문을 했을때 너무 맛있고 분위기가 좋았어서 부모님 모시고 오고 싶었는데, 이번 추석명절을 맞이하여 지방에계신 부모님이 올라오셔서 식사를 했네요 :)"
1904857524,독립밀방 서울역,,,새우맛과 전복내장의 맛이 잘 어우러져서 맛있게 먹었어요 트러플향 풍기피자는 버섯 양이 많아서 좋았는데 모짜렐라치즈외에 크림치즈?가 발라져 있는거 같았는데 그 맛이 강해서 없어도 괜찮지 않았을까 싶었습니다. 버섯향이 좀 가려져서 아쉬웠다는 거지 피자 자체는 맛있었어요
1904857524,독립밀방 서울역,,,생면 광어 파스타는 탱글한 생면과 부드러운 광어가 어우러져 시그니처답게 훌륭합니다.
1904857524,독립밀방 서울역,,,"서울역 바로 근처에 있어 접근성이 정말 좋습니다. 매장에 들어서자마자 보이는 뷰가 탁 트여 있어서 식사 내내 기분이 좋아졌어요. 플레이팅, 맛, 신선도 모두 파인다이닝 수준 이상이라 감탄했습니다. 세심한 디테일과 신선한 재료가 어우러져 음식 하나하나가 특별하게 느껴졌습니다. 전반적으로 매우 만족스러운 경험이었고, 다시 찾아가고 싶은 곳입니다."
1904857524,독립밀방 서울역,,,서울역을 매주 이용하는 입장에서 갓벽한 접근성과 맛!! 실내 뷰이지만 웅장한 규모의 서울역을 여유롭게 내려가 볼 수 있다는 장점도 있어서 더더욱 만족스러운 식사였습니다◡̈ 또 방문하겠습니다! 좋은 음식 감사해요ㅎㅎ
1904857524,독립밀방 서울역,,,"소프트크랩 비스크 리조또, 쉬림프 오일 스파게티, 베이컨크림 파케리, 트러플 향 풍기피자 모두 맛있게 잘 먹었어요! 서울역 안에 있어서 접근성도 좋구 다음에 또 방문할게요~"
1904857524,독립밀방 서울역,,,스테이크 넘 부드럽고 맛있었구 감자튀김은 추가금 내고 트러플로 변경했습니다! 광어 세비채 별 기대 안했는데 상큼하니 맛났어요 소프트크랩 리조토는 말모말모 최고👍🏻
1904857524,독립밀방 서울역,,,엄마가 역귀성 하시고 아이랑 같이 먹을 맛집 찾다가 리뷰가 좋아 왔습니다. 아이나 엄마도 다 맛있게 잘 먹었어요 ~~ 로제 파스타는 특히 맛있었습니다 ! 깔끔하고 심플한 인테리어도 예쁘고 창밖으로 서울역안을 보는 재미도 있네요^^
