가게ID,가게명,업종,평점,날짜,리뷰내용
1443913514,TAA,치킨,,,2차 술집 찾으러 가는 중이었는데 지나가다가 분위기가 너무 좋아서 이끌려 들어왔어요!
1443913514,TAA,치킨,,,▪︎기념일이라 방문해서 사진찍고 약간 진상기있었는데 너그럽게 봐주셨음(케익도 보관해주시고🙇‍♂️)
1443913514,TAA,치킨,,,나중에 기회되면 또 오려구요! 너무 좋았습니다~ 특히 안주가 넘 마싯🙂👍🏻오렌지 치킨 강추!!
1443913514,TAA,치킨,,,너무 맛있습니다~~지인들과 같이 가서 대화하면서 술 먹기 좋습니다!!
1443913514,TAA,치킨,,,너무 맛있습니다~~지인들과 같이 가서 대화하면서 술 먹기 좋습니다!!
1443913514,TAA,치킨,,,문어 스테이크는 단호박소스위에 문어가 얇은 반죽튀김으로 나와요🧐 맛은 nod bad. 가지 라구파스타 맛있어요! 비프 타르타르는 특별한 맛은 없고 무난했어용. 분위기는 좋아서 노래소리가 시끄러워도 대화하기 나쁘지 않아요😌
1443913514,TAA,치킨,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1443913514,TAA,치킨,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1443913514,TAA,치킨,,,분위기 너무 좋고 와인 라인업도 좋은 것 같아요🩷🩷🩷🩷🩷🩵💍💛
1443913514,TAA,치킨,,,분위기 맛집 라구파스타 맛집 문어 아보카도 세비체 맛집 ❣️ 글라스 와인도 맛있습니다 지금 날씨에 선선하니 딱 나들이가기 좋아요 ><
1443913514,TAA,치킨,,,분위기가 참 좋은 삼각지역 맛집이에요. 평소에 술 잘 안하는데 여기는 음식도 맛나고 분위기가 좋아서 와인 한 잔 가지고는 부족하더라구요 😆 밥 안먹고가서 파스탑 치킨1 사이드로 올리브 치즈 마리네이드 주문하니까 넉넉했어요. 메인2개 주문하심 남김없이 먹기에 딱 좋을 것 같고 화이트와인에 올리브 완전 잘어울려요~ 👍 기분좋은 시간이었습니당 ❤️
1443913514,TAA,치킨,,,분위기너무 좋고 남자친구랑 즐거운 시간 보앴어요. 너무 좋아요 강추합니다!!!!🍀🍀🍀🍀
1443913514,TAA,치킨,,,삼각지 신상핫플 TAA! 삼각지는 갈 일이 별로 없는데 가게된 김에 타 에 예약후 방문했습니다! 삼각지특성상인지 사진에서 본 것 보다는 규모가 작아서 당황했지만 사진에서 본대로 특색있는 인테리어와 가구가 인상깊었어요! 소파테이블자리는 단체+바틀 이용 시 가능해서 조금 아쉬웠습니다. 그 외의 중앙의 테이블은 2-3인을 위한 자리였는데 다른 분들과 붙어앉아야하다보니 그 점은 조금 아쉬웠습니다.. 어쩔수없죠ㅜㅜ
1443913514,TAA,치킨,,,삼각지역 근처 느낌좋은 펍 TAA 글라스와인도 있어서 분위기 내기 좋았어요! 테라스 진짜 이쁘구 조금 덜 더웠으면 밖에 앉았을것같아요! 안주도 하나같이 다 맛있어서 기분좋은 모임 했습니다! 담에 또 방문하구 싶어용
1443913514,TAA,치킨,,,삼각지역 맛집 TAA는 술과 음악과 분위기 있는 술집으로 데이트나 소모임하기 좋은 퓨전펍이다. 멜란자네라구파스타는 고급스런 맛으로 와인과 하이볼과 잘 어울리고 고르곤졸라크림뇨끼는 고소하고 크리미한 맛이 기린생먁주와 잘 어울렸다.
1443913514,TAA,치킨,,,야장을 찾아다니다가 오게됐는데 분위기 너무 좋고 맛있었어요! 다음에 또 올게요🫶🏻
1443913514,TAA,치킨,,,"욕설, 비방, 명예훼손성 표현은 누군가에게 상처가 될 수 있습니다.와인 설명도 잘 해주시고, 취향에 맞게 추천해주셔서 너무 좋았습니다."
