가게ID,가게명,평점,날짜,리뷰내용
1234798207,"머구리야해물,생선요리",,,32년 용산 토박이 의 또간집 ..! 풍자 또간집 용산만 걸려라 하는 심정 입니다.. 한번 가면 멈출 수 없어 아주 자주 가진 못하지만 분기별로 생각나는 머구리야🥹 집에서 가깝고 분위기 좋고 친절하고 신선하고 맛있고 저에겐 완벽한 또간집 이죠. 이것 저것 문의 드려도 친절히 알려주시고 맞아주시는 머구리야 감사드리며 앞으로도 신선한 해산물 부탁드립니다🙇🏻‍♀️
1234798207,"머구리야해물,생선요리",,,갑오징어도 맛있어요!! 해물라면에 해물듀 알차게 들어가 있습니다
1234798207,"머구리야해물,생선요리",,,강아지랑 같이 왔는데 사장님께서 너무 친절하시고 감사했습니다 ๑⃙⃘◡̈๑⃙⃘
1234798207,"머구리야해물,생선요리",,,깔끔하고 음식도 맛있어요! 모임이나 데이트 하기 좋은 곳 입니당 추천해요~~
1234798207,"머구리야해물,생선요리",,,너무 맛있어요!! 생새우회가 신선합니다 너무친절하시고 ㅜㅜ 담에 또와야겠어요 😀😀😀
1234798207,"머구리야해물,생선요리",,,넘넘 맛있어서 생새우회 2번시켰습니다!! 담에 또 올 것 같아요!
1234798207,"머구리야해물,생선요리",,,두번째 방문인데 몇번이나 또 오고싶은 집이에요 존맛탱구링 해물찜에 보끔밥 꼭드세요
1234798207,"머구리야해물,생선요리",,,메뉴도 알차고 저녁시간 조금 지나간 시간엔 조용하니 먹을 수 있었습니다!
1234798207,"머구리야해물,생선요리",,,모듬숙성회랑 소금김밥/ 해물라면까지 완벽해요!!! 숨은 맛집이니 꼭 유명해지기 전에 가보세요! 직원분들 이쁘고 잘생기신건 덤..♥️
1234798207,"머구리야해물,생선요리",,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1234798207,"머구리야해물,생선요리",,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1234798207,"머구리야해물,생선요리",,,밤에 방문예약 후 이용대기 시간 10분 이내 데이트연인・배우자
1234798207,"머구리야해물,생선요리",,,"밤에 방문예약 후 이용대기 시간 30분 이상데이트, 나들이, 여행연인・배우자, 친구, 지인・동료"
1234798207,"머구리야해물,생선요리",,,"밤에 방문예약 후 이용대기 시간 바로 입장친목, 여행, 기념일친구"
1234798207,"머구리야해물,생선요리",,,"생새우 먹고싶어서 왔는데, 다른 메뉴도 넘넘 맛있어요 ㅠㅠ 담번에 또 다른 메뉴 도전해보러 꼭 올거에요! ㅋㅋ"
1234798207,"머구리야해물,생선요리",,,생새우 먹으러 또 오겠슴니당💗 겨울에 방어 먹으러 다시 올게욥
1234798207,"머구리야해물,생선요리",,,"생새우 크기도 크고, 너무 신선하고 너무 맛있어요ㅜㅜ 머리는 버터에 튀긴건가..? 너무 맛있고 사실"
1234798207,"머구리야해물,생선요리",,,생새우가 땡겨서 급히 검색하고 왔는데 너무맛있어서 놀랐어요 다음에 재방문의사 있습니다 😊🦑🐡🐠🐙🐬🦀
1234798207,"머구리야해물,생선요리",,,생새우회 먹고싶어서 왔는데 넘나 느좋 해산물 가게 발견해서 넘 좋아요 담에 와서 제철 해산물 먹고싶어요😀😀
1234798207,"머구리야해물,생선요리",,,생새우회가 너무먹고싶어서 찾아찾아 간곳이었는데 분위기도 너무 좋고 술도 맛있어요 새우회 찾는분께 추천~!
1234798207,"머구리야해물,생선요리",,,생새우회가 먹고싶어서 찾아보다가 예약하고 오게 됐는데 기대했던만큼 너무 맛있었고 분위기도 너무 좋은 거 같아요! 메뉴들도 다 알차고 맛있어서 잘 먹고 가요 다음에 또 올게요🙃
1234798207,"머구리야해물,생선요리",,,"생새우회를 먹었는데 정말 신선했어요. 새우를 직접 까주셔서 먹기 편했고, 비린내가 전혀 안 나서 인상 깊었어요. 전체적으로 깔끔하고 신선한 해산물을 즐길 수 있는 곳이에요."
1234798207,"머구리야해물,생선요리",,,숙성회 식감이 정말 좋고 해물된장탕 해장되는 맛이라 추천합니다.ᐟ
1234798207,"머구리야해물,생선요리",,,신선하고 맛있는 해산물을 깨끗하고 감성 있는 곳에서 즐길 수 있어서 너무 좋았습니당 또갈게요!
1234798207,"머구리야해물,생선요리",,,오늘 하루도 “좋은 음식은 좋은 대화로 이어진다”는 말 실감한 날 🌸다음엔 또 다른 친구 데리고 올 예정! #삼각지맛집 #머구리야 #점심술필수
1234798207,"머구리야해물,생선요리",,,완전 맛있어요!! 데이트하기 딱 좋습니다 야장 느낌 들고 분위기도 좋아요! 저는 피크 시간 아닌 때 방문했지만
1234798207,"머구리야해물,생선요리",,,"요즘 생새우회가 제철이라서 먹으러 왓는데, 정말 강추합니다!!! 회도 정말 밋잇어서 다 먹어보시고 가세요~~ 다음에 또 방문할게여"
