가게ID,가게명,평점,날짜,리뷰내용
1052027698,겸손돈가스 구파발점돈가스,,,거래처 손님 모시고 갔는데 역시 맛있게 먹고 시원하게 먹고 좋은 시간 보내고 왔어요~~☺️
1052027698,겸손돈가스 구파발점돈가스,,,겉은 바삭하고 속은 촉촉하면서도 육즙이 살아있어서 한 입 먹을 때마다 감탄이 나옵니다. 고기가 두툼하면서도 전혀 질기지 않고 부드럽게 씹히는 게 최고였어요.
1052027698,겸손돈가스 구파발점돈가스,,,고기가 두꺼워서 맛있어요. 아이들도 잘 먹어요. 그래서 정말 좋아요.👍
1052027698,겸손돈가스 구파발점돈가스,,,고기가 부드럽고 너무 맛있어요! 돈까스가 느끼하지 않고 혼밥하기도 좋아요~ 주문 즉시 만들어주시고 굿굿👍🏻
1052027698,겸손돈가스 구파발점돈가스,,,구파발 돈까스 맛집이라 들어서 첨 방문해보았는데 제주고기에 너무 맛있어요+.+ 아이도 너무 잘먹어요!!
1052027698,겸손돈가스 구파발점돈가스,,,"깔끔한 인테리어와 빠른 서비스, 혼밥도 부담 없이 가능한 분위기라 재방문의사 있어요."
1052027698,겸손돈가스 구파발점돈가스,,,돈까스 급 땡길때 와서 먹기 좋아용 매장도 엄청 깔끔하고 맛있어요~~😋
1052027698,겸손돈가스 구파발점돈가스,,,돈까스는 담에 꼭 다른 메뉴 먹어보고 싶었을 정도로괜찮았고 우동도 시원하니 좋았습니다! 또 올게요~
1052027698,겸손돈가스 구파발점돈가스,,,등심돈가스가 진짜 맛있는데 품절이라 아쉬웠지만 치즈랑 안심도 넘 맛있습니다~~
1052027698,겸손돈가스 구파발점돈가스,,,맛있게 먹는 법도 있고 따라서 먹어봤는데 좋았어요. 저는 혼자 왔는데 아이랑 와서 먹어도 좋을 것 같아요. 사이드로 추가 시키면 유아메뉴때문에 고민안해도 될거같아요!
1052027698,겸손돈가스 구파발점돈가스,,,맛있고 직원분들이 다 친절해요 벌써 두번째 방문이에요 느끼한 걸 잘 못 먹는데 기름기가 별로 없어서 먹기 좋아요
1052027698,겸손돈가스 구파발점돈가스,,,메뉴가 많아 고민을 했지만 역시 대표매뉴 수량한정!
1052027698,겸손돈가스 구파발점돈가스,,,명절 전날에도 겸손돈가스를 먹을 수 있어서 넘 좋아요~~~포장해서 가족 파티함요^^오랜만에 온식구가 집에 있는 기념으로 ㅎㅎ
1052027698,겸손돈가스 구파발점돈가스,,,모든 돈까스가 다 맛있는데 특히 특등심돈까스 진짜 맛있어요 ㅠㅠㅠ!!!!!
1052027698,겸손돈가스 구파발점돈가스,,,모처럼 친정엄마를 모시고 뭐를 먹을까??? 고민하다가 친구들 하고 먹었던 곳이 생각나서 모시고 갔는데 친정어머니께서 너무 좋아하셨어요 👍 며칠 있다가 지인 모임이 있는데 또 와야겠어요^^ 수고하세요 😊
1052027698,겸손돈가스 구파발점돈가스,,,믿고 먹는 겸손돈가스!!! 언제 먹어도 정말 맛있어요~😍
