가게ID,가게명,평점,날짜,리뷰내용
33078021,가야밀냉면해물칼국수 본점,,,10년전 옛스러운 인테리어시절부터 다녔던 누구나 다 아는 맛집이에요 오랜만에 먹고싶어서 왔는데 여전한 맛이네요. 사장님 알바분 모두 친절하시고 좋습니다. 또올게요 변치않는 맛으로 늘 건승하세용🥰
33078021,가야밀냉면해물칼국수 본점,,,"2018년도에 첫 방문 이후로 매해 최소 한 번씩은 꼭 방문하는 가야밀냉면....올해는 벌써 두 번째 왔네요:) 밀면은 물론이고 콩밀면이 진짜 찐이랍니다. 콩국물이 달짝지근해서 진짜 진국이에요. 항상 면 시키면 맛보기로 다른 메뉴를 주시는데 그 덕분에 모든 메뉴를 접해볼 수 있어서 좋아요. 파전, 감자전도 바삭해서 더 맛있습니다. 가족들도 매해 인천에서 모시고 오는데 늘 만족하세요. 오래오래 음식 해주세요 사장님💗"
33078021,가야밀냉면해물칼국수 본점,,,"2대째 운영중인 밀면 전문점으로 주문과 동시에 면을 삶아 훨씬 더 쫄깃한 맛을 즐길 수 있 수 있는게 장점인 곳입니다. 서비스로 제공되는 콩국수 맛보기 뿐아니라 취급하는 메뉴 전부다 맛있어요. 비빔밀면은 매콤/새콤/달콤 3가지 맛이지만, 양념만 떠 먹어도 상큼하고 신선해 참 맛깔스러워요. 물밀면은 갖은 약재를 넣어 끓여 그런지 미묘한 당귀맛 같은게 나는데, 그 맛이 조화로워 전혀 이상하지 않아 굿. 애초에 은근한 새콤함이 있는 육수로 자극적이지 않고 은은한 맛을 좋아한다면 평양냉면 대신 여기와서 물 밀면 꼭 드셔보는게 좋을 것 같습니다. 게다가 제가 제일 좋아하는 건 여기만의 바삭한 파전이에요. 튀김가루같은걸 올려 구워그런지 해물과 파전이 잔뜩 든 돈까스를 먹는 듯한 식감입니다. 실망한 메뉴가 1도 없어요."
33078021,가야밀냉면해물칼국수 본점,,,“전체적으로 맛과 분위기 모두 만족스러웠어요. 특히 육수 맛이 인상 깊어서 다음엔 북한산에 올라갔다 내려와서 파전도 먹어봐야겠어요. 꼭 한 번 가보시길 추천합니다!”
33078021,가야밀냉면해물칼국수 본점,,,가개앞 풍경도 좋구요. 엄청 맛있네요! 요즘 물비빔면이 좋아서 사먹기도하고 만들어먹기도하는데 단연코 처음먹어보는맛이고 맛있어요. 진짜 묘한중독성있을 맛이고요 맛보기 콩국수도 엄청 맛있네요. 제삿상올라가는 노란시루떡? 그런맛도나고 달달한듯 고소한듯 아무튼 엄청 맛있네요!!
33078021,가야밀냉면해물칼국수 본점,,,김치+만두👍🏻👍🏻👍🏻👍🏻와....김치 같이 드시면 너무 맛있습니다ㅠㅠㅠ양파절임도 너무 맛있고 다음에는 칼국수가 너무 궁금해서 다시 재방문 예정입니다😭
33078021,가야밀냉면해물칼국수 본점,,,김치도 맛있고 칼국수도 양 엄청 많아요. 2인분 시킨줄 알고 영수증 다시 확인했어요! 손만두도 작은데 속이 가득차서 잘먹었습니다!
33078021,가야밀냉면해물칼국수 본점,,,날씨가 좋아 급 나들이를 나왔다가 들린 밀먄집. 2대째 운영한다고 해서 믿음이 갔고 내부에 손님이 가득 앉아 있어 안심이 되었습니다 😊
33078021,가야밀냉면해물칼국수 본점,,,날이 더워서 가야밀냉면해물칼국수 본점 방문했어요. 역시 대기가 19팀. 일요일 오후2시 기준입니다. 1시간 정도 대기했다가 들어왔습니다. 📣캐치테이블로 예약하시면 좋아요. 비빔밀면과 해물손칼국수 주문했어요. 💓서비스1. 네이버 리뷰이벤트로 막걸리 2잔 서비스받아서 먹었습니다. 서비스2. 콩국수 맛보라고 조금 주셨어요. 🤤
33078021,가야밀냉면해물칼국수 본점,,,너무 맛있어서 부모님 모시고 재방문했습니다. 역시나 부모님께서도 만족! 친절하고 음식이 진짜 진짜 최고입니다. 전에 감자전 먹어봐서 해물파전 시켜봤는데 바삭거리고 실한게 무엇을 선택해도 후회가 없네요. 특히 콩국수 시원한 별미이고 고소하고 인생 콩국수! 북한산 맛집 추천해요.
