가게ID,가게명,평점,날짜,리뷰내용
1990865389,기쁨수산생선회,,,"기본 상차림으로 고등어구이, 막회무침, 콘샐러드, 미역국 등이 제공되서 푸짐하고~광어 중자(4만원) 양이 푸짐합니다!!😍"
1990865389,기쁨수산생선회,,,"리뷰 1,187사진 661팔로워 21"
1990865389,기쁨수산생선회,,,"리뷰 3,665사진 1,593팔로워 103"
1990865389,기쁨수산생선회,,,"리뷰 701사진 5,089팔로워 147테마 15"
1990865389,기쁨수산생선회,,,"리뷰 701사진 5,089팔로워 147테마 15"
1990865389,기쁨수산생선회,,,"매운탕도 같이 먹을 수 있게 미리 준비해달라 요청드리고 기본제공되는 고등어구이는 3,000원이면 추가주문이 가능해서 좋았어요!😋"
1990865389,기쁨수산생선회,,,"밤에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상친구"
1990865389,기쁨수산생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1990865389,기쁨수산생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1990865389,기쁨수산생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1990865389,기쁨수산생선회,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
1990865389,기쁨수산생선회,,,"불광동에 있는 맛있는 횟집~ 해산물도 푸짐하고, 고등어구이도 맛있고, 회도 신선해 잘 먹고 왔어요~^^"
1990865389,기쁨수산생선회,,,새우구이도 먹었는데 맨날 어디 여행지 같은데서만 먹어서 그런가 살아있는 새우로 구이 주시는곳 오랫만이었음ㅋㅋ덕분에 가족모임 잘했습니다!
1990865389,기쁨수산생선회,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1990865389,기쁨수산생선회,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1990865389,기쁨수산생선회,,,우럭을 좋아하는 저희는 둘이서 중자 먹고 해물모듬 중자리도 먹었어요~소주를 마니 먹게 되는게 쫌 흠이지만 ㅎㅎ
1990865389,기쁨수산생선회,,,우럭을 좋아하는 저희는 둘이서 중자 먹고 해물모듬 중자리도 먹었어요~소주를 마니 먹게 되는게 쫌 흠이지만 ㅎㅎ
1990865389,기쁨수산생선회,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
1990865389,기쁨수산생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장
1990865389,기쁨수산생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장기념일연인・배우자, 아이"
1990865389,기쁨수산생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
1990865389,기쁨수산생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
