가게ID,가게명,평점,날짜,리뷰내용
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,2번째 방문인데 무한리필 퀄리티가 아니고 징짜 맛있어욥❤️‍🔥❤️‍🔥❤️‍🔥
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,게다가 직원분이랑 사장님이 엄-청 친절하셔서 기분 좋고 즐겁게 잘 먹고 갑니댜~
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,곱창 무한리필이라고 해서 퀄리티는 크게 기대 없이 와봤는데 곱창 미쳤습니다.. 곱창을 너무 좋아해서 여러 곳에서 먹어봤는데 살면서 본 곱창 중에 가장 크고 실하고 고소하고ㅠㅠ 깜짝 놀라서 왜 이렇게 크냐고 여쭤봤어요 ㅋㅋㅋ 같이 나오는 우삼겹부추숙주도 너무 맛있구 정말 감동입니다~~👍🏻 무한리필이지만 처음 한판만 먹어도 배부를 정도로 양도 많아요!!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,곱창 생각나면 이 곳만 올 것 같습니다!!!!!!!! 다들 여기로 오십쇼 👍🏻👍🏻
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,"곱창, 막창, 대창, 도래창, 우삼겹까지 종류가 다양하게 나와서 골라먹는 재미가 있었고 고기 퀄리티도 신선하고 잡내 없이 맛있었어요. 직원분들도 너무 친절하시고 계속 신경 써주셔서 기분 좋게 식사할 수 있었습니다. 무한리필이라 눈치 보지 않고 마음껏 먹을 수 있어서 남자친구랑 제대로 즐기고 왔어요. 다음에도 꼭 다시 가고 싶은 곳이에요 👍"
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,곱창이 먹고싶어서 찾아보고왔는데 맛은 물론이고 양도 정말 많고 무엇보다 무한리필이라서 가성비가 좋아요!!! 굽는법이 어려웠는데 사장님께서 직접 설명해주시면서 꼼꼼히 도와주셔서 맛있고 기분 좋게 먹고나왔어요~^^💓💓
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,너무 궁금했는데 마침 시간이 맞아서 헐레벌떡 와봤습니다! 모듬 무한리필 주문했는데 구성도 알차고 재료 하나하나 정말 신선하고 잡내가 하나도 안나요❤️ 사장님께서 설명을 조목조목 친절하게 해주셔서 너무 맛있게 잘 먹었어요👏👍👍 반찬으로 나오는 고추채도 넘 특색있고 맛있어여!!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,너무 맛있어 보여서 정신없이 먹느라 첫판은 사진도 못찍었네요..😅리필인데도 불구하고 양도 많고 고기도 실해서 사장님이 남는게 있으실까 걱정이 되는 가게입니다!!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,맛있게 먹는법도 상세히 알려주시고 저희가 잘 못하니까 맛있게 먹을수있도록 직접 구워주셨어요!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,매번 새로운 지인들 데리고 방문하는데 아직까지 한번도 실패한 적 없어요 진ㅋ자 너어무 맛있어요🥰
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,"모두 잡내도 안나고 양도 많아서 좋구 곱창 뿐만 아니라 감자,떡,김치도 구워먹을 수 있어서 무한리필인데 물리지 않고 좋아요ㅎㅎ"
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,"무엇보다 사장님이 유쾌하게 농담도 건네주시고, 친절하게 구워주시는 법까지 알려주셔서 분위기가 훨씬 편안했어요. 덕분에 맛있게 먹고 기분 좋게 나올 수 있었던 곳이에요 🙌"
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,무한리필 이용했는데 떡도 말랑하게 나오고 염통도 통으로 나오는데다가 야채도 짱 풍부..... 무한리필인 거 생각안하고 그냥 먹어본 곱창집 중에 젤 맛있어요 🥹🩷 매장이 넓진 않은데 평일 늦은시간이라 웨이팅 없이 들어왔습니당 ㅎㅎ 자주 올 것 같아요!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,무한리필은 보통 질이 그렇게 좋지 않은데 여기 진짜 너무 맛있어요..! 신선 그자체. 막창 보통 작게 다 잘려져 나오는데 여기는 큰 토막으로 나와서 굽다가 자르니까 식감이 오히려 더 좋은 느낌..?? 맥주 시켰더니 음식 기다리면서 먹으라고 커피 땅콩도 주시고..친절 그 자체..!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,무한리필은 처음 와봤는데 종류도 많고 양이 푸짐해서 너무 좋았어요!! 야채도 함께 주셔서 안 질리고 양껏 먹고 왔습니다 ㅎㅎㅎ 친절하게 계속 고기도 구워주시고 중간중간 안내도 해주셔서 편하고 쾌적했어요! 정말 좋았습니다!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,무한으로 곱창하고 대창 등등을 먹을 수 있어서 좋아요 ! 사장님께서도 친절하게 하나하니 어떻게 먹는지 알려주셔가지고 덕분에 맛있게 잘 먹었습니다 !
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,신촌 유명 한우 곱창집 보다 맛있어요 제 리뷰를 보셨다면 당신은 행운아..🍀 믿고 가보세요!!!! 🥵🥵🥵
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,양만 푸짐한 게 아니라 맛도 좋고 다양한 부위가 있어 하나하나 다른 식감을 느끼기에도 좋았습니다!
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,어떻게 구워야 맛있눈지 뭐부터 먹어야하는지 너무 친절하게 알려주시고 너무 좋아용
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,"여러분…. 곱창 맛집 여기입니다…. 신촌 곱창맛집 쳤을 때 나온것처럼 진짜 진짜 너무 맛있어요 맛집이에요 진짜 무한리필인데도 너무너누ㅜ너무 맛있어요 친구랑 먹으면서 내내 와~ 와아….왤케 맛있냐 이 얘기만 계속했어요 ,,,, 진짜 양도 많은데 이게 무한리필이라니 무한히 먹을 수 있을 거 같아요…… 무엇보다 사장님이 친절하시고 부위 하나하나 매번 신경써주시면서 설명해주셔서 먹는데 문제없이 잘 먹었어요!!! 구운김치랑 숙주까지 완벽.. 너무 맛있어서 소곱창 먹고싶을 땐 여기로 올 거 같아요 매장도 덥지않게 신경써주셔서 너무 좋았고 무엇보다 여러분들 맛이 진짜 최고입니다 여기로 와주세요 사장님 다음에 또 방문할게요!!!!!!!!!!!"
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,여자 사장님의 재미난 입담과 신선한 곱창을 먹으면 일주일간 일했던 피로가 풀리는 기분이에요
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,오랜만에 곱창이 땡겨서 찾아보다가 방문했는데 양도 푸짐하고 퀄리티도 좋고 넘 맛있네요! 거기다 넘 친절하게 맛있게 먹는법도 잘 알려주시고 중간 중간 오셔서 계속 챙겨주시더라구요 기분좋게 식사할 수 있어 좋았습니다 앞으로 단골할게요😆
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,이대 맛집 ~! 모둠 무한리필로 먹으면 곱창막창대창도래창염통 다 골고루 먹을 수 있어서 좋아요 !! 잡내 하나도 안나고 너무 맛있습니다 ~~! 항상 사람이 많아서 궁금했는데 먹어보니까 맛있는 이유를 알았습니다 .. 더 일찍 왔어야하는데 ~~ 앞으로 자주 올게요 !!! 😆😆
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,인스타 리뷰보고 찾아갔던 곳 중에 찐 맛집 찾기 어랴운데 여기는 정말 찐맛집입니다.👍
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,인스타로 알고 블로그 후기도 찾아 봤는데 후기가 다 너무 좋아서 왔는데 보람이 있어요>< 웨이팅 있다고 해서 오픈런 했어요✌🏻
1469465825,"기막힌 곱창 신촌 본점곱창,막창,양",,,일단 무한리필인데도 고기 질이 너무 좋아요! 제가 진짜 많이 먹는 편이여서 무한리필 잘 아는데 여긴 진짜 너무 맛있어요.🥹 주문마감 10분 전인데도 친절히 응대해주시고 구성이 너무 알차서 배터지게 먹고 갈거에요!!❤️
