가게ID,가게명,평점,날짜,리뷰내용
1779556075,긴자료코 이대점돈가스,,,가성비 너무 좋아요! 음식맛도 냉동느낌 아닌 완전 직접 수제느낌! 사람들 많이 오는 이유가 있네요..!! 자리 겨우 남은데 앉았는데 맛잇게 잘 먹었습니다
1779556075,긴자료코 이대점돈가스,,,가성비 너무 좋아요! 음식맛도 냉동느낌 아닌 완전 직접 수제느낌! 사람들 많이 오는 이유가 있네요..!! 자리 겨우 남은데 앉았는데 맛잇게 잘 먹었습니다
1779556075,긴자료코 이대점돈가스,,,너무 맛있고… 진한 생크림 대미그라스소스 중독적… 올때마다 함박세트먹고 행복한 치팅합니당! 겨자가 진짜 킥이에요 믿고 먹눈 긴자료코
1779556075,긴자료코 이대점돈가스,,,너무 맛있고… 진한 생크림 대미그라스소스 중독적… 올때마다 함박세트먹고 행복한 치팅합니당! 겨자가 진짜 킥이에요 믿고 먹눈 긴자료코
1779556075,긴자료코 이대점돈가스,,,너무 맛있고… 진한 생크림 대미그라스소스 중독적… 올때마다 함박세트먹고 행복한 치팅합니당! 겨자가 진짜 킥이에요 믿고 먹눈 긴자료코
1779556075,긴자료코 이대점돈가스,,,데미그라스 돈가스 진짜 맛있어요! 양추가도 무료라서 가성비도 좋고 집 근처라서 너무 행복해염🤤😋😋
1779556075,긴자료코 이대점돈가스,,,"데미그라스 소스 정말 맛있고, 겨자까지 곁들여서 먹으면 아주 맛있습니다."
1779556075,긴자료코 이대점돈가스,,,"데미그라스 소스 정말 맛있고, 겨자까지 곁들여서 먹으면 아주 맛있습니다."
1779556075,긴자료코 이대점돈가스,,,돈까스 양도 많고 소스가 특이하게 맛있어요!! 여기 사케동이랑 크림우동도 다 맛있어서 그냥 셋다 추천이요ㅎㅎ
1779556075,긴자료코 이대점돈가스,,,맛도 훌륭한데 무료로 증량도 가능하니 양이 많은 편인데도 배불리 먹을 수 있어서 정말 좋아요☺️
1779556075,긴자료코 이대점돈가스,,,맛도 훌륭한데 무료로 증량도 가능하니 양이 많은 편인데도 배불리 먹을 수 있어서 정말 좋아요☺️
1779556075,긴자료코 이대점돈가스,,,맛도 훌륭한데 무료로 증량도 가능하니 양이 많은 편인데도 배불리 먹을 수 있어서 정말 좋아요☺️
1779556075,긴자료코 이대점돈가스,,,먼저 굴튀김과 함박 스테이크에 대해 좋게 평가해 주셔서 감사합니다. 다만 매장 운영과 음식 상태에 아쉬움이 있으셨던 점 깊이 사과드립니다. 정성껏 준비한 음식과 서비스로 불편함 없도록 앞으로 더욱 신경 쓰겠습니다. 소중한 말씀 잊지 않고 개선해 나가겠습니다.
1779556075,긴자료코 이대점돈가스,,,먼저 굴튀김과 함박 스테이크에 대해 좋게 평가해 주셔서 감사합니다. 다만 매장 운영과 음식 상태에 아쉬움이 있으셨던 점 깊이 사과드립니다. 정성껏 준비한 음식과 서비스로 불편함 없도록 앞으로 더욱 신경 쓰겠습니다. 소중한 말씀 잊지 않고 개선해 나가겠습니다.
1779556075,긴자료코 이대점돈가스,,,먼저 굴튀김과 함박 스테이크에 대해 좋게 평가해 주셔서 감사합니다. 다만 매장 운영과 음식 상태에 아쉬움이 있으셨던 점 깊이 사과드립니다. 정성껏 준비한 음식과 서비스로 불편함 없도록 앞으로 더욱 신경 쓰겠습니다. 소중한 말씀 잊지 않고 개선해 나가겠습니다.
1779556075,긴자료코 이대점돈가스,,,메뉴도 다양하고 맛있어요. 돈까스도 먹었는데 고기도 부드럽고 1.5인분 가격추가 없이 양도 많습니다. 우동도 맛있어요. 정말 맛있습니다
1779556075,긴자료코 이대점돈가스,,,메뉴도 다양하고 맛있어요. 돈까스도 먹었는데 고기도 부드럽고 1.5인분 가격추가 없이 양도 많습니다. 우동도 맛있어요. 정말 맛있습니다
1779556075,긴자료코 이대점돈가스,,,소스도 많고 양도 많아용 돈가스집이지만 덮밥맛집🤤 다음엔 우동도 시켜먹어보려고요 그릇이 커서 신기해요
1779556075,긴자료코 이대점돈가스,,,아이가 돈까스 먹고싶다하여 방문했는데 양도 푸짐하고 무엇보다 돈까스 소스 너무 맛있어요!!
1779556075,긴자료코 이대점돈가스,,,아이가 돈까스 먹고싶다하여 방문했는데 양도 푸짐하고 무엇보다 돈까스 소스 너무 맛있어요!!
1779556075,긴자료코 이대점돈가스,,,여러 번 왔는데 처음 리뷰 써 봐요! 맛있는 긴자료코!!
1779556075,긴자료코 이대점돈가스,,,일본에 온 듯한 바 형식의 좌석에서 음식을 즐길 수 있습니다 :)
1779556075,긴자료코 이대점돈가스,,,일본에 온 듯한 바 형식의 좌석에서 음식을 즐길 수 있습니다 :)
1779556075,긴자료코 이대점돈가스,,,자꾸 찾는 맛집입니다. 중학생 중간시험 끝나고 일찍 왔더니 한가하네요. 깔끔한 주방 이쁜 데코 좋은 분위기 그리고
1779556075,긴자료코 이대점돈가스,,,자꾸 찾는 맛집입니다. 중학생 중간시험 끝나고 일찍 왔더니 한가하네요. 깔끔한 주방 이쁜 데코 좋은 분위기 그리고
1779556075,긴자료코 이대점돈가스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1779556075,긴자료코 이대점돈가스,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
