가게ID,가게명,평점,날짜,리뷰내용
19877688,"라 본느 타르트카페,디저트",,,"-타르트 종류가 다양했지만, 자몽 타르트는 비주얼도 맛도 가장 상큼해서 선택했어요"
19877688,"라 본느 타르트카페,디저트",,,매장직원분들 친절하시구요. 소금빵 맛집이라길래 먹어봤어요. 음~~맛있습니다. 쫄깃. 고소 타르트도 사봐야겠어요
19877688,"라 본느 타르트카페,디저트",,,"밀크티도 넘 맛나게 마셨고, 이어서 시그니처 타르트를 다 시켜보았는데 너무 맛있어요."
19877688,"라 본느 타르트카페,디저트",,,"밀크티도 넘 맛나게 마셨고, 이어서 시그니처 타르트를 다 시켜보았는데 너무 맛있어요."
19877688,"라 본느 타르트카페,디저트",,,"상호명은 타르트지만 다들 샌드위치를 특히 극찬들하셔서 샌드위치만 사갔는데, 타르트도 다음에 꼭 먹어보고파요🥺 종류가 다양해서 보는 맛 또한 충분했습니다!"
19877688,"라 본느 타르트카페,디저트",,,"시간이 떠서 지나가는 길에 들렀는데, 블루리본 맛집이네요!! 무화과 크림치즈랑 초콜렛마카다미아 파이 먹었는데 너무 맛있어요:) 무화과 크림치즈는 고오급진 후렌치 파이 같은 느낌이고, 초콜렛마카다미아는 빵부분이 엄청 얇아서 초콜렛 가득했습니다! 초콜렛 좋아한다면 왕추천이에요!"
19877688,"라 본느 타르트카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상아이
19877688,"라 본느 타르트카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19877688,"라 본느 타르트카페,디저트",,,아침에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
19877688,"라 본느 타르트카페,디저트",,,언제나 와도 맛있는 집! 오늘은 치킨 머쉬룸 샌드위치요~ 올리브 깜빠뉴와 파이는 파이도 맛나요👍
19877688,"라 본느 타르트카페,디저트",,,외관부터 예뻐서 홀린듯 들어왔는데 깜빠뉴가 있어서 바로 구매했어요~ 내부도 깔끔하고 예뻐서 다음에는 맛있어보이는 타르트 먹으러 와야겠어요~
19877688,"라 본느 타르트카페,디저트",,,외관부터 예뻐서 홀린듯 들어왔는데 깜빠뉴가 있어서 바로 구매했어요~ 내부도 깔끔하고 예뻐서 다음에는 맛있어보이는 타르트 먹으러 와야겠어요~
19877688,"라 본느 타르트카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상부모님
19877688,"라 본느 타르트카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
19877688,"라 본느 타르트카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
19877688,"라 본느 타르트카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장가족모임아이
19877688,"라 본느 타르트카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
19877688,"라 본느 타르트카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
19877688,"라 본느 타르트카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
19877688,"라 본느 타르트카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
19877688,"라 본느 타르트카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장나들이, 일상혼자"
19877688,"라 본느 타르트카페,디저트",,,지나가다가 봤는데 맛있어보여서 빵종류 샀어요! 담백고소한 빵류 좋아하는데 진짜 맛있습니다!! 타르트뿐만 아니라 마들렌이나 쿠키들도 있고 커피도 팔고 카페같이 테이블도 넉넉하고 쾌적해서 좋아요!
19877688,"라 본느 타르트카페,디저트",,,지나가다가 봤는데 맛있어보여서 빵종류 샀어요! 담백고소한 빵류 좋아하는데 진짜 맛있습니다!! 타르트뿐만 아니라 마들렌이나 쿠키들도 있고 커피도 팔고 카페같이 테이블도 넉넉하고 쾌적해서 좋아요!
19877688,"라 본느 타르트카페,디저트",,,처음 방문했어요~ 영화 자주 보러오는데. 이런곳이 있는줄 몰랐오요~~ 깔끔하고 조용하니 분위기가 있어 좋아요~ 몰랐는데 타르트도 맛있고~ 블루리본이라서 더 놀랬어요~ 담에 또 올까봐요~^^
19877688,"라 본느 타르트카페,디저트",,,커피도 음료도 디저트도 정말 맛있어요.
19877688,"라 본느 타르트카페,디저트",,,커피도 음료도 디저트도 정말 맛있어요.
19877688,"라 본느 타르트카페,디저트",,,타르트 많이 안달고 너무 맛있어요 밀크아이스크림은 진짜 우유맛ㅋㅋㅋ 맛있어요!! 공간 넓어서 카공하기도 괜찮을 듯해요
19877688,"라 본느 타르트카페,디저트",,,타르트 많이 안달고 너무 맛있어요 밀크아이스크림은 진짜 우유맛ㅋㅋㅋ 맛있어요!! 공간 넓어서 카공하기도 괜찮을 듯해요
19877688,"라 본느 타르트카페,디저트",,,"타르트가 맛있다고 해서 일부러 왔는데, 정말 맛있네요^_^ 초콜릿마카다미아가 많이 달지도 않고 반죽도 두껍지 않아서 타르트 특유의 텁텁한 맛이 없어서 좋네요. 커피도 맛있고 친절해서 기분좋게 잘 쉬다 갑니다^^"
19877688,"라 본느 타르트카페,디저트",,,"타르트가 맛있다고 해서 일부러 왔는데, 정말 맛있네요^_^ 초콜릿마카다미아가 많이 달지도 않고 반죽도 두껍지 않아서 타르트 특유의 텁텁한 맛이 없어서 좋네요. 커피도 맛있고 친절해서 기분좋게 잘 쉬다 갑니다^^"
1344987824,베이크니드,,,동물성 크림이라 넘 부드럽고 맛있는 곳이에요 작년에 먹어보고 너무 맛있어서 다시 판매하시길 1년을 기다렸네요.. 벌써 한 5건은 더 예약한 것 같은데 이번 연말은 다 베이크니드 케이크로 기념할거에요! 이대 아현 케이크 맛집으로 강추강추🎂💕
1344987824,베이크니드,,,버스 종점에서 내리면 바로갈 수 있어서 자꾸 자석끌리듯 가게됩니다ㅎㅎㅎ
1344987824,베이크니드,,,빵맛집이네요!! 소금빵이랑 뺑오 먹었는데 시간이 늦어서그런지 리뷰에서처럼 바삭하지는 않지만 딱 맛있는 빵집맛이에요!! 조만간 파운드도 먹으러 가야겠어요🫶🏻
1344987824,베이크니드,,,"새로나온 밤곡물빵, 손으로 얇게 썰어주신 식빵까지 벌써 맛이 기대됩니다."
1344987824,베이크니드,,,아침에 방문예약 없이 이용대기 시간 바로 입장
1344987824,베이크니드,,,아침에 방문예약 없이 이용대기 시간 바로 입장
1344987824,베이크니드,,,"아침에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
1344987824,베이크니드,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
