가게ID,가게명,평점,날짜,리뷰내용
1471503490,맘스터치 이대점햄버거,,,골든갈릭와우순살 먹어보고 싶어서 포장하러 왔어용~ 인기많은 맘스터치✨
1471503490,맘스터치 이대점햄버거,,,마감시간 조금 넘어서왔는데 친절하신 사장님 덕에 맛있게 먹었어요
1471503490,맘스터치 이대점햄버거,,,맘스터치 포장도 깔끔하고 너무 맛있어서 자주 가고 있어요.
1471503490,맘스터치 이대점햄버거,,,싱싱한 양상치와 양파가 듬뿍들어서 아삭하고 수분감 많아 더욱 맛있어요.
1471503490,맘스터치 이대점햄버거,,,"양념치킨은 딱 정석적으로 맛있어요! 다만 소스는 약간 부족하다시피 줘서, 자칫 양념 덜 발린 조각이 들어있을 수도 있겠어요 (+바닥에 고인 소스는 없어요)."
1471503490,맘스터치 이대점햄버거,,,에드워드리 싸이 치킨 하나하나 크기도 크고 양도 많아서 배불렀어요. 가격 보면 반 마리 일 줄 알았는데 양이 훨씬 많은 것 같아요! 둘이서 배부르게 잘 먹었습니다!
1471503490,맘스터치 이대점햄버거,,,이 근처에 일정이 있어서 간단히 점심을 해결하고자 방문했어요. 치즈 치킨버거를 맛있게 먹었어요!
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 30분 이내일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이아이
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
1471503490,맘스터치 이대점햄버거,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
1471503490,맘스터치 이대점햄버거,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1471503490,맘스터치 이대점햄버거,,,"점심에 방문예약 후 이용대기 시간 바로 입장일상, 회식기타"
1471503490,맘스터치 이대점햄버거,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상혼자
1471503490,맘스터치 이대점햄버거,,,진짜 오백만년만에 맘터 와본거 같은데 오~ 싸이는 역시 마싯 :) 냠냠냠
1471503490,맘스터치 이대점햄버거,,,차가운 빵. 차가운 치킨. 덜 녹은건지 굳은 치즈소스를 위에뿌린 감자튀김
1471503490,맘스터치 이대점햄버거,,,케이준 양념감자가 먹고싶어서 가끔 와요 금방 튀겨서 맛있어요
34883243,써브웨이 이대점샌드위치,,,금방 나왔고 야채랑 속재료들 가득 넣어주셨어요! 맛있어요🥪👍
34883243,써브웨이 이대점샌드위치,,,금방 나왔고 야채랑 속재료들 가득 넣어주셨어요! 맛있어요🥪👍
34883243,써브웨이 이대점샌드위치,,,"다 좋은데, 포장시에 종이를 두겹으로 이중포장해야할듯"
34883243,써브웨이 이대점샌드위치,,,"다 좋은데, 포장시에 종이를 두겹으로 이중포장해야할듯"
34883243,써브웨이 이대점샌드위치,,,섭웨이 많은지점 다녀봣지만 이대점이 젤 내용물 풍부하고 맛있음 ㅠㅠ 매번 올때마다 이렇게 뚱스한 섭웨이 영접ㅠㅠ솔직히 섭웨이가 다 똑같은 맛이지만 이건 진심으로 후기 남겨야겟다 해서 씀 알바분들 사랑해여
34883243,써브웨이 이대점샌드위치,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상혼자
34883243,써브웨이 이대점샌드위치,,,이대점만큼 야채 넉넉히 넣어주시고 빵 속 파주시는 등 요청사항도 잘 반영해주시는 곳이 없는것 같아요 항상 좋습니다~
34883243,써브웨이 이대점샌드위치,,,이대점만큼 야채 넉넉히 넣어주시고 빵 속 파주시는 등 요청사항도 잘 반영해주시는 곳이 없는것 같아요 항상 좋습니다~
34883243,써브웨이 이대점샌드위치,,,저녁에 방문예약 없이 이용대기 시간 10분 이내
34883243,써브웨이 이대점샌드위치,,,저녁에 방문예약 없이 이용대기 시간 10분 이내
