가게ID,가게명,평점,날짜,리뷰내용
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"국물은 처음엔 깔끔한데 고기랑 버섯, 채소가 들어가면서 점점 깊은 맛이 나더라구요. 마지막에 칼국수랑 죽까지 완벽하게 마무리! 👍"
1324504046,샤브이야기 신촌기차역점샤브샤브,,,깔끔하고 맛있어요. 아이들도 너무 좋아하는곳이에요. 육수도 맛있어요.
1324504046,샤브이야기 신촌기차역점샤브샤브,,,매장이 넓고 1인석도 많아서 혼밥하기 좋아요! 샤브샤브 야채도 신선하고 세트 맛있습니다☺️
1324504046,샤브이야기 신촌기차역점샤브샤브,,,매장이 넓고 1인석도 많아서 혼밥하기 좋아요! 샤브샤브 야채도 신선하고 세트 맛있습니다☺️
1324504046,샤브이야기 신촌기차역점샤브샤브,,,모자쓰고 안경쓰신 여성직원분 넘 친절하세요 흑 ㅠ 감사드립니당
1324504046,샤브이야기 신촌기차역점샤브샤브,,,모자쓰고 안경쓰신 여성직원분 넘 친절하세요 흑 ㅠ 감사드립니당
1324504046,샤브이야기 신촌기차역점샤브샤브,,,샤브샤브 정식 맛있고 가성비도 좋아요☺️샤브 야채도 신선하고 혼밥석도 있어서 혼밥하기 좋네용 재방문 할게요!!☺️☺️
1324504046,샤브이야기 신촌기차역점샤브샤브,,,샤브샤브 정식 맛있고 가성비도 좋아요☺️샤브 야채도 신선하고 혼밥석도 있어서 혼밥하기 좋네용 재방문 할게요!!☺️☺️
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"샤브샤브는 배추, 숙주, 청경채, 단호박, 목이, 팽이, 느타리, 만두, 치즈떡 등등 구성도 다양하고 칼국수랑 죽까지 나와서 진짜 가성비 최고입니다!!"
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"샤브샤브는 배추, 숙주, 청경채, 단호박, 목이, 팽이, 느타리, 만두, 치즈떡 등등 구성도 다양하고 칼국수랑 죽까지 나와서 진짜 가성비 최고입니다!!"
1324504046,샤브이야기 신촌기차역점샤브샤브,,,신촌 근처에 샤브집이 많은데 여기거 매장이 넓고 좋은것 같아요 !! 혼밥도 가능해서 많이들 올 수 있을것같습니다 잘먹고 갑니다!!😋
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"야채도 많고, 특히 편백찜이 정말 담백하고 맛있었어요."
1324504046,샤브이야기 신촌기차역점샤브샤브,,,양도 푸짐하고 정말 맛있어요~ 깔끔하고 분위기도 좋습니다 😀 자주 오고 싶어요
1324504046,샤브이야기 신촌기차역점샤브샤브,,,양도 푸짐하고 정말 맛있어요~ 깔끔하고 분위기도 좋습니다 😀 자주 오고 싶어요
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"오늘은 신촌맛집, 이대 맛집, 외국인들이 찾아오는 맛집, 근처 대학생들의 맛집으로 유명한 샤브이야기 신촌점을 다녀왔어요~ 대표메뉴는 편백찜 샤브콤보이고, 14600원에 편백찜의 부드러운 고기와 샤브샤브, 칼국수 마무리로 영양죽까지 함께 즐길 수 있는 최고의 가성비 샤브 맛집입니다."
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 데이트, 일상친구, 지인・동료"
1324504046,샤브이야기 신촌기차역점샤브샤브,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목, 데이트, 일상친구, 지인・동료"
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1324504046,샤브이야기 신촌기차역점샤브샤브,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1324504046,샤브이야기 신촌기차역점샤브샤브,,,하루 걸러 하루 꼴로 오는거같아요ㅋㅋㅋ 맛있고 가격도 합리적이고!! 저번에 칼국수면이 얇게 바뀌어서 아쉬웠는데 이번에 다시 두껍게 바뀌어서 너무 좋아요ㅎㅎㅎ 주말 일요일까지 열어주셔서 너무 좋고 알바생분도 너무 친절하셔서 좋아요! 많이 파세요~~
1324504046,샤브이야기 신촌기차역점샤브샤브,,,학교 앞에서 가장 좋아하는 샤브샤브집이에요!! 칼국수에 죽까지 먹으면 완전 든든하고 좋아요 ㅎㅎ
1324504046,샤브이야기 신촌기차역점샤브샤브,,,학교 앞에서 가장 좋아하는 샤브샤브집이에요!! 칼국수에 죽까지 먹으면 완전 든든하고 좋아요 ㅎㅎ
1324504046,샤브이야기 신촌기차역점샤브샤브,,,한끼 잘 먹었습니다 혼밥하기도 좋고 칼국수 죽세트도 저렴하고 맛나네요:) 매장도 깔끔합니다!
1324504046,샤브이야기 신촌기차역점샤브샤브,,,한끼 잘 먹었습니다 혼밥하기도 좋고 칼국수 죽세트도 저렴하고 맛나네요:) 매장도 깔끔합니다!
1324504046,샤브이야기 신촌기차역점샤브샤브,,,항상 오면 주문하는 편백찜 샤브콤보 먹었습니다! 담백한 음식 생각날 때 오면 최곱니다👍👍 든든하게 먹고 갈 수 있어용~~!
1324504046,샤브이야기 신촌기차역점샤브샤브,,,항상 오면 주문하는 편백찜 샤브콤보 먹었습니다! 담백한 음식 생각날 때 오면 최곱니다👍👍 든든하게 먹고 갈 수 있어용~~!
1005767268,"소바연구소 신촌본점우동,소바",,,가족나들이 신촌 바람쐬러 왔다가 눈길가는 특이한 메뉴와 분위기 좋아 방문했어요. 음식메뉴 역시 기대한거 처럼 특색있고 맛있어요!!
1005767268,"소바연구소 신촌본점우동,소바",,,가족나들이 신촌 바람쐬러 왔다가 눈길가는 특이한 메뉴와 분위기 좋아 방문했어요. 음식메뉴 역시 기대한거 처럼 특색있고 맛있어요!!
