가게ID,가게명,평점,날짜,리뷰내용
20921298,BHC치킨 이대역점,,,(바퀴벌레 천국입니다) 별점은 못 쓰나요. 치킨 닭 잡냄새 없는거 빼고는 다시는 가고 싶지 않은 집. 영업 1시까지라고 쓰여있어서 11시에 방문 했는데 12시까지라고 합니다. 4명이서 여유롭게 회식으로 왔는데 40분에 오더니 ‘50분까지 포장 해줄테니 싸가‘ 이게 가징 킥이었구요. 앞에 데크 밑에 바퀴벌레 진짜 많습니다. 들어가는 길목에만 발밑으로 여럿 지나다녀요. 맥주는 하나도 시원하지 않거 청소도 안되어있는지 불쾌한 맥주 맛 입니다. 잔은 아주 차가워요. 일하는 알바생 외국인분들 같은데 너무 안쓰러워 보입니다. 개인적인 시선이니 길게 말은 안할게요. 눈감고 이런집에서 계속 소비를 이뤄진디는게 매우 불쾌합니다.
20921298,BHC치킨 이대역점,,,- BHC的炸雞真的還好，但起司球真的好好吃，也不貴，直接外帶一份😍
20921298,BHC치킨 이대역점,,,둘이 먹고 둘 다 배탈났네요.. 둘 이서 먹은게 치킨 하나뿐이라. 백퍼네요. 새벽에 자다가 화장실 엄청 갔는데 다음날 서로 연락해보니 둘 다 새벽에 배아파서 일어났네요.
20921298,BHC치킨 이대역점,,,"매장 이용은 저희밖에 없었고, 배달이 많이 들어오고 있었는데 주문이 많이 밀려있었다면 오래 걸린다고 미리 말씀해주셨으면 좋았을 것 같아요"
20921298,BHC치킨 이대역점,,,바삭바삭 치킨 넘 맛있어요. 조리과정 중 정말 작은 실수가 있어서 말씀 드렸는데 진심으로 미안해 해 주시고 바로 처리해 주시려고 노력해 주셔서 오히려 더 호감도가 올라갔어요 집 근처라서 맨날 배달만 해 먹었었는데 시원한 생맥과 더 바삭한치킨을 먹기 위해 방문해서 먹어야겠어요 ^^
20921298,BHC치킨 이대역점,,,밤에 방문포장·배달 이용대기 시간 바로 입장친목친구
20921298,BHC치킨 이대역점,,,쏘마치 첨 먹어봤는데 너무 맛있어요!! 너무 맵지도 않고 달달한 닭강정 느낌인데 하나도 안느끼해요! 같이나오는 마늘이 빠삭해서 맛있었습니다~ 그리고 치즈볼은 항상 맛있어여ㅎ
20921298,BHC치킨 이대역점,,,아침에 방문포장·배달 이용대기 시간 30분 이상일상혼자
20921298,BHC치킨 이대역점,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트친구
20921298,BHC치킨 이대역점,,,저녁에 방문예약 없이 이용대기 시간 30분 이상일상친척・형제
