가게ID,가게명,평점,날짜,리뷰내용
13551999,LORD SANDWICH,,,"감베리샌드위치가 새로 추가되었다고 해서 갔어요. 겉은 바삭하고 속은 촉촉한 빵에 적당히 간이 된 새우, 양파, 마늘의 조화가 좋은 샌드위치였어요. 먹고 나서도 속이 편안한 건강한 느낌의 음식이 좋습니다. 저녁 시간에 붐비지 않고 편안한 분위기에서 식사할 수 있어서 좋은 곳입니다."
13551999,LORD SANDWICH,,,늘 맛있게 먹고 푸짐이 먹을 수 있네요. 음식맛과 친절함에 더해서 인테리어가 맘에 들어서 더욱 찾게 됩니다.
13551999,LORD SANDWICH,,,"리뷰 3,233사진 4,254팔로워 110"
13551999,LORD SANDWICH,,,"베이컨오믈렛샌드위치도 옴춍 맛있네요! 오늘도 잘 먹고 갑니당~! 평소에 커피 안 마시는데, 로드샌드위치 커피는 너무 좋아요! ❤️"
13551999,LORD SANDWICH,,,베지 샌드위치.. 투맨 짭짭 원맨 다이 아이 돈 노..❤️
13551999,LORD SANDWICH,,,"베지, 필리치즈, 아메리카노, 라떼 모두 너무 맛있어요. 오늘도 행복한 시간! 🥰✨"
13551999,LORD SANDWICH,,,"브레이크타임이 가까워졌는데 주문 받아주시고 조금 지난 것 같았는데, 나가라고도 안 해주신 것 같아요🥹 샌드위치는 정말 양이 많고 맛있었어요"
13551999,LORD SANDWICH,,,샌드위치 맛집!!!!! 샐러드와 샌드위치 다 너무 맛있어요. 특히 연어 샐러드는 연어 양도 많고 신선해서 너무 좋아요.
13551999,LORD SANDWICH,,,엄청 추천해서 갔네요. 분위기가 생각했던거와 달라서 기대이상이였내요. 샌드위치 맛집이라며 나쁘지 않았오요. 클스마스 분위기와 클래식한 느낌이 분위기가 좋아서 또 가보까 싶네요
13551999,LORD SANDWICH,,,에그 샌드위치가 공룡알 스타일로 변경되었네요! 먹기 더 편한 것 같아 좋았어요.
13551999,LORD SANDWICH,,,연어 샌드위치 먹넜는데 빵이 바삭바삭하고 훈제 연어예용 양이 너무 많아용
13551999,LORD SANDWICH,,,"오! 맛있군요. 건너편 스텐바이키친이 토,일 휴무인지 모르고 왔다가 검색 후 로드샌드위치로 직행했어요. 그런데!! 잠봉, BLT 먹었는데 둘 다 소스도 다르고~ 균형잡힌 맛! 전메뉴 도장깨기 해야겠어요 ^^ 🤤🥪"
13551999,LORD SANDWICH,,,오랜만에 이대후문쪽에서 그림가득 편안한 학교근처카페 분위기를 만끽!
13551999,LORD SANDWICH,,,"오랜만에 필리치즈스테이크 샌드위치 먹었는데, 역시 맛있네요 ㅎㅎ 재료가 알차구 방금 구워서 따뜻한 샌드위치라서 좋았습니다 ㅎㅎ 추천이에요!👍👍"
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상아이
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장지인・동료
13551999,LORD SANDWICH,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
13551999,LORD SANDWICH,,,점심에 방문포장·배달 이용대기 시간 바로 입장혼자
13551999,LORD SANDWICH,,,정말 맛이 좋아요. 전 특히 빵이 부드럽고 쫄깃해서 이가 아픈데도 겁없이 마구마구 먹을 수 있네요.
13551999,LORD SANDWICH,,,졸업해도 근처 갈 일 생기면 꼭 들리는 샌드위치 집~_~_<
13551999,LORD SANDWICH,,,커피 양이 많아서 좋았어요. 다음에 샌드위치 먹어보고 싶어요!
13551999,LORD SANDWICH,,,"토욜에 아이와 함께 방문,, 가볍게 브런치하기 좋아요.."
13551999,LORD SANDWICH,,,필리치즈스테이크도 괜찮네요. 사실 다 맛있지만요. ㅎㅎ
18232012,닥터로빈 이대점,,,- 피자 파스타 리조또 이렇게 골고루 시켰어요. 양도 적절하고 무엇보다 맛있었습니다. 피자 리조또 모두 갓 나와서 넘 좋았구요.
18232012,닥터로빈 이대점,,,- 피자 파스타 리조또 이렇게 골고루 시켰어요. 양도 적절하고 무엇보다 맛있었습니다. 피자 리조또 모두 갓 나와서 넘 좋았구요.
18232012,닥터로빈 이대점,,,"단호박스프는 항상 맛있고, 아이들 옵션도 따로 있어서 좋아요. 차지키소스가 있는 신메뉴도 맜있어요!"
18232012,닥터로빈 이대점,,,"단호박스프는 항상 맛있고, 아이들 옵션도 따로 있어서 좋아요. 차지키소스가 있는 신메뉴도 맜있어요!"
18232012,닥터로빈 이대점,,,소중한 고객님의 의견 남겨주셔서 감사하고 즐거운 식사가 되셔서 너무너무 다행입니다. 다음에 이용해주실 때도 더 나은 식사와 항상 웃음짓는 밝은 서비스로 고객님 맞이할 수 있도록 노력 하겠습니다 . 감사합니다 ♡
18232012,닥터로빈 이대점,,,소중한 고객님의 의견 남겨주셔서 감사하고 즐거운 식사가 되셔서 너무너무 다행입니다. 다음에 이용해주실 때도 더 나은 식사와 항상 웃음짓는 밝은 서비스로 고객님 맞이할 수 있도록 노력 하겠습니다 . 감사합니다 ♡
18232012,닥터로빈 이대점,,,소중한 고객님의 의견 남겨주셔서 감사하고 즐거운 식사가 되셔서 너무너무 다행입니다. 다음에 이용해주실 때도 더 나은 식사와 항상 웃음짓는 밝은 서비스로 고객님 맞이할 수 있도록 노력 하겠습니다 . 감사합니다 ♡
18232012,닥터로빈 이대점,,,소중한 고객님의 의견 남겨주셔서 감사하고 즐거운 식사가 되셔서 너무너무 다행입니다. 다음에 이용해주실 때도 더 나은 식사와 항상 웃음짓는 밝은 서비스로 고객님 맞이할 수 있도록 노력 하겠습니다 . 감사합니다 ♡
18232012,닥터로빈 이대점,,,소중한 고객님의 의견 남겨주셔서 감사하고 즐거운 식사가 되셔서 너무너무 다행입니다. 다음에 이용해주실 때도 더 나은 식사와 항상 웃음짓는 밝은 서비스로 고객님 맞이할 수 있도록 노력 하겠습니다 . 감사합니다 ♡
