가게ID,가게명,평점,날짜,리뷰내용
32040023,공릉닭한마리한식,,,"그리고 처음 딱 자리 배정을 해주셨을 때, 분명 자리 세팅은 되어있었으나 테이블을 닦지 않은 채로 세팅이 되어있어서 상당히 불쾌했고 이후 물티슈 하나 가져오셔서는 이전 사람들이 국물 흘린 부분만 대강 닦고 가시는걸 보고 먹기 전부터 블쾌하고 찝찝했습니다. 이후에 국자도 안 주셔서 따로 요청했습니다."
32040023,공릉닭한마리한식,,,"그리고 처음 딱 자리 배정을 해주셨을 때, 분명 자리 세팅은 되어있었으나 테이블을 닦지 않은 채로 세팅이 되어있어서 상당히 불쾌했고 이후 물티슈 하나 가져오셔서는 이전 사람들이 국물 흘린 부분만 대강 닦고 가시는걸 보고 먹기 전부터 블쾌하고 찝찝했습니다. 이후에 국자도 안 주셔서 따로 요청했습니다."
32040023,공릉닭한마리한식,,,근래 먹었던 닭한마리 중 가장 맛있게 먹었네요! 닭한마리는 국물이 맑은 편이지만 깊은 맛이 좋았습니다👍 고기를 새콤짭조름한 소스에 찍어 아삭한 채소와 함께 먹으면 이게 닭한마리를 먹는 이유지 싶네요😊
32040023,공릉닭한마리한식,,,깔끔하고 시원한 국물맛에 잡내없고 싱싱한 닭고기가 만족도가 높은 집입니다
32040023,공릉닭한마리한식,,,더군다나 김치리필 두번더할동안 가져다준 아주머니는 아무말씀안하셨는데(검정옷입음)
32040023,공릉닭한마리한식,,,맛은 있는데 바빠서 불친절. 다 외국인손님. 더워.
32040023,공릉닭한마리한식,,,맛은 있는데 바빠서 불친절. 다 외국인손님. 더워.
32040023,공릉닭한마리한식,,,별거 없는 것처럼 보여도 진하게 우려낸 육수와 사리들의 조합이 너무 좋았어요.!
32040023,공릉닭한마리한식,,,별거 없는 것처럼 보여도 진하게 우려낸 육수와 사리들의 조합이 너무 좋았어요.!
32040023,공릉닭한마리한식,,,양배추좀 달라고 요청하면 일하시는 중국분들 너무 불친절해여 이번엔 바빠죽겠는데 야채 그만좀 달라고 하던데 사장님이 좀 아셨음 좋겠습니다
32040023,공릉닭한마리한식,,,양배추좀 달라고 요청하면 일하시는 중국분들 너무 불친절해여 이번엔 바빠죽겠는데 야채 그만좀 달라고 하던데 사장님이 좀 아셨음 좋겠습니다
32040023,공릉닭한마리한식,,,오늘 이동네 저녁기온 32도인데 음식점 안보다 바깥이 더 시원함. 이 집 다닌지 15년쯤 됐고 오랜만에 온건데 최악. 예전에는 여름에 진짜 시원해서 에어컨 바람 덜 오는 테이블로 앉을 정도였는데. 오늘 방문하니 이 날씨에 음식점 문을 활짝 열어두고 있고. 에어컨 냉기는 매장 안으로 퍼지지를 못함. 먹으면서 온몸에 땀이 폭포처럼 흐름. 우리보다 나중에 온 젊은 사람들은 그 중 한명이 여기 맛집이라고 일부러 찾아서 온 모양인데 찜통이라 너무 불쌍했음. 직원 아줌마도 찜통에서 불쌍함. 거의 뭐 친절을 바랄만함 분위기도 아님. 음식 끓이는 버너 불은 완전 지옥불임. 사장은 이런 걸 알고 계시는지 모르겠음. 냉방 견적 새로 보셔야하는거 아닌지
32040023,공릉닭한마리한식,,,오랜만에 칭구랑 닥칸마리 먹었는데 예전에도 외국인분들 계셨지만 지금은 외국 관광객분들 맛집 성지네영 ㄷㄷㄷ 맛은 뭐 여전히 마싯습니당 ㅋㅋ :) 냠냠냠냠
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
32040023,공릉닭한마리한식,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구, 지인・동료"
32040023,공릉닭한마리한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
32040023,공릉닭한마리한식,,,점심에 방문예약 없이 이용대기 시간 10분 이내 친목지인・동료
32040023,공릉닭한마리한식,,,점심에 방문예약 없이 이용대기 시간 10분 이내 친목지인・동료
32040023,공릉닭한마리한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장
32040023,공릉닭한마리한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
32040023,공릉닭한마리한식,,,진짜 무조건 가세요!!!❤️❤️❤️❤️❤️
32040023,공릉닭한마리한식,,,진짜 무조건 가세요!!!❤️❤️❤️❤️❤️
32040023,공릉닭한마리한식,,,🧡저녁에 올 때 줄 서지만 이번에 점심때 좀 늦게 왔다. 우리가 갈 때 손님은 항상 한국인보다 외국인이 많다.
32040023,공릉닭한마리한식,,,🧡저녁에 올 때 줄 서지만 이번에 점심때 좀 늦게 왔다. 우리가 갈 때 손님은 항상 한국인보다 외국인이 많다.
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,가족끼리 점심먹으러 왔는데 푸짐하고 맛있게 잘 먹었어요~^^♡
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,대학 새내기때부터 자주 가는 단골집이에요! 칼국수가 무한리필이라 너무 좋고 국물 존맛이에요. 볶음밥도 너무 맛있어요
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,맛있고 가성비 좋아요 신촌에서 샤브칼국수 드시고 싶으신 분들께 추천합니다~
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,몇년 전부터 계속 오는 맛집인데 역시 변함없이 너무 친절하시고 양도 많고 맛있습니다!!
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,"무한리필되는 칼국수, 넉넉한 양의 버섯과 미나리 그리고 고기 그리고 깔끔하게 매콤한 맛."
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,비 오는 날 얼큰하게 먹기에 딱 좋아요 ❤️‍🔥 매장도 깔끔하고 좋습이다 ㅎㅎ
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,비가 와서 뜨끈한 국물 먹고싶어서 왔어요~ 매장 깔끔하고 샤브샤브도 아주 맛있어요~! 잘먹었습니다!
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,"빨강과 하양 적절한 마블링의 소고기를 넣습니다. 가볍게 익힌 뒤 먹습니다. 고기가 질기지 않고 야들야들해 먹기 좋습니다. 버섯과 미나리 향이 깊게 베어 풍미가 좋습니다. 제가 자랑하는 맛집이라고 지인들을 데려왔는데, 다들 만족하는 표정이라 흐뭇했습니다. 소고기를 다 먹고 이제 면 차례입니다. 어느 정도 익혀진 면이 곧장 냄비로 투하됩니다. 다시 살짝 보글보글 올라오면 바로 먹어도 됩니다. 참고로 이곳 칼국수는 무한리필입니다. 돈 없는 대학생들, 직장인들 모두 배터지게 먹을 수 있습니다. 맛도 좋은데 무한이라니 참 좋은 곳입니다. 2번 리필해 먹었습니다. 3번째 리필을 하고 싶었지만 지인들이 배부르다며 볶음밥 먹자고 말렸습니다. 볶음밥의 밥은 보리밥입니다. 직원이 냄비 속 국물을 덜어내고 다대기를 넣어 볶아"
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,사장님도 너무 친절하시고 음식도 바로 나와서 더욱 재방문 의사🆙
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,샤브샤브 시키면 칼국수무한리필에 볶음밥에는 참기름도 넉넉하게 넣어주십니당 넘맛있어요 다음에 또올게용 🥰🥰
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,신촌 버섯칼국수 맛집!! 걸쭉하지 않은 국물이 특징이구 국수가 무한리필이라 좋음. 인원수대로 주문하면 되는데 미나리+버섯+칼국수(무한)+볶음밥까지 포함 1인 만천원이면 다른 버섯칼국수 가게에 비해서 합리적인 가격이라고 생각한다 늦게까지 영업하는 것도 좋고 새내기때부터 다녔던 곳인데 오래오래 장사해줬으면~!
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,신촌에 유명한 미나리버섯칼국수 집이 있다고 해서 방문했습니다!! 가격이 착하고 양도 꽤 많아서 2인이서 정말 배부르게 먹었네요😄 등촌샤브칼국수st 좋아하시는 분들은 무조건 좋아할 맛입니다💛🤍❤️
1018581179,"김광석신촌칼국수 본점칼국수,만두",,,여자친구랑 샤브샤브가 너무 먹고싶어서 찾아서 왔는데 와... 맛도 너무 맛있고 무엇보다 가격도 너무 착해요 ㅠㅠ
