가게ID,가게명,평점,날짜,리뷰내용
1735184575,경리단 하루,,,"고기도 두툼하고 튀김이 바삭해서 너무 맛있었습니다! 왕돈까스 답게 돈까스도, 샐러드도 양이 많아서 한끼 배부르게 먹을 수 있는 곳이었습니당👍"
1735184575,경리단 하루,,,늦은 저녁에 배가 고파서 방문했는데 새로 오픈한 곳인지 넓고 깔끔하고 분위기가 좋아요☺️ 직원분도 너무 친절하셔서 처음부터 기분 좋게 식사할 수 있었어요 음식 종류의 선택 폭도 넓고 하이볼 종류도 많아서 다음에 술 마시러도 방문해야겠어요! 😍
1735184575,경리단 하루,,,매장 넓고 너무 씨끄럽지 않아서 모임하기 정말 좋았어요 ㅋㅋ
1735184575,경리단 하루,,,바로 입장 가능하고 좋운 시간 좋은 장소에서 즐겁게 보냈습니다~!
1735184575,경리단 하루,,,바로입장해ㅛ구 매장도 인테리어도 좋고 너무 넓어서 좋아요! 맛있습니다👍👍
1735184575,경리단 하루,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1735184575,경리단 하루,,,"안녕하세요! 소중한 후기 남겨주셔서 정말 감사합니다 😊 쾌적한 공간에서 즐거운 시간 보내셨다니 저희도 기쁩니다. 닭볶음탕과 스테이크, 맛있게 드셨다니 정말 뿌듯하네요! 👍 앞으로도 변함없는 맛과 서비스로 고객님들을 만족시켜 드릴 수 있도록 노력하는 '하루'가 되겠습니다! 다음에 또 방문해 주세요! ❤️"
1735184575,경리단 하루,,,"안녕하세요! 😊 고객님, 저희 '하루'의 모듬 돈까스를 맛있게 드셨다니 정말 기뻐요! 바삭한 돈까스 옷과 깨끗한 기름에 신경 쓴 보람이 있네요. 👍 맛있게 드셨다는 말씀에 힘이 불끈 솟아요! 앞으로도 더욱 맛있는 메뉴로 고객님들을 행복하게 해드릴 수 있도록 노력하겠습니다! ❤️"
1735184575,경리단 하루,,,"안녕하세요! 😊 고객님, 저희 가게 '하루'를 찾아주시고 칭찬까지 해주시니 정말 기뻐요! 냉모밀, 돈까스, 카레 세 가지 메뉴를 모두 맛보셨다니, 정말 훌륭한 선택이셨어요! 👍 더운 날씨에 시원한 냉모밀은 정말 최고죠! 맛있게 드셨다니 다행입니다! 다음 지인분들과의 모임에도 저희 '하루'를 찾아쥬세요🙇‍♀️ 앞으로도 맛있는 음식과 친절함으로 보답하는 '하루'가 되겠습니다! ❤️"
1735184575,경리단 하루,,,"안녕하세요! 😊 저희 ""하루""에 방문해 주셔서 정말 감사합니다. 매장의 넓고 깔끔한 분위기를 즐기셨다니 기쁘네요! 저희는 항상 신선한 재료로 준비한 사시미와 다양한 메뉴로 고객님의 기대에 부응할 수 있도록 노력하고 있어요. 다음에도 더욱 만족스러운 서비스와 맛으로 찾아뵙겠습니다. 소중한 리뷰 남겨주셔서 진심으로 감사드리며, 또 뵙길 기대할게요! ❤️"
1735184575,경리단 하루,,,양도 많고 반찬등 구성도 알차서 좋았습니다. 💙 하루카레도 밥과 양도 많고 간도 딱 맞아서 배고픈 저녁시간에 맛있게 먹었습니다. 다음에 또 겅리단길 오면 다시 방문할 예정입니다. 😁
1735184575,경리단 하루,,,오늘 처음 방문해봤는데 우삼겹 숙주볶음 너무 맛있어요!! 하이볼도 제 취향이라서 다음에도 놀러오면 방문할 것 같아요!! 사장님도 친절하시고 매장도 깨끗해서 좋아요ㅎㅎ😋
