가게ID,가게명,평점,날짜,리뷰내용
37906694,준네양꼬치양갈비,,,가게에 대한 애정이 느껴졌습니다! 세트메뉴에 곁들여져 나오는 탕도 맛있었어요!! 선선해지면 다시 방문하려구요😍
37906694,준네양꼬치양갈비,,,고기 질 좋고 너무 맛있음 ㅠㅠㅠㅠㅠㅠㅠㅠ
37906694,준네양꼬치양갈비,,,너뮤맛있게 흡입해서 사진을 못찍음 꿀맛
37906694,준네양꼬치양갈비,,,두번째 방문인데 오늘은 둘이서 16만원치 정도 먹었네요😅 유명해서 익히 가봐야지 가봐야지 하다가 방문한건데 한번 갔을 때 너무 인상깊어서 재방문~! 전국에 있는 양꼬치 집들중 제일 맛있고 청결하고 친절한 업장이 아닐까 싶습니다 ㅎㅎ 보통 양꼬치집 가면 기름때 많고 미끌거리는데 준네는 전혀 안 그래요- 양고기는 어떤가요~ 잡내없고 부드럽고 야들야들하고! 숯을 아낌없이 넣어주셔서 정말 빨리 익어요. 리뷰에 다들 용머리 마라탕이나 토마토탕을 주문하셔서 저희도 주문해봤는데 진짜 짱.. 살면서 먹은 마라탕중에 젤 맛있었어요 심지어 홀에계신 사장님이 계속~ 주의깊게 신경 써주십니다. 너무 세심하시고 섬세하세요 ㅜㅜ! 이런업장 없습니다.. 여러분 꼭 가세요💖 리뷰 더 쓰고 싶은데 400자 제한이라 요기까지만....!
37906694,준네양꼬치양갈비,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트
37906694,준네양꼬치양갈비,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37906694,준네양꼬치양갈비,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
37906694,준네양꼬치양갈비,,,"부위별로 맛볼 수 있는 세트 구성 좋네요. 곁들인 찬들도 좋았고 양도 푸짐하고, 꿔바로우 맛도 좋았습니다."
37906694,준네양꼬치양갈비,,,"사진처럼 현지 느낌이 물씬 나고 매장은 작은 편이에요. 준네양세트를 주문했고 직접 구워먹어야해요. 양고기의 구수한 맛이 잘 살아있고 부위마다 식감도 달라서 술술 잘 들어가요. 토마토계란탕을 선택했는데 더 깔끔한 계란탕 맛이라 기름진 속을 잘 달래주고 생각보다 깊어서 촤소 6그릇은 가능해요. 개인적으로는 간장양념이 최애였고 오이무침이나 참나물무침, 고수무침이랑 같이 먹어서 더 안질리게 먹었어요. 볶음밥은 고슬고슬한 느낌보다는 촉촉한데 야채와 함께 달달한 맛이 양고기랑 잘 어울리고 양도 꽤 많아요. 꿔바로우도 바삭한 튀김옷에 살짝 새콤한 소스가 딱 기대한 맛이였어요. 사장님이 혼자서 세팅하시느라 처음에 시간은 좀 걸릴 수도 있지만 맛은 보장되있어요!"
37906694,준네양꼬치양갈비,,,생각보다 좁은 곳이어서 놀랐지만 양냄새 하나도 안나고 여자 3명이서 3-4인용 시켰는데 진짜 질릴정도로 먹었습미다 ㅋㅋ 완전 찐중국느낌 양꼬치도 너무 맛있었어요 !
37906694,준네양꼬치양갈비,,,아우라가 넘치는 서버의 손에서 정형이 된 부위들이 척척 손님 상에 오른다. 특수부위는 쫄깃하면서 육질이 노골적이다. 숯향과 육즙이 자유롭게 입 안에서 퍼진다.
37906694,준네양꼬치양갈비,,,오랜만에 갔는데 식기류가 다 바껴서 더깔끔해보였고 양꼬치 찍어먹는 노른자소스도 생겨서 맛있었어용!!!
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임친척・형제
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
37906694,준네양꼬치양갈비,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
37906694,준네양꼬치양갈비,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
37906694,준네양꼬치양갈비,,,준네 맛있는 준네 양꼬치… 한 3-4년 전에 자주 가다가 오랜만에 갔는데 메뉴가 리뉴얼 됐네요?! 여기서 맨날 양꼬치 마라탕만 먹다가 양고기 처음인데 진짜 살살 녹아요 ㅜㅜ 찾아오기가 살짝 힘들지만 준네 마라탕이 진짜 미친듯이 생각나는 날이 있습니다… 준네 마싯다…
37906694,준네양꼬치양갈비,,,진짜 개쭌맛존맛 무조건 여기가세용 마라탕 볶음밥 꿔바로우 양꼬치 새우꼬치 다 개존맛 맛없는게 하나도없음 칭따오맥주말고 무조건 하얼빈으로 시키세요👍🏻👍🏻👍🏻🥺
37906694,준네양꼬치양갈비,,,찾아주시고 감사한리뷰까지~다시한번 고맙습니다! 새해복많이받으세요~준. 네!🫡
37906694,준네양꼬치양갈비,,,찾아주시고 고마운 연수증리뷰에 다시한번 감사드립니다 항상 최선을다하여 엵심히하겠습니다 늘~행복만하세요! 준. 네!🫡
37906694,준네양꼬치양갈비,,,"찾아주시고 정성스러운 리뷰에 다시한번 감사드립니다 늘~행복,건강만하시고 을사년! 새해복많이받으세요!🙇‍♀️🙇🙇🏻‍♂️"
37906694,준네양꼬치양갈비,,,한국에서 중국여행을 하는 느낌입니다. 지대로 된 양꼬치 드시고 싶은 분들께 적극 추천합니다. 양꼬치 냄새도 안나고 느므느므 맛있어요^^
37906694,준네양꼬치양갈비,,,"🍅’토마토계란탕‘맛있죠~요즘 부쩍 토,계탕이 많이나가네요…그전에는 마라탕이 압건이었는데….고마운리뷰 다시한번 감사드립니다!🙏"
