가게ID,가게명,평점,날짜,리뷰내용
1052586822,"끽밀카페,디저트",,,"1층은 우드톤에 바 형식으로 들어오자마자 차분한 느낌이 들었고, 2층은 서까래와 소나무로 한옥풍 인테리어가 잘 나는 고급진 느낌의 공간이었어요"
1052586822,"끽밀카페,디저트",,,"구움 과자 종류가 정말 맛있고ㅌ 분위기도 한국적이고 전통적인 느낌이 강해서 외국인 친구들한테 너무 추천하고 싶은 카페였습니다 ❤️‍🔥 이태원이랑 제일 잘 어울리는 카페가 아닐까 싶어요. 녹차 바스크 치즈케익은 한쪽 면을 크림브륄레처럼 만들어 주셔서 식감이 좋았고 휘낭시에는 단단하면서도 꽉찬 느낌이 좋았어요. 드립커피도 맛있게 잘 내려 주셔서 즐거운 커피타임 보낼 수 있어서요. 2층 공간에 창가 좌석은 정말 분위기 있고, 단체석도 있어서 다함께 방문하기에도 좋은 것 같아요. 다음에는 빙수 먹어보려구요."
1052586822,"끽밀카페,디저트",,,깔끔하고 사장님 친절하시고 분위기도 좋아요!! 디저트랑 커피 다 맛있게 잘 먹었습니다!
1052586822,"끽밀카페,디저트",,,"디저트가 하나같이 다 맛있어요ㅠ 천천히 얘기하면서 오래 먹으려고 했는에 순삭해버렸습니다,,, 바치케는 단면을 카라멜라이징 해주셔서 겉바속녹🥹🫶 휘낭시에도 맛있었어요 bbb 분위기도 아늑하고 좋아서 데이트하기에 최곱니당"
1052586822,"끽밀카페,디저트",,,말차라떼 담백한 맛이 너무 좋아요! 치즈케이크는 와…중간에 치즈 흘러내리는거 대박이고요 초코케이크는 퐁실뽕실하고 위에 크림은 아니고 젤리도 아닌 무언가가 있는데 그것도 맛있어요!! 휘낭시에도 짱입니다!
1052586822,"끽밀카페,디저트",,,말차라떼가 너무 먹구싶어서 이태원카페 끽밀에 다녀왔어요!! 역시 너무 달지도 않고 딱 맛있고 말차라떼에 마차 바치케는 정말 잘어울린답니다 ㅎㅎ 휘낭시에도 맛있어요!
1052586822,"끽밀카페,디저트",,,무엇보다 음료랑 디저트가 너무너무 맛있어서 진짜 행복했어요! 특히 사르르 녹는 바스크치즈케이크는 진짜 말잇못! 너무너무 맛있는 곳이라 추천드려요오
1052586822,"끽밀카페,디저트",,,미쳐부러요. 대로변에 있어서 찾기도 쉽고 이층에 자리도 널찍하니 이태원 거리 뷰도 좋네요. 근데 여기 진가는 바스크 치즈케크네요 핵존맛 뭔 커스타드 크림이 줄줄 흘러요 적극추천합니다
1052586822,"끽밀카페,디저트",,,바스크치크케익은 처음 봐서 주문했는데....치즈가 흘러 넘치고 너무 맛있어요. 소금빵도 부드럽네요!
1052586822,"끽밀카페,디저트",,,밖에서 본 것보다 훨씬 조용하고 분위기 좋고 자리 넓습니다!
1052586822,"끽밀카페,디저트",,,"시그니처 메뉴로 추정되는 스트로베리 말차라떼도 진한 말차에 초코시럽, 딸기까지 더해져 맛도 풍부하고 밍밍하지 않아서 좋았어요 !"
1052586822,"끽밀카페,디저트",,,용산에 볼일있어 갔다가 가까워서 들러봤어요 바스크 치즈케이크 짱맛. 말차라떼 친구가 잘먹더라구요 ㅋㅋ 여기 케이크 진짜 맛있움..안먹으면 보석상이 손해 담에 또갈래요
1052586822,"끽밀카페,디저트",,,"이태원 끽밀에서 오렌지주스와 수박주스를 마셨는데, 과일 본연의 맛이 살아있어 정말 상큼했어요."
1052586822,"끽밀카페,디저트",,,"이태원 카페 중에 재방문하고싶은 디저트맛집 발견! 끽밀에서 케이크, 휘낭시에, 소금빵, 앙버터, 러스크 다양한 디저트 먹으면서 여유부리며 쉬어가기 좋아요. 고소한맛 아메리카노도 완전취저 디저트랑 잘 어울려요!"
1052586822,"끽밀카페,디저트",,,이태원에 한옥카페가 생겼다고 해서 가보았는데 분위기는 물론 디저트랑 음료가 너무 맛있더라구요 ㅎㅎ
1052586822,"끽밀카페,디저트",,,이태원역 근처라 찾아가기 편리하고 일이층 느낌이 완전 달라서 더 좋았어요. 2층은 전통적인 느낌이 강하고 창가자리 뷰도 좋더라구요.
1052586822,"끽밀카페,디저트",,,"이태원을 걷다가 소나기 피하려고 들어왔던 찻집인데 신기하게 맥주가 있었습니다. 분위가.. 끝내줬어요 ! 2층에는 창가에 좌식 자리도 있고, 맥주 정말 시원하게 잘 나옵니다. 힐링과 휴식에 아주 적합한 가게구요, 초코케잌이 정말 맛있어 보였는데 아쉽게 다음에 먹기로 했습니다. 커피를 Drip 종류로 시켜 보았는데 아주 부드럽고 맛있었습니다. 이태원 큰 길 가에 있습니다. 추천."
1052586822,"끽밀카페,디저트",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이연인・배우자, 친구"
1052586822,"끽밀카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1052586822,"끽밀카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1052586822,"끽밀카페,디저트",,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상친구, 반려동물"
1052586822,"끽밀카페,디저트",,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
1052586822,"끽밀카페,디저트",,,종류가 많아서 매번 올 때마다 다른 종류 도전 중입니당🐷
1052586822,"끽밀카페,디저트",,,지인추천으로 오게됐는데 이태원에 이런카페가 있는줄 몰랐네요. 고즈넉하고 좋아요 여긴 다 정신없는 곳만 있을줄 알았는데 럭키 ㅋㅋ.. 나만알고싶은 곳인데 사장님이 넘 친절하셔서 리뷰남깁니다 번창하셔요 ~!
1052586822,"끽밀카페,디저트",,,"치즈캐이크 사진에 반해 온 카페에요. 마차바스크 치즈 케이크를 주문했는데 너무 달지 않으면서, 안에는 치즈가 좌르르 녹아서 나와요 🧀😘 케이크 표면을 데워 주시나봐요 크림브륄레처럼 단단 달달 한 부분이 완전 킥입니다 ✨ 정말 케이쿠 먹으러 왔는데 가게가 넓지는 않아도 한국식으로 꾸며져있어서 조용하고 고즈넉해서 너무 편하게 쉴 수 있었어요. 저 또 소나무를 엄청 좋아하거든요 🌲 휘낭시에는 무조건 초코 !!!! 무조건 소금초코!!!! 너무 맛있어요! 원래 음료도 다른 거 마시고 싶었는데 디저트랑 어울리려면 또 아메리카노 마셔줘야하잖어요 .. 다음에는 수박주스 먹으러 와야겠습니다 🍉"
1052586822,"끽밀카페,디저트",,,치즈케이크에 크림이 너무 부드럽구 미쳤어요 .. 그리고 위에 브륄레가 있어서 너무 맛있어서 짱이에요 ㅠㅠ 소금빵도 맛있어요 !! 카페가 크고 분위기가 너무 아늑해서 최고입니당 ㅎㅎ
1052586822,"끽밀카페,디저트",,,카페의 분위기가 너무 여유로워서 맛 뿐만 아니라 공간에서 주는 만족감도 꽤 큰 카페였어요🩷
1052586822,"끽밀카페,디저트",,,케이크 휘낭시에가 너무 맛있는 #이태원카페 #이태원맛집 입니다 :)
1052586822,"끽밀카페,디저트",,,휘낭시에와 망고 밀크티 케이크가 특히 독특했어요!✨️♥️먹어보니까 정말 인기 있는 이유를 알겠더라고요!
1052586822,"끽밀카페,디저트",,,흐아아ㅏㅏ 비주얼도 너무 예쁘고 핸드드립 커피도 베이커리류랑 짱 잘어울려요👍🏻👍🏻👍🏻 휘낭시에도 맛집 인정이에요! 겉바속촉 미쳤어욯ㅎㅎㅎ 2층에 자리가 있어 아늑하게 머무르기 좋고~ 맛도 있고~ 재방문각이에요😆🙌🏻
1729501476,도나르베이커리,,,공간이 정말 예쁘고 라자냐가 진짜 맛있어요 ~ 샌드위치 재료도 특별해서 브런치 먹으러 오기 최고에요
1729501476,도나르베이커리,,,들어가면 아담한 공간에 따뜻한 가구들과 짙고 밝은 톤의 포인트 인테리어가 경쾌하고 좋았습니다. 적당한 조도에 세심한 응대는 가게의 분위기와 조화로웠습니다. 음식은 대구해산물 스프와 클래식 라자냐 먹었어요. 잘 익은 해산물들의 식감과 향긋한 향이 은은하게 올라오는 스프가 개성괘 부드러움이 있는 재밌는 맛이었고 클래식 라자냐는 더하고 뺄 것 없이 온전하고 균형있는 디쉬였습니다. 다음엔 꼭 빵도 잔뜩 먹어보려구요. 또 올게요! :-)
1729501476,도나르베이커리,,,메뉴가 특별한게 많아서 뭐 먹을까 고민 많이했네요~~~ 잣스프 라자냐 감자샌드위치 모두 정말 맛있게 잘 먹었어요! 빵도 넘 맛있어서 추가로 구매했고 담에 이태원 오면 또 방문해서 다른메뉴도 먹어보려고요!
1729501476,도나르베이커리,,,빵도 파스타도 다 너무 맛있어요 🥹 담에 와서 스프 먹어보려구요 !!
1729501476,도나르베이커리,,,빵이 진짜 맛있어요!😋 브런치 메뉴도 다양한데 먹고싶은 것도 많아서 고르기가 어렵더라구요ㅎㅎ 욕심내서 많이 주문했는데 전부 다 완벽했어요🥖🍞🥐 예약하고 편하게 이용했고 직원분도 친절하셨습니다! 무엇보다 바게트 샌드위치는 꼭 드세요🫶🏻
1729501476,도나르베이커리,,,"빵이 특별히 맛있는 이태원 브런치 카페라고 해서 방문했어요, 역시나 샌드위치가 진짜 맛있는데 특히 깜빠뉴가 바삭바삭하니 너무 제 스타일이더라구요🫶🏻 게다가 라자냐는 입에서 녹아내리는게 이런 라자냐 처음이에요..강추합니다☺️"
1729501476,도나르베이커리,,,사장님 너무 친절하시고 단골도 엄청 많으실것 같고 음식 양도 너무 많고 콜키지도 프리고 아니 대체 이런 곳이 이태원에 있는 게 너무 놀라울 정도… 지금 400자 꽉 채워서 써도 리뷰 용량 부족할 정도…
1729501476,도나르베이커리,,,"생각보다 작고 아늑한 베이커리+식당. 저는 잣 수프 (하프사이즈) 소금빵 추가, 파니니 (포카치아), 그리고 시저 샐러드 주문했어요. 음식이 준비된 순서로 나오고 정말 맜있어서 모든 수프나 샌드위치를 맛보고 싶었어요. 정말 신선한 재료와 어떻게 그 재료들이 어울리는지 아는 사장님! 사장님도 친절하면서 직원분도 친절 🤗🤗"
1729501476,도나르베이커리,,,쉬는날 주말이면 생각도 없이 도나르로 향하게 된다.....
