가게ID,가게명,평점,날짜,리뷰내용
13072422,걸구네한식,,,5시 쪼금 지나 들어갔는데 조금만 늦었으면 웨이팅할 뻔 했어요! 이태원 맛집 인정 삼겹살 구워주셔서 너무 편하게 잘 먹어꼬 막창도 이릏게 부드러운 맛있는 막창 오랜만에 먹었어요 ㅠ.ㅠ 술이 술술 들어가는 분위기 맛집 인정 또 오기로 우리끼리 약속하고 나오는 식당
13072422,걸구네한식,,,"If you are interested in Korean food such as makchang or samgyeopsal, visit here."
13072422,걸구네한식,,,"걸구네 건물 리모델링 전, 오픈 초부터 다닌 맛집이에요ㅎㅎ 오랜만에 방문했어요❤️"
13072422,걸구네한식,,,"걸구네는 10년 넘는 단골입니다. 돼지껍데기는 여기서 밖에 안 먹어요! 제일 맛있는 메뉴는 삼겹살, 돼지껍데기, 막창!"
13072422,걸구네한식,,,걸구네는 정말 최고에요! 오랜단골인데 저녁먹으러 자주가요
13072422,걸구네한식,,,고기 맛있게 잘 구워 주셔서 편하고 좋아요 삼겹 막창 맛집
13072422,걸구네한식,,,고기랑 파채랑 김치랑 콩나물이랑 같이 상추랑 싸먹으면 진짜 넘 맛있어요 !
13072422,걸구네한식,,,껍데기는 후추가 너무 많이 들어간 낫이 남 ㄴ맵..ㅠ
13072422,걸구네한식,,,두번째 방문이에요! 구워주셔서 좋구 막창이랑 삼겹살 시켜먹었는데 둘 다 맛있었어용 흡입하느라 사진이 없네요ㅜㅜ 맛있게 잘먹었습니당
13072422,걸구네한식,,,먹으면 구워진 김치랑 같이 맛있게 먹고 갈 수 있었어요!!
13072422,걸구네한식,,,바베큐 시리즈들 넘 맛있고 특히 막창 냄새없고 고소합니다 가격도 싼편이고 다들 친절하세요 서비스로 주시는 계란찜 정말 맛있었어요 이태원맛집 인정합니다
13072422,걸구네한식,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
13072422,걸구네한식,,,밤에 방문예약 없이 이용대기 시간 바로 입장친목친구
13072422,걸구네한식,,,삼겹살은 살짝 누린내 나지만 맛있고 여기는 막창이 존맛탱이에요. 이태원가면 꼭 들르는 곳
13072422,걸구네한식,,,오래된 단골이에요! 이태원에서 친구들 만날 때는 주로 걸구네가요. 정말 맛있음!
13072422,걸구네한식,,,이태원 구워주는 삼겹살 걸구네 냐아암!
13072422,걸구네한식,,,이태원 맛집 🤗 삼겹살 맛있지만 막창 꼭 드셔 보세요~~ 배가 불러도 막창은 입에 계속 들어감 ㅋㅋㅋ
13072422,걸구네한식,,,이태원역에서 가깝고 삽겹살과 껍데기를 맛있게 먹을 수 있는 곳입니다^^
13072422,걸구네한식,,,"저녁에 방문예약 없이 이용대기 시간 10분 이내 나들이, 일상친구"
13072422,걸구네한식,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목연인・배우자, 친구, 혼자"
13072422,걸구네한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트지인・동료
13072422,걸구네한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
13072422,걸구네한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13072422,걸구네한식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13072422,걸구네한식,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
13072422,걸구네한식,,,직접 고기를 구워줘서 편하고 좋았어요..고기 질은 그럭저럭! 막창보다는 삼겹살이 더 나은거 같아요..12시반에 마감하니 참조하세요~^^
13072422,걸구네한식,,,초벌되서 나와서 그런지 먼가 빨리 먹을수 있고 맛잇고 좋네요
13072422,걸구네한식,,,친구가 이태원에서 군 생활 하던 시절 자주 갔다고 해서 방문했던 걸구네 ! 가격이 이태원인 것을 감안하면 가성비도 괜찮고 고기 질도 좋았습니다. 성인 남자 기준으로 삼겹살 3인분에 막창 추가해서 드시면 딱 적당할 것 같아요. 그리고 볶음밥이 정말 맛있으니 꼭 드셔보길 추천드려요!!! 이태원에서 고깃집으로 험블하게 가고싶다! 그러면 이곳 걸구네입니다!!!
13072422,걸구네한식,,,테라스 분위기 좋아보여서 찾아서 간건데 1층 자리 거의 다 찼는데도 테라스 안 보내주셨어요 ㅎㅎ 앉아마자 5분만에 자리 다 차서 테라스 올라가시더라고요
1954673280,돈막촌,,,ㅇ하우 너무 맛있어요 이태원 삼겹살중 최고 인듯 합니다..! 고기 질이 진짜 육즙 좔좔 김치까지 .. 열심히 비교분석해서 온 보람이 있어요!! 친절은 말할것도없습니당!잘먹고가요~
1954673280,돈막촌,,,ㅇ하우 너무 맛있어요 이태원 삼겹살중 최고 인듯 합니다..! 고기 질이 진짜 육즙 좔좔 김치까지 .. 열심히 비교분석해서 온 보람이 있어요!! 친절은 말할것도없습니당!잘먹고가요~
1954673280,돈막촌,,,ㅇ하우 너무 맛있어요 이태원 삼겹살중 최고 인듯 합니다..! 고기 질이 진짜 육즙 좔좔 김치까지 .. 열심히 비교분석해서 온 보람이 있어요!! 친절은 말할것도없습니당!잘먹고가요~
1954673280,돈막촌,,,강원도 출신이라 막국수 맛에 까다로운 편인데 고향이 생각나는 매우 만족스러운 맛이었습니다💕
1954673280,돈막촌,,,강원도 출신이라 막국수 맛에 까다로운 편인데 고향이 생각나는 매우 만족스러운 맛이었습니다💕
1954673280,돈막촌,,,강원도 출신이라 막국수 맛에 까다로운 편인데 고향이 생각나는 매우 만족스러운 맛이었습니다💕
1954673280,돈막촌,,,고기도 신선하고 막국수는 직접 뽑으신다고 하시네요 맛있게 먹고 갑니다 ~
1954673280,돈막촌,,,고기도 신선하고 막국수는 직접 뽑으신다고 하시네요 맛있게 먹고 갑니다 ~
1954673280,돈막촌,,,고기도 신선하고 막국수는 직접 뽑으신다고 하시네요 맛있게 먹고 갑니다 ~
1954673280,돈막촌,,,고기도 직원분이 잘 구워주시고 어떻게 먹어야지 맛있는지도 친절하게 알려주셔서 잘 먹고 갑니다 !
1954673280,돈막촌,,,고기도 직원분이 잘 구워주시고 어떻게 먹어야지 맛있는지도 친절하게 알려주셔서 잘 먹고 갑니다 !
1954673280,돈막촌,,,고기도 직원분이 잘 구워주시고 어떻게 먹어야지 맛있는지도 친절하게 알려주셔서 잘 먹고 갑니다 !
1954673280,돈막촌,,,"고기도 직접 구워주셔서 편하게 먹었습니다~~육즙 팡팡하고 된장찌개, 막국수, 볶음밥까지 다 너무 맛있었어요 ㅎㅎ"
1954673280,돈막촌,,,"고기도 직접 구워주셔서 편하게 먹었습니다~~육즙 팡팡하고 된장찌개, 막국수, 볶음밥까지 다 너무 맛있었어요 ㅎㅎ"
1954673280,돈막촌,,,"고기도 직접 구워주셔서 편하게 먹었습니다~~육즙 팡팡하고 된장찌개, 막국수, 볶음밥까지 다 너무 맛있었어요 ㅎㅎ"
1954673280,돈막촌,,,고기도 직접 구워주셔서 편하게 먹었어요 감사합니다🥹🩷 그리고 육젓?암튼 찍어먹는 소스 나오는디
1954673280,돈막촌,,,고기도 직접 구워주셔서 편하게 먹었어요 감사합니다🥹🩷 그리고 육젓?암튼 찍어먹는 소스 나오는디
1954673280,돈막촌,,,고기도 직접 구워주셔서 편하게 먹었어요 감사합니다🥹🩷 그리고 육젓?암튼 찍어먹는 소스 나오는디
1954673280,돈막촌,,,고기도 직접 구워주시고 밑반찬도 정갈하게 나와서 너무 맛있었어요!
1954673280,돈막촌,,,고기도 직접 구워주시고 밑반찬도 정갈하게 나와서 너무 맛있었어요!
1954673280,돈막촌,,,고기도 직접 구워주시고 밑반찬도 정갈하게 나와서 너무 맛있었어요!
1954673280,돈막촌,,,국내산 한돈을 280시간 솔잎 숙성하여 손님상에 내어드리고 있기에
1954673280,돈막촌,,,국내산 한돈을 280시간 솔잎 숙성하여 손님상에 내어드리고 있기에
1954673280,돈막촌,,,국내산 한돈을 280시간 솔잎 숙성하여 손님상에 내어드리고 있기에
1954673280,돈막촌,,,너무 자주왔는지 사장님이 알아봐주셔서 감사하고 조금은 창피한..🤭
1954673280,돈막촌,,,너무 자주왔는지 사장님이 알아봐주셔서 감사하고 조금은 창피한..🤭
1954673280,돈막촌,,,너무 자주왔는지 사장님이 알아봐주셔서 감사하고 조금은 창피한..🤭
1954673280,돈막촌,,,녹사평역 근처 돼지고기 맛집!!!! 오겹살 너무 쫄깃하고 맛있어요!!! 사이드메뉴 된장술밥이랑 막국수도 별미입니다. 한강진/이태원/녹사평 가시면 꼭 들리셔야할 맛집입니다 :)
1954673280,돈막촌,,,녹사평역 근처 돼지고기 맛집!!!! 오겹살 너무 쫄깃하고 맛있어요!!! 사이드메뉴 된장술밥이랑 막국수도 별미입니다. 한강진/이태원/녹사평 가시면 꼭 들리셔야할 맛집입니다 :)
1954673280,돈막촌,,,녹사평역 근처 돼지고기 맛집!!!! 오겹살 너무 쫄깃하고 맛있어요!!! 사이드메뉴 된장술밥이랑 막국수도 별미입니다. 한강진/이태원/녹사평 가시면 꼭 들리셔야할 맛집입니다 :)
1954673280,돈막촌,,,"녹사평역3번출구에서 도보로 3분정도 거리에 위치한 녹사평역 맛집 돈막촌은 280시간동안 숙성과정을 거치면서 촉촉하니 부드러운 식감과 함께 잡내 전혀 없이 진한 풍미와 육즙이 일품인 이태원 고깃집으로 주변 직장인들 사이에 소문난 삼겹살 목살 맛집이네요. 물론 평일에는 녹사평역 주변 직장인들 사이 막국수 맛집으로 점심 식사 즐기기에 괜찮고, 퇴근길에는 육즙 풍성하고 진한 감칠맛이 일품인 게 이태원 회식장소 추천해드리기에 딱이네요. 마치 한우 마블링처럼 촘촘하고 화려한 비주얼의 선홍빛깔 숙성 삼겹살이랑 목살에 풍성한 고기풍미 더해진 된장찌개와 야들야들하니 맛있는 동치미 막국수 그리고 볶음밥까지 풍성하고 화려한 마무리 식사까지 챙겨줄수 있으니 단체 모임 하기에도 충분한 용산 맛집이네요."
