가게ID,가게명,평점,날짜,리뷰내용
978255818,"야상해딤섬,중식만두",,,"•어향가지, 새우볶음밥, 부추만두, 동파육 시켰는데 이중에서 어향가지+새우볶음밥 조합 강추요! 정말 맛나요❤️"
978255818,"야상해딤섬,중식만두",,,가지 극혐해서 안먹는데 어향가지가 유명하다고해서 먹어봤는데 먹을만 했어요.
978255818,"야상해딤섬,중식만두",,,"그리고 더운데 문도 열어놓으셔서 먹다가 너무 더워서, 다 못먹고 그냥 나왔어요... 에어컨 실내온도가 29도 였습니다."
978255818,"야상해딤섬,중식만두",,,근데 볶음밥이 진짜 맛있어요!! 일반 계란새우볶음밥이 아니고 볶음보다는 튀김밥..?? 바삭바삭 고슬고슬 정말 짱 ㅠ.ㅠ
978255818,"야상해딤섬,중식만두",,,"너무 맛있어요. 두명이서 저렇게 먹었는데 아시죠 딤섬은 입에서 녹기때문에 배가 안 차요. 어향가지는 만두랑 먹어도 볶음밥이랑 먹어도 맛있고요, 쌀밥에 얹어 먹고 싶은 맛."
978255818,"야상해딤섬,중식만두",,,동파육은 향신료 향이 세지 않고 고기도 부드럽고 쫄깃했어요! 비계부분도 적당히 있었구요. 소룡포도 당연히 맛있었는데 의외로 토마토 계란볶음이 제일 맛있었어요👍 계란도 많이 들어있는데 국물에서 토마토 상큼한맛이랑 달달한 맛이 나서 정말 맛있었습니다!!🥹
978255818,"야상해딤섬,중식만두",,,사천소면 주문하면 느낌함도 잡아주고 나머지 만두들 미친듯이 흡입하게 됨... 조심하세요
978255818,"야상해딤섬,중식만두",,,사천소면을 꼭 드시길...약한 마라향에 민티한 향채향이 이색적이네요
978255818,"야상해딤섬,중식만두",,,새우만두 완전 맛나요! 운좋게 웨이팅 생기기전에 들어가서 좋았어요ㅎ
978255818,"야상해딤섬,중식만두",,,"샤오롱바오, 동파육, 어향가지 주문했는데 음식은 빨리 나왔어요 근데 가게가 너무 더워서 먹는 내내 땀 뻘뻘 흘렸습니다 가게문을 활짝 열어놓으실거면 문 바로 앞에 자리를 만들면 안될 것 같아요 더워서 입맛 떨어져요 오히려 밖이 더 시원했네요(우리 자리쪽 에어컨 온도 34도 찍혀있었음)그리고 동파육은 생각보다 퍽퍽했습니다 족발이랑 비슷한 맛이에요 샤오롱바오는 맛있습니다"
978255818,"야상해딤섬,중식만두",,,샤오롱바오란 이름으로 더 잘알려진 만두로 얇은 피 안에 육즙과 고기소가 들어있는 구성으로 육즙이 정말 많이 들어있어 첫 입부터 육즙이 터지는 매력이 있음!
978255818,"야상해딤섬,중식만두",,,"소롱보, 새우만두, 부추만두 속이 꽉차있고 담백한편이에요! 간장소스에 찍어먹으면 더 맛있더라구용 가격은 착해서 넘 좋은데 맛에 있어서 만두피가 두꺼운편이라 다소 아쉬웠어요,,"
978255818,"야상해딤섬,중식만두",,,소룡포 첫입을 먹는데 감탄이 절로 나와요. 어향가지는 말해무엇!!! 볶음밥도 누룽지가 씹히면서 맛나요.
978255818,"야상해딤섬,중식만두",,,아들이 사는 곳에 갔다가 방문하게 됬는데 1시 조금 넘었는데 웨이팅하고 있었어요 너무 더웠지만 우리도 웨이팅 했어요 회전 속도가 빨라서 오래 기다리진 않았어요
978255818,"야상해딤섬,중식만두",,,약 5년만에 방문했는데 여전히 맛있더라구요. 음식이 빨리 나와서 좋았어요.
978255818,"야상해딤섬,중식만두",,,어향가지 바삭하고 진짜 맛있네요. 딤섬도 맛났는데 사천소면은 뭔가 시큼한 맛이 나서 담에는 면대신 볶음밥 시켜보고파요. 만족스러운 식사였습니다.
