가게ID,가게명,평점,날짜,리뷰내용
32481253,서울루덴스카페,,,3명이서 가면 1인 1음료 따로 메뉴도 필수로 2개 시켜야하고 남은 자리도 많은데 갑자기 시간 다됐다면서 메뉴를 추가하라하고 메뉴 추가해도 30분밖에 못 있는다고 하고 snl에서 풍자 하는것만 봤지 이런 카페는 처음보네요 ..다신 안올거 같아요 가지마세요 …
32481253,서울루덴스카페,,,가격 자체는 뷰값 자리값포함이라 인정하는데 여러 조건과 태도들이 참 별로인 곳이네요 뷰 보러 갈분들은 가세요. 엄마가 가자고 한 곳이라 들어갔는데 아니었으면 그냥 나왔을 곳이었어요. 불친절하단 리뷰가 많은 데에는 이유가 있네요
32481253,서울루덴스카페,,,가격은 좀 센편이고 직원분들 불친절하다는 느낌은 못 받았네요. 뷰맛집 ㅇㅈ
32481253,서울루덴스카페,,,"남산타워에 날 좋은 날에는 노을을 볼 수 있고 날이 선선할 때는 루프탑을 즐길 수 있는 서울 루덴스입니다. 연예인들이 이미 많이 갔다온 사인들이 벽에는 즐비하고, 사장님은 곤조가 있으신 듯 메뉴를 주문받으시는 모습이 인상깊었습니다. 음료만 주문하셨다면 오후 5시까지 밖에 이용 못하는 점도 참고하셨으면 좋겠고, 그 전에 디저트나 요리류를 시킨다면 더 있을 수 있다고 하니 참고 부탁드립니다. 커피 맛 괜찮고 뷰 역시 훌륭한 집 중에 하나였습니다."
32481253,서울루덴스카페,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32481253,서울루덴스카페,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32481253,서울루덴스카페,,,밤에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
32481253,서울루덴스카페,,,밤에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
32481253,서울루덴스카페,,,"분위기는 진짜 좋아요, 다만 여직원이 기분이 좀 상할정도로 불친절하더라구요... 요즘 불친절한곳 찾기도 어려운데 하하"
32481253,서울루덴스카페,,,불친절 하다는 얘기가 많은데 여러번 방문하면서 그런 느낌은 못받았어요
32481253,서울루덴스카페,,,"뷰가 미쳤지만 사장님이 왕인 곳이에요! 자리에서 직원 호출하면 안되고 조용한 대화를 해야하는 등 규칙이 몇 개 있는 인스타 갬성 카페🙏🏻 느낌이에요. 차분하고 조용조용 분위기 즐기고 싶을 때 가시면 좋아요! 그런 추구미와 컨셉이 강한 곳 같습니다. 따르지 않으면 손님 조용히 해주세요🙏🏻 들으실 수도,,! 그치만 이 모든 걸 이기는 뷰와 분위기는 최고에요 정말!! 메뉴들도 맛있어요!"
32481253,서울루덴스카페,,,"뷰가 생각만큼 예쁘진 않습니다. 테이블 간격이 좁은 편이고, 기본 안주도 없고, 가게 협소하고, 벨도 없고 직원을 부르지도 못하게하네요."
32481253,서울루덴스카페,,,사실 일행들이 갑자기 다른곳가자고 했는데 제가 여기아니면 싫다고 박박우겨서 온거였거든요? 진짜 우겨서 가길 너무잘했어요 사진도 잘나오고 (하지만 사진보다 실제눈으로 보는게 백배더이뻤음) 뷰도 너무 예쁘고 감동적인 시간이였습니다. 무엇보다 안주도 술도 맛있었네요 야경에취해서 술술들어갔습니다🍸 소개팅하신분이랑 오시면 분위기에 취해서 바로사귀실듯. 하루의 마무리를 특별하게 한것같아 기분좋았습니다.
32481253,서울루덴스카페,,,"사장님 착하시고, 직원분도 친절하십니다. 여자친구 생기면 다시 오고싶어요.. 뷰가 너무 좋거든요.. 번창하세요 !!"
32481253,서울루덴스카페,,,손님한테 웃음소리 시끄럽다고 조용히 하라고 하는거 옆에서 듣고 기가찼음
32481253,서울루덴스카페,,,"아이스크림 와플 먹었는데, 아이스크림이 엄청 서걱서걱 씹히는 느낌. 일부러 이런스타일을 추구하시는건지 아님 녹았다가 다시 얼어서 생긴 식감같다고 와이프는 그러더라구요."
32481253,서울루덴스카페,,,웃으면서 박수 세번 쳤는데 훈계당하네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐든 주인 맘에 안들면 혼나는 무서운 바 ㅠㅠ 무서워서 다신 방문 할 일 없을 것 같아요
32481253,서울루덴스카페,,,위치 좋고 풍경 좋은데 불친절해요 가격도 있는데 그냥 기분 좋게 다른 곳 가는 게 좋았을 거 같아요
32481253,서울루덴스카페,,,음식은 그저그런데 뷰가 정말정말정말 예뻐요!!! 예쁜 자리 잡으려면 빨리 가긴 해야되는데.. 음식이나 분위기 생각하면 2차로 좋아요
32481253,서울루덴스카페,,,이거 뷰 보는 값으로 불친절 포함 인가요? 기분 내려 갔다가 기분 망친 느낌.. 가성비 별로고 친절함이 부족해요 . 손님이아니라 민폐인 다루는 느낌. 저는 비추입니다 . 참고 하시고 뷰만 원하시면 가시는것 추천
32481253,서울루덴스카페,,,저 이런 안좋은 리뷰 처음 써보는데요 여기는 진짜 안쓰고 못베기겠네요 사장님 본인 가게에 기분 좋게 찾아온 손님들한테 그딴식으로 기분 잡치게 하면 기분이 좀 나으신가요? 가게 컨셉이 그렇다구요? 그럼 간판에 써놓으세요~ 괜히 기분좋게 와서 잡치게하지말고
32481253,서울루덴스카페,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장여행, 친목친구"
32481253,서울루덴스카페,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이
32481253,서울루덴스카페,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
32481253,서울루덴스카페,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목연인・배우자, 친구"
32481253,서울루덴스카페,,,직원인지 주인인지 모르겠지만 손님을 대하는 마음은 멋진 야경만큼 충분하지 않은 것 같아요...!
32481253,서울루덴스카페,,,친구가 소개해서 같이 갔는데 야경도 너무 이쁘고 알쓰인 내가 먹기에는 매우 괜찮았음. 와플이랑 감튀도 맛있게 잘 먹었고 사장님이 야외 자리 날 때마다 순차적으로 자리를 계속 바꿔주시려고 테이블마다 돌아다니시는거 보고 이곳만의 손님에 대한 배려라고 생각이 들었음.
32481253,서울루덴스카페,,,커피는 편의점 커피맛이고 와인도 편의점 와인 맛 났어요!! 뷰 좋아요!
32481253,서울루덴스카페,,,"한적한 평일날 오시면 아늑하면서 조용하고, 남산뷰를 바라보면서 소소하게 데이트, 대화나누기 좋더라고요! ㅎㅎ 가격대는 조금 있는편이지만~ 잔잔한 노랫소리와 힐링하기 너무 좋았습니다 :)"
1918427744,헤미안 커피바,,,"Great music, great vibes. It smells wonderful in here too. I'll be back for drinks!!"
1918427744,헤미안 커피바,,,"Great music, great vibes. It smells wonderful in here too. I'll be back for drinks!!"
1918427744,헤미안 커피바,,,"Great music, great vibes. It smells wonderful in here too. I'll be back for drinks!!"
1918427744,헤미안 커피바,,,가게 분위기가 너무 좋아용 그리고 커피가 너무 마싯구만요 쏘테이스티 ^~^ 그리고 푸딩도요 크리미하구 맛이 찐해요
1918427744,헤미안 커피바,,,가게 분위기가 너무 좋아용 그리고 커피가 너무 마싯구만요 쏘테이스티 ^~^ 그리고 푸딩도요 크리미하구 맛이 찐해요
1918427744,헤미안 커피바,,,가게 분위기가 너무 좋아용 그리고 커피가 너무 마싯구만요 쏘테이스티 ^~^ 그리고 푸딩도요 크리미하구 맛이 찐해요
1918427744,헤미안 커피바,,,가족이랑 와서 마셨는데 되게 좋아해요 시그니처 커피 맛있어요 또 오고싶어요 ㅎㅎ
1918427744,헤미안 커피바,,,근처 구경왔다가 푸딩 먹으러 왔는데 너무너무 맛있어요 한입 먹자마자 꾸우우덕 하고 쏘스윗함 푸딩 좋아하시는 분이라면 꼭 한번 추천드려요
1918427744,헤미안 커피바,,,근처 구경왔다가 푸딩 먹으러 왔는데 너무너무 맛있어요 한입 먹자마자 꾸우우덕 하고 쏘스윗함 푸딩 좋아하시는 분이라면 꼭 한번 추천드려요
1918427744,헤미안 커피바,,,근처 구경왔다가 푸딩 먹으러 왔는데 너무너무 맛있어요 한입 먹자마자 꾸우우덕 하고 쏘스윗함 푸딩 좋아하시는 분이라면 꼭 한번 추천드려요
1918427744,헤미안 커피바,,,너무 맛있어요! 분위기도 너무 좋고 너무 친절하세요 🤍🤍 시그니처 메뉴 꼭 드셔보세요 !! 너무 맛있네요 ~~~ 🩷🩷
1918427744,헤미안 커피바,,,너무 맛있어요! 분위기도 너무 좋고 너무 친절하세요 🤍🤍 시그니처 메뉴 꼭 드셔보세요 !! 너무 맛있네요 ~~~ 🩷🩷
1918427744,헤미안 커피바,,,너무 맛있어요! 분위기도 너무 좋고 너무 친절하세요 🤍🤍 시그니처 메뉴 꼭 드셔보세요 !! 너무 맛있네요 ~~~ 🩷🩷
1918427744,헤미안 커피바,,,너무좋아요 푸딩도 맛있고 가게도 예쁘고 창밖구경도 가능해요 담에 또 오고싶어요🧡
1918427744,헤미안 커피바,,,너무좋아요 푸딩도 맛있고 가게도 예쁘고 창밖구경도 가능해요 담에 또 오고싶어요🧡
1918427744,헤미안 커피바,,,너무좋아요 푸딩도 맛있고 가게도 예쁘고 창밖구경도 가능해요 담에 또 오고싶어요🧡
1918427744,헤미안 커피바,,,데이트하러 이태원근처 카페 찾다가 우연히 발견했는데 분위기 넘 좋아요 ㅎㅎ
1918427744,헤미안 커피바,,,데이트하러 이태원근처 카페 찾다가 우연히 발견했는데 분위기 넘 좋아요 ㅎㅎ
1918427744,헤미안 커피바,,,디저트도 맛있고 뷰 맛집이에요 시원한 가을바람과 노을이 잘 어울리는 카페.
