가게ID,가게명,평점,날짜,리뷰내용
36960590,단골집,,,2명이서 연어+육회메뉴에다 초대리밥 추가했는데 완전 배부릅니다! 옆에 라면은 리뷰이벤트로 받은 건데 너무 야무지고 좋아요🥹🥹 리부보고 찾아온 곳인데 너무 야무지고 맛있어서 다음에 이태원 오면 또 오고 싶습니다🥹👍💖
36960590,단골집,,,2명이서 연어+육회메뉴에다 초대리밥 추가했는데 완전 배부릅니다! 옆에 라면은 리뷰이벤트로 받은 건데 너무 야무지고 좋아요🥹🥹 리부보고 찾아온 곳인데 너무 야무지고 맛있어서 다음에 이태원 오면 또 오고 싶습니다🥹👍💖
36960590,단골집,,,"If your review is selected as a winner, it may be updated accordingly."
36960590,단골집,,,"If your review is selected as a winner, it may be updated accordingly."
36960590,단골집,,,너무너무 맛있어요! 하이볼도 맛있고 안주도 맛있어서 술이 술술~~ 들어가요 ㅎㅎ 담에 또 올것 같아요!!!
36960590,단골집,,,너무너무 맛있어요! 하이볼도 맛있고 안주도 맛있어서 술이 술술~~ 들어가요 ㅎㅎ 담에 또 올것 같아요!!!
36960590,단골집,,,리뷰 이벤트로 연어 사시미를 서비스로 받았는데 퀄리티가 좋아서 깜짝 놀랐어요.
36960590,단골집,,,리뷰가 좋아서 찾아왔는데 육회는 기대한것 이상으로 맛있었어요!!!☺️😍 파스타도 살짝 매콤해서 너무 느끼하지 않게 맛있네욤ㅎㅎㅎ!!
36960590,단골집,,,메뉴가 하나도 빠짐없이 다 맛있다니!!!! 감사합니다~
36960590,단골집,,,백현이 라이브 보고 꼭 가고 싶었는데 서울 여행 온김에 바로 들렀는데 너무 맛있었어요 ㅠㅠ 육회 먹으러 왔다가 파스타에 반하고 갑니다 💗💗 그리고 망고맥주 첨 먹어보는데 파스타랑 궁합 너무 좋아요 번창하세요 사장님 🍀🌈
36960590,단골집,,,분위기도 미쳤고 술도 맛집이에요 사장님도 친절해서 ㅠㅠㅠ나만 알고 싶은 맛집입니다. 제 맛집 리스트에 등록해놨어요
36960590,단골집,,,앞으로 제 단골집 하려구요🤍 떡볶이 국물 넘넘 맛있고 계람 반숙 미쳤습니다...🐷 육회주먹밥 육회 넘 알차게 들어있구요~ 떡볶이 국물에 비벼먹으니 매콤 달달 너무 맛있었어요👍 단골집 자주 올 것 같아요👍👍
36960590,단골집,,,앞으로 제 단골집 하려구요🤍 떡볶이 국물 넘넘 맛있고 계람 반숙 미쳤습니다...🐷 육회주먹밥 육회 넘 알차게 들어있구요~ 떡볶이 국물에 비벼먹으니 매콤 달달 너무 맛있었어요👍 단골집 자주 올 것 같아요👍👍
36960590,단골집,,,역시 믿고 먹는 단골집.. 이름값합니다 단골될 것 같아요 또 왔어요 ㅠㅠㅠ 진짜 너무너무 맛있고 안주 간도 어쩜 이렇게 잘 맞는지… 계속 올게영💛
36960590,단골집,,,연어는 너무 쫄깃하면서도 보들보들 두꺼워서 식감도 너무 맘에 들고요😍 육회는 살짝 익혀서 나와서 맛적으로나 식감적으로 완전 취향저격이었습니다. 소스도 너무 다양해서 좋았고요!😙
36960590,단골집,,,"예전부터 꼭 와보고 싶었던 단골집 이제야 와봤어요! ☺️ 음식 맛있는 건 당연하고, 가게 인테리어나 뷰도 좋고, 사장님(직원분들)도 너무너무 친절하셨어요!💕 덕분에 너무 기분 좋은 식사였습니다. 다음에 또 올게요!🥰"
36960590,단골집,,,"예전부터 꼭 와보고 싶었던 단골집 이제야 와봤어요! ☺️ 음식 맛있는 건 당연하고, 가게 인테리어나 뷰도 좋고, 사장님(직원분들)도 너무너무 친절하셨어요!💕 덕분에 너무 기분 좋은 식사였습니다. 다음에 또 올게요!🥰"
36960590,단골집,,,워크인으로 들어온건데 이렇게 핫한 곳인지 몰랐네요 금요일 저녁인데도 손님도 많고 음식을 먹어보니 왜 이렇게 많이들 찾으시는지 알겠어요!! 맛있고 양도 엄청 푸짐하고 사장님도 친절하십니다 가격도 가성비 있어서 여러 메뉴 가볍게 즐기기 좋습니다! 인테리어도 멋져용
36960590,단골집,,,워크인으로 들어온건데 이렇게 핫한 곳인지 몰랐네요 금요일 저녁인데도 손님도 많고 음식을 먹어보니 왜 이렇게 많이들 찾으시는지 알겠어요!! 맛있고 양도 엄청 푸짐하고 사장님도 친절하십니다 가격도 가성비 있어서 여러 메뉴 가볍게 즐기기 좋습니다! 인테리어도 멋져용
36960590,단골집,,,웰컴 푸드도 깔끔하고 똠양꿍 맛있게 하는 곳이 잘 없는데 맛있었어요
36960590,단골집,,,"작성하신 리뷰는 당첨이 될 경우 향후 수정될 예정이며,"
36960590,단골집,,,"작성하신 리뷰는 당첨이 될 경우 향후 수정될 예정이며,"
36960590,단골집,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
36960590,단골집,,,저녁에 방문예약 없이 이용대기 시간 10분 이내 친목친구
36960590,단골집,,,"종종 생각 나는 이태원 단골집… 6-7년 전에 처음 왔었는데 아직도 있어서 좋아요. 분위기도 메뉴도 그대로예요. 20년까지도 그대로 갔으면 해요. 망고 맥주, 육회, 크림파스타 강추입니다~~ 리뷰 이벤트도 10팀 이내지만 사이드 메뉴 수준으로 주셔서 만족도 올라갔습니다. 일찍 가셔서 리뷰 이벤트 꼭 참여하세요.^^ 다른 메뉴들도 여러 명이 가서 먹어보고 싶어요!"
36960590,단골집,,,"종종 생각 나는 이태원 단골집… 6-7년 전에 처음 왔었는데 아직도 있어서 좋아요. 분위기도 메뉴도 그대로예요. 20년까지도 그대로 갔으면 해요. 망고 맥주, 육회, 크림파스타 강추입니다~~ 리뷰 이벤트도 10팀 이내지만 사이드 메뉴 수준으로 주셔서 만족도 올라갔습니다. 일찍 가셔서 리뷰 이벤트 꼭 참여하세요.^^ 다른 메뉴들도 여러 명이 가서 먹어보고 싶어요!"
