가게ID,가게명,평점,날짜,리뷰내용
1330712840,"명동교자 이태원점칼국수,만두",,,2017년부터 2025년까지 매년 미쉐린 식당으로 선정된 명동교자는 1966년 개업한 긴 역사만큼 변함없는 맛이 최고에요 ^^
1330712840,"명동교자 이태원점칼국수,만두",,,깔끔하네요. 김치는 조금 마늘이 많아서 맵싸한 느낌이 있는데 국물이 깔끔해서 둘 조합이 좋은거같아요
1330712840,"명동교자 이태원점칼국수,만두",,,"리뷰 1,621사진 1,794팔로워 92테마 26"
1330712840,"명동교자 이태원점칼국수,만두",,,"리뷰 3,589사진 5,041팔로워 93"
1330712840,"명동교자 이태원점칼국수,만두",,,명동 본점보다 혼잡하지 않고 좌석이 넓어서 편안하게 식사 할 수 있어요
1330712840,"명동교자 이태원점칼국수,만두",,,명동교자 이태원점 ~~ 설명필요 없이 맛있는 칼국수 마늘김치랑 같이 먹으면 최고 입니다 👍 😄
1330712840,"명동교자 이태원점칼국수,만두",,,"명동보다는 편하게 입장가능하고, 집에서 멀지않아 산책하듯 종종 다녀오는 곳"
1330712840,"명동교자 이태원점칼국수,만두",,,명동신관의 재활용도 불가능한 저룽라라 서비스에 비하면 거의 하룰라라급으로 친절하게 느껴지는 상대적 만족감 (땡큐 포 미)
1330712840,"명동교자 이태원점칼국수,만두",,,명동점만 가보다가 이 곳은 처음. 오픈 2분전 도착해도 주문은 할수있게 해주셔서 감사. 칼국수 위에 작은 만두들은 만두답지 않아서 ㅠ. 콩국수도 진주회관으로 가야겠다. 홀에서 약하게 락스냄새가 났다.
1330712840,"명동교자 이태원점칼국수,만두",,,불맛나는 칼국수 고소한 콩국수 알싸한김치
1330712840,"명동교자 이태원점칼국수,만두",,,와우~ 영수증 보니 대표님이 해외교포시군요! 김치가 일품입니다. 잘 먹었습니다!
1330712840,"명동교자 이태원점칼국수,만두",,,이태원점은 주차 안되고..식당 분위기도 명동교자가 그렇듯... 분위기나 서비스보단..효율성으로만 운영되는듯한 곳이예요.
