가게ID,가게명,평점,날짜,리뷰내용
37766317,고기꾼김춘배 종로직영점,,,고기가 너무 신선하고 맛있어요! 찬도 고기랑 어울리는 찬들로 구성이 너무 좋습니다 재방문 의사 있아요 :)
37766317,고기꾼김춘배 종로직영점,,,"고기꾼김춘배 다녀왔는데, 진짜 고기 맛이랑 밑반찬 하나하나가 다 신경 쓴 느낌이라 너무 좋았어요"
37766317,고기꾼김춘배 종로직영점,,,고기도 맛있고 서비스도 좋고 다들 친절하시고 깍둑밥도 맛있었어용!!!! 좌석도 등받이가 높아서 프라이빗하고 무엇보다 그렇게 막 시끄럽지도 않아서 얘기하기 좋았어요~!
37766317,고기꾼김춘배 종로직영점,,,고기맛집이라고 해서 대학로 연극보러 온김에 와봤는데 고기도 직접 구워주셔서 편하고 직원분들 다 친절하세요
37766317,고기꾼김춘배 종로직영점,,,고기먹고싶을때 자주가는 곳 중 하나에요 홍대도가고 종각점도 가는데 종각은 조용해서 더좋더라고요
37766317,고기꾼김춘배 종로직영점,,,구성도 다양하고 고기도 직접 구워주셔서 편하게 먹고 즐기다 간거 같습니다! 또 생각나면 올거 같아요 :)
37766317,고기꾼김춘배 종로직영점,,,"그리고 밑반찬 구성도 진짜 좋아요. 고기 기다리는 동안 이것저것 집어먹는 재미도 쏠쏠하고, 기본에 충실하면서도 센스 있는 찬들이 나와요"
37766317,고기꾼김춘배 종로직영점,,,내부 분위기도 너무 좋고 고기도 맛있어요! 종각맛집으로 추천합니다
37766317,고기꾼김춘배 종로직영점,,,"내부는 깔끔하고 아늑한 분위기로 꾸며져 있으며, 좌석 사이에 칸막이가 있어 오붓하게 식사하기 좋습니다."
37766317,고기꾼김춘배 종로직영점,,,너무 맛있습니다!! 처음 왔는데 또 올 것 같아요 구워주시고 분위기에 고기 퀄리티에 가성비 있습니다 추천해요~
37766317,고기꾼김춘배 종로직영점,,,다 구워주시고 화장실에 머리끈 생리대 이런 센스까지 넘 좋습니다
37766317,고기꾼김춘배 종로직영점,,,데이트 겸 저녁밥은 이야기 많이 할 수 있게 좌석이 편하고 맛있는 집으로 먼저 찾는데 여기는 덤으로 분위기까지 좋네요!!!
37766317,고기꾼김춘배 종로직영점,,,목살 두께가 적당해서 겉은 바삭 속은 촉촉하게 구워져서 입에서 살살 녹았어요
37766317,고기꾼김춘배 종로직영점,,,밑반찬도 너무 잘나오는 종로맛집.. 그 이름은 김.춘.배…!!! 소고기 말고 오겹살이랑 항정살 먹으러 왔어요. 팀회식하러 온 거라 아늑한 공간으로 해달라고 했는데 딱 알맞는 좌석으로 배치해주셨고. 바로 입장 가능했습니다..!!!
37766317,고기꾼김춘배 종로직영점,,,반찬 구성도 센스 있고 전반적으로 편하게 먹고 기분 좋게 나왔습니다
37766317,고기꾼김춘배 종로직영점,,,"분위기도 좋은데, 국내산 돼지고기 맛이 너무 좋네요! 두께도 딱 적당하고 살코기와 비게의 비율도 딱 좋고, 직원분들이 너무 잘 구워주셔서 입에서 사르르 녹아버려요~ ✨️🤤 반찬도 잘나오고 조명이 은은해서 데이트 잘 하고왔어요!"
37766317,고기꾼김춘배 종로직영점,,,"사랑하는 와잎님, 아들, 딸과 함께 일요일 가족 식사차 방문했는데요, 즐거운 식도락의 시간 보내다 왔어요~"
37766317,고기꾼김춘배 종로직영점,,,"사실, 무엇보다 콜키지 무료에 병 수 제한이 없어서, 먹고싶은 술 가져와서 먹을 수 있는게 너무 좋아요!!! 다음에도 친구들이랑 자주 올 것 같습니다~~"
37766317,고기꾼김춘배 종로직영점,,,"소고기가 정말 맛있었고, 주문한 다른 요리들도 모두 맛있었어요. 된장찌개는 제 입맛에 딱 맞았고, 직원분들이 친절하게 고기를 구워주셔서 매우 만족스러웠습니다～～강추강추"
37766317,고기꾼김춘배 종로직영점,,,"수제 쌈장과 갈치속젓, 다진마늘소스, 명이나물, 파김치, 파채 등 골고루 하나씩 첨가해서 맛보는 재미가 있습니다."
37766317,고기꾼김춘배 종로직영점,,,"양이랑 질이 좋아서 종로 오면 고기는 여기만 먹어용 진짜 ,,, 이 근방에서 퀄 제일 좋은 고깃집💛🥨😆"
37766317,고기꾼김춘배 종로직영점,,,"어머! 이 집 모예요~~!!!! 왜이렇게 맛있고 또 맛있나요 ㅋㅋㄱㅋㅋ 저는 소고기1인분, 돼지고기 1인분 먹었는데 둘다 존맛이네요! 특히 고기도 직접 구워주시는데, 남이 '잘' 구워주는 고기를 먹으니까 더 맛있었어요^^ 고기가 부드러운데 식감도 좋고 육즙이 팡팡! 터져서 다양한 반찬들이랑 같이 먹는 내내 넘 맛있었어요~ 이제 종각 맛집 고기집 회식 장소는 무조건 고기꾼 김춘배로 가겠습니다! 아! 같이 주문한 된장술밥, 그리고 생와사비도 킥!!! 😊 추천합니다~:)"
37766317,고기꾼김춘배 종로직영점,,,여기는 진짜 ㅎㅎ 프라이빗하면서도 고기 가성비가 미친 ㅜㅜ 숨기고 싶은 여러번가도 계속 가게되는.맛집이예요 ㅜㅜ 항정살 그 쫄깃한 육즙에.미치다 갑니다 ㅎ 하이볼하며 고기집이지만 북적거리며 소란스럽지 않은 고기맛에 집중하며 대화하기 좋은 곳이였어요 ㅎ
37766317,고기꾼김춘배 종로직영점,,,오겹살이랑 항정살 둘 다 존맛탱이라 영상 찍으면서 먹다가 감탄만 남겼어요 😋
37766317,고기꾼김춘배 종로직영점,,,왜 유명한지 알겠어요 진짜 고기가 찐입니다.. 퀄리티 너무 좋고 바쁘신 와중에도 고기 다 구워주셔서 너무 편해요! 술 종류도 다양해서 맛있게 즐기기 딱 좋아요❤️
37766317,고기꾼김춘배 종로직영점,,,이 동네 올 일이 있어서 아무 기대 없이 왔는데 생각보다 고기도 맛있고 직원분들도 다 친절하시네요! 고기도 잘 구워주시구요. 덕분에 데이트 잘 했어요~
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
37766317,고기꾼김춘배 종로직영점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목, 나들이, 여행, 일상연인・배우자, 친구, 지인・동료"
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장여행부모님
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
37766317,고기꾼김춘배 종로직영점,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목친구
37766317,고기꾼김춘배 종로직영점,,,"저녁에 방문예약 후 이용대기 시간 바로 입장친목친구, 지인・동료"
37766317,고기꾼김춘배 종로직영점,,,"점심에 방문예약 없이 이용대기 시간 10분 이내 가족모임연인・배우자, 부모님"
37766317,고기꾼김춘배 종로직영점,,,점심에 방문예약 없이 이용대기 시간 10분 이내 친목지인・동료
37766317,고기꾼김춘배 종로직영점,,,"점심에 방문예약 없이 이용대기 시간 30분 이내비즈니스, 회식기타"
37766317,고기꾼김춘배 종로직영점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장가족모임연인・배우자, 친척・형제"
37766317,고기꾼김춘배 종로직영점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장기념일, 데이트부모님"
37766317,고기꾼김춘배 종로직영점,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목
37766317,고기꾼김춘배 종로직영점,,,"종각에서 분위기 괜찮은 회식 장소 찾으실 때 추천이에요! 분위기도 고급지고, 직원분들이 전문적으로 구워주셔서"
37766317,고기꾼김춘배 종로직영점,,,종로에 오면 꼭한번 와보고 싶었던 고깃집인데 분위기도 너무 좋고 고기 퀄리티도 너무 좋은것 같아요~~ 역시 종로 고깃집 맛집인 이유가 있는 것 같네요~~!!👍👍
37766317,고기꾼김춘배 종로직영점,,,주말에 데이트로 다녀왔는데 이자카야처럼 분위기가 너무 좋았어요🩷 돼지고기 뿐만 아니라 소고기도 너무 맛있어서 깜짝 놀랐어요
37766317,고기꾼김춘배 종로직영점,,,"추천세트 먹었는데 고기 잘 구워주시고 한우, 돼지고기 모두 맛있네요 ㅎㅎ"
37766317,고기꾼김춘배 종로직영점,,,콜키지 무료인 고깃집!!! 고기 질이 좋고 직접 다 구워주셔서 너무 편하게 잘먹었습니다 맛있어요 ^^
37766317,고기꾼김춘배 종로직영점,,,한 점씩 먹을 때마다 불향과 육즙이 어우러져 감탄사가 절로 나오더라구요
37766317,고기꾼김춘배 종로직영점,,,항정살도 맛있었어요 깍뚝밥까지 추가하시면 둘이서 양이 딱 좋아요
1630345460,고운돈 익선점,,,5시 15분쯤 웨이팅 시작했고 한시간 조금 넘게 기다렸다가 들어갔어요. 6시쯤부터 웨이팅 마감이었으니 참고하세요. 야외석은 못앉았지만 룸은 조용하고 분위기도 좋았어요. 고기도 금방 나왔구요. 맛있어요👍
1630345460,고운돈 익선점,,,"고기 초벌되어나와서 금방 먹을 수 있고요, 오픈 조금전에 들어갔고 비오는 날이라 웨이팅없어서 더 좋았어요."
1630345460,고운돈 익선점,,,"고기도 너무 맛있고, 분위기는 진짜 말할것도 없이 너무 아늑해요~~"
