가게ID,가게명,평점,날짜,리뷰내용
38010616,김용현베이커리베이커리,,,"[협찬] 저는 레몬마들렌, 초코파이, 얼그레이파운드케이크 등등 맛있어 보는 메뉴들로 담아왔어요!! 사장님도 친절하시고 포장도 깔끔해서 기분 좋게 집으로 가져올 수 있었어요. 앞으로 특별한 날마다 다시 찾고 싶은 빵집입니다ㅎㅎ"
38010616,김용현베이커리베이커리,,,"[협찬] 저는 레몬마들렌, 초코파이, 얼그레이파운드케이크 등등 맛있어 보는 메뉴들로 담아왔어요!! 사장님도 친절하시고 포장도 깔끔해서 기분 좋게 집으로 가져올 수 있었어요. 앞으로 특별한 날마다 다시 찾고 싶은 빵집입니다ㅎㅎ"
38010616,김용현베이커리베이커리,,,✔️ 청와대 출입기자들에게 자신있게 제공했다는 ‘닭가슴살 샌드위치‘
38010616,김용현베이커리베이커리,,,그냥 동네 빵집 맛인데 가격은 1.5배 비싼 버전
38010616,김용현베이커리베이커리,,,그냥 동네 빵집 맛인데 가격은 1.5배 비싼 버전
38010616,김용현베이커리베이커리,,,레몬빵? 이랑 슈크림빵이 제일 맛있었습니다. 레몬빵 강추
38010616,김용현베이커리베이커리,,,레몬빵? 이랑 슈크림빵이 제일 맛있었습니다. 레몬빵 강추
38010616,김용현베이커리베이커리,,,"리뷰 5,079사진 4,690팔로워 152"
38010616,김용현베이커리베이커리,,,맛있는 빵들이 많고 시그니처 빵도 추천해주셔서 그걸로 샀는데 너무너무 맛있었어요💗💕🩵 재방문 하려구요!!
38010616,김용현베이커리베이커리,,,맛있는 빵들이 많고 시그니처 빵도 추천해주셔서 그걸로 샀는데 너무너무 맛있었어요💗💕🩵 재방문 하려구요!!
38010616,김용현베이커리베이커리,,,서촌에서 저녁 먹은 후 들린 빵집~노모가 좋아하는 파운드케익 맛있었네요
38010616,김용현베이커리베이커리,,,이만큼에 만원이라 쫌 비싸긴한데 맛있어서 가끔 사먹어요!
38010616,김용현베이커리베이커리,,,이만큼에 만원이라 쫌 비싸긴한데 맛있어서 가끔 사먹어요!
38010616,김용현베이커리베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
38010616,김용현베이커리베이커리,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
38010616,김용현베이커리베이커리,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
38010616,김용현베이커리베이커리,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
38010616,김용현베이커리베이커리,,,적당히 댤달한 옛날 빵들이 있어 정감가는 곳입니댜 저녁애 가면 세일도 해요 요즘 소위 베이커리 키페들은 파는 빵이 유행따라 대동소이하고 너무 달아요
38010616,김용현베이커리베이커리,,,적당히 댤달한 옛날 빵들이 있어 정감가는 곳입니댜 저녁애 가면 세일도 해요 요즘 소위 베이커리 키페들은 파는 빵이 유행따라 대동소이하고 너무 달아요
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이부모님
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친구
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
38010616,김용현베이커리베이커리,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
38010616,김용현베이커리베이커리,,,"직접 맛 보니 만족했어요 크림치즈 가~득 빵피는 쫀득하네요 ㅋ꙼̈ ㅋ꙼̈ ㅋ꙼̈ 무화과 깜빠뉴, 바질샌드위치도 양이 상당해요 🫰🏻"
38010616,김용현베이커리베이커리,,,청와대 관람왔다가 들렀어요. 사장님이 상당히 친절하세요~ 맛있는 빵 이것저것 추천해주신거 샀는데 3만원이 훌쩍 넘어버렸네요 ;;
38010616,김용현베이커리베이커리,,,청와대 관람왔다가 들렀어요. 사장님이 상당히 친절하세요~ 맛있는 빵 이것저것 추천해주신거 샀는데 3만원이 훌쩍 넘어버렸네요 ;;
38010616,김용현베이커리베이커리,,,청와대 납품으로 유명한 가게라서 들려봤어요~! 모든 빵들이 다 맛잇고 좋더라고요 한번쯤들려볼만해요!
38010616,김용현베이커리베이커리,,,청와대 납품으로 유명한 가게라서 들려봤어요~! 모든 빵들이 다 맛잇고 좋더라고요 한번쯤들려볼만해요!
38010616,김용현베이커리베이커리,,,청와대납품된 빵이라고해서 홀린듯이 들어갔어요
38010616,김용현베이커리베이커리,,,청와대에 납품하는 베이커리라고 해서 귀솔깃해 들어가봤어요. 🤩 청와대 납품하는 빵에는 다 표시되어 있더라구요! 저희는 깜파뉴 위주로 구매했는데 진짜 맛있었어요! 🥰
38010616,김용현베이커리베이커리,,,청와대에 납품하는 빵집으로 유명한 서촌의 ‘김용현 베이커리’에 갔다.
38010616,김용현베이커리베이커리,,,특별하진 않아요. 다른 맛있는곳들 많아서 서촌에는... 앞으로 또 방문 안할듯합니다
38010616,김용현베이커리베이커리,,,특별하진 않아요. 다른 맛있는곳들 많아서 서촌에는... 앞으로 또 방문 안할듯합니다
38010616,김용현베이커리베이커리,,,"호두가 중간중간 씹히고, 뭔가 건강한 맛이라서 좋아요. ㅋㅋㅋ 빵 맛있습니다!!"
1822947202,라파리나 서촌본점베이커리,,,"2층으로 공간도 넓고 자리도 많아요. 베이글 종류도 많은데 가격도 저렴합니다. 아메리카노랑 복숭아 우롱티 시켰는데, 복숭아 우롱티 향이 너무 좋습니다. 경복궁 들렸다가 방문해서 시간 보내기 좋을 것 같습니다. 다음엔 다른 베이글도 맛보러 또 올 생각입니다!"
1822947202,라파리나 서촌본점베이커리,,,가게가 이쁘고 베이글종류가다양해요 심지어 2층도 있어서 쾌적하고 자리도 많아요 커피시켰는데 맛있습니다 딱 좋은맛 추천해요
1822947202,라파리나 서촌본점베이커리,,,개인적으로 베이글로 유명한 업체보다고 라파리나가 훨씬 맛있습니다! 노원 롯데백화점에서 팝업할때도 가까워서 여러 번 사먹었는데 오래오래 영업해주세요:)
1822947202,라파리나 서촌본점베이커리,,,꼭 와보고 싶었는데! 평일 오픈 시간에 오니 먹고 싶은 메뉴 다 있고 너무 좋아요~ 잔득 포장해 왔어요!!
