가게ID,가게명,평점,날짜,리뷰내용
1076080039,교남김밥,,,가벼운 점심할 곳으로 지인한테 추천받아 방문했어요 야채김밥 재료 신선하고 매장 깔끔하고 국물도 맛있었습니다
1076080039,교남김밥,,,"강북삼성 병원 진료후 10분 걸어 찾아감. 소감은 그냥 병원구내식당밥 먹는 건데.. 시간 낭비했다는 생각만 함. 강북삼성병원 구내식당 수준이, 서울삼성병원 수준만 되어도 여길 안오는 거였는 데.. 기본김밥과 비빔국수를 먹었다."
1076080039,교남김밥,,,계란이 많이 들어가서 부드럽고 맛있어요. 제 입맛에는 볶은시래기 우엉 김밥이 가장 맛있었습니다.
1076080039,교남김밥,,,계란지단이 엄청 고소하고 식감도 고슬고슬해서 먹는 내내 입이 즐거웠어요 김밥 자체가 엄청 커서 한 줄 다 먹으니 배부르더라구요 직원분들 친절하셔서 넘 기분 좋게 먹고 왔습니다 오래오래 장사해주세요 💛
1076080039,교남김밥,,,"교남교리김밥을 시켜먹었습니다. 계란지단이 많이 들어가 있어서 좋았는데, 김밥이 터져있어서 조금 아쉬웠어요... 그래도 맛있게 먹었습니다!"
1076080039,교남김밥,,,교남김밥 김밥 종류가 다양하고 양도 많고 맛있어요. 떡볶이도 쫄깃하고 김밥이랑 잘 어울리네요~ 건강한 식사로 좋아요. 다른 메뉴도 궁금하네요!
1076080039,교남김밥,,,교남김밥이 나온 ‘전국김밥일주‘라는 책도 비치되어있다. 세심하게 매장을 관리하고 있다는 생각이 든다.
1076080039,교남김밥,,,근처 김밥집 중에서 재료도 많이 들어가고 회전율이 좋아서 야채도 항상 신선하고 맛있어요. 기본 교남김밥도 맛있고 묵은지참치김밥도 짜지 않고 건강한 맛이에요. 가격은 좀 높지만 감칠맛과 식감이 좋은 양념더덕김밥이나 볶음시래기우엉김밥도 맛있어요.
1076080039,교남김밥,,,근처에서 친구랑 커피 마시고 배고파서 급 검색해서 간 곳인데 맛있기 잘 먹었어요! 서울 분식집에서 오징어순대를 파는것도 넘 좋았고 김밥 떡볶이도 맛있었어요!
1076080039,교남김밥,,,"기름 진짜,, 13000원 내고 기름 먹으러 왔나 싶은 정도로 많습니다."
1076080039,교남김밥,,,김밥이 넘 차서 먹는동안 영 기분이 좋지않았습니다 예쁘게 담아주시는데.. 예쁜것도좋지만 갓 만든 따뜻함이 더 필요해보이네요..
1076080039,교남김밥,,,"닭갈비 김밥이랑 치즈김밥을 먹었는데 속재료 양이 진짜 많아서 배불리 먹고왔어요!! 저녁으로 김밥, 떡볶이를 먹었는데도 배 안꺼지고 오랫동안 배부르더라고요 ㅎㅎ 떡볶이도 처음에 양이 엄청 많아서 깜짝 놀랐어요 어묵 양이 많더라고요! 김밥 떡볶이 외에도 밥 류 메뉴도 많으니 참고하세욥"
